step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,50.15,54.00,2400,0.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,50.70,54.76,2400,44.9,0.11,admission,1.9663,0.6554,0.6554,0.6554
2,2.00,49.05,55.89,2400,39.8,0.16,admission,2.2138,0.7379,0.7379,0.7379
3,3.00,49.60,56.90,2400,35.2,0.07,admission,2.4338,0.8113,0.8113,0.8113
4,4.00,49.60,57.90,2400,30.0,0.09,admission,2.6538,0.8846,0.8846,0.8846
5,5.00,48.50,59.16,2400,21.4,0.05,admission,2.9288,0.9763,0.9763,0.9763
6,6.00,49.60,59.49,2400,40.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
7,7.00,50.15,59.49,2400,35.8,0.09,admission,3.0000,1.0000,1.0000,1.0000
8,8.00,50.15,59.49,2400,57.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
9,9.00,48.50,59.49,2400,13.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
10,10.00,47.95,59.49,2400,1.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
11,11.00,47.40,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
12,12.00,47.40,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
13,13.00,46.30,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
14,14.00,47.95,59.49,2400,23.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
15,15.00,49.60,59.49,2400,33.1,0.12,admission,3.0000,1.0000,1.0000,1.0000
16,16.00,49.60,59.49,2400,56.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
17,17.00,49.60,59.49,2400,34.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
18,18.00,50.70,59.49,2400,44.5,0.09,admission,3.0000,1.0000,1.0000,1.0000
19,19.00,51.80,59.49,2400,46.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
20,20.00,49.60,59.49,2400,55.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
21,21.00,51.25,59.49,2400,43.7,0.14,admission,3.0000,1.0000,1.0000,1.0000
22,22.00,51.80,59.49,2400,54.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
23,23.00,50.70,59.49,2400,58.5,0.16,admission,3.0000,1.0000,1.0000,1.0000
24,24.00,49.05,59.49,2400,17.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
25,25.00,48.50,59.49,2400,3.5,0.04,admission,3.0000,1.0000,1.0000,1.0000
26,26.00,47.40,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
27,27.00,47.40,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
28,28.00,46.85,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
29,29.00,47.95,59.49,2400,18.5,0.07,admission,3.0000,1.0000,1.0000,1.0000
30,30.00,49.05,59.49,2400,48.1,0.07,admission,3.0000,1.0000,1.0000,1.0000
31,31.00,50.70,59.49,2400,26.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
32,32.00,50.15,59.49,2400,45.6,0.11,admission,3.0000,1.0000,1.0000,1.0000
33,33.00,49.05,59.49,2400,32.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
34,34.00,50.70,59.49,2400,56.1,0.07,admission,3.0000,1.0000,1.0000,1.0000
35,35.00,51.25,59.49,2400,49.5,0.09,admission,3.0000,1.0000,1.0000,1.0000
36,36.01,50.70,59.49,2400,40.4,0.07,admission,3.0000,1.0000,1.0000,1.0000
37,37.01,50.15,59.49,2400,40.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
38,38.01,51.80,59.49,2400,46.1,0.04,admission,3.0000,1.0000,1.0000,1.0000
39,39.01,50.15,59.49,2400,24.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
40,40.01,48.50,59.49,2400,13.3,0.04,admission,3.0000,1.0000,1.0000,1.0000
41,41.01,47.95,59.49,2400,0.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
42,42.01,47.40,59.49,2400,0.5,0.04,admission,3.0000,1.0000,1.0000,1.0000
43,43.01,46.85,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
44,44.01,47.95,59.49,2400,12.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
45,45.01,48.50,59.49,2400,30.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
46,46.01,50.15,59.49,2400,41.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
47,47.01,51.25,59.49,2400,46.1,0.22,admission,3.0000,1.0000,1.0000,1.0000
48,48.01,48.50,59.49,2400,25.7,0.16,admission,3.0000,1.0000,1.0000,1.0000
49,49.01,50.70,59.49,2400,43.4,0.16,admission,3.0000,1.0000,1.0000,1.0000
50,50.01,50.70,59.49,2400,68.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
51,51.01,50.15,59.49,2400,50.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
52,52.01,50.15,59.49,2400,20.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
53,53.01,51.80,59.49,2400,62.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
54,54.01,49.60,59.49,2400,22.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
55,55.01,48.50,59.49,2400,12.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
56,56.01,47.40,59.49,2400,0.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
57,57.01,47.40,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
58,58.01,46.85,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
59,59.01,47.40,59.49,2400,10.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
60,60.01,48.50,59.49,2400,23.2,0.21,admission,3.0000,1.0000,1.0000,1.0000
61,61.01,49.60,59.49,2400,43.5,0.16,admission,3.0000,1.0000,1.0000,1.0000
62,62.01,51.25,59.49,2400,57.0,0.11,admission,3.0000,1.0000,1.0000,1.0000
63,63.01,49.60,59.49,2400,29.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
64,64.01,49.60,59.49,2400,37.8,0.08,admission,3.0000,1.0000,1.0000,1.0000
65,65.01,49.05,59.49,2400,39.0,0.11,admission,3.0000,1.0000,1.0000,1.0000
66,66.01,50.70,59.49,2400,43.9,0.09,admission,3.0000,1.0000,1.0000,1.0000
67,67.01,50.15,59.49,2400,30.7,0.08,admission,3.0000,1.0000,1.0000,1.0000
68,68.01,50.15,59.49,2400,48.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
69,69.01,48.50,59.49,2400,18.3,0.04,admission,3.0000,1.0000,1.0000,1.0000
70,70.01,47.95,59.49,2400,9.7,0.04,admission,3.0000,1.0000,1.0000,1.0000
71,71.01,47.40,59.49,2400,3.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
72,72.01,47.40,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
73,73.01,46.85,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
74,74.01,47.95,59.49,2400,17.6,0.08,admission,3.0000,1.0000,1.0000,1.0000
75,75.01,47.95,59.49,2400,29.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
76,76.01,50.15,59.49,2400,50.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
77,77.01,49.05,59.49,2400,47.4,0.19,admission,3.0000,1.0000,1.0000,1.0000
78,78.01,49.60,59.49,2400,35.1,0.08,admission,3.0000,1.0000,1.0000,1.0000
79,79.01,49.60,59.49,2400,43.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
80,80.01,50.15,59.49,2400,39.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
81,81.01,49.60,59.49,2400,44.2,0.11,admission,3.0000,1.0000,1.0000,1.0000
82,82.01,50.70,59.49,2400,46.1,0.20,admission,3.0000,1.0000,1.0000,1.0000
83,83.01,50.70,59.49,2400,35.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
84,84.01,48.50,59.49,2400,28.8,0.04,admission,3.0000,1.0000,1.0000,1.0000
85,85.01,49.60,59.49,2400,6.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
86,86.01,47.95,59.49,2400,6.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
87,87.01,46.85,59.49,2400,0.2,0.03,admission,3.0000,1.0000,1.0000,1.0000
88,88.01,46.85,59.49,2400,0.0,0.03,admission,3.0000,1.0000,1.0000,1.0000
89,89.01,47.95,59.49,2400,13.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
90,90.01,47.95,59.49,2400,28.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
91,91.01,50.15,59.49,2400,45.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
92,92.01,51.25,59.49,2400,53.5,0.12,admission,3.0000,1.0000,1.0000,1.0000
93,93.01,51.25,59.49,2400,58.6,0.10,admission,3.0000,1.0000,1.0000,1.0000
94,94.01,47.95,59.49,2400,38.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
95,95.01,48.50,59.49,2400,22.1,0.09,admission,3.0000,1.0000,1.0000,1.0000
96,96.01,50.70,59.49,2400,53.0,0.10,admission,3.0000,1.0000,1.0000,1.0000
97,97.01,51.25,59.49,2400,57.6,0.08,admission,3.0000,1.0000,1.0000,1.0000
98,98.01,50.15,59.49,2400,46.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
99,99.01,50.70,59.49,2400,27.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
100,100.01,49.05,59.49,2400,11.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
101,101.01,47.95,59.49,2400,9.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
102,102.01,47.40,59.49,2400,0.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
103,103.01,46.30,59.49,2400,0.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
104,104.01,47.40,59.49,2400,8.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
105,105.01,47.95,59.49,2400,31.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
