step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.60,54.00,2400,100.0,1677.55,convex,1.8013,0.5974,0.6028,0.6012
1,1.68,50.70,54.76,2400,82.2,18.80,convex,1.9663,0.6524,0.6578,0.6562
2,2.68,50.15,55.64,2400,34.7,15.87,convex,2.1588,0.7165,0.7219,0.7203
3,3.68,48.50,56.90,2400,30.9,23.19,convex,2.4338,0.8133,0.8111,0.8094
4,4.68,49.05,58.03,2400,22.3,25.89,convex,2.6813,0.8878,0.8976,0.8958
5,5.68,50.15,58.91,2400,36.2,23.38,convex,2.8738,0.9520,0.9617,0.9601
6,6.68,48.50,59.49,2400,38.2,22.14,convex,3.0000,1.0000,1.0000,1.0000
7,7.68,51.25,59.49,2400,61.1,17.26,convex,3.0000,1.0000,1.0000,1.0000
8,8.68,48.50,59.49,2400,17.5,14.86,convex,3.0000,1.0000,1.0000,1.0000
9,9.68,47.40,59.49,2400,3.8,14.91,convex,3.0000,1.0000,1.0000,1.0000
10,10.68,46.85,59.49,2400,0.5,14.77,convex,3.0000,1.0000,1.0000,1.0000
11,11.68,46.85,59.49,2400,0.5,56.28,convex,3.0000,1.0000,1.0000,1.0000
12,12.68,46.85,59.49,2400,1.5,14.79,convex,3.0000,1.0000,1.0000,1.0000
13,13.68,47.95,59.49,2400,17.0,20.05,convex,3.0000,1.0000,1.0000,1.0000
14,14.68,47.95,59.49,2400,28.7,31.76,convex,3.0000,1.0000,1.0000,1.0000
15,15.68,50.15,59.49,2400,63.3,17.94,convex,3.0000,1.0000,1.0000,1.0000
16,16.68,50.15,59.49,2400,33.7,15.61,convex,3.0000,1.0000,1.0000,1.0000
17,17.68,50.70,59.49,2400,41.6,37.79,convex,3.0000,1.0000,1.0000,1.0000
18,18.68,50.15,59.49,2400,45.0,32.02,convex,3.0000,1.0000,1.0000,1.0000
19,19.68,51.25,59.49,2400,54.5,29.10,convex,3.0000,1.0000,1.0000,1.0000
20,20.68,51.25,59.49,2400,45.0,56.83,convex,3.0000,1.0000,1.0000,1.0000
21,21.68,51.25,59.49,2400,59.4,16.79,convex,3.0000,1.0000,1.0000,1.0000
22,22.68,51.80,59.49,2400,59.8,62.65,convex,3.0000,1.0000,1.0000,1.0000
