step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,50.15,59.49,2400,100.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,49.60,59.49,2400,52.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,48.50,59.49,2400,33.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,49.60,59.49,2400,37.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,49.05,59.49,2400,29.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,48.50,59.49,2400,20.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,50.15,59.49,2400,41.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,49.60,59.49,2400,36.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,49.60,59.49,2400,57.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.01,48.50,59.49,2400,15.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
10,10.01,47.95,59.49,2400,0.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.01,47.40,59.49,2400,0.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
12,12.01,46.85,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.01,46.85,59.49,2400,0.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.01,49.05,59.49,2400,22.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.01,49.60,59.49,2400,34.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
16,16.01,50.15,59.49,2400,57.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
17,17.01,50.15,59.49,2400,35.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.01,50.15,59.49,2400,45.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
19,19.01,49.60,59.49,2400,47.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.01,51.25,59.49,2400,54.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.01,51.25,59.49,2400,46.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
22,22.01,51.25,59.49,2400,55.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
23,23.01,50.70,59.49,2400,57.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
24,24.01,49.60,59.49,2400,19.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
25,25.01,48.50,59.49,2400,3.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
26,26.01,47.95,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
27,27.01,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.01,46.85,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
29,29.01,48.50,59.49,2400,17.2,0.02,equal,3.0000,1.0000,1.0000,1.0000
30,30.01,48.50,59.49,2400,47.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.01,49.60,59.49,2400,25.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.01,50.15,59.49,2400,46.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.01,49.05,59.49,2400,31.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
34,34.01,50.70,59.49,2400,57.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.01,51.80,59.49,2400,48.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
36,36.02,51.25,59.49,2400,41.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
37,37.02,50.70,59.49,2400,40.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
38,38.02,50.15,59.49,2400,45.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
39,39.02,49.60,59.49,2400,25.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
40,40.02,49.05,59.49,2400,12.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
41,41.02,47.95,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
42,42.02,46.85,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
43,43.02,46.85,59.49,2400,0.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
44,44.02,49.05,59.49,2400,12.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
45,45.02,49.05,59.49,2400,32.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
46,46.02,50.70,59.49,2400,42.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
47,47.02,50.70,59.49,2400,46.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
48,48.02,49.60,59.49,2400,26.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
49,49.02,50.70,59.49,2400,43.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
50,50.02,51.25,59.49,2400,67.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
51,51.02,50.70,59.49,2400,52.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
52,52.02,50.15,59.49,2400,22.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
53,53.02,51.80,59.49,2400,61.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
54,54.02,48.50,59.49,2400,24.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
55,55.02,49.05,59.49,2400,11.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
56,56.02,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
57,57.02,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
58,58.02,47.40,59.49,2400,0.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
59,59.03,49.05,59.49,2400,10.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
60,60.03,49.05,59.49,2400,24.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
61,61.03,50.70,59.49,2400,46.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
62,62.03,50.70,59.49,2400,57.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
63,63.03,49.60,59.49,2400,30.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
64,64.03,50.70,59.49,2400,37.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
65,65.03,50.70,59.49,2400,42.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
66,66.03,50.70,59.49,2400,42.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
67,67.03,50.70,59.49,2400,31.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
68,68.03,51.25,59.49,2400,47.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
69,69.03,49.05,59.49,2400,16.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
70,70.03,49.05,59.49,2400,9.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
71,71.03,47.95,59.49,2400,3.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
72,72.03,47.95,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
73,73.03,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
74,74.03,49.05,59.49,2400,19.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
75,75.03,49.60,59.49,2400,29.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
76,76.03,49.60,59.49,2400,50.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
77,77.04,49.60,59.49,2400,47.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
78,78.04,51.25,59.49,2400,37.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
79,79.04,49.05,59.49,2400,40.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
80,80.04,50.70,59.49,2400,40.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
81,81.04,50.70,59.49,2400,45.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
82,82.04,50.70,59.49,2400,44.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
83,83.04,50.70,59.49,2400,35.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
84,84.04,49.60,59.49,2400,23.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
85,85.04,49.60,59.49,2400,6.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
86,86.04,46.85,59.49,2400,6.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
87,87.04,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
88,88.04,47.40,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
89,89.04,49.60,59.49,2400,17.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
90,90.04,49.05,59.49,2400,27.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
91,91.04,50.70,59.49,2400,46.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
92,92.04,50.70,59.49,2400,54.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
93,93.04,50.70,59.49,2400,57.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
94,94.04,50.15,59.49,2400,35.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
95,95.04,50.15,59.49,2400,23.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
96,96.04,52.35,59.49,2400,54.5,0.02,equal,3.0000,1.0000,1.0000,1.0000
97,97.04,51.80,59.49,2400,55.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
98,98.04,51.25,59.49,2400,45.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
99,99.04,49.60,59.49,2400,24.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
100,100.04,48.50,59.49,2400,10.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
101,101.04,48.50,59.49,2400,9.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
102,102.04,47.40,59.49,2400,0.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
103,103.04,47.40,59.49,2400,0.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
104,104.04,49.05,59.49,2400,12.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
105,105.04,48.50,59.49,2400,30.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
