step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.60,54.00,2400,0.0,0.11,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,50.15,54.63,2400,40.9,0.07,matched,1.9388,0.6463,0.6463,0.6463
2,2.00,50.15,55.51,2400,47.2,0.06,matched,2.1313,0.7104,0.7104,0.7104
3,3.00,50.70,56.39,2400,54.1,0.08,matched,2.3238,0.7746,0.7746,0.7746
4,4.00,49.60,57.15,2400,53.0,0.35,matched,2.4888,0.8296,0.8296,0.8296
5,5.00,50.70,57.78,2400,44.8,0.06,matched,2.6263,0.8754,0.8754,0.8754
6,6.00,50.70,58.66,2400,58.0,0.14,matched,2.8188,0.9396,0.9396,0.9396
7,7.00,51.80,59.49,2400,54.0,0.14,matched,3.0000,1.0000,1.0000,1.0000
8,8.00,51.80,59.49,2400,50.8,0.24,matched,3.0000,1.0000,1.0000,1.0000
9,9.00,49.05,59.49,2400,24.8,0.04,matched,3.0000,1.0000,1.0000,1.0000
10,10.00,47.95,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
11,11.00,46.85,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
12,12.00,46.85,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
13,13.00,46.85,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
14,14.00,49.60,59.49,2400,18.0,0.07,matched,3.0000,1.0000,1.0000,1.0000
15,15.00,49.60,59.49,2400,53.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
16,16.00,49.05,59.49,2400,33.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
17,17.00,51.25,59.49,2400,59.8,0.08,matched,3.0000,1.0000,1.0000,1.0000
18,18.00,50.70,59.49,2400,59.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
19,19.00,49.60,59.49,2400,45.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
20,20.00,50.70,59.49,2400,42.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
21,21.00,50.70,59.49,2400,34.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
22,22.00,50.15,59.49,2400,38.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
23,23.00,50.15,59.49,2400,36.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
24,24.00,47.40,59.49,2400,25.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
25,25.00,47.95,59.49,2400,0.2,0.04,matched,3.0000,1.0000,1.0000,1.0000
26,26.00,46.85,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
27,27.00,46.85,59.49,2400,0.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
28,28.00,46.30,59.49,2400,0.2,0.04,matched,3.0000,1.0000,1.0000,1.0000
29,29.00,47.40,59.49,2400,10.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
30,30.00,50.15,59.49,2400,52.9,0.17,matched,3.0000,1.0000,1.0000,1.0000
31,31.00,50.70,59.49,2400,66.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
32,32.00,51.80,59.49,2400,55.6,0.21,matched,3.0000,1.0000,1.0000,1.0000
33,33.00,50.70,59.49,2400,54.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
34,34.00,51.25,59.49,2400,46.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
35,35.00,51.25,59.49,2400,50.9,0.04,matched,3.0000,1.0000,1.0000,1.0000
36,36.00,51.25,59.49,2400,42.2,0.12,matched,3.0000,1.0000,1.0000,1.0000
37,37.00,50.70,59.49,2400,51.9,0.10,matched,3.0000,1.0000,1.0000,1.0000
38,38.00,51.25,59.49,2400,65.8,0.08,matched,3.0000,1.0000,1.0000,1.0000
39,39.00,49.60,59.49,2400,21.9,0.06,matched,3.0000,1.0000,1.0000,1.0000
40,40.00,47.95,59.49,2400,2.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
41,41.00,47.95,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
42,42.00,46.85,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
43,43.00,46.85,59.49,2400,0.3,0.03,matched,3.0000,1.0000,1.0000,1.0000
44,44.00,47.95,59.49,2400,13.8,0.09,matched,3.0000,1.0000,1.0000,1.0000
45,45.00,48.50,59.49,2400,36.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
46,46.00,49.60,59.49,2400,29.2,0.16,matched,3.0000,1.0000,1.0000,1.0000
47,47.00,50.15,59.49,2400,48.1,0.07,matched,3.0000,1.0000,1.0000,1.0000
48,48.00,51.80,59.49,2400,63.8,0.15,matched,3.0000,1.0000,1.0000,1.0000
49,49.00,50.70,59.49,2400,56.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
50,50.00,50.70,59.49,2400,44.3,0.09,matched,3.0000,1.0000,1.0000,1.0000
51,51.00,51.25,59.49,2400,59.9,0.20,matched,3.0000,1.0000,1.0000,1.0000
52,52.00,51.25,59.49,2400,46.9,0.10,matched,3.0000,1.0000,1.0000,1.0000
53,53.01,50.70,59.49,2400,44.0,0.11,matched,3.0000,1.0000,1.0000,1.0000
54,54.01,49.05,59.49,2400,26.6,0.04,matched,3.0000,1.0000,1.0000,1.0000
55,55.01,48.50,59.49,2400,3.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
56,56.01,47.95,59.49,2400,0.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
57,57.01,47.40,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
58,58.01,47.40,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
59,59.01,48.50,59.49,2400,11.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
60,60.01,49.60,59.49,2400,29.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
61,61.01,49.60,59.49,2400,36.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
62,62.01,51.25,59.49,2400,49.4,0.07,matched,3.0000,1.0000,1.0000,1.0000
63,63.01,50.70,59.49,2400,51.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
64,64.01,51.25,59.49,2400,56.1,0.18,matched,3.0000,1.0000,1.0000,1.0000
65,65.01,51.25,59.49,2400,43.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
66,66.01,51.25,59.49,2400,52.9,0.09,matched,3.0000,1.0000,1.0000,1.0000
67,67.01,52.90,59.49,2400,58.1,0.11,matched,3.0000,1.0000,1.0000,1.0000
68,68.01,51.25,59.49,2400,53.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
69,69.01,51.25,59.49,2400,58.1,0.04,matched,3.0000,1.0000,1.0000,1.0000
70,70.01,49.60,59.49,2400,9.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
71,71.01,48.50,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
72,72.01,47.40,59.49,2400,0.2,0.03,matched,3.0000,1.0000,1.0000,1.0000
73,73.01,47.40,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
74,74.01,47.95,59.49,2400,8.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
75,75.01,49.60,59.49,2400,27.8,0.19,matched,3.0000,1.0000,1.0000,1.0000
76,76.01,50.70,59.49,2400,58.9,0.22,matched,3.0000,1.0000,1.0000,1.0000
77,77.01,50.70,59.49,2400,57.1,0.07,matched,3.0000,1.0000,1.0000,1.0000
78,78.01,51.80,59.49,2400,52.9,0.13,matched,3.0000,1.0000,1.0000,1.0000
79,79.01,51.80,59.49,2400,58.5,0.07,matched,3.0000,1.0000,1.0000,1.0000
80,80.01,50.70,59.49,2400,48.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
81,81.01,51.80,59.49,2400,42.0,0.13,matched,3.0000,1.0000,1.0000,1.0000
82,82.01,51.80,59.49,2400,33.1,0.06,matched,3.0000,1.0000,1.0000,1.0000
83,83.01,51.80,59.49,2400,43.5,0.10,matched,3.0000,1.0000,1.0000,1.0000
84,84.01,49.05,59.49,2400,28.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
85,85.01,49.60,59.49,2400,12.8,0.04,matched,3.0000,1.0000,1.0000,1.0000
86,86.01,49.05,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
87,87.01,47.95,59.49,2400,3.5,0.04,matched,3.0000,1.0000,1.0000,1.0000
88,88.01,47.40,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
89,89.01,48.50,59.49,2400,6.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
90,90.01,49.05,59.49,2400,28.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
91,91.01,49.05,59.49,2400,26.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
