step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,100.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,54.13,2400,47.4,0.10,admission,1.8288,0.6096,0.6096,0.6096
2,2.00,53.45,54.25,2400,48.3,0.07,admission,1.8563,0.6188,0.6188,0.6188
3,3.00,54.00,54.25,2400,49.0,0.06,admission,1.8563,0.6188,0.6188,0.6188
4,4.00,54.55,54.13,2400,48.8,0.06,admission,1.8288,0.6096,0.6096,0.6096
5,5.00,54.55,54.00,2400,48.3,0.05,admission,1.8013,0.6004,0.6004,0.6004
6,6.00,53.45,54.13,2400,47.5,0.07,admission,1.8288,0.6096,0.6096,0.6096
7,7.00,54.00,54.13,2400,48.2,0.06,admission,1.8288,0.6096,0.6096,0.6096
8,8.00,54.00,54.13,2400,48.4,0.06,admission,1.8288,0.6096,0.6096,0.6096
9,9.00,54.00,54.13,2400,48.2,0.06,admission,1.8288,0.6096,0.6096,0.6096
10,10.00,54.55,54.00,2400,48.4,0.05,admission,1.8013,0.6004,0.6004,0.6004
11,11.00,53.45,54.13,2400,47.3,0.08,admission,1.8288,0.6096,0.6096,0.6096
12,12.00,54.00,54.13,2400,48.3,0.07,admission,1.8288,0.6096,0.6096,0.6096
13,13.00,54.00,54.13,2400,48.1,0.05,admission,1.8288,0.6096,0.6096,0.6096
14,14.00,54.55,54.00,2400,48.4,0.06,admission,1.8013,0.6004,0.6004,0.6004
15,15.00,53.45,54.13,2400,47.4,0.06,admission,1.8288,0.6096,0.6096,0.6096
16,16.00,54.55,54.00,2400,48.2,0.05,admission,1.8013,0.6004,0.6004,0.6004
17,17.00,54.00,54.00,2400,47.4,0.06,admission,1.8013,0.6004,0.6004,0.6004
18,18.00,55.10,53.75,2400,47.5,0.13,admission,1.7463,0.5821,0.5821,0.5821
19,19.00,54.00,53.75,2400,46.1,0.07,admission,1.7463,0.5821,0.5821,0.5821
20,20.00,52.90,54.00,2400,46.2,0.06,admission,1.8013,0.6004,0.6004,0.6004
21,21.00,54.00,54.00,2400,47.3,0.06,admission,1.8013,0.6004,0.6004,0.6004
22,22.00,54.55,53.87,2400,47.5,0.05,admission,1.7738,0.5913,0.5913,0.5913
23,23.00,54.55,53.75,2400,46.8,0.05,admission,1.7463,0.5821,0.5821,0.5821
24,24.00,54.00,53.75,2400,46.2,0.05,admission,1.7463,0.5821,0.5821,0.5821
25,25.00,54.55,53.62,2400,46.1,0.05,admission,1.7188,0.5729,0.5729,0.5729
26,26.00,54.00,53.62,2400,45.4,0.05,admission,1.7188,0.5729,0.5729,0.5729
27,27.00,55.10,53.37,2400,45.5,0.05,admission,1.6638,0.5546,0.5546,0.5546
28,28.00,54.00,53.37,2400,44.2,0.06,admission,1.6638,0.5546,0.5546,0.5546
29,29.00,54.00,53.37,2400,44.1,0.06,admission,1.6638,0.5546,0.5546,0.5546
30,30.00,53.45,53.50,2400,44.1,0.07,admission,1.6913,0.5638,0.5638,0.5638
31,31.00,54.00,53.50,2400,44.9,0.05,admission,1.6913,0.5638,0.5638,0.5638
32,32.00,54.00,53.50,2400,44.7,0.06,admission,1.6913,0.5638,0.5638,0.5638
33,33.00,54.00,53.50,2400,44.9,0.05,admission,1.6913,0.5638,0.5638,0.5638
34,34.00,54.55,53.37,2400,44.8,0.10,admission,1.6638,0.5546,0.5546,0.5546
35,35.00,54.55,53.24,2400,44.3,0.07,admission,1.6363,0.5454,0.5454,0.5454
36,36.00,54.55,53.12,2400,43.7,0.05,admission,1.6088,0.5363,0.5363,0.5363
37,37.00,52.90,53.37,2400,42.6,0.09,admission,1.6638,0.5546,0.5546,0.5546
38,38.00,54.00,53.37,2400,44.5,0.05,admission,1.6638,0.5546,0.5546,0.5546
39,39.00,54.00,53.37,2400,44.3,0.05,admission,1.6638,0.5546,0.5546,0.5546
40,40.00,54.00,53.37,2400,44.4,0.06,admission,1.6638,0.5546,0.5546,0.5546
41,41.00,54.55,53.24,2400,44.5,0.06,admission,1.6363,0.5454,0.5454,0.5454
42,42.00,54.00,53.24,2400,43.6,0.05,admission,1.6363,0.5454,0.5454,0.5454
43,43.00,54.00,53.24,2400,43.6,0.06,admission,1.6363,0.5454,0.5454,0.5454
44,44.00,54.00,53.24,2400,43.7,0.06,admission,1.6363,0.5454,0.5454,0.5454
45,45.00,54.00,53.24,2400,43.5,0.06,admission,1.6363,0.5454,0.5454,0.5454
46,46.00,55.10,52.99,2400,43.7,0.07,admission,1.5813,0.5271,0.5271,0.5271
47,47.00,54.00,52.99,2400,42.1,0.06,admission,1.5813,0.5271,0.5271,0.5271
48,48.00,54.00,52.99,2400,42.3,0.06,admission,1.5813,0.5271,0.5271,0.5271
49,49.00,54.55,52.87,2400,42.2,0.06,admission,1.5538,0.5179,0.5179,0.5179
50,50.00,54.00,52.87,2400,41.6,0.07,admission,1.5538,0.5179,0.5179,0.5179
51,51.00,54.00,52.87,2400,41.6,0.08,admission,1.5538,0.5179,0.5179,0.5179
52,52.00,54.00,52.87,2400,41.5,0.06,admission,1.5538,0.5179,0.5179,0.5179
53,53.00,54.00,52.87,2400,41.6,0.06,admission,1.5538,0.5179,0.5179,0.5179
54,54.00,54.00,52.87,2400,41.6,0.06,admission,1.5538,0.5179,0.5179,0.5179
55,55.00,53.45,52.99,2400,41.8,0.10,admission,1.5813,0.5271,0.5271,0.5271
56,56.00,54.00,52.99,2400,42.0,0.05,admission,1.5813,0.5271,0.5271,0.5271
57,57.01,54.55,52.87,2400,42.0,0.07,admission,1.5538,0.5179,0.5179,0.5179
58,58.01,54.55,52.74,2400,41.6,0.07,admission,1.5263,0.5088,0.5088,0.5088
59,59.01,54.55,52.61,2400,40.5,0.05,admission,1.4988,0.4996,0.4996,0.4996
60,60.01,54.55,52.49,2400,40.3,0.06,admission,1.4713,0.4904,0.4904,0.4904
61,61.01,54.55,52.36,2400,39.5,0.05,admission,1.4438,0.4813,0.4813,0.4813
62,62.01,53.45,52.49,2400,38.9,0.05,admission,1.4713,0.4904,0.4904,0.4904
63,63.01,54.00,52.49,2400,39.7,0.16,admission,1.4713,0.4904,0.4904,0.4904
64,64.01,54.00,52.49,2400,39.4,0.07,admission,1.4713,0.4904,0.4904,0.4904
65,65.01,54.00,52.49,2400,39.4,0.05,admission,1.4713,0.4904,0.4904,0.4904
66,66.01,53.45,52.61,2400,39.4,0.05,admission,1.4988,0.4996,0.4996,0.4996
67,67.01,54.00,52.61,2400,40.1,0.07,admission,1.4988,0.4996,0.4996,0.4996
68,68.01,54.00,52.61,2400,40.6,0.06,admission,1.4988,0.4996,0.4996,0.4996
69,69.01,52.35,52.99,2400,39.9,0.06,admission,1.5813,0.5271,0.5271,0.5271
70,70.01,53.45,53.12,2400,42.1,0.05,admission,1.6088,0.5363,0.5363,0.5363
71,71.01,53.45,53.24,2400,42.9,0.15,admission,1.6363,0.5454,0.5454,0.5454
72,72.01,54.00,53.24,2400,43.6,0.05,admission,1.6363,0.5454,0.5454,0.5454
73,73.01,52.90,53.50,2400,43.6,0.05,admission,1.6913,0.5638,0.5638,0.5638
74,74.01,54.55,53.37,2400,45.0,0.05,admission,1.6638,0.5546,0.5546,0.5546
75,75.01,52.90,53.62,2400,44.2,0.06,admission,1.7188,0.5729,0.5729,0.5729
76,76.01,54.00,53.62,2400,45.5,0.05,admission,1.7188,0.5729,0.5729,0.5729
77,77.01,54.55,53.50,2400,45.7,0.06,admission,1.6913,0.5638,0.5638,0.5638
78,78.01,53.45,53.62,2400,44.7,0.06,admission,1.7188,0.5729,0.5729,0.5729
79,79.01,54.55,53.50,2400,45.6,0.05,admission,1.6913,0.5638,0.5638,0.5638
80,80.01,54.55,53.37,2400,45.0,0.06,admission,1.6638,0.5546,0.5546,0.5546
81,81.01,54.00,53.37,2400,44.3,0.07,admission,1.6638,0.5546,0.5546,0.5546
82,82.01,54.55,53.24,2400,44.2,0.05,admission,1.6363,0.5454,0.5454,0.5454
83,83.01,54.55,53.12,2400,43.6,0.05,admission,1.6088,0.5363,0.5363,0.5363
84,84.01,54.00,53.12,2400,42.9,0.05,admission,1.6088,0.5363,0.5363,0.5363
85,85.01,54.00,53.12,2400,42.9,0.06,admission,1.6088,0.5363,0.5363,0.5363
86,86.01,54.00,53.12,2400,42.5,0.09,admission,1.6088,0.5363,0.5363,0.5363
87,87.01,54.00,53.12,2400,42.5,0.05,admission,1.6088,0.5363,0.5363,0.5363
88,88.01,54.00,53.12,2400,42.6,0.06,admission,1.6088,0.5363,0.5363,0.5363
89,89.01,54.00,53.12,2400,42.6,0.05,admission,1.6088,0.5363,0.5363,0.5363
90,90.01,54.55,52.99,2400,42.6,0.06,admission,1.5813,0.5271,0.5271,0.5271
91,91.01,54.55,52.87,2400,41.9,0.06,admission,1.5538,0.5179,0.5179,0.5179
92,92.01,54.00,52.87,2400,41.4,0.06,admission,1.5538,0.5179,0.5179,0.5179
93,93.01,54.00,52.87,2400,41.4,0.06,admission,1.5538,0.5179,0.5179,0.5179
94,94.01,54.00,52.87,2400,41.2,0.05,admission,1.5538,0.5179,0.5179,0.5179
95,95.01,54.00,52.87,2400,41.3,0.06,admission,1.5538,0.5179,0.5179,0.5179
96,96.01,54.55,52.74,2400,41.4,0.05,admission,1.5263,0.5088,0.5088,0.5088
97,97.01,54.00,52.74,2400,40.5,0.05,admission,1.5263,0.5088,0.5088,0.5088
98,98.01,53.45,52.87,2400,40.5,0.10,admission,1.5538,0.5179,0.5179,0.5179
99,99.01,54.00,52.87,2400,41.4,0.06,admission,1.5538,0.5179,0.5179,0.5179
100,100.01,53.45,52.99,2400,41.4,0.05,admission,1.5813,0.5271,0.5271,0.5271
101,101.01,54.00,52.99,2400,41.9,0.06,admission,1.5813,0.5271,0.5271,0.5271
