step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,55.10,54.00,2400,100.0,2505.29,convex,1.8013,0.5974,0.6028,0.6012
1,2.51,55.65,53.62,2400,100.0,57.38,convex,1.7188,0.5699,0.5752,0.5737
2,3.51,54.55,53.50,2400,48.8,36.17,convex,1.6913,0.5607,0.5660,0.5645
3,4.51,54.55,53.37,2400,46.6,32.51,convex,1.6638,0.5515,0.5569,0.5554
4,5.51,53.45,53.50,2400,45.9,29.31,convex,1.6913,0.5607,0.5660,0.5645
5,6.51,54.55,53.37,2400,46.2,34.16,convex,1.6638,0.5515,0.5569,0.5554
6,7.51,54.00,53.37,2400,45.8,26.75,convex,1.6638,0.5515,0.5569,0.5554
7,8.51,54.00,53.37,2400,45.4,28.08,convex,1.6638,0.5515,0.5569,0.5554
8,9.51,54.55,53.24,2400,45.4,34.36,convex,1.6363,0.5424,0.5477,0.5462
9,10.51,54.55,53.12,2400,45.3,37.82,convex,1.6088,0.5332,0.5386,0.5370
10,11.51,54.00,53.12,2400,44.6,30.74,convex,1.6088,0.5332,0.5386,0.5370
11,12.51,54.55,52.99,2400,43.5,80.41,convex,1.5813,0.5240,0.5294,0.5279
12,13.51,54.00,52.99,2400,44.1,32.08,convex,1.5813,0.5240,0.5294,0.5279
13,14.51,54.55,52.87,2400,43.6,27.73,convex,1.5538,0.5149,0.5202,0.5187
14,15.51,54.55,52.74,2400,42.6,28.76,convex,1.5263,0.5057,0.5111,0.5095
15,16.51,55.65,52.36,2400,42.3,28.58,convex,1.4438,0.4805,0.4825,0.4809
16,17.51,54.00,52.36,2400,40.0,23.76,convex,1.4438,0.4805,0.4825,0.4809
17,18.51,54.00,52.36,2400,39.9,31.30,convex,1.4438,0.4805,0.4825,0.4809
18,19.51,54.55,52.24,2400,40.2,26.84,convex,1.4163,0.4713,0.4733,0.4717
19,20.51,54.00,52.24,2400,39.6,24.91,convex,1.4163,0.4713,0.4733,0.4717
20,21.51,54.55,52.11,2400,39.3,31.66,convex,1.3888,0.4622,0.4641,0.4625
21,22.51,53.45,52.24,2400,39.0,23.31,convex,1.4163,0.4713,0.4733,0.4717
22,23.51,54.00,52.24,2400,39.3,28.93,convex,1.4163,0.4713,0.4733,0.4717
23,24.51,53.45,52.36,2400,39.2,24.86,convex,1.4438,0.4805,0.4825,0.4809
24,25.51,53.45,52.49,2400,39.9,26.64,convex,1.4713,0.4896,0.4916,0.4901
25,26.51,55.10,52.24,2400,40.6,24.29,convex,1.4163,0.4713,0.4733,0.4717
26,27.51,54.00,52.24,2400,39.4,25.78,convex,1.4163,0.4713,0.4733,0.4717
27,28.51,54.55,52.11,2400,39.4,30.15,convex,1.3888,0.4621,0.4641,0.4625
28,29.51,54.00,52.11,2400,38.9,20.80,convex,1.3888,0.4621,0.4641,0.4625
29,30.51,53.45,52.24,2400,38.6,28.05,convex,1.4163,0.4713,0.4733,0.4717
30,31.51,54.00,52.24,2400,39.3,26.47,convex,1.4163,0.4713,0.4733,0.4717
31,32.51,54.00,52.24,2400,39.4,25.21,convex,1.4163,0.4713,0.4733,0.4717
32,33.51,54.00,52.24,2400,39.4,33.82,convex,1.4163,0.4713,0.4733,0.4717
33,34.51,54.55,52.11,2400,40.0,25.65,convex,1.3888,0.4621,0.4641,0.4625
34,35.51,53.45,52.24,2400,38.5,26.77,convex,1.4163,0.4713,0.4733,0.4717
35,36.51,52.90,52.49,2400,39.4,28.85,convex,1.4713,0.4896,0.4916,0.4901
36,37.51,54.00,52.49,2400,40.9,30.81,convex,1.4713,0.4896,0.4916,0.4901
37,38.51,54.00,52.49,2400,40.9,29.40,convex,1.4713,0.4896,0.4916,0.4901
38,39.51,54.00,52.49,2400,40.9,29.06,convex,1.4713,0.4896,0.4916,0.4901
39,40.51,54.00,52.49,2400,41.1,25.31,convex,1.4713,0.4896,0.4916,0.4901
40,41.51,54.55,52.36,2400,40.8,29.17,convex,1.4438,0.4805,0.4825,0.4809
41,42.51,52.35,52.74,2400,40.4,25.74,convex,1.5263,0.5057,0.5111,0.5095
42,43.51,54.00,52.74,2400,42.3,29.37,convex,1.5263,0.5057,0.5111,0.5095
43,44.51,54.55,52.61,2400,42.3,31.50,convex,1.4988,0.4988,0.5008,0.4993
44,45.51,53.45,52.74,2400,41.7,28.33,convex,1.5263,0.5057,0.5111,0.5095
45,46.51,53.45,52.87,2400,42.5,29.55,convex,1.5538,0.5149,0.5202,0.5187
46,47.51,55.10,52.61,2400,43.1,28.04,convex,1.4988,0.4988,0.5008,0.4992
47,48.51,54.55,52.49,2400,41.5,27.40,convex,1.4713,0.4896,0.4916,0.4901
48,49.51,54.55,52.36,2400,40.9,27.23,convex,1.4438,0.4805,0.4825,0.4809
49,50.51,54.55,52.24,2400,40.5,24.88,convex,1.4163,0.4713,0.4733,0.4717
50,51.51,54.55,52.11,2400,39.3,26.97,convex,1.3888,0.4622,0.4641,0.4625
51,52.51,54.00,52.11,2400,38.7,29.35,convex,1.3888,0.4622,0.4641,0.4625
52,53.51,54.00,52.11,2400,39.1,24.16,convex,1.3888,0.4622,0.4641,0.4625
53,54.51,54.00,52.11,2400,38.5,28.55,convex,1.3888,0.4622,0.4641,0.4625
54,55.51,53.45,52.24,2400,38.9,24.66,convex,1.4163,0.4713,0.4733,0.4717
55,56.51,54.00,52.24,2400,39.4,28.22,convex,1.4163,0.4713,0.4733,0.4717
56,57.51,54.00,52.24,2400,39.7,29.74,convex,1.4163,0.4713,0.4733,0.4717
57,58.51,54.55,52.11,2400,39.5,20.99,convex,1.3888,0.4622,0.4641,0.4625
58,59.51,54.00,52.11,2400,38.4,28.71,convex,1.3888,0.4622,0.4641,0.4625
59,60.51,54.00,52.11,2400,38.9,28.99,convex,1.3888,0.4622,0.4641,0.4625
60,61.51,55.65,51.73,2400,38.9,26.86,convex,1.3063,0.4347,0.4366,0.4350
61,62.51,55.65,51.36,2400,36.9,28.61,convex,1.2238,0.4071,0.4091,0.4076
62,63.51,54.00,51.36,2400,34.7,25.75,convex,1.2238,0.4071,0.4091,0.4076
63,64.51,53.45,51.48,2400,34.6,23.30,convex,1.2513,0.4163,0.4183,0.4167
64,65.51,54.00,51.48,2400,35.4,27.32,convex,1.2513,0.4163,0.4183,0.4167
65,66.51,54.00,51.48,2400,35.7,27.32,convex,1.2513,0.4163,0.4183,0.4167
66,67.51,54.00,51.48,2400,35.7,23.00,convex,1.2513,0.4163,0.4183,0.4167
67,68.51,54.00,51.48,2400,35.2,24.35,convex,1.2513,0.4163,0.4183,0.4167
68,69.51,52.35,51.86,2400,35.2,20.33,convex,1.3338,0.4438,0.4457,0.4442
69,70.51,54.00,51.86,2400,37.1,22.87,convex,1.3338,0.4438,0.4457,0.4442
70,71.51,53.45,51.98,2400,37.0,24.96,convex,1.3613,0.4530,0.4549,0.4534
71,72.51,54.00,51.98,2400,38.2,25.83,convex,1.3613,0.4530,0.4549,0.4534
72,73.51,53.45,52.11,2400,38.3,27.43,convex,1.3888,0.4621,0.4641,0.4625
73,74.51,54.00,52.11,2400,38.8,27.07,convex,1.3888,0.4621,0.4641,0.4625
74,75.51,54.00,52.11,2400,38.9,24.91,convex,1.3888,0.4621,0.4641,0.4625
75,76.52,54.00,52.11,2400,38.9,28.33,convex,1.3888,0.4621,0.4641,0.4625
76,77.52,54.00,52.11,2400,38.9,26.06,convex,1.3888,0.4621,0.4641,0.4625
77,78.52,54.55,51.98,2400,38.9,28.60,convex,1.3613,0.4530,0.4549,0.4534
78,79.52,54.00,51.98,2400,38.2,25.53,convex,1.3613,0.4530,0.4549,0.4534
79,80.52,54.00,51.98,2400,38.2,22.38,convex,1.3613,0.4530,0.4549,0.4534
80,81.52,54.00,51.98,2400,37.9,29.01,convex,1.3613,0.4530,0.4549,0.4534
81,82.52,54.00,51.98,2400,38.4,27.58,convex,1.3613,0.4530,0.4549,0.4534
82,83.52,54.00,51.98,2400,38.2,22.79,convex,1.3613,0.4530,0.4549,0.4534
