step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,59.49,2400,0.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,53.45,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,54.55,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,54.00,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,54.55,59.49,2400,75.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,55.10,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,55.10,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,55.65,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,55.65,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,55.65,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,56.20,59.49,2400,75.5,0.02,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,55.65,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,55.65,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,56.75,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,57.30,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,54.55,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,56.75,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,56.20,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
18,18.00,56.75,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
19,19.00,55.65,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
20,20.00,56.20,59.49,2400,75.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.00,56.75,59.49,2400,75.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
22,22.00,56.75,59.49,2400,75.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
23,23.00,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
24,24.00,56.20,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
25,25.00,56.20,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
26,26.00,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
27,27.00,56.75,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
28,28.00,57.30,59.49,2400,75.7,0.02,equal,3.0000,1.0000,1.0000,1.0000
29,29.00,56.75,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
30,30.00,56.75,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
31,31.00,57.30,59.49,2400,75.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
33,33.01,56.75,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
34,34.01,57.30,59.49,2400,75.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
35,35.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
36,36.01,57.30,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
37,37.01,56.75,59.49,2400,75.6,0.02,equal,3.0000,1.0000,1.0000,1.0000
38,38.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
39,39.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
40,40.01,56.75,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
41,41.01,57.30,59.49,2400,75.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
42,42.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
43,43.01,57.30,59.49,2400,75.5,0.02,equal,3.0000,1.0000,1.0000,1.0000
44,44.01,57.85,59.49,2400,75.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
45,45.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
46,46.01,57.30,59.49,2400,75.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
47,47.01,57.30,59.49,2400,75.2,0.03,equal,3.0000,1.0000,1.0000,1.0000
48,48.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
49,49.01,58.40,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
50,50.01,57.85,59.49,2400,75.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
52,52.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
53,53.01,57.30,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
54,54.01,58.95,59.49,2400,75.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
55,55.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
56,56.01,57.85,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
57,57.01,58.40,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
58,58.01,58.95,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
59,59.01,58.40,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
60,60.01,57.85,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
61,61.01,58.40,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
62,62.01,58.40,59.49,2400,75.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
63,63.01,58.40,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
64,64.01,58.40,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
65,65.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
66,66.01,58.40,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
67,67.01,57.85,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
68,68.01,58.95,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
69,69.01,58.40,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
70,70.01,58.95,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
71,71.01,58.40,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
72,72.01,58.40,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
73,73.01,58.95,59.49,2400,75.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
74,74.01,59.50,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
75,75.01,58.95,59.49,2400,75.9,0.02,equal,3.0000,1.0000,1.0000,1.0000
76,76.01,59.50,59.49,2400,75.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
77,77.01,58.95,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
78,78.01,58.95,59.49,2400,75.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
79,79.01,58.95,59.49,2400,75.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
80,80.01,57.85,59.49,2400,75.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
