step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,100.0,0.11,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,54.55,53.62,2400,47.9,0.06,matched,1.7188,0.5729,0.5729,0.5729
2,2.00,53.45,53.50,2400,45.8,0.06,matched,1.6913,0.5638,0.5638,0.5638
3,3.00,54.00,53.37,2400,45.2,0.06,matched,1.6638,0.5546,0.5546,0.5546
4,4.00,54.55,53.24,2400,44.3,0.06,matched,1.6363,0.5454,0.5454,0.5454
5,5.00,54.00,53.24,2400,43.7,0.06,matched,1.6363,0.5454,0.5454,0.5454
6,6.00,54.00,53.12,2400,43.8,0.08,matched,1.6088,0.5363,0.5363,0.5363
7,7.00,54.00,53.12,2400,42.9,0.06,matched,1.6088,0.5363,0.5363,0.5363
8,8.00,54.00,53.12,2400,43.2,0.06,matched,1.6088,0.5363,0.5363,0.5363
9,9.00,53.45,53.12,2400,43.4,0.06,matched,1.6088,0.5363,0.5363,0.5363
10,10.00,53.45,53.12,2400,43.0,0.06,matched,1.6088,0.5363,0.5363,0.5363
11,11.00,54.00,52.99,2400,43.0,0.10,matched,1.5813,0.5271,0.5271,0.5271
12,12.00,53.45,52.87,2400,42.4,0.13,matched,1.5538,0.5179,0.5179,0.5179
13,13.00,53.45,52.87,2400,41.9,0.06,matched,1.5538,0.5179,0.5179,0.5179
14,14.00,53.45,52.74,2400,41.5,0.06,matched,1.5263,0.5088,0.5088,0.5088
15,15.00,54.00,52.74,2400,40.9,0.06,matched,1.5263,0.5088,0.5088,0.5088
16,16.00,52.90,52.74,2400,40.9,0.06,matched,1.5263,0.5088,0.5088,0.5088
17,17.00,52.90,52.87,2400,40.9,0.11,matched,1.5538,0.5179,0.5179,0.5179
18,18.00,54.55,52.99,2400,41.6,0.13,matched,1.5813,0.5271,0.5271,0.5271
19,19.00,54.00,52.87,2400,42.4,0.06,matched,1.5538,0.5179,0.5179,0.5179
20,20.00,54.00,52.87,2400,41.6,0.07,matched,1.5538,0.5179,0.5179,0.5179
21,21.00,54.55,52.74,2400,41.8,0.05,matched,1.5263,0.5088,0.5088,0.5088
22,22.00,54.00,52.74,2400,41.0,0.06,matched,1.5263,0.5088,0.5088,0.5088
23,23.00,54.00,52.74,2400,40.9,0.05,matched,1.5263,0.5088,0.5088,0.5088
24,24.00,54.00,52.74,2400,41.0,0.05,matched,1.5263,0.5088,0.5088,0.5088
25,25.00,54.00,52.74,2400,41.0,0.06,matched,1.5263,0.5088,0.5088,0.5088
26,26.00,54.55,52.74,2400,41.0,0.06,matched,1.5263,0.5088,0.5088,0.5088
27,27.00,54.55,52.74,2400,40.7,0.05,matched,1.5263,0.5088,0.5088,0.5088
28,28.00,54.00,52.61,2400,40.9,0.06,matched,1.4988,0.4996,0.4996,0.4996
29,29.00,54.00,52.61,2400,40.1,0.06,matched,1.4988,0.4996,0.4996,0.4996
30,30.00,54.00,52.49,2400,40.3,0.07,matched,1.4713,0.4904,0.4904,0.4904
31,31.00,52.90,52.49,2400,39.7,0.06,matched,1.4713,0.4904,0.4904,0.4904
32,32.00,54.55,52.49,2400,39.8,0.12,matched,1.4713,0.4904,0.4904,0.4904
33,33.00,54.55,52.36,2400,39.6,0.06,matched,1.4438,0.4813,0.4813,0.4813
34,34.00,53.45,52.36,2400,38.9,0.05,matched,1.4438,0.4813,0.4813,0.4813
35,35.00,54.00,52.61,2400,39.2,0.05,matched,1.4988,0.4996,0.4996,0.4996
36,36.00,54.55,52.49,2400,40.0,0.05,matched,1.4713,0.4904,0.4904,0.4904
37,37.00,54.55,52.36,2400,39.7,0.06,matched,1.4438,0.4813,0.4813,0.4813
38,38.00,54.00,52.24,2400,38.8,0.09,matched,1.4163,0.4721,0.4721,0.4721
39,39.00,54.00,52.24,2400,38.3,0.06,matched,1.4163,0.4721,0.4721,0.4721
40,40.00,54.00,52.11,2400,38.0,0.06,matched,1.3888,0.4629,0.4629,0.4629
41,41.00,53.45,52.11,2400,37.7,0.05,matched,1.3888,0.4629,0.4629,0.4629
42,42.00,54.00,52.11,2400,37.3,0.05,matched,1.3888,0.4629,0.4629,0.4629
43,43.00,52.90,52.11,2400,37.3,0.08,matched,1.3888,0.4629,0.4629,0.4629
44,44.00,53.45,51.98,2400,37.4,0.06,matched,1.3613,0.4538,0.4538,0.4538
45,45.00,53.45,51.98,2400,36.8,0.06,matched,1.3613,0.4538,0.4538,0.4538
46,46.00,54.00,51.98,2400,36.7,0.06,matched,1.3613,0.4538,0.4538,0.4538
47,47.00,53.45,51.86,2400,36.7,0.06,matched,1.3338,0.4446,0.4446,0.4446
48,48.00,53.45,51.61,2400,36.2,0.06,matched,1.2788,0.4263,0.4263,0.4263
49,49.00,53.45,51.61,2400,34.6,0.05,matched,1.2788,0.4263,0.4263,0.4263
50,50.00,53.45,51.61,2400,34.7,0.06,matched,1.2788,0.4263,0.4263,0.4263
51,51.00,52.90,51.73,2400,34.7,0.07,matched,1.3063,0.4354,0.4354,0.4354
52,52.00,53.45,51.86,2400,35.2,0.06,matched,1.3338,0.4446,0.4446,0.4446
53,53.00,54.00,51.86,2400,35.8,0.05,matched,1.3338,0.4446,0.4446,0.4446
54,54.00,54.00,51.86,2400,36.0,0.05,matched,1.3338,0.4446,0.4446,0.4446
55,55.00,52.90,51.98,2400,36.0,0.06,matched,1.3613,0.4538,0.4538,0.4538
56,56.00,53.45,51.98,2400,36.7,0.05,matched,1.3613,0.4538,0.4538,0.4538
57,57.00,53.45,52.11,2400,36.7,0.05,matched,1.3888,0.4629,0.4629,0.4629
58,58.01,53.45,52.11,2400,37.4,0.07,matched,1.3888,0.4629,0.4629,0.4629
59,59.01,53.45,52.24,2400,37.3,0.05,matched,1.4163,0.4721,0.4721,0.4721
60,60.01,54.00,52.36,2400,38.5,0.06,matched,1.4438,0.4813,0.4813,0.4813
61,61.01,53.45,52.49,2400,38.8,0.06,matched,1.4713,0.4904,0.4904,0.4904
62,62.01,53.45,52.49,2400,39.4,0.10,matched,1.4713,0.4904,0.4904,0.4904
63,63.01,54.00,52.36,2400,39.3,0.06,matched,1.4438,0.4813,0.4813,0.4813
64,64.01,52.90,52.61,2400,38.9,0.06,matched,1.4988,0.4996,0.4996,0.4996
65,65.01,52.35,52.61,2400,39.9,0.06,matched,1.4988,0.4996,0.4996,0.4996
66,66.01,54.00,52.74,2400,40.3,0.05,matched,1.5263,0.5088,0.5088,0.5088
67,67.01,54.00,52.61,2400,40.8,0.13,matched,1.4988,0.4996,0.4996,0.4996
68,68.01,53.45,52.61,2400,40.0,0.06,matched,1.4988,0.4996,0.4996,0.4996
69,69.01,54.00,52.49,2400,39.9,0.07,matched,1.4713,0.4904,0.4904,0.4904
70,70.01,53.45,52.49,2400,39.4,0.06,matched,1.4713,0.4904,0.4904,0.4904
71,71.01,53.45,52.36,2400,39.4,0.06,matched,1.4438,0.4813,0.4813,0.4813
72,72.01,52.35,52.24,2400,38.7,0.06,matched,1.4163,0.4721,0.4721,0.4721
73,73.01,54.00,52.49,2400,37.9,0.06,matched,1.4713,0.4904,0.4904,0.4904
74,74.01,54.00,52.49,2400,39.6,0.05,matched,1.4713,0.4904,0.4904,0.4904
75,75.01,54.00,52.49,2400,39.3,0.06,matched,1.4713,0.4904,0.4904,0.4904
76,76.01,54.55,52.36,2400,39.4,0.05,matched,1.4438,0.4813,0.4813,0.4813
77,77.01,53.45,52.36,2400,38.8,0.05,matched,1.4438,0.4813,0.4813,0.4813
78,78.01,54.00,52.24,2400,38.8,0.05,matched,1.4163,0.4721,0.4721,0.4721
79,79.01,52.90,52.11,2400,37.9,0.06,matched,1.3888,0.4629,0.4629,0.4629
80,80.01,53.45,52.11,2400,37.3,0.05,matched,1.3888,0.4629,0.4629,0.4629
