step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,54.00,54.00,2400,47.4,0.13,admission,1.8013,0.6004,0.6004,0.6004
2,2.00,53.45,54.13,2400,46.1,0.10,admission,1.8288,0.6096,0.6096,0.6096
3,3.00,52.35,54.50,2400,41.9,0.06,admission,1.9113,0.6371,0.6371,0.6371
4,4.00,53.45,54.63,2400,42.4,0.07,admission,1.9388,0.6463,0.6463,0.6463
5,5.00,54.00,54.63,2400,50.7,0.08,admission,1.9388,0.6463,0.6463,0.6463
6,6.00,54.00,54.63,2400,50.9,0.08,admission,1.9388,0.6463,0.6463,0.6463
7,7.00,54.00,54.63,2400,51.0,0.09,admission,1.9388,0.6463,0.6463,0.6463
8,8.00,54.55,54.50,2400,50.9,0.08,admission,1.9113,0.6371,0.6371,0.6371
9,9.00,54.00,54.50,2400,49.9,0.15,admission,1.9113,0.6371,0.6371,0.6371
10,10.00,52.90,54.76,2400,49.9,0.06,admission,1.9663,0.6554,0.6554,0.6554
11,11.00,55.10,54.50,2400,51.4,0.08,admission,1.9113,0.6371,0.6371,0.6371
12,12.00,55.10,54.25,2400,49.9,0.10,admission,1.8563,0.6188,0.6188,0.6188
13,13.00,54.55,54.13,2400,48.9,0.06,admission,1.8288,0.6096,0.6096,0.6096
14,14.00,54.00,54.13,2400,47.9,0.07,admission,1.8288,0.6096,0.6096,0.6096
15,15.00,55.10,53.87,2400,47.9,0.06,admission,1.7738,0.5913,0.5913,0.5913
16,16.00,52.90,54.13,2400,46.8,0.10,admission,1.8288,0.6096,0.6096,0.6096
17,17.00,54.55,54.00,2400,48.0,0.10,admission,1.8013,0.6004,0.6004,0.6004
18,18.00,54.55,53.87,2400,47.3,0.09,admission,1.7738,0.5913,0.5913,0.5913
19,19.00,54.55,53.75,2400,46.8,0.16,admission,1.7463,0.5821,0.5821,0.5821
20,20.00,53.45,53.87,2400,46.1,0.07,admission,1.7738,0.5913,0.5913,0.5913
21,21.00,54.55,53.75,2400,46.7,0.07,admission,1.7463,0.5821,0.5821,0.5821
22,22.00,54.00,53.75,2400,46.2,0.07,admission,1.7463,0.5821,0.5821,0.5821
23,23.00,54.55,53.62,2400,46.2,0.06,admission,1.7188,0.5729,0.5729,0.5729
24,24.00,54.00,53.62,2400,45.6,0.07,admission,1.7188,0.5729,0.5729,0.5729
25,25.00,54.00,53.62,2400,45.3,0.08,admission,1.7188,0.5729,0.5729,0.5729
26,26.00,54.55,53.50,2400,45.4,0.12,admission,1.6913,0.5638,0.5638,0.5638
27,27.00,54.55,53.37,2400,44.7,0.08,admission,1.6638,0.5546,0.5546,0.5546
28,28.00,54.55,53.24,2400,44.1,0.06,admission,1.6363,0.5454,0.5454,0.5454
29,29.00,54.00,53.24,2400,43.5,0.10,admission,1.6363,0.5454,0.5454,0.5454
30,30.00,54.55,53.12,2400,43.2,0.18,admission,1.6088,0.5363,0.5363,0.5363
31,31.00,54.00,53.12,2400,42.8,0.10,admission,1.6088,0.5363,0.5363,0.5363
32,32.00,54.00,53.12,2400,42.6,0.11,admission,1.6088,0.5363,0.5363,0.5363
33,33.00,54.55,52.99,2400,42.9,0.11,admission,1.5813,0.5271,0.5271,0.5271
34,34.00,54.00,52.99,2400,42.3,0.28,admission,1.5813,0.5271,0.5271,0.5271
35,35.00,53.45,53.12,2400,42.2,0.11,admission,1.6088,0.5363,0.5363,0.5363
36,36.00,55.10,52.87,2400,43.0,0.09,admission,1.5538,0.5179,0.5179,0.5179
37,37.00,54.55,52.74,2400,41.5,0.25,admission,1.5263,0.5088,0.5088,0.5088
38,38.00,54.55,52.61,2400,40.9,0.16,admission,1.4988,0.4996,0.4996,0.4996
39,39.00,53.45,52.74,2400,40.3,0.19,admission,1.5263,0.5088,0.5088,0.5088
40,40.00,54.55,52.61,2400,41.0,0.14,admission,1.4988,0.4996,0.4996,0.4996
41,41.00,54.00,52.61,2400,40.3,0.08,admission,1.4988,0.4996,0.4996,0.4996
42,42.00,54.00,52.61,2400,40.6,0.24,admission,1.4988,0.4996,0.4996,0.4996
43,43.00,54.00,52.61,2400,40.2,0.25,admission,1.4988,0.4996,0.4996,0.4996
44,44.01,54.00,52.61,2400,40.4,0.12,admission,1.4988,0.4996,0.4996,0.4996
45,45.01,52.90,52.87,2400,40.4,0.28,admission,1.5538,0.5179,0.5179,0.5179
46,46.01,54.00,52.87,2400,41.6,0.09,admission,1.5538,0.5179,0.5179,0.5179
47,47.01,54.55,52.74,2400,41.5,0.09,admission,1.5263,0.5088,0.5088,0.5088
48,48.01,54.00,52.74,2400,40.9,0.28,admission,1.5263,0.5088,0.5088,0.5088
49,49.01,54.00,52.74,2400,40.9,0.08,admission,1.5263,0.5088,0.5088,0.5088
50,50.01,54.55,52.61,2400,40.9,0.13,admission,1.4988,0.4996,0.4996,0.4996
51,51.01,54.00,52.61,2400,40.1,0.15,admission,1.4988,0.4996,0.4996,0.4996
52,52.01,55.10,52.36,2400,40.4,0.08,admission,1.4438,0.4813,0.4813,0.4813
53,53.01,54.00,52.36,2400,38.8,0.10,admission,1.4438,0.4813,0.4813,0.4813
54,54.01,54.00,52.36,2400,38.8,0.28,admission,1.4438,0.4813,0.4813,0.4813
55,55.01,53.45,52.49,2400,38.9,0.10,admission,1.4713,0.4904,0.4904,0.4904
56,56.01,54.55,52.36,2400,39.8,0.16,admission,1.4438,0.4813,0.4813,0.4813
57,57.01,54.00,52.36,2400,38.9,0.08,admission,1.4438,0.4813,0.4813,0.4813
58,58.01,54.00,52.36,2400,38.8,0.13,admission,1.4438,0.4813,0.4813,0.4813
59,59.01,54.00,52.36,2400,39.1,0.09,admission,1.4438,0.4813,0.4813,0.4813
60,60.01,54.00,52.36,2400,39.0,0.07,admission,1.4438,0.4813,0.4813,0.4813
61,61.01,54.00,52.36,2400,38.9,0.13,admission,1.4438,0.4813,0.4813,0.4813
62,62.01,53.45,52.49,2400,38.8,0.06,admission,1.4713,0.4904,0.4904,0.4904
63,63.01,53.45,52.61,2400,39.9,0.11,admission,1.4988,0.4996,0.4996,0.4996
64,64.01,53.45,52.74,2400,40.3,0.14,admission,1.5263,0.5088,0.5088,0.5088
65,65.01,54.00,52.74,2400,40.9,0.20,admission,1.5263,0.5088,0.5088,0.5088
66,66.01,54.55,52.61,2400,40.9,0.10,admission,1.4988,0.4996,0.4996,0.4996
67,67.01,55.10,52.36,2400,40.1,0.11,admission,1.4438,0.4813,0.4813,0.4813
68,68.01,54.00,52.36,2400,38.9,0.18,admission,1.4438,0.4813,0.4813,0.4813
69,69.01,54.00,52.36,2400,39.1,0.12,admission,1.4438,0.4813,0.4813,0.4813
70,70.01,54.00,52.36,2400,39.2,0.17,admission,1.4438,0.4813,0.4813,0.4813
71,71.01,54.00,52.36,2400,39.2,0.09,admission,1.4438,0.4813,0.4813,0.4813
72,72.01,54.00,52.36,2400,39.2,0.11,admission,1.4438,0.4813,0.4813,0.4813
73,73.01,54.00,52.36,2400,39.3,0.06,admission,1.4438,0.4813,0.4813,0.4813
74,74.01,55.10,52.11,2400,39.1,0.19,admission,1.3888,0.4629,0.4629,0.4629
75,75.01,53.45,52.24,2400,37.7,0.11,admission,1.4163,0.4721,0.4721,0.4721
76,76.01,54.00,52.24,2400,38.7,0.07,admission,1.4163,0.4721,0.4721,0.4721
77,77.01,54.00,52.24,2400,38.6,0.08,admission,1.4163,0.4721,0.4721,0.4721
78,78.01,54.55,52.11,2400,38.5,0.07,admission,1.3888,0.4629,0.4629,0.4629
79,79.01,54.00,52.11,2400,37.8,0.07,admission,1.3888,0.4629,0.4629,0.4629
80,80.01,54.00,52.11,2400,37.8,0.11,admission,1.3888,0.4629,0.4629,0.4629
81,81.01,54.00,52.11,2400,37.8,0.22,admission,1.3888,0.4629,0.4629,0.4629
82,82.01,55.10,51.86,2400,37.8,0.08,admission,1.3338,0.4446,0.4446,0.4446
83,83.01,54.55,51.73,2400,36.6,0.06,admission,1.3063,0.4354,0.4354,0.4354
84,84.01,53.45,51.86,2400,35.7,0.08,admission,1.3338,0.4446,0.4446,0.4446
85,85.01,54.00,51.86,2400,36.5,0.18,admission,1.3338,0.4446,0.4446,0.4446
86,86.01,54.00,51.86,2400,36.2,0.07,admission,1.3338,0.4446,0.4446,0.4446
87,87.01,53.45,51.98,2400,36.5,0.06,admission,1.3613,0.4538,0.4538,0.4538
88,88.01,53.45,52.11,2400,37.1,0.06,admission,1.3888,0.4629,0.4629,0.4629
89,89.01,54.55,51.98,2400,37.8,0.06,admission,1.3613,0.4538,0.4538,0.4538
90,90.01,54.00,51.98,2400,36.9,0.10,admission,1.3613,0.4538,0.4538,0.4538
91,91.01,54.00,51.98,2400,36.9,0.06,admission,1.3613,0.4538,0.4538,0.4538
92,92.01,54.00,51.98,2400,37.1,0.06,admission,1.3613,0.4538,0.4538,0.4538
93,93.01,54.00,51.98,2400,37.2,0.06,admission,1.3613,0.4538,0.4538,0.4538
94,94.01,54.55,51.86,2400,36.9,0.10,admission,1.3338,0.4446,0.4446,0.4446
95,95.01,52.90,52.11,2400,36.6,0.07,admission,1.3888,0.4629,0.4629,0.4629
96,96.01,54.00,52.11,2400,37.9,0.07,admission,1.3888,0.4629,0.4629,0.4629
97,97.01,53.45,52.24,2400,37.7,0.08,admission,1.4163,0.4721,0.4721,0.4721
98,98.01,53.45,52.36,2400,38.4,0.08,admission,1.4438,0.4813,0.4813,0.4813
99,99.01,54.55,52.24,2400,39.0,0.12,admission,1.4163,0.4721,0.4721,0.4721
100,100.01,55.10,51.98,2400,38.6,0.06,admission,1.3613,0.4538,0.4538,0.4538
101,101.01,53.45,52.11,2400,37.1,0.06,admission,1.3888,0.4629,0.4629,0.4629
102,102.01,54.00,52.11,2400,37.8,0.36,admission,1.3888,0.4629,0.4629,0.4629
103,103.01,54.00,52.11,2400,38.1,0.06,admission,1.3888,0.4629,0.4629,0.4629
104,104.01,54.55,51.98,2400,37.9,0.10,admission,1.3613,0.4538,0.4538,0.4538
105,105.01,54.00,51.98,2400,36.9,0.12,admission,1.3613,0.4538,0.4538,0.4538
106,106.01,54.00,51.98,2400,37.3,0.20,admission,1.3613,0.4538,0.4538,0.4538
107,107.01,53.45,52.11,2400,37.2,0.07,admission,1.3888,0.4629,0.4629,0.4629
108,108.01,52.90,52.36,2400,37.9,0.08,admission,1.4438,0.4813,0.4813,0.4813
109,109.01,54.55,52.24,2400,39.2,0.08,admission,1.4163,0.4721,0.4721,0.4721
110,110.01,53.45,52.36,2400,38.5,0.13,admission,1.4438,0.4813,0.4813,0.4813
111,111.01,54.55,52.24,2400,39.6,0.07,admission,1.4163,0.4721,0.4721,0.4721
112,112.01,53.45,52.36,2400,38.8,0.06,admission,1.4438,0.4813,0.4813,0.4813
