step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,0.0,2282.19,convex,1.8013,0.5974,0.6028,0.6012
1,2.28,55.10,53.75,2400,96.8,54.03,convex,1.7463,0.5790,0.5844,0.5828
2,3.28,55.10,53.50,2400,49.8,17.79,convex,1.6913,0.5607,0.5661,0.5645
3,4.28,55.10,53.24,2400,45.6,20.48,convex,1.6363,0.5424,0.5477,0.5462
4,5.28,55.10,52.99,2400,44.2,18.74,convex,1.5813,0.5240,0.5295,0.5279
5,6.28,55.10,52.74,2400,43.0,16.83,convex,1.5263,0.5058,0.5111,0.5095
6,7.28,54.55,52.61,2400,41.5,15.87,convex,1.4988,0.4988,0.5007,0.4992
7,8.28,55.10,52.36,2400,40.6,16.26,convex,1.4438,0.4805,0.4825,0.4809
8,9.28,55.10,52.11,2400,39.2,15.79,convex,1.3888,0.4621,0.4641,0.4626
9,10.28,54.00,52.11,2400,37.8,15.52,convex,1.3888,0.4621,0.4641,0.4626
10,11.28,54.55,51.98,2400,37.9,15.72,convex,1.3613,0.4530,0.4550,0.4534
11,12.28,54.00,51.98,2400,37.1,71.06,convex,1.3613,0.4530,0.4550,0.4534
12,13.28,54.55,51.86,2400,38.4,15.99,convex,1.3338,0.4438,0.4458,0.4442
13,14.28,53.45,51.98,2400,36.6,15.63,convex,1.3613,0.4530,0.4550,0.4534
14,15.28,54.55,51.86,2400,37.3,15.83,convex,1.3338,0.4438,0.4458,0.4442
15,16.28,54.00,51.86,2400,36.5,16.65,convex,1.3338,0.4438,0.4458,0.4442
16,17.28,54.55,51.73,2400,36.6,15.82,convex,1.3063,0.4347,0.4366,0.4351
17,18.28,55.65,51.36,2400,35.9,16.69,convex,1.2238,0.4072,0.4091,0.4075
18,19.28,54.55,51.23,2400,34.0,16.13,convex,1.1963,0.3980,0.4000,0.3984
19,20.28,54.55,51.10,2400,33.2,15.84,convex,1.1688,0.3888,0.3908,0.3892
20,21.29,54.55,50.98,2400,32.4,15.70,convex,1.1413,0.3796,0.3816,0.3801
21,22.29,54.00,50.98,2400,31.9,15.79,convex,1.1413,0.3796,0.3816,0.3801
22,23.29,54.55,50.85,2400,31.9,15.68,convex,1.1138,0.3705,0.3724,0.3709
23,24.29,54.00,50.85,2400,31.1,16.13,convex,1.1138,0.3705,0.3724,0.3709
24,25.29,54.00,50.85,2400,31.1,15.77,convex,1.1138,0.3705,0.3724,0.3709
25,26.29,54.00,50.85,2400,31.3,15.51,convex,1.1138,0.3705,0.3724,0.3709
26,27.29,54.00,50.85,2400,31.1,16.08,convex,1.1138,0.3705,0.3724,0.3709
27,28.29,54.00,50.85,2400,31.3,15.91,convex,1.1138,0.3705,0.3724,0.3709
28,29.29,54.00,50.85,2400,31.0,15.57,convex,1.1138,0.3705,0.3724,0.3709
29,30.29,54.55,50.73,2400,31.2,15.77,convex,1.0863,0.3613,0.3633,0.3617
30,31.29,53.45,50.85,2400,30.4,16.07,convex,1.1138,0.3705,0.3724,0.3709
31,32.29,53.45,50.98,2400,31.2,16.14,convex,1.1413,0.3796,0.3816,0.3801
32,33.29,54.00,50.98,2400,31.9,15.68,convex,1.1413,0.3796,0.3816,0.3801
33,34.29,53.45,51.10,2400,31.9,16.40,convex,1.1688,0.3888,0.3908,0.3892
34,35.29,53.45,51.23,2400,32.5,15.92,convex,1.1963,0.3980,0.4000,0.3984
35,36.29,54.00,51.23,2400,33.3,16.06,convex,1.1963,0.3980,0.4000,0.3984
36,37.29,54.55,51.10,2400,33.3,15.84,convex,1.1688,0.3888,0.3908,0.3892
37,38.29,52.90,51.36,2400,32.6,15.68,convex,1.2238,0.4071,0.4091,0.4076
38,39.29,54.00,51.36,2400,33.9,15.93,convex,1.2238,0.4071,0.4091,0.4076
39,40.29,54.00,51.36,2400,34.0,16.47,convex,1.2238,0.4071,0.4091,0.4076
40,41.29,52.90,51.61,2400,34.2,15.89,convex,1.2788,0.4255,0.4274,0.4259
41,42.29,54.00,51.61,2400,35.1,16.21,convex,1.2788,0.4255,0.4274,0.4259
42,43.29,52.35,51.98,2400,35.3,16.33,convex,1.3613,0.4529,0.4550,0.4534
43,44.29,54.00,51.98,2400,37.3,15.85,convex,1.3613,0.4529,0.4550,0.4534
44,45.29,54.00,51.98,2400,37.3,16.08,convex,1.3613,0.4529,0.4550,0.4534
45,46.29,54.00,51.98,2400,37.4,15.90,convex,1.3613,0.4529,0.4550,0.4534
46,47.29,54.55,51.86,2400,37.3,15.76,convex,1.3338,0.4438,0.4458,0.4442
47,48.29,54.00,51.86,2400,36.6,16.17,convex,1.3338,0.4438,0.4458,0.4442
48,49.29,55.10,51.61,2400,36.5,16.01,convex,1.2788,0.4255,0.4274,0.4259
49,50.29,54.55,51.48,2400,35.4,16.62,convex,1.2513,0.4163,0.4183,0.4167
50,51.29,54.55,51.36,2400,34.9,15.61,convex,1.2238,0.4071,0.4091,0.4076
51,52.29,54.55,51.23,2400,33.9,15.89,convex,1.1963,0.3980,0.3999,0.3984
52,53.29,54.00,51.23,2400,33.3,15.86,convex,1.1963,0.3980,0.3999,0.3984
53,54.29,54.00,51.23,2400,33.3,15.94,convex,1.1963,0.3980,0.3999,0.3984
54,55.29,54.00,51.23,2400,33.3,15.85,convex,1.1963,0.3980,0.3999,0.3984
55,56.29,54.00,51.23,2400,33.3,15.86,convex,1.1963,0.3980,0.3999,0.3984
56,57.29,54.00,51.23,2400,33.3,15.88,convex,1.1963,0.3980,0.3999,0.3984
57,58.29,53.45,51.36,2400,33.2,15.80,convex,1.2238,0.4071,0.4091,0.4076
58,59.29,54.00,51.36,2400,34.2,16.76,convex,1.2238,0.4071,0.4091,0.4076
59,60.29,52.90,51.61,2400,33.8,16.58,convex,1.2788,0.4255,0.4275,0.4259
60,61.29,54.00,51.61,2400,35.4,16.73,convex,1.2788,0.4255,0.4275,0.4259
61,62.29,54.00,51.61,2400,35.0,17.31,convex,1.2788,0.4255,0.4275,0.4259
62,63.29,53.45,51.73,2400,35.1,17.71,convex,1.3063,0.4346,0.4366,0.4350
63,64.29,54.00,51.73,2400,36.0,16.54,convex,1.3063,0.4346,0.4366,0.4350
64,65.29,54.00,51.73,2400,35.7,16.52,convex,1.3063,0.4346,0.4366,0.4350
65,66.29,54.00,51.73,2400,35.7,16.50,convex,1.3063,0.4346,0.4366,0.4350
66,67.29,55.10,51.48,2400,35.7,17.75,convex,1.2513,0.4163,0.4183,0.4167
67,68.29,54.55,51.36,2400,34.6,17.26,convex,1.2238,0.4071,0.4091,0.4076
68,69.29,53.45,51.48,2400,33.9,16.49,convex,1.2513,0.4163,0.4183,0.4167
69,70.29,53.45,51.61,2400,34.6,17.40,convex,1.2788,0.4255,0.4274,0.4259
70,71.29,53.45,51.73,2400,35.1,17.22,convex,1.3063,0.4346,0.4366,0.4351
71,72.29,53.45,51.86,2400,35.7,16.70,convex,1.3338,0.4438,0.4458,0.4442
72,73.29,54.00,51.86,2400,36.7,17.93,convex,1.3338,0.4438,0.4458,0.4442
73,74.29,54.00,51.86,2400,36.5,16.48,convex,1.3338,0.4438,0.4458,0.4442
74,75.29,54.00,51.86,2400,36.4,17.13,convex,1.3338,0.4438,0.4458,0.4442
75,76.29,54.00,51.86,2400,36.6,17.45,convex,1.3338,0.4438,0.4458,0.4442
76,77.29,54.00,51.86,2400,36.3,16.70,convex,1.3338,0.4438,0.4458,0.4442
77,78.29,53.45,51.98,2400,36.6,17.61,convex,1.3613,0.4530,0.4550,0.4533
78,79.29,54.00,51.98,2400,37.2,16.70,convex,1.3613,0.4530,0.4550,0.4533
79,80.29,54.00,51.98,2400,37.2,16.67,convex,1.3613,0.4530,0.4550,0.4533
80,81.29,54.00,51.98,2400,36.9,16.72,convex,1.3613,0.4530,0.4550,0.4533
81,82.29,53.45,52.11,2400,37.0,16.77,convex,1.3888,0.4621,0.4641,0.4626
82,83.29,54.00,52.11,2400,37.8,16.61,convex,1.3888,0.4621,0.4641,0.4626
83,84.29,54.00,52.11,2400,37.8,17.06,convex,1.3888,0.4621,0.4641,0.4626
84,85.29,54.00,52.11,2400,37.9,16.75,convex,1.3888,0.4621,0.4641,0.4626
85,86.29,54.00,52.11,2400,37.8,16.68,convex,1.3888,0.4621,0.4641,0.4626
86,87.29,54.00,52.11,2400,37.8,16.67,convex,1.3888,0.4621,0.4641,0.4626
87,88.29,53.45,52.24,2400,37.7,16.94,convex,1.4163,0.4713,0.4733,0.4717
88,89.29,54.55,52.11,2400,38.4,16.76,convex,1.3888,0.4621,0.4641,0.4626
89,90.30,54.00,52.11,2400,37.9,17.50,convex,1.3888,0.4621,0.4641,0.4626
90,91.30,53.45,52.24,2400,37.7,17.58,convex,1.4163,0.4713,0.4733,0.4717
91,92.30,54.00,52.24,2400,38.6,17.86,convex,1.4163,0.4713,0.4733,0.4717
92,93.30,54.55,52.11,2400,38.4,17.56,convex,1.3888,0.4621,0.4641,0.4626
93,94.30,55.65,51.73,2400,37.8,17.00,convex,1.3063,0.4347,0.4366,0.4351
94,95.30,54.00,51.73,2400,35.7,17.09,convex,1.3063,0.4347,0.4366,0.4351
95,96.30,54.00,51.73,2400,35.7,81.61,convex,1.3063,0.4347,0.4366,0.4351
96,97.30,54.00,51.73,2400,38.2,17.77,convex,1.3063,0.4347,0.4366,0.4351
97,98.30,53.45,51.86,2400,35.9,16.78,convex,1.3338,0.4438,0.4458,0.4442
98,99.30,54.00,51.86,2400,36.5,17.81,convex,1.3338,0.4438,0.4458,0.4442
99,100.30,54.00,51.86,2400,36.6,18.25,convex,1.3338,0.4438,0.4458,0.4442
100,101.30,54.00,51.86,2400,36.2,16.95,convex,1.3338,0.4438,0.4458,0.4442
101,102.30,54.00,51.86,2400,36.4,17.76,convex,1.3338,0.4438,0.4458,0.4442
102,103.30,55.10,51.61,2400,36.2,16.98,convex,1.2788,0.4255,0.4274,0.4259
103,104.30,54.00,51.61,2400,35.0,17.71,convex,1.2788,0.4255,0.4274,0.4259
104,105.30,54.00,51.61,2400,35.0,17.84,convex,1.2788,0.4255,0.4274,0.4259
105,106.30,52.90,51.86,2400,35.1,18.00,convex,1.3338,0.4438,0.4458,0.4442
106,107.30,53.45,51.98,2400,36.2,17.73,convex,1.3613,0.4530,0.4550,0.4534
107,108.30,54.55,51.86,2400,37.1,18.27,convex,1.3338,0.4438,0.4458,0.4442
108,109.30,53.45,51.98,2400,36.0,16.64,convex,1.3613,0.4530,0.4550,0.4534
109,110.30,52.35,52.36,2400,37.2,17.05,convex,1.4438,0.4805,0.4825,0.4809
110,111.30,54.55,52.24,2400,38.9,17.80,convex,1.4163,0.4713,0.4733,0.4717
111,112.30,54.00,52.24,2400,38.2,18.08,convex,1.4163,0.4713,0.4733,0.4717
112,113.30,54.00,52.24,2400,38.3,16.98,convex,1.4163,0.4713,0.4733,0.4717
113,114.30,54.55,52.11,2400,38.3,18.24,convex,1.3888,0.4621,0.4641,0.4626
114,115.30,54.55,51.98,2400,37.4,17.87,convex,1.3613,0.4530,0.4550,0.4533
115,116.30,54.00,51.98,2400,36.8,17.93,convex,1.3613,0.4530,0.4550,0.4533
116,117.30,54.00,51.98,2400,36.9,17.75,convex,1.3613,0.4530,0.4550,0.4533
117,118.30,54.00,51.98,2400,37.1,17.77,convex,1.3613,0.4530,0.4550,0.4533
118,119.30,54.00,51.98,2400,36.9,16.95,convex,1.3613,0.4530,0.4550,0.4533
119,120.30,54.00,51.98,2400,36.9,17.43,convex,1.3613,0.4530,0.4550,0.4533
120,121.30,53.45,52.11,2400,36.9,16.84,convex,1.3888,0.4621,0.4641,0.4626
121,122.30,54.55,51.98,2400,37.6,16.65,convex,1.3613,0.4530,0.4550,0.4533
