step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.21,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,53.75,2400,47.4,0.07,matched,1.7463,0.5821,0.5821,0.5821
2,2.00,53.45,53.75,2400,45.2,0.12,matched,1.7463,0.5821,0.5821,0.5821
3,3.00,52.35,53.75,2400,41.2,0.10,matched,1.7463,0.5821,0.5821,0.5821
4,4.00,51.80,53.62,2400,38.8,0.16,matched,1.7188,0.5729,0.5729,0.5729
5,5.00,52.35,53.62,2400,45.2,0.08,matched,1.7188,0.5729,0.5729,0.5729
6,6.00,52.90,53.50,2400,45.1,0.06,matched,1.6913,0.5638,0.5638,0.5638
7,7.00,52.90,53.75,2400,44.4,0.08,matched,1.7463,0.5821,0.5821,0.5821
8,8.00,53.45,53.87,2400,46.2,0.07,matched,1.7738,0.5913,0.5913,0.5913
9,9.00,52.90,53.75,2400,46.6,0.07,matched,1.7463,0.5821,0.5821,0.5821
10,10.00,54.00,53.62,2400,46.2,0.08,matched,1.7188,0.5729,0.5729,0.5729
11,11.00,52.90,53.50,2400,45.3,0.07,matched,1.6913,0.5638,0.5638,0.5638
12,12.00,53.45,53.24,2400,44.6,0.08,matched,1.6363,0.5454,0.5454,0.5454
13,13.00,53.45,52.99,2400,43.1,0.07,matched,1.5813,0.5271,0.5271,0.5271
14,14.00,52.90,52.87,2400,41.9,0.07,matched,1.5538,0.5179,0.5179,0.5179
15,15.00,52.35,52.74,2400,41.1,0.06,matched,1.5263,0.5088,0.5088,0.5088
16,16.00,52.90,52.61,2400,40.5,0.11,matched,1.4988,0.4996,0.4996,0.4996
17,17.00,52.35,52.49,2400,39.9,0.06,matched,1.4713,0.4904,0.4904,0.4904
18,18.00,52.90,52.49,2400,39.2,0.08,matched,1.4713,0.4904,0.4904,0.4904
19,19.00,52.90,52.36,2400,39.3,0.07,matched,1.4438,0.4813,0.4813,0.4813
20,20.00,52.35,52.36,2400,38.4,0.12,matched,1.4438,0.4813,0.4813,0.4813
21,21.00,53.45,52.36,2400,38.6,0.15,matched,1.4438,0.4813,0.4813,0.4813
22,22.00,52.90,52.36,2400,38.7,0.11,matched,1.4438,0.4813,0.4813,0.4813
23,23.00,52.90,52.24,2400,38.3,0.08,matched,1.4163,0.4721,0.4721,0.4721
24,24.00,52.35,52.24,2400,38.1,0.07,matched,1.4163,0.4721,0.4721,0.4721
