step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,46.85,54.00,2400,0.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,46.30,55.76,2400,26.6,0.07,admission,2.1863,0.7288,0.7288,0.7288
2,2.00,46.30,57.53,2400,13.0,0.05,admission,2.5713,0.8571,0.8571,0.8571
3,3.00,47.40,59.04,2400,28.9,0.07,admission,2.9013,0.9671,0.9671,0.9671
4,4.00,46.30,59.49,2400,25.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
5,5.00,46.85,59.49,2400,27.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
6,6.00,47.95,59.49,2400,34.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
7,7.00,47.95,59.49,2400,34.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
8,8.00,47.95,59.49,2400,28.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
9,9.00,47.95,59.49,2400,19.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
10,10.00,48.50,59.49,2400,29.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
11,11.00,47.40,59.49,2400,23.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
12,12.00,47.95,59.49,2400,20.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
13,13.00,48.50,59.49,2400,33.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
14,14.00,46.85,59.49,2400,18.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
15,15.00,46.85,59.49,2400,14.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
16,16.00,48.50,59.49,2400,39.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
17,17.00,48.50,59.49,2400,18.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
18,18.00,47.95,59.49,2400,16.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
19,19.00,49.60,59.49,2400,33.8,0.10,admission,3.0000,1.0000,1.0000,1.0000
20,20.00,48.50,59.49,2400,39.5,0.07,admission,3.0000,1.0000,1.0000,1.0000
21,21.00,48.50,59.49,2400,33.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
22,22.00,48.50,59.49,2400,23.8,0.10,admission,3.0000,1.0000,1.0000,1.0000
23,23.00,46.85,59.49,2400,21.9,0.06,admission,3.0000,1.0000,1.0000,1.0000
24,24.00,47.40,59.49,2400,18.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
25,25.00,47.95,59.49,2400,21.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
26,26.00,47.95,59.49,2400,17.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
27,27.00,47.40,59.49,2400,26.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
28,28.00,47.40,59.49,2400,21.4,0.07,admission,3.0000,1.0000,1.0000,1.0000
29,29.00,47.95,59.49,2400,22.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
30,30.00,47.40,59.49,2400,21.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
31,31.00,47.95,59.49,2400,29.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
32,32.00,48.50,59.49,2400,25.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
33,33.00,47.40,59.49,2400,25.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
34,34.00,47.40,59.49,2400,16.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
35,35.00,47.95,59.49,2400,29.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
36,36.00,49.60,59.49,2400,30.2,0.10,admission,3.0000,1.0000,1.0000,1.0000
37,37.00,47.95,59.49,2400,18.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
38,38.00,47.40,59.49,2400,22.0,0.18,admission,3.0000,1.0000,1.0000,1.0000
39,39.00,47.95,59.49,2400,25.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
40,40.00,47.95,59.49,2400,32.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
41,41.00,47.95,59.49,2400,30.9,0.06,admission,3.0000,1.0000,1.0000,1.0000
42,42.00,48.50,59.49,2400,37.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
43,43.00,47.40,59.49,2400,11.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
44,44.00,48.50,59.49,2400,17.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
45,45.00,46.30,59.49,2400,26.5,0.21,admission,3.0000,1.0000,1.0000,1.0000
46,46.00,47.95,59.49,2400,31.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
47,47.00,47.40,59.49,2400,23.3,0.07,admission,3.0000,1.0000,1.0000,1.0000
48,48.00,47.40,59.49,2400,15.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
49,49.01,47.40,59.49,2400,32.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
50,50.01,47.40,59.49,2400,22.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
51,51.01,47.95,59.49,2400,20.8,0.07,admission,3.0000,1.0000,1.0000,1.0000
52,52.01,47.40,59.49,2400,23.0,0.08,admission,3.0000,1.0000,1.0000,1.0000
53,53.01,47.40,59.49,2400,25.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
54,54.01,47.95,59.49,2400,22.5,0.15,admission,3.0000,1.0000,1.0000,1.0000
55,55.01,46.30,59.49,2400,22.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
56,56.01,47.40,59.49,2400,24.3,0.07,admission,3.0000,1.0000,1.0000,1.0000
57,57.01,48.50,59.49,2400,26.1,0.20,admission,3.0000,1.0000,1.0000,1.0000
58,58.01,47.95,59.49,2400,29.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
59,59.01,47.40,59.49,2400,29.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
60,60.01,47.95,59.49,2400,38.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
61,61.01,46.30,59.49,2400,26.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
62,62.01,47.95,59.49,2400,24.5,0.07,admission,3.0000,1.0000,1.0000,1.0000
63,63.01,47.95,59.49,2400,20.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
64,64.01,47.40,59.49,2400,24.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
65,65.01,49.05,59.49,2400,42.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
66,66.02,47.40,59.49,2400,28.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
67,67.02,46.85,59.49,2400,22.9,0.05,admission,3.0000,1.0000,1.0000,1.0000
68,68.02,47.40,59.49,2400,16.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
69,69.02,46.85,59.49,2400,15.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
70,70.02,47.95,59.49,2400,28.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
71,71.02,46.85,59.49,2400,17.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
72,72.02,47.40,59.49,2400,27.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
73,73.02,47.95,59.49,2400,25.3,0.08,admission,3.0000,1.0000,1.0000,1.0000
74,74.02,48.50,59.49,2400,26.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
75,75.02,47.95,59.49,2400,22.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
76,76.02,46.85,59.49,2400,18.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
77,77.02,47.40,59.49,2400,34.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
78,78.02,46.85,59.49,2400,24.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
79,79.02,47.40,59.49,2400,20.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
80,80.02,48.50,59.49,2400,26.0,0.08,admission,3.0000,1.0000,1.0000,1.0000
81,81.02,49.05,59.49,2400,38.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
82,82.02,47.40,59.49,2400,22.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
83,83.02,49.60,59.49,2400,36.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
84,84.02,47.95,59.49,2400,24.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
85,85.03,48.50,59.49,2400,33.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
86,86.03,46.85,59.49,2400,24.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
87,87.03,47.95,59.49,2400,22.3,0.13,admission,3.0000,1.0000,1.0000,1.0000
88,88.03,46.85,59.49,2400,23.4,0.06,admission,3.0000,1.0000,1.0000,1.0000
89,89.03,48.50,59.49,2400,27.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
90,90.03,46.85,59.49,2400,22.1,0.07,admission,3.0000,1.0000,1.0000,1.0000
91,91.03,49.05,59.49,2400,31.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
92,92.03,46.85,59.49,2400,17.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
93,93.03,47.40,59.49,2400,19.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
94,94.03,47.95,59.49,2400,27.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
95,95.03,47.40,59.49,2400,15.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
96,96.03,49.05,59.49,2400,33.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
97,97.03,47.40,59.49,2400,22.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
98,98.03,47.40,59.49,2400,17.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
99,99.03,47.95,59.49,2400,25.9,0.05,admission,3.0000,1.0000,1.0000,1.0000
100,100.03,46.85,59.49,2400,27.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
101,101.03,47.40,59.49,2400,27.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
102,102.03,48.50,59.49,2400,25.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
103,103.03,47.95,59.49,2400,32.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
104,104.03,47.40,59.49,2400,16.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
105,105.03,46.85,59.49,2400,20.6,0.04,admission,3.0000,1.0000,1.0000,1.0000
106,106.03,47.95,59.49,2400,32.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
107,107.03,47.95,59.49,2400,24.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
108,108.04,47.95,59.49,2400,12.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
109,109.04,47.40,59.49,2400,24.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
110,110.04,47.95,59.49,2400,21.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
111,111.04,46.85,59.49,2400,19.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
112,112.04,48.50,59.49,2400,28.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
113,113.04,46.85,59.49,2400,14.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
114,114.04,47.95,59.49,2400,20.0,0.09,admission,3.0000,1.0000,1.0000,1.0000
115,115.04,48.50,59.49,2400,33.7,0.07,admission,3.0000,1.0000,1.0000,1.0000
116,116.04,47.95,59.49,2400,19.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
117,117.04,47.95,59.49,2400,19.7,0.12,admission,3.0000,1.0000,1.0000,1.0000
118,118.04,46.30,59.49,2400,30.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
119,119.04,48.50,59.49,2400,29.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
120,120.04,47.95,59.49,2400,30.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
121,121.04,46.85,59.49,2400,21.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
122,122.04,47.40,59.49,2400,15.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
123,123.04,48.50,59.49,2400,20.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
124,124.04,46.85,59.49,2400,26.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
125,125.04,49.60,59.49,2400,33.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
126,126.04,47.40,59.49,2400,16.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
127,127.04,47.40,59.49,2400,18.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
128,128.04,46.30,59.49,2400,14.5,0.05,admission,3.0000,1.0000,1.0000,1.0000
129,129.04,47.95,59.49,2400,26.9,0.05,admission,3.0000,1.0000,1.0000,1.0000
130,130.04,46.85,59.49,2400,28.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
131,131.04,47.40,59.49,2400,27.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
132,132.04,46.85,59.49,2400,19.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
133,133.05,49.05,59.49,2400,27.9,0.06,admission,3.0000,1.0000,1.0000,1.0000
134,134.05,46.85,59.49,2400,18.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
135,135.05,47.95,59.49,2400,26.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
136,136.05,46.85,59.49,2400,13.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
137,137.05,47.40,59.49,2400,38.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
