step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,47.40,54.00,2400,0.0,1108.73,convex,1.8013,0.5974,0.6028,0.6012
1,1.11,47.95,55.39,2400,57.4,22.22,convex,2.1038,0.6982,0.7037,0.7020
2,2.11,47.40,56.90,2400,12.5,15.20,convex,2.4338,0.8134,0.8110,0.8094
3,3.11,48.50,58.16,2400,32.8,17.22,convex,2.7088,0.8969,0.9068,0.9051
4,4.11,48.50,59.42,2400,28.8,15.06,convex,2.9838,0.9887,0.9985,0.9967
5,5.11,47.95,59.49,2400,24.8,15.06,convex,3.0000,1.0000,1.0000,1.0000
6,6.11,47.95,59.49,2400,34.1,18.40,convex,3.0000,1.0000,1.0000,1.0000
7,7.11,49.05,59.49,2400,36.4,27.15,convex,3.0000,1.0000,1.0000,1.0000
8,8.11,49.05,59.49,2400,29.1,14.99,convex,3.0000,1.0000,1.0000,1.0000
9,9.11,48.50,59.49,2400,19.7,16.60,convex,3.0000,1.0000,1.0000,1.0000
10,10.11,49.05,59.49,2400,31.5,16.34,convex,3.0000,1.0000,1.0000,1.0000
11,11.11,48.50,59.49,2400,22.0,59.22,convex,3.0000,1.0000,1.0000,1.0000
12,12.11,49.05,59.49,2400,22.5,16.51,convex,3.0000,1.0000,1.0000,1.0000
13,13.11,50.15,59.49,2400,35.1,15.00,convex,3.0000,1.0000,1.0000,1.0000
14,14.11,47.95,59.49,2400,15.8,17.47,convex,3.0000,1.0000,1.0000,1.0000
15,15.11,48.50,59.49,2400,16.2,20.87,convex,3.0000,1.0000,1.0000,1.0000
16,16.11,49.60,59.49,2400,41.7,15.03,convex,3.0000,1.0000,1.0000,1.0000
17,17.11,48.50,59.49,2400,17.8,15.13,convex,3.0000,1.0000,1.0000,1.0000
18,18.11,48.50,59.49,2400,17.0,19.67,convex,3.0000,1.0000,1.0000,1.0000
19,19.11,49.60,59.49,2400,38.2,16.57,convex,3.0000,1.0000,1.0000,1.0000
20,20.11,49.60,59.49,2400,37.5,25.54,convex,3.0000,1.0000,1.0000,1.0000
21,21.11,50.15,59.49,2400,37.6,15.63,convex,3.0000,1.0000,1.0000,1.0000
22,22.11,49.05,59.49,2400,23.2,17.52,convex,3.0000,1.0000,1.0000,1.0000
23,23.11,48.50,59.49,2400,17.5,15.06,convex,3.0000,1.0000,1.0000,1.0000
24,24.11,49.60,59.49,2400,23.2,26.20,convex,3.0000,1.0000,1.0000,1.0000
25,25.11,49.05,59.49,2400,17.1,16.38,convex,3.0000,1.0000,1.0000,1.0000
26,26.11,49.05,59.49,2400,17.7,15.03,convex,3.0000,1.0000,1.0000,1.0000
27,27.11,49.05,59.49,2400,31.5,31.48,convex,3.0000,1.0000,1.0000,1.0000
