step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,47.95,54.00,2400,0.0,0.08,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,46.85,55.39,2400,26.8,0.05,matched,2.1038,0.7013,0.7013,0.7013
2,2.00,47.40,56.90,2400,11.6,0.05,matched,2.4338,0.8113,0.8113,0.8113
3,3.00,47.95,58.16,2400,28.3,0.05,matched,2.7088,0.9029,0.9029,0.9029
4,4.00,47.95,59.42,2400,26.6,0.06,matched,2.9838,0.9946,0.9946,0.9946
5,5.00,47.95,59.49,2400,26.0,0.11,matched,3.0000,1.0000,1.0000,1.0000
6,6.00,48.50,59.49,2400,33.8,0.08,matched,3.0000,1.0000,1.0000,1.0000
7,7.00,49.05,59.49,2400,32.9,0.06,matched,3.0000,1.0000,1.0000,1.0000
8,8.00,48.50,59.49,2400,27.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
9,9.00,48.50,59.49,2400,19.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
10,10.00,48.50,59.49,2400,31.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
11,11.00,48.50,59.49,2400,23.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
12,12.00,47.95,59.49,2400,19.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
13,13.00,50.15,59.49,2400,33.3,0.08,matched,3.0000,1.0000,1.0000,1.0000
14,14.00,48.50,59.49,2400,20.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
15,15.01,47.95,59.49,2400,14.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
16,16.01,49.60,59.49,2400,42.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
17,17.01,48.50,59.49,2400,15.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
18,18.01,49.05,59.49,2400,17.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
19,19.01,49.60,59.49,2400,36.6,0.08,matched,3.0000,1.0000,1.0000,1.0000
20,20.01,50.15,59.49,2400,38.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
21,21.01,50.15,59.49,2400,34.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
22,22.01,49.60,59.49,2400,25.1,0.04,matched,3.0000,1.0000,1.0000,1.0000
23,23.01,49.05,59.49,2400,20.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
24,24.01,48.50,59.49,2400,19.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
25,25.01,49.05,59.49,2400,20.8,0.04,matched,3.0000,1.0000,1.0000,1.0000
26,26.01,49.05,59.49,2400,16.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
27,27.01,49.60,59.49,2400,28.9,0.19,matched,3.0000,1.0000,1.0000,1.0000
28,28.01,48.50,59.49,2400,22.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
29,29.01,49.05,59.49,2400,21.1,0.06,matched,3.0000,1.0000,1.0000,1.0000
30,30.01,48.50,59.49,2400,25.1,0.04,matched,3.0000,1.0000,1.0000,1.0000
31,31.01,48.50,59.49,2400,28.2,0.05,matched,3.0000,1.0000,1.0000,1.0000
32,32.01,49.60,59.49,2400,25.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
33,33.01,50.15,59.49,2400,26.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
34,34.01,49.05,59.49,2400,16.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
35,35.01,49.60,59.49,2400,27.7,0.07,matched,3.0000,1.0000,1.0000,1.0000
36,36.01,49.60,59.49,2400,31.2,0.04,matched,3.0000,1.0000,1.0000,1.0000
37,37.01,49.60,59.49,2400,20.6,0.07,matched,3.0000,1.0000,1.0000,1.0000
38,38.01,49.05,59.49,2400,18.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
39,39.01,49.05,59.49,2400,28.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
40,40.01,50.15,59.49,2400,34.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
41,41.01,50.15,59.49,2400,31.5,0.07,matched,3.0000,1.0000,1.0000,1.0000
42,42.01,48.50,59.49,2400,35.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
43,43.01,48.50,59.49,2400,11.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
44,44.01,49.05,59.49,2400,18.5,0.07,matched,3.0000,1.0000,1.0000,1.0000
