step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,51.25,50.60,2400,0.0,0.01,admission,1.0590,0.3530,0.3530,0.3530
1,1.00,50.70,50.58,2400,28.6,0.10,admission,1.0540,0.3513,0.3513,0.3513
2,2.00,51.25,50.43,2400,30.0,0.09,admission,1.0215,0.3405,0.3405,0.3405
3,3.00,50.15,50.53,2400,29.2,0.06,admission,1.0440,0.3480,0.3480,0.3480
4,4.00,50.70,50.51,2400,29.7,0.06,admission,1.0390,0.3463,0.3463,0.3463
5,5.00,50.70,50.49,2400,29.7,0.06,admission,1.0340,0.3447,0.3447,0.3447
6,6.00,50.15,50.59,2400,29.3,0.06,admission,1.0565,0.3522,0.3522,0.3522
7,7.00,50.15,50.69,2400,30.0,0.05,admission,1.0790,0.3597,0.3597,0.3597
8,8.00,51.25,50.54,2400,30.3,0.07,admission,1.0465,0.3488,0.3488,0.3488
9,9.00,50.15,50.65,2400,29.6,0.06,admission,1.0690,0.3563,0.3563,0.3563
10,10.00,50.70,50.62,2400,30.3,0.06,admission,1.0640,0.3547,0.3547,0.3547
11,11.00,50.70,50.60,2400,30.0,0.05,admission,1.0590,0.3530,0.3530,0.3530
12,12.00,50.70,50.58,2400,30.1,0.06,admission,1.0540,0.3513,0.3513,0.3513
13,13.00,50.15,50.68,2400,29.9,0.05,admission,1.0765,0.3588,0.3588,0.3588
14,14.00,50.70,50.66,2400,30.3,0.13,admission,1.0715,0.3572,0.3572,0.3572
15,15.00,50.15,50.76,2400,30.5,0.06,admission,1.0940,0.3647,0.3647,0.3647
16,16.00,50.70,50.74,2400,31.0,0.06,admission,1.0890,0.3630,0.3630,0.3630
17,17.00,50.15,50.84,2400,31.0,0.06,admission,1.1115,0.3705,0.3705,0.3705
18,18.00,50.70,50.82,2400,31.3,0.07,admission,1.1065,0.3688,0.3688,0.3688
19,19.00,50.70,50.79,2400,31.2,0.05,admission,1.1015,0.3672,0.3672,0.3672
20,20.00,51.25,50.65,2400,31.0,0.08,admission,1.0690,0.3563,0.3563,0.3563
21,21.00,50.70,50.62,2400,30.5,0.05,admission,1.0640,0.3547,0.3547,0.3547
22,22.00,50.15,50.73,2400,30.0,0.06,admission,1.0865,0.3622,0.3622,0.3622
23,23.00,50.15,50.83,2400,30.8,0.06,admission,1.1090,0.3697,0.3697,0.3697
24,24.00,50.15,50.93,2400,31.3,0.05,admission,1.1315,0.3772,0.3772,0.3772
25,25.01,50.70,50.91,2400,31.9,0.05,admission,1.1265,0.3755,0.3755,0.3755
26,26.01,50.15,51.01,2400,31.8,0.05,admission,1.1490,0.3830,0.3830,0.3830
27,27.01,50.70,50.99,2400,32.5,0.05,admission,1.1440,0.3813,0.3813,0.3813
28,28.01,50.15,51.09,2400,32.4,0.14,admission,1.1665,0.3888,0.3888,0.3888
29,29.01,50.70,51.07,2400,32.8,0.06,admission,1.1615,0.3872,0.3872,0.3872
30,30.01,50.70,51.05,2400,32.8,0.06,admission,1.1565,0.3855,0.3855,0.3855
31,31.01,50.15,51.15,2400,32.6,0.05,admission,1.1790,0.3930,0.3930,0.3930
32,32.01,50.70,51.13,2400,33.2,0.05,admission,1.1740,0.3913,0.3913,0.3913
33,33.01,50.15,51.23,2400,33.2,0.05,admission,1.1965,0.3988,0.3988,0.3988
34,34.01,50.70,51.21,2400,33.6,0.07,admission,1.1915,0.3972,0.3972,0.3972
35,35.01,50.70,51.18,2400,33.4,0.06,admission,1.1865,0.3955,0.3955,0.3955
36,36.01,50.15,51.29,2400,33.5,0.06,admission,1.2090,0.4030,0.4030,0.4030
37,37.01,50.70,51.26,2400,33.9,0.12,admission,1.2040,0.4013,0.4013,0.4013
38,38.01,50.15,51.37,2400,33.8,0.11,admission,1.2265,0.4088,0.4088,0.4088
39,39.01,49.05,51.72,2400,34.4,0.05,admission,1.3040,0.4347,0.4347,0.4347
40,40.01,50.70,51.70,2400,36.2,0.06,admission,1.2990,0.4330,0.4330,0.4330
41,41.01,50.70,51.68,2400,36.2,0.05,admission,1.2940,0.4313,0.4313,0.4313
42,42.01,50.70,51.65,2400,36.1,0.10,admission,1.2890,0.4297,0.4297,0.4297
43,43.01,50.70,51.63,2400,36.1,0.07,admission,1.2840,0.4280,0.4280,0.4280
44,44.01,49.05,51.99,2400,36.0,0.05,admission,1.3615,0.4538,0.4538,0.4538
45,45.01,51.25,51.84,2400,37.8,0.05,admission,1.3290,0.4430,0.4430,0.4430
46,46.01,50.70,51.81,2400,37.1,0.06,admission,1.3240,0.4413,0.4413,0.4413
47,47.01,50.15,51.92,2400,36.9,0.12,admission,1.3465,0.4488,0.4488,0.4488
48,48.01,51.25,51.77,2400,37.3,0.05,admission,1.3140,0.4380,0.4380,0.4380
49,49.01,50.70,51.75,2400,36.6,0.06,admission,1.3090,0.4363,0.4363,0.4363
50,50.01,51.25,51.60,2400,36.5,0.05,admission,1.2765,0.4255,0.4255,0.4255
51,51.01,51.25,51.45,2400,35.7,0.06,admission,1.2440,0.4147,0.4147,0.4147
52,52.01,50.70,51.42,2400,34.7,0.05,admission,1.2390,0.4130,0.4130,0.4130
53,53.01,50.15,51.53,2400,34.7,0.05,admission,1.2615,0.4205,0.4205,0.4205
54,54.01,50.15,51.63,2400,35.1,0.06,admission,1.2840,0.4280,0.4280,0.4280
55,55.01,50.70,51.61,2400,36.0,0.05,admission,1.2790,0.4263,0.4263,0.4263
56,56.01,50.70,51.58,2400,35.7,0.11,admission,1.2740,0.4247,0.4247,0.4247
57,57.01,50.70,51.56,2400,35.5,0.06,admission,1.2690,0.4230,0.4230,0.4230
58,58.01,51.25,51.41,2400,35.4,0.05,admission,1.2365,0.4122,0.4122,0.4122
59,59.01,50.15,51.52,2400,34.6,0.05,admission,1.2590,0.4197,0.4197,0.4197
60,60.01,50.70,51.49,2400,35.1,0.08,admission,1.2540,0.4180,0.4180,0.4180
61,61.01,50.70,51.47,2400,35.0,0.05,admission,1.2490,0.4163,0.4163,0.4163
62,62.01,50.70,51.45,2400,35.0,0.07,admission,1.2440,0.4147,0.4147,0.4147
63,63.01,50.70,51.42,2400,34.9,0.06,admission,1.2390,0.4130,0.4130,0.4130
64,64.01,50.15,51.53,2400,34.5,0.07,admission,1.2615,0.4205,0.4205,0.4205
65,65.01,51.25,51.38,2400,35.2,0.06,admission,1.2290,0.4097,0.4097,0.4097
66,66.01,50.70,51.36,2400,34.2,0.05,admission,1.2240,0.4080,0.4080,0.4080
67,67.01,50.70,51.33,2400,34.0,0.06,admission,1.2190,0.4063,0.4063,0.4063
68,68.01,50.15,51.44,2400,34.2,0.05,admission,1.2415,0.4138,0.4138,0.4138
69,69.01,50.70,51.41,2400,34.7,0.05,admission,1.2365,0.4122,0.4122,0.4122
70,70.01,50.70,51.39,2400,34.5,0.06,admission,1.2315,0.4105,0.4105,0.4105
71,71.01,50.15,51.49,2400,34.5,0.06,admission,1.2540,0.4180,0.4180,0.4180
72,72.01,50.70,51.47,2400,35.0,0.08,admission,1.2490,0.4163,0.4163,0.4163
73,73.01,51.25,51.32,2400,34.9,0.06,admission,1.2165,0.4055,0.4055,0.4055
74,74.01,50.70,51.30,2400,34.0,0.05,admission,1.2115,0.4038,0.4038,0.4038
75,75.01,50.70,51.28,2400,34.0,0.06,admission,1.2065,0.4022,0.4022,0.4022
76,76.01,50.70,51.25,2400,33.7,0.05,admission,1.2015,0.4005,0.4005,0.4005
77,77.01,50.70,51.23,2400,33.6,0.06,admission,1.1965,0.3988,0.3988,0.3988
78,78.01,51.25,51.08,2400,33.4,0.05,admission,1.1640,0.3880,0.3880,0.3880
79,79.01,50.70,51.06,2400,32.9,0.05,admission,1.1590,0.3863,0.3863,0.3863
80,80.01,50.15,51.16,2400,32.5,0.06,admission,1.1815,0.3938,0.3938,0.3938
