step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,0.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,54.25,2400,44.7,0.09,admission,1.8563,0.6188,0.6188,0.6188
2,2.00,51.80,54.76,2400,37.7,0.06,admission,1.9663,0.6554,0.6554,0.6554
3,3.00,53.45,54.88,2400,34.8,0.07,admission,1.9938,0.6646,0.6646,0.6646
4,4.00,51.80,55.39,2400,32.5,0.06,admission,2.1038,0.7013,0.7013,0.7013
5,5.00,51.80,55.89,2400,21.7,0.05,admission,2.2138,0.7379,0.7379,0.7379
6,6.00,53.45,56.02,2400,38.0,0.18,admission,2.2413,0.7471,0.7471,0.7471
7,7.00,52.90,56.27,2400,37.3,0.08,admission,2.2963,0.7654,0.7654,0.7654
8,8.00,53.45,56.39,2400,52.6,0.06,admission,2.3238,0.7746,0.7746,0.7746
9,9.00,51.25,57.02,2400,40.8,0.06,admission,2.4613,0.8204,0.8204,0.8204
10,10.00,52.90,57.27,2400,35.3,0.13,admission,2.5163,0.8388,0.8388,0.8388
11,11.00,54.00,57.27,2400,53.1,0.05,admission,2.5163,0.8388,0.8388,0.8388
12,12.00,54.00,57.27,2400,42.9,0.05,admission,2.5163,0.8388,0.8388,0.8388
13,13.00,53.45,57.40,2400,37.3,0.09,admission,2.5438,0.8479,0.8479,0.8479
14,14.00,54.55,57.27,2400,45.3,0.08,admission,2.5163,0.8388,0.8388,0.8388
15,15.00,55.10,57.02,2400,60.9,0.05,admission,2.4613,0.8204,0.8204,0.8204
16,16.00,54.55,56.90,2400,45.8,0.07,admission,2.4338,0.8113,0.8113,0.8113
17,17.00,54.00,56.90,2400,56.2,0.10,admission,2.4338,0.8113,0.8113,0.8113
18,18.00,55.10,56.64,2400,55.3,0.10,admission,2.3788,0.7929,0.7929,0.7929
19,19.00,52.35,57.02,2400,39.6,0.05,admission,2.4613,0.8204,0.8204,0.8204
20,20.00,53.45,57.15,2400,52.6,0.06,admission,2.4888,0.8296,0.8296,0.8296
21,21.00,53.45,57.27,2400,23.9,0.05,admission,2.5163,0.8388,0.8388,0.8388
22,22.00,52.90,57.53,2400,47.8,0.06,admission,2.5713,0.8571,0.8571,0.8571
23,23.00,53.45,57.65,2400,29.1,0.06,admission,2.5988,0.8663,0.8663,0.8663
