step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,50.60,2400,0.0,1779.93,convex,1.0590,0.3522,0.3542,0.3526
1,1.78,55.10,49.57,2400,88.8,39.92,convex,0.8340,0.2772,0.2792,0.2776
2,2.78,52.90,49.04,2400,26.8,16.22,convex,0.7190,0.2388,0.2408,0.2393
3,3.78,51.80,48.77,2400,21.7,16.43,convex,0.6590,0.2188,0.2208,0.2193
4,4.78,50.70,48.75,2400,20.1,16.56,convex,0.6540,0.2172,0.2192,0.2176
5,5.78,51.25,48.60,2400,20.0,16.74,convex,0.6215,0.2063,0.2083,0.2068
6,6.78,51.80,48.32,2400,19.1,17.18,convex,0.5615,0.1864,0.1883,0.1868
7,7.78,51.25,48.17,2400,17.7,15.81,convex,0.5290,0.1755,0.1775,0.1759
8,8.78,51.80,47.90,2400,16.7,15.56,convex,0.4690,0.1555,0.1575,0.1559
9,9.78,50.70,47.87,2400,15.0,15.36,convex,0.4640,0.1539,0.1558,0.1543
10,10.78,50.70,47.85,2400,14.7,14.99,convex,0.4590,0.1522,0.1542,0.1526
11,11.78,50.70,47.83,2400,14.7,58.59,convex,0.4540,0.1505,0.1525,0.1509
12,12.78,50.70,47.81,2400,15.2,15.06,convex,0.4490,0.1488,0.1508,0.1493
13,13.78,50.70,47.78,2400,14.3,15.11,convex,0.4440,0.1472,0.1492,0.1476
14,14.78,50.15,47.89,2400,14.0,15.52,convex,0.4665,0.1547,0.1567,0.1551
15,15.78,50.70,47.86,2400,15.0,15.46,convex,0.4615,0.1530,0.1550,0.1534
16,16.78,50.70,47.84,2400,14.8,15.05,convex,0.4565,0.1513,0.1533,0.1518
17,17.78,50.70,47.82,2400,14.5,15.26,convex,0.4515,0.1497,0.1517,0.1501
18,18.78,50.15,47.92,2400,14.5,15.32,convex,0.4740,0.1572,0.1592,0.1576
19,19.78,50.15,48.02,2400,15.2,15.39,convex,0.4965,0.1647,0.1667,0.1651
20,20.78,49.60,48.25,2400,15.9,15.20,convex,0.5465,0.1813,0.1833,0.1818
21,21.78,50.15,48.36,2400,17.0,15.36,convex,0.5690,0.1889,0.1908,0.1893
22,22.78,50.15,48.46,2400,17.7,15.06,convex,0.5915,0.1964,0.1983,0.1968
23,23.78,50.15,48.56,2400,18.2,15.23,convex,0.6140,0.2038,0.2058,0.2043
24,24.78,50.15,48.66,2400,18.9,15.38,convex,0.6365,0.2114,0.2133,0.2118
25,25.78,50.15,48.77,2400,19.4,16.19,convex,0.6590,0.2188,0.2208,0.2193
26,26.78,50.15,48.87,2400,20.3,15.12,convex,0.6815,0.2264,0.2283,0.2268
