step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,0.0,1066.99,convex,1.8013,0.5974,0.6028,0.6012
1,1.07,55.10,53.75,2400,57.3,16.83,convex,1.7463,0.5790,0.5844,0.5828
2,2.07,54.00,53.75,2400,43.1,19.88,convex,1.7463,0.5790,0.5844,0.5828
3,3.07,54.55,53.62,2400,46.8,22.51,convex,1.7188,0.5699,0.5752,0.5737
4,4.07,54.55,53.50,2400,46.3,19.14,convex,1.6913,0.5607,0.5660,0.5645
5,5.07,54.55,53.37,2400,46.1,21.36,convex,1.6638,0.5515,0.5569,0.5554
6,6.07,54.00,53.37,2400,45.1,18.76,convex,1.6638,0.5515,0.5569,0.5554
7,7.07,54.00,53.37,2400,35.6,18.65,convex,1.6638,0.5515,0.5569,0.5554
8,8.07,54.00,53.37,2400,44.6,20.85,convex,1.6638,0.5515,0.5569,0.5554
9,9.07,54.55,53.24,2400,42.5,17.98,convex,1.6363,0.5424,0.5477,0.5462
10,10.07,53.45,53.37,2400,44.1,18.91,convex,1.6638,0.5515,0.5569,0.5554
11,11.07,54.55,53.24,2400,41.4,81.37,convex,1.6363,0.5424,0.5477,0.5462
12,12.07,54.00,53.24,2400,46.3,18.82,convex,1.6363,0.5424,0.5477,0.5462
13,13.07,54.00,53.24,2400,44.3,19.33,convex,1.6363,0.5424,0.5477,0.5462
14,14.07,55.10,52.99,2400,44.2,19.46,convex,1.5813,0.5240,0.5294,0.5279
15,15.07,55.10,52.74,2400,42.9,16.24,convex,1.5263,0.5057,0.5111,0.5095
16,16.07,54.55,52.61,2400,41.1,16.48,convex,1.4988,0.4988,0.5008,0.4992
17,17.07,54.00,52.61,2400,39.8,19.52,convex,1.4988,0.4988,0.5008,0.4992
18,18.07,52.90,52.87,2400,40.2,17.41,convex,1.5538,0.5149,0.5203,0.5187
19,19.07,54.55,52.74,2400,42.1,18.58,convex,1.5263,0.5057,0.5111,0.5095
20,20.07,54.00,52.74,2400,38.1,18.58,convex,1.5263,0.5057,0.5111,0.5095
21,21.07,54.55,52.61,2400,41.7,16.56,convex,1.4988,0.4988,0.5008,0.4992
22,22.07,52.90,52.87,2400,39.7,18.11,convex,1.5538,0.5149,0.5202,0.5187
23,23.07,54.55,52.74,2400,39.5,16.56,convex,1.5263,0.5057,0.5111,0.5095
24,24.07,54.00,52.74,2400,41.8,17.74,convex,1.5263,0.5057,0.5111,0.5095
25,25.07,54.55,52.61,2400,41.5,16.05,convex,1.4988,0.4988,0.5008,0.4993
26,26.07,54.00,52.61,2400,37.3,17.43,convex,1.4988,0.4988,0.5008,0.4993
27,27.07,54.00,52.61,2400,35.1,16.65,convex,1.4988,0.4988,0.5008,0.4993
28,28.07,53.45,52.74,2400,40.9,19.96,convex,1.5263,0.5057,0.5111,0.5095
29,29.07,55.10,52.49,2400,38.8,15.90,convex,1.4713,0.4896,0.4916,0.4901
30,30.07,53.45,52.61,2400,40.1,16.27,convex,1.4988,0.4988,0.5008,0.4992
31,31.07,54.00,52.61,2400,41.0,18.74,convex,1.4988,0.4988,0.5008,0.4992
32,32.07,54.00,52.61,2400,35.1,15.93,convex,1.4988,0.4988,0.5008,0.4992
33,33.07,54.00,52.61,2400,38.8,18.44,convex,1.4988,0.4988,0.5008,0.4992
34,34.07,54.00,52.61,2400,40.8,18.36,convex,1.4988,0.4988,0.5008,0.4992
35,35.07,54.00,52.61,2400,40.6,19.00,convex,1.4988,0.4988,0.5008,0.4992
36,36.07,54.00,52.61,2400,40.6,17.56,convex,1.4988,0.4988,0.5008,0.4992
37,37.07,54.55,52.49,2400,40.6,17.36,convex,1.4713,0.4896,0.4916,0.4901
38,38.07,54.00,52.49,2400,40.0,17.57,convex,1.4713,0.4896,0.4916,0.4901
39,39.07,54.55,52.36,2400,40.0,17.67,convex,1.4438,0.4805,0.4825,0.4809
40,40.07,54.55,52.24,2400,39.6,17.19,convex,1.4163,0.4713,0.4733,0.4717
41,41.07,53.45,52.36,2400,38.7,15.31,convex,1.4438,0.4805,0.4825,0.4809
42,42.07,54.00,52.36,2400,39.4,16.54,convex,1.4438,0.4805,0.4825,0.4809
43,43.07,55.65,51.98,2400,39.6,15.97,convex,1.3613,0.4530,0.4549,0.4534
44,44.07,54.00,51.98,2400,37.3,16.18,convex,1.3613,0.4530,0.4549,0.4534
45,45.07,54.55,51.86,2400,37.2,15.89,convex,1.3338,0.4438,0.4457,0.4442
46,46.07,54.00,51.86,2400,36.9,15.68,convex,1.3338,0.4438,0.4457,0.4442
47,47.07,54.00,51.86,2400,36.9,15.60,convex,1.3338,0.4438,0.4457,0.4442
