step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,0.0,2526.57,convex,1.8013,0.5974,0.6028,0.6012
1,2.53,55.10,53.75,2400,100.0,52.92,convex,1.7463,0.5790,0.5844,0.5828
2,3.53,54.00,53.75,2400,49.6,22.47,convex,1.7463,0.5790,0.5844,0.5828
3,4.53,54.00,53.75,2400,47.3,18.76,convex,1.7463,0.5790,0.5844,0.5828
4,5.53,54.00,53.75,2400,47.3,21.36,convex,1.7463,0.5790,0.5844,0.5828
5,6.53,54.00,53.75,2400,47.2,20.51,convex,1.7463,0.5790,0.5844,0.5828
6,7.53,54.00,53.75,2400,47.3,18.49,convex,1.7463,0.5790,0.5844,0.5828
7,8.53,54.00,53.75,2400,47.3,22.37,convex,1.7463,0.5790,0.5844,0.5828
8,9.53,54.00,53.75,2400,47.3,20.23,convex,1.7463,0.5790,0.5844,0.5828
9,10.53,53.45,53.87,2400,47.2,19.72,convex,1.7738,0.5882,0.5936,0.5920
10,11.53,54.00,53.87,2400,47.8,22.07,convex,1.7738,0.5882,0.5936,0.5920
11,12.53,53.45,54.00,2400,48.0,86.65,convex,1.8013,0.5974,0.6028,0.6012
12,13.53,53.45,54.13,2400,50.6,19.62,convex,1.8288,0.6065,0.6120,0.6103
13,14.53,54.00,54.13,2400,48.9,19.91,convex,1.8288,0.6065,0.6120,0.6103
14,15.53,54.00,54.13,2400,49.4,21.43,convex,1.8288,0.6065,0.6120,0.6103
15,16.53,53.45,54.25,2400,49.3,20.77,convex,1.8563,0.6157,0.6211,0.6195
16,17.53,54.00,54.25,2400,49.8,22.63,convex,1.8563,0.6157,0.6211,0.6195
17,18.53,54.00,54.25,2400,49.8,23.29,convex,1.8563,0.6157,0.6211,0.6195
18,19.53,54.00,54.25,2400,49.5,23.24,convex,1.8563,0.6157,0.6211,0.6195
19,20.53,54.00,54.25,2400,49.8,23.57,convex,1.8563,0.6157,0.6211,0.6195
20,21.53,54.55,54.13,2400,49.6,23.56,convex,1.8288,0.6065,0.6120,0.6103
21,22.53,54.00,54.13,2400,49.1,21.48,convex,1.8288,0.6065,0.6120,0.6103
22,23.53,54.00,54.13,2400,49.0,20.88,convex,1.8288,0.6065,0.6120,0.6103
23,24.53,54.55,54.00,2400,49.1,20.62,convex,1.8013,0.5974,0.6028,0.6012
24,25.53,54.00,54.00,2400,48.5,20.91,convex,1.8013,0.5974,0.6028,0.6012
25,26.53,53.45,54.13,2400,48.5,21.75,convex,1.8288,0.6065,0.6120,0.6103
26,27.53,54.00,54.13,2400,49.3,24.24,convex,1.8288,0.6065,0.6120,0.6103
27,28.53,54.55,54.00,2400,48.9,23.46,convex,1.8013,0.5974,0.6028,0.6012
28,29.53,54.00,54.00,2400,48.4,18.31,convex,1.8013,0.5974,0.6028,0.6012
29,30.53,54.00,54.00,2400,48.3,18.93,convex,1.8013,0.5974,0.6028,0.6012
30,31.53,54.55,53.87,2400,48.4,18.08,convex,1.7738,0.5882,0.5936,0.5920
31,32.53,54.00,53.87,2400,47.9,18.50,convex,1.7738,0.5882,0.5936,0.5920
32,33.53,55.10,53.62,2400,47.8,19.96,convex,1.7188,0.5699,0.5752,0.5737
33,34.53,53.45,53.75,2400,46.6,16.99,convex,1.7463,0.5790,0.5844,0.5828
34,35.53,54.55,53.62,2400,47.2,21.52,convex,1.7188,0.5699,0.5752,0.5737
35,36.53,53.45,53.75,2400,46.3,17.50,convex,1.7463,0.5790,0.5844,0.5828
36,37.53,54.00,53.75,2400,47.3,18.85,convex,1.7463,0.5790,0.5844,0.5828
37,38.53,54.00,53.75,2400,47.2,22.20,convex,1.7463,0.5790,0.5844,0.5828
38,39.53,54.55,53.62,2400,46.9,18.18,convex,1.7188,0.5699,0.5752,0.5737
39,40.53,52.90,53.87,2400,46.4,20.05,convex,1.7738,0.5882,0.5936,0.5920
40,41.53,54.00,53.87,2400,47.8,19.89,convex,1.7738,0.5882,0.5936,0.5920
41,42.53,53.45,54.00,2400,47.8,18.32,convex,1.8013,0.5974,0.6028,0.6012
42,43.53,55.10,53.75,2400,48.5,17.67,convex,1.7463,0.5790,0.5844,0.5828
43,44.53,54.55,53.62,2400,47.3,19.87,convex,1.7188,0.5699,0.5752,0.5737
44,45.53,55.10,53.37,2400,46.2,16.33,convex,1.6638,0.5515,0.5569,0.5554
45,46.53,55.10,53.12,2400,45.1,18.42,convex,1.6088,0.5332,0.5386,0.5370
46,47.53,54.00,53.12,2400,44.0,16.85,convex,1.6088,0.5332,0.5386,0.5370
47,48.53,54.00,53.12,2400,43.7,16.57,convex,1.6088,0.5332,0.5386,0.5370
48,49.53,54.55,52.99,2400,43.7,16.62,convex,1.5813,0.5240,0.5295,0.5279
49,50.53,54.00,52.99,2400,43.3,18.34,convex,1.5813,0.5240,0.5295,0.5279
50,51.53,54.00,52.99,2400,43.0,18.29,convex,1.5813,0.5240,0.5295,0.5279
51,52.53,54.55,52.87,2400,43.1,16.40,convex,1.5538,0.5149,0.5203,0.5187
52,53.53,53.45,52.99,2400,42.6,18.83,convex,1.5813,0.5240,0.5295,0.5279
53,54.53,54.00,52.99,2400,42.9,17.66,convex,1.5813,0.5240,0.5295,0.5279
54,55.53,54.00,52.99,2400,43.0,16.39,convex,1.5813,0.5240,0.5295,0.5279
55,56.53,54.00,52.99,2400,43.1,18.37,convex,1.5813,0.5240,0.5295,0.5279
56,57.53,54.00,52.99,2400,43.0,17.29,convex,1.5813,0.5240,0.5295,0.5279
57,58.53,53.45,53.12,2400,43.0,17.24,convex,1.6088,0.5332,0.5386,0.5370
58,59.53,54.55,52.99,2400,43.9,19.07,convex,1.5813,0.5240,0.5295,0.5279
59,60.53,54.55,52.87,2400,42.9,16.70,convex,1.5538,0.5149,0.5203,0.5187
60,61.53,54.00,52.87,2400,42.4,17.71,convex,1.5538,0.5149,0.5203,0.5187
61,62.53,54.00,52.87,2400,42.4,16.99,convex,1.5538,0.5149,0.5203,0.5187
62,63.53,53.45,52.99,2400,42.5,17.79,convex,1.5813,0.5240,0.5295,0.5279
63,64.53,54.00,52.99,2400,43.0,19.11,convex,1.5813,0.5240,0.5295,0.5279
64,65.53,55.10,52.74,2400,42.9,17.04,convex,1.5263,0.5058,0.5111,0.5095
65,66.53,54.00,52.74,2400,41.4,16.01,convex,1.5263,0.5058,0.5111,0.5095
66,67.53,53.45,52.87,2400,41.6,20.57,convex,1.5538,0.5149,0.5203,0.5187
67,68.54,54.00,52.87,2400,42.1,20.17,convex,1.5538,0.5149,0.5203,0.5187
68,69.54,54.00,52.87,2400,42.3,81.10,convex,1.5538,0.5149,0.5203,0.5187
69,70.54,54.00,52.87,2400,44.3,17.18,convex,1.5538,0.5149,0.5203,0.5187
70,71.54,54.55,52.74,2400,42.3,16.52,convex,1.5263,0.5058,0.5111,0.5095
71,72.54,54.55,52.61,2400,41.9,16.93,convex,1.4988,0.4988,0.5007,0.4992
72,73.54,54.55,52.49,2400,40.8,17.47,convex,1.4713,0.4896,0.4916,0.4901
73,74.54,55.10,52.24,2400,39.9,17.15,convex,1.4163,0.4713,0.4733,0.4717
74,75.54,54.55,52.11,2400,38.8,15.77,convex,1.3888,0.4621,0.4641,0.4626
75,76.54,54.55,51.98,2400,38.4,15.67,convex,1.3613,0.4530,0.4550,0.4533
76,77.54,54.00,51.98,2400,37.6,15.94,convex,1.3613,0.4530,0.4550,0.4533
77,78.54,54.55,51.86,2400,37.4,15.30,convex,1.3338,0.4438,0.4458,0.4442
78,79.54,54.00,51.86,2400,36.9,14.93,convex,1.3338,0.4438,0.4458,0.4442
79,80.54,54.55,51.73,2400,36.9,15.23,convex,1.3063,0.4346,0.4366,0.4351
80,81.54,53.45,51.86,2400,36.0,15.02,convex,1.3338,0.4438,0.4458,0.4442
81,82.54,54.00,51.86,2400,36.9,15.01,convex,1.3338,0.4438,0.4458,0.4442
82,83.54,53.45,51.98,2400,36.9,15.08,convex,1.3613,0.4530,0.4550,0.4533
83,84.54,54.00,51.98,2400,37.6,15.22,convex,1.3613,0.4530,0.4550,0.4533
84,85.54,54.00,51.98,2400,37.6,15.87,convex,1.3613,0.4530,0.4550,0.4533
85,86.54,54.55,51.86,2400,37.6,16.13,convex,1.3338,0.4438,0.4458,0.4442
86,87.54,54.00,51.86,2400,36.9,15.85,convex,1.3338,0.4438,0.4458,0.4442
87,88.54,54.00,51.86,2400,36.7,16.34,convex,1.3338,0.4438,0.4458,0.4442
88,89.54,54.00,51.86,2400,36.5,16.35,convex,1.3338,0.4438,0.4458,0.4442
89,90.54,54.00,51.86,2400,36.9,15.82,convex,1.3338,0.4438,0.4458,0.4442
90,91.54,53.45,51.98,2400,36.7,16.04,convex,1.3613,0.4530,0.4550,0.4533
91,92.54,54.00,51.98,2400,37.2,15.87,convex,1.3613,0.4530,0.4550,0.4533
92,93.54,53.45,52.11,2400,37.2,15.69,convex,1.3888,0.4621,0.4641,0.4626
93,94.54,53.45,52.24,2400,37.9,15.62,convex,1.4163,0.4713,0.4733,0.4717
94,95.54,54.00,52.24,2400,38.7,15.47,convex,1.4163,0.4713,0.4733,0.4717
95,96.54,54.00,52.24,2400,38.8,16.85,convex,1.4163,0.4713,0.4733,0.4717
96,97.54,54.00,52.24,2400,38.7,16.40,convex,1.4163,0.4713,0.4733,0.4717
97,98.54,54.00,52.24,2400,38.7,16.55,convex,1.4163,0.4713,0.4733,0.4717
98,99.54,54.00,52.24,2400,38.8,17.73,convex,1.4163,0.4713,0.4733,0.4717
99,100.54,52.90,52.49,2400,38.7,15.77,convex,1.4713,0.4896,0.4916,0.4901
