step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,56.20,54.00,2400,100.0,0.02,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,55.10,53.75,2400,48.4,0.28,admission,1.7463,0.5821,0.5821,0.5821
2,2.00,54.55,53.62,2400,47.3,0.13,admission,1.7188,0.5729,0.5729,0.5729
3,3.00,56.20,53.12,2400,46.6,0.09,admission,1.6088,0.5363,0.5363,0.5363
4,4.00,55.10,52.87,2400,43.8,0.07,admission,1.5538,0.5179,0.5179,0.5179
5,5.00,55.65,52.49,2400,42.6,0.21,admission,1.4713,0.4904,0.4904,0.4904
6,6.00,55.10,52.24,2400,40.5,0.14,admission,1.4163,0.4721,0.4721,0.4721
7,7.00,55.65,51.86,2400,38.9,0.09,admission,1.3338,0.4446,0.4446,0.4446
8,8.00,55.10,51.61,2400,37.2,0.06,admission,1.2788,0.4263,0.4263,0.4263
9,9.00,55.10,51.36,2400,35.6,0.05,admission,1.2238,0.4079,0.4079,0.4079
10,10.00,55.10,51.10,2400,34.1,0.06,admission,1.1688,0.3896,0.3896,0.3896
11,11.00,54.55,50.98,2400,32.9,0.08,admission,1.1413,0.3804,0.3804,0.3804
12,12.00,54.55,50.85,2400,32.1,0.06,admission,1.1138,0.3713,0.3713,0.3713
13,13.00,55.10,50.60,2400,31.4,0.05,admission,1.0588,0.3529,0.3529,0.3529
14,14.00,54.55,50.47,2400,30.1,0.05,admission,1.0313,0.3438,0.3438,0.3438
15,15.00,54.55,50.35,2400,29.2,0.08,admission,1.0038,0.3346,0.3346,0.3346
16,16.00,54.55,50.22,2400,28.6,0.05,admission,0.9763,0.3254,0.3254,0.3254
17,17.00,54.00,50.22,2400,27.8,0.09,admission,0.9763,0.3254,0.3254,0.3254
18,18.00,54.00,50.22,2400,27.8,0.06,admission,0.9763,0.3254,0.3254,0.3254
19,19.00,54.00,50.22,2400,27.8,0.07,admission,0.9763,0.3254,0.3254,0.3254
20,20.00,54.55,50.10,2400,27.8,0.06,admission,0.9488,0.3163,0.3163,0.3163
21,21.00,54.00,50.10,2400,27.7,0.06,admission,0.9488,0.3163,0.3163,0.3163
22,22.00,52.90,50.35,2400,27.3,0.05,admission,1.0038,0.3346,0.3346,0.3346
23,23.00,54.00,50.35,2400,28.7,0.06,admission,1.0038,0.3346,0.3346,0.3346
24,24.00,54.00,50.35,2400,28.6,0.06,admission,1.0038,0.3346,0.3346,0.3346
25,25.00,54.55,50.22,2400,28.6,0.05,admission,0.9763,0.3254,0.3254,0.3254
26,26.00,54.00,50.22,2400,27.8,0.05,admission,0.9763,0.3254,0.3254,0.3254
27,27.00,53.45,50.35,2400,28.2,0.06,admission,1.0038,0.3346,0.3346,0.3346
28,28.00,53.45,50.47,2400,28.7,0.05,admission,1.0313,0.3438,0.3438,0.3438
29,29.00,54.00,50.47,2400,29.3,0.06,admission,1.0313,0.3438,0.3438,0.3438
30,30.00,54.00,50.47,2400,29.3,0.06,admission,1.0313,0.3438,0.3438,0.3438
31,31.00,54.00,50.47,2400,29.3,0.06,admission,1.0313,0.3438,0.3438,0.3438
32,32.00,54.00,50.47,2400,29.7,0.06,admission,1.0313,0.3438,0.3438,0.3438
33,33.00,53.45,50.60,2400,29.2,0.05,admission,1.0588,0.3529,0.3529,0.3529
34,34.00,54.00,50.60,2400,30.0,0.08,admission,1.0588,0.3529,0.3529,0.3529
35,35.00,54.00,50.60,2400,30.3,0.05,admission,1.0588,0.3529,0.3529,0.3529
36,36.00,54.00,50.60,2400,30.2,0.06,admission,1.0588,0.3529,0.3529,0.3529
37,37.00,53.45,50.73,2400,30.2,0.08,admission,1.0863,0.3621,0.3621,0.3621
38,38.00,53.45,50.85,2400,30.9,0.05,admission,1.1138,0.3713,0.3713,0.3713
39,39.00,54.00,50.85,2400,31.5,0.05,admission,1.1138,0.3713,0.3713,0.3713
40,40.00,54.00,50.85,2400,31.7,0.06,admission,1.1138,0.3713,0.3713,0.3713
41,41.00,54.00,50.85,2400,31.4,0.06,admission,1.1138,0.3713,0.3713,0.3713
42,42.00,54.00,50.85,2400,31.4,0.05,admission,1.1138,0.3713,0.3713,0.3713
43,43.00,53.45,50.98,2400,31.4,0.05,admission,1.1413,0.3804,0.3804,0.3804
44,44.00,54.00,50.98,2400,32.3,0.06,admission,1.1413,0.3804,0.3804,0.3804
45,45.00,54.00,50.98,2400,32.2,0.05,admission,1.1413,0.3804,0.3804,0.3804
46,46.00,53.45,51.10,2400,32.3,0.06,admission,1.1688,0.3896,0.3896,0.3896
47,47.00,53.45,51.23,2400,32.8,0.05,admission,1.1963,0.3988,0.3988,0.3988
48,48.00,53.45,51.36,2400,33.7,0.06,admission,1.2238,0.4079,0.4079,0.4079
49,49.01,52.90,51.61,2400,34.6,0.05,admission,1.2788,0.4263,0.4263,0.4263
50,50.01,53.45,51.73,2400,35.6,0.22,admission,1.3063,0.4354,0.4354,0.4354
51,51.01,54.00,51.73,2400,36.5,0.06,admission,1.3063,0.4354,0.4354,0.4354
52,52.01,54.00,51.73,2400,36.5,0.05,admission,1.3063,0.4354,0.4354,0.4354
53,53.01,54.00,51.73,2400,36.5,0.05,admission,1.3063,0.4354,0.4354,0.4354
54,54.01,54.55,51.61,2400,36.5,0.05,admission,1.2788,0.4263,0.4263,0.4263
55,55.01,54.00,51.61,2400,35.6,0.17,admission,1.2788,0.4263,0.4263,0.4263
56,56.01,54.55,51.48,2400,36.0,0.05,admission,1.2513,0.4171,0.4171,0.4171
57,57.01,54.00,51.48,2400,35.0,0.07,admission,1.2513,0.4171,0.4171,0.4171
58,58.01,54.55,51.36,2400,35.0,0.06,admission,1.2238,0.4079,0.4079,0.4079
59,59.01,54.55,51.23,2400,34.4,0.08,admission,1.1963,0.3988,0.3988,0.3988
