step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,100.0,3001.76,convex,1.8013,0.6004,0.6004,0.6004
1,3.00,55.65,53.62,2400,99.8,61.07,convex,1.7188,0.5729,0.5729,0.5729
2,4.00,54.00,53.62,2400,49.0,36.53,convex,1.7188,0.5729,0.5729,0.5729
3,5.01,54.55,53.50,2400,47.3,39.20,convex,1.6913,0.5637,0.5638,0.5638
4,6.01,54.55,53.37,2400,46.9,38.08,convex,1.6638,0.5546,0.5546,0.5546
5,7.01,54.55,53.24,2400,46.3,33.93,convex,1.6363,0.5455,0.5454,0.5454
6,8.01,54.00,53.24,2400,45.4,35.23,convex,1.6363,0.5455,0.5454,0.5454
7,9.01,52.90,53.50,2400,45.3,35.22,convex,1.6913,0.5638,0.5638,0.5637
8,10.01,54.00,53.50,2400,46.7,39.82,convex,1.6913,0.5638,0.5638,0.5637
9,11.01,54.00,53.50,2400,48.6,41.83,convex,1.6913,0.5638,0.5638,0.5637
10,12.01,54.55,53.37,2400,47.8,38.16,convex,1.6638,0.5546,0.5546,0.5546
11,13.01,54.00,53.37,2400,46.4,92.67,convex,1.6638,0.5546,0.5546,0.5546
12,14.01,54.00,53.37,2400,46.7,30.20,convex,1.6638,0.5546,0.5546,0.5546
13,15.01,54.00,53.37,2400,45.7,29.21,convex,1.6638,0.5546,0.5546,0.5546
14,16.01,54.55,53.24,2400,46.1,27.63,convex,1.6363,0.5454,0.5455,0.5454
15,17.01,53.45,53.37,2400,45.3,35.50,convex,1.6638,0.5546,0.5546,0.5546
16,18.01,53.45,53.50,2400,45.8,33.34,convex,1.6913,0.5638,0.5638,0.5637
17,19.01,54.00,53.50,2400,46.7,33.22,convex,1.6913,0.5638,0.5638,0.5637
18,20.01,54.00,53.50,2400,46.6,35.79,convex,1.6913,0.5638,0.5638,0.5637
19,21.01,54.55,53.37,2400,46.5,31.38,convex,1.6638,0.5546,0.5546,0.5546
20,22.01,54.00,53.37,2400,46.0,27.35,convex,1.6638,0.5546,0.5546,0.5546
21,23.01,54.55,53.24,2400,45.9,32.81,convex,1.6363,0.5454,0.5455,0.5454
22,24.01,54.55,53.12,2400,45.3,30.68,convex,1.6088,0.5363,0.5363,0.5363
23,25.01,54.00,53.12,2400,44.7,29.81,convex,1.6088,0.5363,0.5363,0.5363
24,26.01,54.55,52.99,2400,44.9,30.78,convex,1.5813,0.5271,0.5271,0.5271
25,27.01,54.55,52.87,2400,44.0,31.23,convex,1.5538,0.5179,0.5179,0.5179
26,28.01,54.00,52.87,2400,43.3,29.71,convex,1.5538,0.5179,0.5179,0.5179
27,29.01,54.00,52.87,2400,43.5,32.30,convex,1.5538,0.5179,0.5179,0.5179
28,30.01,53.45,52.99,2400,43.5,29.86,convex,1.5813,0.5271,0.5271,0.5271
29,31.01,54.55,52.87,2400,43.8,28.27,convex,1.5538,0.5179,0.5179,0.5179
30,32.01,54.55,52.74,2400,43.2,31.68,convex,1.5263,0.5088,0.5088,0.5088
31,33.01,54.55,52.61,2400,42.6,25.44,convex,1.4988,0.4996,0.4996,0.4996
32,34.01,54.00,52.61,2400,41.9,28.70,convex,1.4988,0.4996,0.4996,0.4996
33,35.01,54.55,52.49,2400,42.0,27.26,convex,1.4713,0.4904,0.4904,0.4904
34,36.01,54.55,52.36,2400,41.4,29.63,convex,1.4438,0.4813,0.4813,0.4812
35,37.01,54.55,52.24,2400,40.5,24.24,convex,1.4163,0.4721,0.4721,0.4721
36,38.01,53.45,52.36,2400,39.9,23.76,convex,1.4438,0.4813,0.4813,0.4812
37,39.01,53.45,52.49,2400,40.5,24.28,convex,1.4713,0.4904,0.4904,0.4904
38,40.01,54.00,52.49,2400,41.4,26.51,convex,1.4713,0.4904,0.4904,0.4904
39,41.01,55.65,52.11,2400,41.2,26.50,convex,1.3888,0.4629,0.4629,0.4629
40,42.01,54.00,52.11,2400,39.6,26.14,convex,1.3888,0.4629,0.4629,0.4629
41,43.01,54.55,51.98,2400,39.3,22.74,convex,1.3613,0.4538,0.4538,0.4538
42,44.01,54.00,51.98,2400,38.7,26.46,convex,1.3613,0.4538,0.4538,0.4538
43,45.01,54.00,51.98,2400,38.6,27.83,convex,1.3613,0.4538,0.4538,0.4538
44,46.01,54.00,51.98,2400,38.3,27.09,convex,1.3613,0.4538,0.4538,0.4538
45,47.01,54.00,51.98,2400,38.7,28.31,convex,1.3613,0.4538,0.4538,0.4538
46,48.01,53.45,52.11,2400,38.4,26.84,convex,1.3888,0.4629,0.4629,0.4629
47,49.01,54.00,52.11,2400,39.0,27.17,convex,1.3888,0.4629,0.4629,0.4629
48,50.01,54.00,52.11,2400,39.6,28.06,convex,1.3888,0.4629,0.4629,0.4629
49,51.01,54.00,52.11,2400,39.2,26.50,convex,1.3888,0.4629,0.4629,0.4629
50,52.01,54.00,52.11,2400,39.3,27.81,convex,1.3888,0.4629,0.4629,0.4629
51,53.01,53.45,52.24,2400,39.1,25.27,convex,1.4163,0.4721,0.4721,0.4721
52,54.01,54.55,52.11,2400,39.7,25.04,convex,1.3888,0.4629,0.4629,0.4629
53,55.01,53.45,52.24,2400,39.2,27.80,convex,1.4163,0.4721,0.4721,0.4721
54,56.01,54.00,52.24,2400,39.8,23.55,convex,1.4163,0.4721,0.4721,0.4721
55,57.01,54.00,52.24,2400,40.0,22.86,convex,1.4163,0.4721,0.4721,0.4721
56,58.01,54.00,52.24,2400,39.9,28.82,convex,1.4163,0.4721,0.4721,0.4721
57,59.01,54.00,52.24,2400,40.0,26.80,convex,1.4163,0.4721,0.4721,0.4721
58,60.01,52.90,52.49,2400,39.8,24.69,convex,1.4713,0.4904,0.4904,0.4904
59,61.01,54.00,52.49,2400,41.3,28.15,convex,1.4713,0.4904,0.4904,0.4904
60,62.01,54.00,52.49,2400,41.2,23.63,convex,1.4713,0.4904,0.4904,0.4904
61,63.01,54.55,52.36,2400,41.1,27.28,convex,1.4438,0.4813,0.4813,0.4812
62,64.01,54.00,52.36,2400,40.6,25.65,convex,1.4438,0.4813,0.4813,0.4812
63,65.01,54.55,52.24,2400,40.6,22.52,convex,1.4163,0.4721,0.4721,0.4721
64,66.01,53.45,52.36,2400,39.8,28.11,convex,1.4438,0.4813,0.4813,0.4812
65,67.01,54.55,52.24,2400,40.6,25.38,convex,1.4163,0.4721,0.4721,0.4721
66,68.01,53.45,52.36,2400,39.7,25.15,convex,1.4438,0.4813,0.4813,0.4812
67,69.01,55.65,51.98,2400,40.5,28.58,convex,1.3613,0.4538,0.4538,0.4538
68,70.01,54.00,51.98,2400,38.5,77.64,convex,1.3613,0.4538,0.4538,0.4538
69,71.01,53.45,52.11,2400,38.2,21.73,convex,1.3888,0.4629,0.4629,0.4629
70,72.01,54.55,51.98,2400,39.3,24.88,convex,1.3613,0.4538,0.4538,0.4538
71,73.01,54.00,51.98,2400,38.1,21.78,convex,1.3613,0.4538,0.4538,0.4538
72,74.01,54.00,51.98,2400,38.9,23.60,convex,1.3613,0.4538,0.4538,0.4538
73,75.02,52.90,52.24,2400,38.3,24.05,convex,1.4163,0.4721,0.4721,0.4721
74,76.02,54.00,52.24,2400,39.9,24.26,convex,1.4163,0.4721,0.4721,0.4721
75,77.02,53.45,52.36,2400,39.7,24.81,convex,1.4438,0.4813,0.4813,0.4812
76,78.02,54.55,52.24,2400,40.4,24.11,convex,1.4163,0.4721,0.4721,0.4721
77,79.02,54.00,52.24,2400,39.7,24.45,convex,1.4163,0.4721,0.4721,0.4721
78,80.02,53.45,52.36,2400,39.9,24.60,convex,1.4438,0.4813,0.4813,0.4812
