step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,0.0,0.37,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,53.87,2400,47.8,0.30,matched,1.7738,0.5913,0.5913,0.5913
2,2.00,53.45,54.13,2400,47.2,0.20,matched,1.8288,0.6096,0.6096,0.6096
3,3.00,52.90,54.25,2400,48.3,0.12,matched,1.8563,0.6188,0.6188,0.6188
4,4.00,54.00,54.38,2400,49.1,0.12,matched,1.8838,0.6279,0.6279,0.6279
5,5.00,54.00,54.63,2400,49.9,0.08,matched,1.9388,0.6463,0.6463,0.6463
6,6.00,54.55,54.88,2400,51.1,0.09,matched,1.9938,0.6646,0.6646,0.6646
7,7.00,54.55,54.76,2400,52.5,0.28,matched,1.9663,0.6554,0.6554,0.6554
8,8.00,55.10,54.76,2400,51.7,0.09,matched,1.9663,0.6554,0.6554,0.6554
9,9.00,54.55,54.76,2400,51.6,0.07,matched,1.9663,0.6554,0.6554,0.6554
10,10.00,55.10,55.13,2400,52.0,0.08,matched,2.0488,0.6829,0.6829,0.6829
11,11.00,55.10,55.26,2400,53.5,0.24,matched,2.0763,0.6921,0.6921,0.6921
12,12.00,55.10,55.39,2400,54.4,0.12,matched,2.1038,0.7013,0.7013,0.7013
13,13.00,54.55,55.26,2400,54.9,0.07,matched,2.0763,0.6921,0.6921,0.6921
14,14.00,54.55,55.39,2400,54.3,0.08,matched,2.1038,0.7013,0.7013,0.7013
15,15.00,55.10,55.39,2400,54.9,0.16,matched,2.1038,0.7013,0.7013,0.7013
16,16.00,55.10,55.26,2400,54.8,0.10,matched,2.0763,0.6921,0.6921,0.6921
17,17.00,55.10,55.26,2400,54.5,0.11,matched,2.0763,0.6921,0.6921,0.6921
18,18.00,54.55,55.39,2400,54.3,0.08,matched,2.1038,0.7013,0.7013,0.7013
19,19.00,54.55,55.39,2400,55.0,0.08,matched,2.1038,0.7013,0.7013,0.7013
20,20.00,55.10,55.26,2400,54.9,0.18,matched,2.0763,0.6921,0.6921,0.6921
21,21.00,55.10,55.13,2400,54.3,0.09,matched,2.0488,0.6829,0.6829,0.6829
22,22.00,55.10,55.13,2400,53.7,0.07,matched,2.0488,0.6829,0.6829,0.6829
23,23.00,55.10,55.01,2400,53.4,0.07,matched,2.0213,0.6738,0.6738,0.6738
24,24.00,55.10,55.01,2400,52.8,0.08,matched,2.0213,0.6738,0.6738,0.6738
25,25.00,55.65,55.01,2400,53.0,0.07,matched,2.0213,0.6738,0.6738,0.6738
26,26.00,55.10,54.88,2400,53.0,0.08,matched,1.9938,0.6646,0.6646,0.6646
27,27.00,55.10,54.88,2400,52.5,0.08,matched,1.9938,0.6646,0.6646,0.6646
28,28.00,55.10,54.63,2400,52.2,0.16,matched,1.9388,0.6463,0.6463,0.6463
29,29.00,55.10,55.01,2400,51.0,0.07,matched,2.0213,0.6738,0.6738,0.6738
30,30.00,55.65,54.88,2400,53.0,0.07,matched,1.9938,0.6646,0.6646,0.6646
31,31.00,55.10,54.76,2400,52.2,0.08,matched,1.9663,0.6554,0.6554,0.6554
32,32.00,55.65,54.63,2400,51.9,0.08,matched,1.9388,0.6463,0.6463,0.6463
33,33.00,56.20,54.76,2400,51.1,0.08,matched,1.9663,0.6554,0.6554,0.6554
34,34.00,55.65,54.63,2400,51.5,0.07,matched,1.9388,0.6463,0.6463,0.6463
35,35.00,55.65,54.63,2400,51.0,0.08,matched,1.9388,0.6463,0.6463,0.6463
36,36.00,54.55,54.63,2400,51.4,0.06,matched,1.9388,0.6463,0.6463,0.6463
37,37.00,55.10,54.76,2400,51.4,0.14,matched,1.9663,0.6554,0.6554,0.6554
38,38.00,55.65,54.88,2400,51.9,0.11,matched,1.9938,0.6646,0.6646,0.6646
39,39.01,55.10,55.01,2400,52.6,0.24,matched,2.0213,0.6738,0.6738,0.6738
40,40.01,55.10,55.01,2400,53.1,0.22,matched,2.0213,0.6738,0.6738,0.6738
41,41.01,56.20,55.01,2400,53.3,0.09,matched,2.0213,0.6738,0.6738,0.6738
42,42.01,55.10,54.76,2400,53.0,0.06,matched,1.9663,0.6554,0.6554,0.6554
43,43.01,55.65,54.76,2400,52.2,0.18,matched,1.9663,0.6554,0.6554,0.6554
44,44.01,55.10,54.63,2400,51.9,0.08,matched,1.9388,0.6463,0.6463,0.6463
45,45.01,55.65,54.50,2400,51.1,0.07,matched,1.9113,0.6371,0.6371,0.6371
46,46.01,55.65,54.50,2400,50.6,0.06,matched,1.9113,0.6371,0.6371,0.6371
47,47.01,55.65,54.38,2400,50.6,0.20,matched,1.8838,0.6279,0.6279,0.6279
48,48.01,56.20,54.25,2400,49.9,0.07,matched,1.8563,0.6188,0.6188,0.6188
49,49.01,55.10,54.13,2400,49.4,0.05,matched,1.8288,0.6096,0.6096,0.6096
50,50.01,55.10,54.13,2400,48.6,0.05,matched,1.8288,0.6096,0.6096,0.6096
51,51.01,55.65,54.00,2400,48.5,0.12,matched,1.8013,0.6004,0.6004,0.6004
52,52.01,56.20,53.87,2400,47.8,0.10,matched,1.7738,0.5913,0.5913,0.5913
53,53.01,55.10,53.87,2400,47.2,0.06,matched,1.7738,0.5913,0.5913,0.5913
54,54.01,55.10,53.87,2400,47.0,0.07,matched,1.7738,0.5913,0.5913,0.5913
55,55.01,55.10,53.87,2400,47.2,0.19,matched,1.7738,0.5913,0.5913,0.5913
56,56.01,55.10,53.87,2400,47.3,0.07,matched,1.7738,0.5913,0.5913,0.5913
57,57.01,55.10,53.75,2400,47.2,0.07,matched,1.7463,0.5821,0.5821,0.5821
58,58.01,55.10,53.75,2400,46.3,0.06,matched,1.7463,0.5821,0.5821,0.5821
59,59.01,55.10,53.62,2400,46.3,0.05,matched,1.7188,0.5729,0.5729,0.5729
60,60.01,54.55,53.62,2400,45.8,0.06,matched,1.7188,0.5729,0.5729,0.5729
61,61.01,55.10,53.50,2400,45.7,0.06,matched,1.6913,0.5638,0.5638,0.5638
62,62.01,54.00,53.62,2400,45.2,0.05,matched,1.7188,0.5729,0.5729,0.5729
63,63.01,54.55,53.62,2400,45.8,0.05,matched,1.7188,0.5729,0.5729,0.5729
64,64.01,55.65,53.50,2400,45.8,0.06,matched,1.6913,0.5638,0.5638,0.5638
65,65.01,55.10,53.50,2400,45.3,0.09,matched,1.6913,0.5638,0.5638,0.5638
66,66.01,55.10,53.50,2400,45.1,0.05,matched,1.6913,0.5638,0.5638,0.5638
67,67.01,54.00,53.50,2400,45.3,0.07,matched,1.6913,0.5638,0.5638,0.5638
68,68.01,55.10,53.37,2400,45.1,0.08,matched,1.6638,0.5546,0.5546,0.5546
69,69.01,55.10,53.37,2400,44.3,0.06,matched,1.6638,0.5546,0.5546,0.5546
70,70.01,55.10,53.50,2400,44.5,0.05,matched,1.6913,0.5638,0.5638,0.5638
71,71.01,54.55,53.62,2400,45.2,0.06,matched,1.7188,0.5729,0.5729,0.5729
72,72.01,55.10,53.24,2400,45.8,0.05,matched,1.6363,0.5454,0.5454,0.5454
73,73.01,55.10,53.24,2400,43.7,0.05,matched,1.6363,0.5454,0.5454,0.5454
74,74.01,55.10,53.24,2400,44.1,0.22,matched,1.6363,0.5454,0.5454,0.5454
75,75.01,54.55,53.24,2400,43.3,0.09,matched,1.6363,0.5454,0.5454,0.5454
76,76.01,55.10,53.24,2400,43.6,0.08,matched,1.6363,0.5454,0.5454,0.5454
77,77.01,55.10,53.24,2400,44.0,0.05,matched,1.6363,0.5454,0.5454,0.5454
78,78.01,55.10,53.12,2400,43.5,0.06,matched,1.6088,0.5363,0.5363,0.5363
79,79.01,55.10,52.99,2400,42.9,0.07,matched,1.5813,0.5271,0.5271,0.5271
80,80.01,54.55,52.99,2400,42.1,0.07,matched,1.5813,0.5271,0.5271,0.5271
81,81.01,55.10,52.99,2400,42.1,0.05,matched,1.5813,0.5271,0.5271,0.5271
82,82.01,54.00,53.12,2400,42.2,0.05,matched,1.6088,0.5363,0.5363,0.5363
83,83.01,54.55,52.99,2400,42.8,0.05,matched,1.5813,0.5271,0.5271,0.5271
84,84.01,54.55,52.99,2400,42.2,0.06,matched,1.5813,0.5271,0.5271,0.5271
85,85.01,54.55,53.12,2400,42.0,0.05,matched,1.6088,0.5363,0.5363,0.5363
86,86.01,54.55,53.12,2400,42.7,0.06,matched,1.6088,0.5363,0.5363,0.5363
87,87.01,54.55,53.12,2400,42.7,0.06,matched,1.6088,0.5363,0.5363,0.5363
88,88.01,54.00,53.24,2400,42.9,0.08,matched,1.6363,0.5454,0.5454,0.5454
89,89.01,54.55,53.12,2400,43.5,0.05,matched,1.6088,0.5363,0.5363,0.5363
90,90.01,53.45,53.24,2400,42.7,0.05,matched,1.6363,0.5454,0.5454,0.5454
91,91.01,54.00,53.24,2400,43.8,0.06,matched,1.6363,0.5454,0.5454,0.5454
