step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,56.20,54.00,2400,0.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,56.20,53.50,2400,48.4,0.08,admission,1.6913,0.5638,0.5638,0.5638
2,2.00,56.20,52.99,2400,45.8,0.06,admission,1.5813,0.5271,0.5271,0.5271
3,3.00,55.65,52.61,2400,43.1,0.16,admission,1.4988,0.4996,0.4996,0.4996
4,4.00,55.65,52.24,2400,41.1,0.07,admission,1.4163,0.4721,0.4721,0.4721
5,5.00,56.20,51.73,2400,39.0,0.06,admission,1.3063,0.4354,0.4354,0.4354
6,6.00,55.10,51.48,2400,36.2,0.06,admission,1.2513,0.4171,0.4171,0.4171
7,7.00,55.65,51.10,2400,34.7,0.06,admission,1.1688,0.3896,0.3896,0.3896
8,8.00,55.10,50.85,2400,32.9,0.07,admission,1.1138,0.3713,0.3713,0.3713
9,9.00,55.10,50.60,2400,31.3,0.05,admission,1.0588,0.3529,0.3529,0.3529
10,10.00,55.10,50.35,2400,29.7,0.05,admission,1.0038,0.3346,0.3346,0.3346
11,11.00,55.10,50.10,2400,28.4,0.05,admission,0.9488,0.3163,0.3163,0.3163
12,12.00,54.55,49.97,2400,27.0,0.05,admission,0.9213,0.3071,0.3071,0.3071
13,13.00,54.55,49.84,2400,26.1,0.05,admission,0.8938,0.2979,0.2979,0.2979
14,14.00,55.10,49.59,2400,25.4,0.05,admission,0.8388,0.2796,0.2796,0.2796
15,15.00,54.55,49.47,2400,24.1,0.04,admission,0.8113,0.2704,0.2704,0.2704
16,16.00,54.00,49.47,2400,23.2,0.05,admission,0.8113,0.2704,0.2704,0.2704
17,17.00,54.00,49.47,2400,23.2,0.06,admission,0.8113,0.2704,0.2704,0.2704
18,18.00,54.00,49.47,2400,23.2,0.06,admission,0.8113,0.2704,0.2704,0.2704
19,19.00,54.00,49.47,2400,23.3,0.05,admission,0.8113,0.2704,0.2704,0.2704
20,20.00,53.45,49.59,2400,23.2,0.05,admission,0.8388,0.2796,0.2796,0.2796
21,21.00,53.45,49.72,2400,23.9,0.06,admission,0.8663,0.2888,0.2888,0.2888
22,22.00,54.00,49.72,2400,24.7,0.05,admission,0.8663,0.2888,0.2888,0.2888
23,23.00,52.35,50.10,2400,24.6,0.04,admission,0.9488,0.3163,0.3163,0.3163
24,24.00,54.55,49.97,2400,27.1,0.05,admission,0.9213,0.3071,0.3071,0.3071
25,25.00,54.00,49.97,2400,25.9,0.05,admission,0.9213,0.3071,0.3071,0.3071
26,26.00,55.65,49.59,2400,26.5,0.05,admission,0.8388,0.2796,0.2796,0.2796
27,27.00,53.45,49.72,2400,24.1,0.05,admission,0.8663,0.2888,0.2888,0.2888
28,28.00,53.45,49.84,2400,24.8,0.06,admission,0.8938,0.2979,0.2979,0.2979
29,29.00,52.90,50.10,2400,25.4,0.05,admission,0.9488,0.3163,0.3163,0.3163
30,30.00,54.00,50.10,2400,26.8,0.05,admission,0.9488,0.3163,0.3163,0.3163
31,31.00,52.90,50.35,2400,27.1,0.05,admission,1.0038,0.3346,0.3346,0.3346
32,32.00,53.45,50.47,2400,28.4,0.05,admission,1.0313,0.3438,0.3438,0.3438
33,33.00,53.45,50.60,2400,29.3,0.05,admission,1.0588,0.3529,0.3529,0.3529
34,34.00,51.80,51.10,2400,29.6,0.05,admission,1.1688,0.3896,0.3896,0.3896
35,35.00,53.45,51.23,2400,32.6,0.05,admission,1.1963,0.3988,0.3988,0.3988
36,36.00,52.35,51.61,2400,33.4,0.05,admission,1.2788,0.4263,0.4263,0.4263
37,37.00,54.00,51.61,2400,35.5,0.06,admission,1.2788,0.4263,0.4263,0.4263
38,38.00,54.00,51.61,2400,35.5,0.05,admission,1.2788,0.4263,0.4263,0.4263
39,39.00,54.55,51.48,2400,35.5,0.05,admission,1.2513,0.4171,0.4171,0.4171
40,40.00,54.00,51.48,2400,34.8,0.05,admission,1.2513,0.4171,0.4171,0.4171
41,41.00,53.45,51.61,2400,34.7,0.05,admission,1.2788,0.4263,0.4263,0.4263
42,42.00,54.00,51.61,2400,35.5,0.05,admission,1.2788,0.4263,0.4263,0.4263
43,43.00,54.00,51.61,2400,35.5,0.05,admission,1.2788,0.4263,0.4263,0.4263
44,44.00,53.45,51.73,2400,35.2,0.05,admission,1.3063,0.4354,0.4354,0.4354
45,45.00,53.45,51.86,2400,36.2,0.05,admission,1.3338,0.4446,0.4446,0.4446
46,46.00,53.45,51.98,2400,36.9,0.05,admission,1.3613,0.4538,0.4538,0.4538
47,47.00,53.45,52.11,2400,37.4,0.05,admission,1.3888,0.4629,0.4629,0.4629
48,48.00,53.45,52.24,2400,38.4,0.10,admission,1.4163,0.4721,0.4721,0.4721
49,49.00,54.00,52.24,2400,38.8,0.05,admission,1.4163,0.4721,0.4721,0.4721
50,50.00,54.00,52.24,2400,39.2,0.06,admission,1.4163,0.4721,0.4721,0.4721
51,51.00,53.45,52.36,2400,38.9,0.05,admission,1.4438,0.4813,0.4813,0.4813
52,52.00,54.00,52.36,2400,39.7,0.05,admission,1.4438,0.4813,0.4813,0.4813
53,53.00,52.90,52.61,2400,39.5,0.05,admission,1.4988,0.4996,0.4996,0.4996
54,54.00,54.00,52.61,2400,40.9,0.05,admission,1.4988,0.4996,0.4996,0.4996
55,55.00,54.00,52.61,2400,40.9,0.05,admission,1.4988,0.4996,0.4996,0.4996
56,56.00,53.45,52.74,2400,41.0,0.05,admission,1.5263,0.5088,0.5088,0.5088
57,57.00,53.45,52.87,2400,41.8,0.06,admission,1.5538,0.5179,0.5179,0.5179
58,58.00,54.00,52.87,2400,42.4,0.06,admission,1.5538,0.5179,0.5179,0.5179
59,59.00,54.55,52.74,2400,42.2,0.06,admission,1.5263,0.5088,0.5088,0.5088
60,60.01,52.90,52.99,2400,41.6,0.05,admission,1.5813,0.5271,0.5271,0.5271
61,61.01,53.45,53.12,2400,42.8,0.05,admission,1.6088,0.5363,0.5363,0.5363
62,62.01,54.00,53.12,2400,43.5,0.05,admission,1.6088,0.5363,0.5363,0.5363
63,63.01,54.00,53.12,2400,43.5,0.11,admission,1.6088,0.5363,0.5363,0.5363
64,64.01,53.45,53.24,2400,43.5,0.06,admission,1.6363,0.5454,0.5454,0.5454
65,65.01,54.55,53.12,2400,44.1,0.05,admission,1.6088,0.5363,0.5363,0.5363
66,66.01,53.45,53.24,2400,43.5,0.05,admission,1.6363,0.5454,0.5454,0.5454
67,67.01,52.90,53.50,2400,44.0,0.06,admission,1.6913,0.5638,0.5638,0.5638
68,68.01,54.55,53.37,2400,45.6,0.21,admission,1.6638,0.5546,0.5546,0.5546
69,69.01,53.45,53.50,2400,44.9,0.11,admission,1.6913,0.5638,0.5638,0.5638
70,70.01,54.00,53.50,2400,45.4,0.06,admission,1.6913,0.5638,0.5638,0.5638
