step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,3018.53,convex,1.8013,0.6004,0.6004,0.6004
1,3.02,55.10,53.75,2400,99.9,59.50,convex,1.7463,0.5821,0.5821,0.5821
2,4.02,54.55,53.62,2400,49.3,32.26,convex,1.7188,0.5729,0.5729,0.5729
3,5.02,54.00,53.62,2400,46.9,39.73,convex,1.7188,0.5729,0.5729,0.5729
4,6.02,53.45,53.75,2400,47.5,32.65,convex,1.7463,0.5821,0.5821,0.5821
5,7.02,54.00,53.75,2400,48.1,37.76,convex,1.7463,0.5821,0.5821,0.5821
6,8.02,53.45,53.87,2400,47.8,34.18,convex,1.7738,0.5913,0.5913,0.5912
7,9.02,54.00,53.87,2400,48.5,35.83,convex,1.7738,0.5913,0.5913,0.5912
8,10.02,53.45,54.00,2400,48.6,33.21,convex,1.8013,0.6004,0.6004,0.6005
9,11.02,54.00,54.00,2400,49.0,36.57,convex,1.8013,0.6004,0.6004,0.6005
10,12.02,54.00,54.00,2400,49.3,35.95,convex,1.8013,0.6004,0.6004,0.6005
11,13.02,53.45,54.13,2400,49.3,98.12,convex,1.8288,0.6096,0.6096,0.6096
12,14.02,52.90,54.38,2400,50.4,38.70,convex,1.8838,0.6279,0.6280,0.6279
13,15.02,53.45,54.50,2400,51.6,41.74,convex,1.9113,0.6371,0.6371,0.6371
14,16.03,54.00,54.50,2400,51.9,38.95,convex,1.9113,0.6371,0.6371,0.6371
15,17.03,55.10,54.25,2400,52.0,37.49,convex,1.8563,0.6187,0.6187,0.6188
16,18.03,54.00,54.25,2400,50.6,39.36,convex,1.8563,0.6187,0.6187,0.6188
17,19.03,54.55,54.13,2400,50.9,36.18,convex,1.8288,0.6096,0.6096,0.6096
18,20.03,54.55,54.00,2400,50.4,29.93,convex,1.8013,0.6004,0.6004,0.6005
19,21.03,54.00,54.00,2400,49.1,38.39,convex,1.8013,0.6004,0.6004,0.6005
20,22.03,54.00,54.00,2400,49.5,39.87,convex,1.8013,0.6004,0.6004,0.6005
21,23.03,54.55,53.87,2400,49.5,36.41,convex,1.7738,0.5913,0.5913,0.5912
22,24.03,54.00,53.87,2400,49.1,30.24,convex,1.7738,0.5913,0.5913,0.5912
23,25.03,54.00,53.87,2400,48.5,34.92,convex,1.7738,0.5913,0.5913,0.5912
24,26.03,54.00,53.87,2400,48.6,33.00,convex,1.7738,0.5913,0.5913,0.5912
25,27.03,54.00,53.87,2400,48.8,36.60,convex,1.7738,0.5913,0.5913,0.5912
26,28.03,55.65,53.50,2400,48.6,33.52,convex,1.6913,0.5637,0.5638,0.5638
27,29.03,54.00,53.50,2400,46.9,33.27,convex,1.6913,0.5637,0.5638,0.5638
28,30.03,55.10,53.24,2400,46.9,29.69,convex,1.6363,0.5455,0.5454,0.5455
29,31.03,54.00,53.24,2400,45.4,26.61,convex,1.6363,0.5455,0.5454,0.5455
30,32.03,53.45,53.37,2400,45.1,30.45,convex,1.6638,0.5546,0.5546,0.5546
31,33.03,53.45,53.50,2400,45.9,29.96,convex,1.6913,0.5638,0.5637,0.5638
32,34.03,54.00,53.50,2400,46.8,29.61,convex,1.6913,0.5638,0.5637,0.5638
33,35.03,54.00,53.50,2400,46.4,31.61,convex,1.6913,0.5638,0.5637,0.5638
34,36.03,54.55,53.37,2400,46.8,33.05,convex,1.6638,0.5546,0.5546,0.5546
35,37.03,54.55,53.24,2400,46.1,30.50,convex,1.6363,0.5455,0.5454,0.5455
36,38.03,53.45,53.37,2400,45.3,33.52,convex,1.6638,0.5546,0.5546,0.5546
37,39.03,54.55,53.24,2400,45.8,34.31,convex,1.6363,0.5455,0.5454,0.5455
38,40.03,54.00,53.24,2400,45.3,31.22,convex,1.6363,0.5455,0.5454,0.5455
39,41.03,54.00,53.24,2400,45.3,33.42,convex,1.6363,0.5455,0.5454,0.5455
40,42.03,54.00,53.24,2400,45.1,29.86,convex,1.6363,0.5455,0.5454,0.5455
41,43.03,54.00,53.24,2400,45.3,34.29,convex,1.6363,0.5455,0.5454,0.5455
42,44.03,53.45,53.37,2400,45.6,27.82,convex,1.6638,0.5546,0.5546,0.5546
43,45.03,54.00,53.37,2400,46.7,30.20,convex,1.6638,0.5546,0.5546,0.5546
44,46.03,54.00,53.37,2400,45.5,32.97,convex,1.6638,0.5546,0.5546,0.5546
45,47.03,54.00,53.37,2400,46.2,31.18,convex,1.6638,0.5546,0.5546,0.5546
46,48.03,53.45,53.50,2400,46.1,31.63,convex,1.6913,0.5638,0.5637,0.5638
47,49.03,54.00,53.50,2400,46.6,33.41,convex,1.6913,0.5638,0.5637,0.5638
48,50.03,54.55,53.37,2400,46.9,31.20,convex,1.6638,0.5546,0.5546,0.5546
49,51.03,54.00,53.37,2400,46.1,29.67,convex,1.6638,0.5546,0.5546,0.5546
50,52.03,54.55,53.24,2400,46.3,28.28,convex,1.6363,0.5455,0.5454,0.5455
51,53.03,54.00,53.24,2400,45.1,27.78,convex,1.6363,0.5455,0.5454,0.5455
52,54.03,54.00,53.24,2400,45.3,28.95,convex,1.6363,0.5455,0.5454,0.5455
53,55.03,53.45,53.37,2400,45.1,26.57,convex,1.6638,0.5546,0.5546,0.5546
54,56.03,54.00,53.37,2400,46.1,25.03,convex,1.6638,0.5546,0.5546,0.5546
55,57.03,54.00,53.37,2400,45.8,31.23,convex,1.6638,0.5546,0.5546,0.5546
56,58.03,54.00,53.37,2400,46.1,32.27,convex,1.6638,0.5546,0.5546,0.5546
57,59.03,54.00,53.37,2400,45.8,30.74,convex,1.6638,0.5546,0.5546,0.5546
58,60.03,54.55,53.24,2400,46.1,27.84,convex,1.6363,0.5455,0.5454,0.5455
