step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,54.00,2400,100.0,0.14,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,53.75,2400,47.7,0.06,matched,1.7463,0.5821,0.5821,0.5821
2,2.00,53.45,53.62,2400,46.2,0.06,matched,1.7188,0.5729,0.5729,0.5729
3,3.00,51.80,53.62,2400,45.4,0.07,matched,1.7188,0.5729,0.5729,0.5729
4,4.00,53.45,53.75,2400,45.6,0.06,matched,1.7463,0.5821,0.5821,0.5821
5,5.00,53.45,53.75,2400,46.1,0.06,matched,1.7463,0.5821,0.5821,0.5821
6,6.00,52.90,53.87,2400,46.4,0.06,matched,1.7738,0.5913,0.5913,0.5913
7,7.00,54.00,53.87,2400,46.9,0.06,matched,1.7738,0.5913,0.5913,0.5913
8,8.00,53.45,54.00,2400,47.0,0.06,matched,1.8013,0.6004,0.6004,0.6004
9,9.00,52.90,54.00,2400,47.7,0.06,matched,1.8013,0.6004,0.6004,0.6004
10,10.00,53.45,54.00,2400,47.4,0.05,matched,1.8013,0.6004,0.6004,0.6004
11,11.00,54.00,54.13,2400,47.4,0.16,matched,1.8288,0.6096,0.6096,0.6096
12,12.00,54.00,54.38,2400,48.3,0.06,matched,1.8838,0.6279,0.6279,0.6279
13,13.00,54.00,54.50,2400,49.9,0.05,matched,1.9113,0.6371,0.6371,0.6371
14,14.00,54.00,54.50,2400,50.2,0.06,matched,1.9113,0.6371,0.6371,0.6371
15,15.00,54.00,54.25,2400,50.4,0.06,matched,1.8563,0.6188,0.6188,0.6188
16,16.00,54.00,54.25,2400,49.0,0.18,matched,1.8563,0.6188,0.6188,0.6188
17,17.00,54.00,54.13,2400,49.3,0.05,matched,1.8288,0.6096,0.6096,0.6096
18,18.00,54.00,54.00,2400,48.5,0.11,matched,1.8013,0.6004,0.6004,0.6004
19,19.00,54.00,54.00,2400,47.4,0.06,matched,1.8013,0.6004,0.6004,0.6004
20,20.00,54.55,54.00,2400,47.5,0.06,matched,1.8013,0.6004,0.6004,0.6004
21,21.00,53.45,53.87,2400,47.7,0.10,matched,1.7738,0.5913,0.5913,0.5913
22,22.00,54.00,53.87,2400,46.8,0.12,matched,1.7738,0.5913,0.5913,0.5913
23,23.00,54.55,53.87,2400,47.0,0.05,matched,1.7738,0.5913,0.5913,0.5913
24,24.00,54.00,53.87,2400,47.0,0.05,matched,1.7738,0.5913,0.5913,0.5913
25,25.00,54.00,53.87,2400,46.9,0.07,matched,1.7738,0.5913,0.5913,0.5913
26,26.00,54.55,53.50,2400,46.9,0.06,matched,1.6913,0.5638,0.5638,0.5638
27,27.00,54.55,53.50,2400,44.6,0.11,matched,1.6913,0.5638,0.5638,0.5638
28,28.00,53.45,53.24,2400,45.2,0.07,matched,1.6363,0.5454,0.5454,0.5454
29,29.00,53.45,53.24,2400,43.3,0.05,matched,1.6363,0.5454,0.5454,0.5454
30,30.00,53.45,53.37,2400,43.5,0.19,matched,1.6638,0.5546,0.5546,0.5546
31,31.00,54.00,53.50,2400,44.1,0.11,matched,1.6913,0.5638,0.5638,0.5638
32,32.00,54.00,53.50,2400,45.2,0.05,matched,1.6913,0.5638,0.5638,0.5638
33,33.00,54.00,53.50,2400,44.8,0.06,matched,1.6913,0.5638,0.5638,0.5638
34,34.00,53.45,53.37,2400,45.0,0.06,matched,1.6638,0.5546,0.5546,0.5546
35,35.00,54.00,53.24,2400,44.4,0.10,matched,1.6363,0.5454,0.5454,0.5454
36,36.00,53.45,53.37,2400,43.3,0.05,matched,1.6638,0.5546,0.5546,0.5546
37,37.00,54.00,53.24,2400,44.0,0.05,matched,1.6363,0.5454,0.5454,0.5454
38,38.00,52.90,53.24,2400,43.5,0.07,matched,1.6363,0.5454,0.5454,0.5454
39,39.00,54.00,53.24,2400,43.5,0.06,matched,1.6363,0.5454,0.5454,0.5454
40,40.00,53.45,53.24,2400,43.5,0.05,matched,1.6363,0.5454,0.5454,0.5454
41,41.00,54.55,53.24,2400,43.3,0.06,matched,1.6363,0.5454,0.5454,0.5454
42,42.00,54.00,53.37,2400,43.3,0.05,matched,1.6638,0.5546,0.5546,0.5546
43,43.00,53.45,53.37,2400,44.0,0.06,matched,1.6638,0.5546,0.5546,0.5546
44,44.00,52.90,53.37,2400,44.0,0.06,matched,1.6638,0.5546,0.5546,0.5546
45,45.00,54.00,53.37,2400,44.1,0.16,matched,1.6638,0.5546,0.5546,0.5546
46,46.00,53.45,53.50,2400,44.0,0.06,matched,1.6913,0.5638,0.5638,0.5638
47,47.00,53.45,53.50,2400,44.4,0.06,matched,1.6913,0.5638,0.5638,0.5638
48,48.00,54.00,53.37,2400,44.7,0.05,matched,1.6638,0.5546,0.5546,0.5546
49,49.00,53.45,53.37,2400,44.0,0.05,matched,1.6638,0.5546,0.5546,0.5546
50,50.00,54.00,53.24,2400,44.2,0.05,matched,1.6363,0.5454,0.5454,0.5454
51,51.00,54.55,53.24,2400,43.2,0.07,matched,1.6363,0.5454,0.5454,0.5454
52,52.00,54.00,53.24,2400,43.5,0.05,matched,1.6363,0.5454,0.5454,0.5454
53,53.01,54.00,53.37,2400,43.2,0.06,matched,1.6638,0.5546,0.5546,0.5546
54,54.01,54.55,53.37,2400,44.1,0.05,matched,1.6638,0.5546,0.5546,0.5546
55,55.01,54.00,53.37,2400,44.0,0.05,matched,1.6638,0.5546,0.5546,0.5546
56,56.01,54.00,53.37,2400,43.8,0.06,matched,1.6638,0.5546,0.5546,0.5546
57,57.01,54.00,53.37,2400,44.0,0.06,matched,1.6638,0.5546,0.5546,0.5546
58,58.01,53.45,53.24,2400,44.0,0.05,matched,1.6363,0.5454,0.5454,0.5454
59,59.01,54.00,53.24,2400,43.1,0.06,matched,1.6363,0.5454,0.5454,0.5454
60,60.01,53.45,53.24,2400,43.3,0.06,matched,1.6363,0.5454,0.5454,0.5454
61,61.01,54.00,53.12,2400,43.5,0.05,matched,1.6088,0.5363,0.5363,0.5363
62,62.01,52.90,53.12,2400,42.5,0.08,matched,1.6088,0.5363,0.5363,0.5363
63,63.01,54.00,52.99,2400,42.6,0.05,matched,1.5813,0.5271,0.5271,0.5271
64,64.01,53.45,53.24,2400,41.7,0.05,matched,1.6363,0.5454,0.5454,0.5454
65,65.01,54.00,53.12,2400,43.3,0.06,matched,1.6088,0.5363,0.5363,0.5363
66,66.01,54.00,53.12,2400,42.5,0.07,matched,1.6088,0.5363,0.5363,0.5363
67,67.01,53.45,52.99,2400,42.6,0.05,matched,1.5813,0.5271,0.5271,0.5271
68,68.01,52.90,52.99,2400,41.6,0.06,matched,1.5813,0.5271,0.5271,0.5271
69,69.01,52.90,52.99,2400,42.0,0.06,matched,1.5813,0.5271,0.5271,0.5271
70,70.01,53.45,53.12,2400,41.9,0.05,matched,1.6088,0.5363,0.5363,0.5363
71,71.01,52.90,52.99,2400,42.6,0.05,matched,1.5813,0.5271,0.5271,0.5271
72,72.01,52.90,53.12,2400,41.9,0.06,matched,1.6088,0.5363,0.5363,0.5363
73,73.01,53.45,52.99,2400,42.6,0.05,matched,1.5813,0.5271,0.5271,0.5271
74,74.01,53.45,52.87,2400,41.9,0.06,matched,1.5538,0.5179,0.5179,0.5179
75,75.01,53.45,52.74,2400,41.1,0.07,matched,1.5263,0.5088,0.5088,0.5088
76,76.01,54.00,52.74,2400,40.5,0.05,matched,1.5263,0.5088,0.5088,0.5088
77,77.01,52.90,52.87,2400,40.4,0.06,matched,1.5538,0.5179,0.5179,0.5179
78,78.01,53.45,52.87,2400,41.4,0.05,matched,1.5538,0.5179,0.5179,0.5179
79,79.01,52.35,52.99,2400,41.3,0.06,matched,1.5813,0.5271,0.5271,0.5271
80,80.01,53.45,52.99,2400,42.0,0.05,matched,1.5813,0.5271,0.5271,0.5271
81,81.01,53.45,52.87,2400,42.1,0.06,matched,1.5538,0.5179,0.5179,0.5179
82,82.01,54.00,52.87,2400,41.2,0.05,matched,1.5538,0.5179,0.5179,0.5179
83,83.01,53.45,52.99,2400,41.5,0.05,matched,1.5813,0.5271,0.5271,0.5271
84,84.01,52.90,53.12,2400,42.1,0.05,matched,1.6088,0.5363,0.5363,0.5363
85,85.01,53.45,53.12,2400,42.9,0.05,matched,1.6088,0.5363,0.5363,0.5363
86,86.01,52.90,53.12,2400,42.9,0.05,matched,1.6088,0.5363,0.5363,0.5363
87,87.01,52.90,53.12,2400,42.8,0.21,matched,1.6088,0.5363,0.5363,0.5363
88,88.01,53.45,53.12,2400,42.6,0.05,matched,1.6088,0.5363,0.5363,0.5363
89,89.01,54.00,53.12,2400,42.6,0.07,matched,1.6088,0.5363,0.5363,0.5363
90,90.01,52.90,53.12,2400,42.7,0.05,matched,1.6088,0.5363,0.5363,0.5363
91,91.01,52.90,52.99,2400,42.6,0.05,matched,1.5813,0.5271,0.5271,0.5271
92,92.01,52.90,52.99,2400,42.0,0.05,matched,1.5813,0.5271,0.5271,0.5271
93,93.01,53.45,52.87,2400,41.9,0.05,matched,1.5538,0.5179,0.5179,0.5179
94,94.01,53.45,52.99,2400,41.3,0.05,matched,1.5813,0.5271,0.5271,0.5271
95,95.01,52.90,53.12,2400,42.1,0.10,matched,1.6088,0.5363,0.5363,0.5363
96,96.01,52.35,53.12,2400,42.9,0.05,matched,1.6088,0.5363,0.5363,0.5363
97,97.01,53.45,53.12,2400,42.5,0.05,matched,1.6088,0.5363,0.5363,0.5363
98,98.01,53.45,53.50,2400,42.7,0.05,matched,1.6913,0.5638,0.5638,0.5638
99,99.01,52.90,53.50,2400,44.7,0.07,matched,1.6913,0.5638,0.5638,0.5638
100,100.01,53.45,53.50,2400,44.7,0.06,matched,1.6913,0.5638,0.5638,0.5638
101,101.01,53.45,53.37,2400,44.7,0.06,matched,1.6638,0.5546,0.5546,0.5546
102,102.01,52.90,53.24,2400,44.1,0.06,matched,1.6363,0.5454,0.5454,0.5454
103,103.01,53.45,53.12,2400,43.2,0.07,matched,1.6088,0.5363,0.5363,0.5363
104,104.01,53.45,53.12,2400,42.9,0.05,matched,1.6088,0.5363,0.5363,0.5363
105,105.01,53.45,52.99,2400,42.8,0.07,matched,1.5813,0.5271,0.5271,0.5271
106,106.01,53.45,53.24,2400,41.9,0.05,matched,1.6363,0.5454,0.5454,0.5454
107,107.01,52.90,53.24,2400,43.3,0.05,matched,1.6363,0.5454,0.5454,0.5454
108,108.01,52.35,53.37,2400,43.2,0.06,matched,1.6638,0.5546,0.5546,0.5546
109,109.01,52.90,53.24,2400,44.1,0.05,matched,1.6363,0.5454,0.5454,0.5454
110,110.01,52.90,53.12,2400,43.4,0.07,matched,1.6088,0.5363,0.5363,0.5363
111,111.01,53.45,53.12,2400,42.6,0.05,matched,1.6088,0.5363,0.5363,0.5363
112,112.01,53.45,52.87,2400,42.7,0.05,matched,1.5538,0.5179,0.5179,0.5179
113,113.01,52.90,52.74,2400,41.1,0.06,matched,1.5263,0.5088,0.5088,0.5088
114,114.01,52.90,52.49,2400,40.5,0.11,matched,1.4713,0.4904,0.4904,0.4904
115,115.01,52.35,52.49,2400,39.3,0.06,matched,1.4713,0.4904,0.4904,0.4904
116,116.01,52.35,52.36,2400,39.6,0.09,matched,1.4438,0.4813,0.4813,0.4813
