step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,47.95,54.00,2400,0.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,47.95,55.39,2400,34.4,0.09,admission,2.1038,0.7013,0.7013,0.7013
2,2.00,47.95,56.77,2400,19.2,0.14,admission,2.4063,0.8021,0.8021,0.8021
3,3.00,47.40,58.28,2400,21.2,0.06,admission,2.7363,0.9121,0.9121,0.9121
4,4.00,48.50,59.49,2400,24.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
5,5.00,49.05,59.49,2400,40.5,0.16,admission,3.0000,1.0000,1.0000,1.0000
6,6.00,47.40,59.49,2400,24.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
7,7.00,48.50,59.49,2400,25.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
8,8.00,47.95,59.49,2400,29.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
9,9.00,48.50,59.49,2400,25.6,0.17,admission,3.0000,1.0000,1.0000,1.0000
10,10.00,47.95,59.49,2400,28.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
11,11.00,49.05,59.49,2400,33.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
12,12.00,49.05,59.49,2400,28.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
13,13.00,48.50,59.49,2400,17.0,0.10,admission,3.0000,1.0000,1.0000,1.0000
14,14.00,48.50,59.49,2400,23.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
15,15.00,48.50,59.49,2400,37.8,0.07,admission,3.0000,1.0000,1.0000,1.0000
16,16.00,49.05,59.49,2400,35.3,0.11,admission,3.0000,1.0000,1.0000,1.0000
17,17.00,47.95,59.49,2400,12.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
18,18.01,47.40,59.49,2400,21.2,0.07,admission,3.0000,1.0000,1.0000,1.0000
19,19.01,48.50,59.49,2400,33.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
20,20.01,48.50,59.49,2400,26.2,0.07,admission,3.0000,1.0000,1.0000,1.0000
21,21.01,50.15,59.49,2400,46.3,0.09,admission,3.0000,1.0000,1.0000,1.0000
22,22.01,47.95,59.49,2400,22.9,0.07,admission,3.0000,1.0000,1.0000,1.0000
23,23.01,49.05,59.49,2400,34.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
24,24.01,48.50,59.49,2400,21.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
25,25.01,49.05,59.49,2400,36.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
26,26.01,47.95,59.49,2400,28.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
27,27.01,48.50,59.49,2400,29.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
28,28.01,49.05,59.49,2400,27.5,0.04,admission,3.0000,1.0000,1.0000,1.0000
29,29.01,48.50,59.49,2400,22.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
30,30.01,48.50,59.49,2400,35.9,0.11,admission,3.0000,1.0000,1.0000,1.0000
31,31.01,48.50,59.49,2400,22.8,0.07,admission,3.0000,1.0000,1.0000,1.0000
32,32.01,47.95,59.49,2400,30.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
33,33.01,48.50,59.49,2400,24.4,0.08,admission,3.0000,1.0000,1.0000,1.0000
34,34.01,48.50,59.49,2400,24.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
35,35.01,48.50,59.49,2400,24.6,0.09,admission,3.0000,1.0000,1.0000,1.0000
