step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,46.85,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,46.85,59.49,2400,40.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,46.30,59.49,2400,16.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,47.40,59.49,2400,21.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,48.50,59.49,2400,24.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,48.50,59.49,2400,40.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,47.40,59.49,2400,27.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,46.30,59.49,2400,26.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,47.95,59.49,2400,28.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,47.40,59.49,2400,25.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,48.50,59.49,2400,34.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,47.95,59.49,2400,31.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,47.95,59.49,2400,30.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,47.40,59.49,2400,13.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,47.40,59.49,2400,23.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,47.95,59.49,2400,41.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,49.05,59.49,2400,32.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
17,17.01,46.85,59.49,2400,14.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.01,47.40,59.49,2400,20.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.01,49.05,59.49,2400,33.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.01,47.95,59.49,2400,23.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.01,49.05,59.49,2400,46.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
22,22.01,48.50,59.49,2400,26.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
23,23.01,47.95,59.49,2400,37.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
24,24.01,48.50,59.49,2400,17.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
25,25.01,49.05,59.49,2400,34.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
26,26.01,48.50,59.49,2400,28.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
27,27.01,48.50,59.49,2400,32.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.01,49.05,59.49,2400,28.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
29,29.01,48.50,59.49,2400,22.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
30,30.01,49.60,59.49,2400,34.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.02,48.50,59.49,2400,23.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.02,48.50,59.49,2400,29.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.02,49.05,59.49,2400,25.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
34,34.02,49.05,59.49,2400,23.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.02,49.05,59.49,2400,24.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
36,36.02,49.05,59.49,2400,29.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
37,37.02,50.15,59.49,2400,30.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
38,38.02,49.05,59.49,2400,28.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
39,39.02,49.60,59.49,2400,26.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
40,40.02,49.60,59.49,2400,35.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
41,41.02,49.05,59.49,2400,29.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
42,42.02,49.05,59.49,2400,33.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
43,43.02,49.05,59.49,2400,22.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
44,44.02,50.15,59.49,2400,23.1,0.02,equal,3.0000,1.0000,1.0000,1.0000
45,45.02,50.15,59.49,2400,30.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
46,46.02,50.70,59.49,2400,35.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
47,47.02,49.60,59.49,2400,27.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
48,48.02,47.95,59.49,2400,21.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
49,49.02,49.60,59.49,2400,28.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
50,50.02,49.60,59.49,2400,26.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.02,49.60,59.49,2400,31.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
52,52.02,49.05,59.49,2400,29.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
53,53.02,50.70,59.49,2400,43.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
54,54.02,49.60,59.49,2400,28.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
55,55.02,48.50,59.49,2400,14.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
56,56.02,49.05,59.49,2400,25.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
57,57.02,50.70,59.49,2400,34.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
58,58.02,49.60,59.49,2400,20.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
59,59.02,50.70,59.49,2400,24.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
60,60.02,50.15,59.49,2400,35.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
61,61.03,49.05,59.49,2400,20.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
