step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,54.00,2400,0.0,0.02,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,54.00,54.00,2400,44.1,0.11,admission,1.8013,0.6004,0.6004,0.6004
2,2.00,54.00,54.00,2400,47.2,0.06,admission,1.8013,0.6004,0.6004,0.6004
3,3.00,54.55,53.87,2400,48.2,0.06,admission,1.7738,0.5913,0.5913,0.5913
4,4.00,54.00,53.87,2400,47.4,0.07,admission,1.7738,0.5913,0.5913,0.5913
5,5.00,54.55,53.75,2400,45.2,0.06,admission,1.7463,0.5821,0.5821,0.5821
6,6.00,54.55,53.62,2400,45.7,0.06,admission,1.7188,0.5729,0.5729,0.5729
7,7.00,54.00,53.62,2400,44.6,0.06,admission,1.7188,0.5729,0.5729,0.5729
8,8.00,54.00,53.62,2400,44.3,0.12,admission,1.7188,0.5729,0.5729,0.5729
9,9.00,53.45,53.75,2400,42.6,0.06,admission,1.7463,0.5821,0.5821,0.5821
10,10.00,54.00,53.75,2400,46.6,0.06,admission,1.7463,0.5821,0.5821,0.5821
11,11.00,54.55,53.62,2400,46.5,0.06,admission,1.7188,0.5729,0.5729,0.5729
12,12.00,54.55,53.50,2400,45.9,0.06,admission,1.6913,0.5638,0.5638,0.5638
13,13.00,54.00,53.50,2400,44.1,0.08,admission,1.6913,0.5638,0.5638,0.5638
14,14.00,54.55,53.37,2400,45.3,0.07,admission,1.6638,0.5546,0.5546,0.5546
15,15.00,54.55,53.24,2400,44.8,0.05,admission,1.6363,0.5454,0.5454,0.5454
16,16.00,54.00,53.24,2400,44.1,0.06,admission,1.6363,0.5454,0.5454,0.5454
17,17.00,53.45,53.37,2400,44.0,0.06,admission,1.6638,0.5546,0.5546,0.5546
18,18.00,54.00,53.37,2400,44.8,0.05,admission,1.6638,0.5546,0.5546,0.5546
19,19.00,54.00,53.37,2400,44.6,0.05,admission,1.6638,0.5546,0.5546,0.5546
20,20.00,54.55,53.24,2400,44.7,0.05,admission,1.6363,0.5454,0.5454,0.5454
21,21.00,54.00,53.24,2400,44.0,0.06,admission,1.6363,0.5454,0.5454,0.5454
22,22.00,52.90,53.50,2400,44.1,0.06,admission,1.6913,0.5638,0.5638,0.5638
23,23.00,54.00,53.50,2400,45.3,0.06,admission,1.6913,0.5638,0.5638,0.5638
24,24.00,54.55,53.37,2400,45.3,0.06,admission,1.6638,0.5546,0.5546,0.5546
25,25.00,54.00,53.37,2400,44.8,0.05,admission,1.6638,0.5546,0.5546,0.5546
26,26.00,53.45,53.50,2400,44.8,0.06,admission,1.6913,0.5638,0.5638,0.5638
27,27.00,54.00,53.50,2400,45.2,0.07,admission,1.6913,0.5638,0.5638,0.5638
28,28.00,54.55,53.37,2400,45.3,0.06,admission,1.6638,0.5546,0.5546,0.5546
29,29.00,54.55,53.24,2400,44.6,0.06,admission,1.6363,0.5454,0.5454,0.5454
30,30.00,53.45,53.37,2400,44.0,0.06,admission,1.6638,0.5546,0.5546,0.5546
31,31.00,54.00,53.37,2400,45.0,0.05,admission,1.6638,0.5546,0.5546,0.5546
32,32.00,54.55,53.24,2400,44.7,0.06,admission,1.6363,0.5454,0.5454,0.5454
33,33.00,54.00,53.24,2400,43.7,0.12,admission,1.6363,0.5454,0.5454,0.5454
34,34.00,53.45,53.37,2400,44.0,0.06,admission,1.6638,0.5546,0.5546,0.5546
35,35.00,54.00,53.37,2400,44.8,0.05,admission,1.6638,0.5546,0.5546,0.5546
36,36.00,52.90,53.62,2400,44.1,0.05,admission,1.7188,0.5729,0.5729,0.5729
37,37.00,54.00,53.62,2400,44.7,0.05,admission,1.7188,0.5729,0.5729,0.5729
38,38.00,53.45,53.75,2400,45.8,0.05,admission,1.7463,0.5821,0.5821,0.5821
39,39.00,54.55,53.62,2400,46.6,0.05,admission,1.7188,0.5729,0.5729,0.5729
40,40.00,54.00,53.62,2400,46.1,0.06,admission,1.7188,0.5729,0.5729,0.5729
41,41.00,54.55,53.50,2400,45.8,0.07,admission,1.6913,0.5638,0.5638,0.5638
42,42.00,54.00,53.50,2400,45.5,0.06,admission,1.6913,0.5638,0.5638,0.5638
43,43.00,54.55,53.37,2400,45.2,0.05,admission,1.6638,0.5546,0.5546,0.5546
44,44.00,53.45,53.50,2400,44.7,0.07,admission,1.6913,0.5638,0.5638,0.5638
45,45.00,54.00,53.50,2400,45.3,0.07,admission,1.6913,0.5638,0.5638,0.5638
46,46.00,54.00,53.50,2400,45.6,0.08,admission,1.6913,0.5638,0.5638,0.5638
47,47.00,53.45,53.62,2400,45.3,0.07,admission,1.7188,0.5729,0.5729,0.5729
48,48.00,53.45,53.75,2400,45.9,0.25,admission,1.7463,0.5821,0.5821,0.5821
49,49.00,54.55,53.62,2400,46.6,0.09,admission,1.7188,0.5729,0.5729,0.5729
50,50.00,54.00,53.62,2400,45.8,0.10,admission,1.7188,0.5729,0.5729,0.5729
51,51.00,54.55,53.50,2400,45.9,0.11,admission,1.6913,0.5638,0.5638,0.5638
52,52.00,54.55,53.37,2400,45.1,0.15,admission,1.6638,0.5546,0.5546,0.5546
53,53.01,54.00,53.37,2400,43.1,0.10,admission,1.6638,0.5546,0.5546,0.5546
54,54.01,54.55,53.24,2400,44.6,0.16,admission,1.6363,0.5454,0.5454,0.5454
55,55.01,53.45,53.37,2400,43.8,0.06,admission,1.6638,0.5546,0.5546,0.5546
56,56.01,54.00,53.37,2400,44.0,0.05,admission,1.6638,0.5546,0.5546,0.5546
57,57.01,54.00,53.37,2400,43.8,0.08,admission,1.6638,0.5546,0.5546,0.5546
58,58.01,54.00,53.37,2400,43.3,0.08,admission,1.6638,0.5546,0.5546,0.5546
59,59.01,54.00,53.37,2400,44.1,0.05,admission,1.6638,0.5546,0.5546,0.5546
60,60.01,54.00,53.37,2400,42.0,0.22,admission,1.6638,0.5546,0.5546,0.5546
61,61.01,53.45,53.50,2400,44.3,0.06,admission,1.6913,0.5638,0.5638,0.5638
62,62.01,53.45,53.62,2400,45.1,0.08,admission,1.7188,0.5729,0.5729,0.5729
63,63.01,54.00,53.62,2400,45.6,0.06,admission,1.7188,0.5729,0.5729,0.5729
64,64.01,54.00,53.62,2400,45.7,0.06,admission,1.7188,0.5729,0.5729,0.5729
65,65.01,54.00,53.62,2400,45.6,0.09,admission,1.7188,0.5729,0.5729,0.5729
66,66.01,52.35,54.00,2400,45.8,0.05,admission,1.8013,0.6004,0.6004,0.6004
67,67.01,53.45,54.13,2400,47.7,0.06,admission,1.8288,0.6096,0.6096,0.6096
68,68.01,53.45,54.25,2400,48.1,0.13,admission,1.8563,0.6188,0.6188,0.6188
69,69.01,54.00,54.25,2400,49.0,0.07,admission,1.8563,0.6188,0.6188,0.6188
70,70.01,54.00,54.25,2400,49.0,0.07,admission,1.8563,0.6188,0.6188,0.6188
71,71.01,54.00,54.25,2400,49.0,0.11,admission,1.8563,0.6188,0.6188,0.6188
72,72.01,54.00,54.25,2400,48.9,0.11,admission,1.8563,0.6188,0.6188,0.6188
73,73.01,53.45,54.38,2400,49.1,0.21,admission,1.8838,0.6279,0.6279,0.6279
74,74.01,54.00,54.38,2400,49.5,0.16,admission,1.8838,0.6279,0.6279,0.6279
75,75.01,54.00,54.38,2400,49.9,0.17,admission,1.8838,0.6279,0.6279,0.6279
76,76.01,54.00,54.38,2400,49.6,0.11,admission,1.8838,0.6279,0.6279,0.6279
77,77.01,54.00,54.38,2400,49.5,0.10,admission,1.8838,0.6279,0.6279,0.6279
78,78.01,54.00,54.38,2400,49.6,0.16,admission,1.8838,0.6279,0.6279,0.6279
79,79.01,53.45,54.50,2400,49.6,0.21,admission,1.9113,0.6371,0.6371,0.6371
80,80.01,54.00,54.50,2400,50.2,0.11,admission,1.9113,0.6371,0.6371,0.6371
81,81.01,53.45,54.63,2400,50.5,0.08,admission,1.9388,0.6463,0.6463,0.6463
82,82.01,54.00,54.63,2400,51.0,0.07,admission,1.9388,0.6463,0.6463,0.6463
83,83.01,55.10,54.38,2400,51.1,0.07,admission,1.8838,0.6279,0.6279,0.6279
84,84.01,54.55,54.25,2400,49.5,0.06,admission,1.8563,0.6188,0.6188,0.6188
85,85.01,53.45,54.38,2400,48.9,0.07,admission,1.8838,0.6279,0.6279,0.6279
86,86.01,53.45,54.50,2400,49.8,0.07,admission,1.9113,0.6371,0.6371,0.6371
87,87.01,52.35,54.88,2400,50.4,0.23,admission,1.9938,0.6646,0.6646,0.6646
88,88.01,54.55,54.76,2400,52.5,0.10,admission,1.9663,0.6554,0.6554,0.6554
89,89.01,54.00,54.76,2400,51.6,0.07,admission,1.9663,0.6554,0.6554,0.6554
90,90.01,54.00,54.76,2400,51.8,0.06,admission,1.9663,0.6554,0.6554,0.6554
91,91.01,54.00,54.76,2400,52.0,0.16,admission,1.9663,0.6554,0.6554,0.6554
92,92.01,54.55,54.63,2400,51.8,0.23,admission,1.9388,0.6463,0.6463,0.6463
93,93.01,55.10,54.38,2400,51.5,0.07,admission,1.8838,0.6279,0.6279,0.6279
94,94.01,54.55,54.25,2400,49.8,0.13,admission,1.8563,0.6188,0.6188,0.6188
95,95.01,54.55,54.13,2400,49.3,0.06,admission,1.8288,0.6096,0.6096,0.6096
96,96.01,54.55,54.00,2400,48.6,0.07,admission,1.8013,0.6004,0.6004,0.6004
97,97.01,53.45,54.13,2400,47.8,0.10,admission,1.8288,0.6096,0.6096,0.6096
98,98.01,54.00,54.13,2400,48.5,0.08,admission,1.8288,0.6096,0.6096,0.6096
99,99.01,54.55,54.00,2400,48.5,0.05,admission,1.8013,0.6004,0.6004,0.6004
100,100.01,53.45,54.13,2400,47.8,0.06,admission,1.8288,0.6096,0.6096,0.6096
101,101.01,54.00,54.13,2400,48.5,0.08,admission,1.8288,0.6096,0.6096,0.6096
102,102.01,54.00,54.13,2400,48.5,0.07,admission,1.8288,0.6096,0.6096,0.6096
103,103.01,52.90,54.38,2400,48.5,0.10,admission,1.8838,0.6279,0.6279,0.6279
104,104.01,54.55,54.25,2400,49.8,0.11,admission,1.8563,0.6188,0.6188,0.6188
105,105.01,54.00,54.25,2400,49.1,0.05,admission,1.8563,0.6188,0.6188,0.6188
106,106.01,54.00,54.25,2400,49.3,0.05,admission,1.8563,0.6188,0.6188,0.6188
107,107.01,54.00,54.25,2400,49.3,0.06,admission,1.8563,0.6188,0.6188,0.6188
108,108.01,54.00,54.25,2400,49.1,0.09,admission,1.8563,0.6188,0.6188,0.6188
109,109.01,54.55,54.13,2400,49.1,0.05,admission,1.8288,0.6096,0.6096,0.6096
110,110.01,54.00,54.13,2400,48.5,0.08,admission,1.8288,0.6096,0.6096,0.6096
111,111.01,54.00,54.13,2400,48.5,0.07,admission,1.8288,0.6096,0.6096,0.6096
112,112.01,54.00,54.13,2400,48.4,0.06,admission,1.8288,0.6096,0.6096,0.6096
113,113.01,54.55,54.00,2400,48.6,0.06,admission,1.8013,0.6004,0.6004,0.6004
114,114.01,53.45,54.13,2400,47.7,0.06,admission,1.8288,0.6096,0.6096,0.6096
115,115.01,53.45,54.25,2400,48.5,0.08,admission,1.8563,0.6188,0.6188,0.6188
116,116.01,54.55,54.13,2400,49.1,0.06,admission,1.8288,0.6096,0.6096,0.6096
117,117.01,54.00,54.13,2400,48.5,0.05,admission,1.8288,0.6096,0.6096,0.6096
118,118.01,54.00,54.13,2400,48.5,0.07,admission,1.8288,0.6096,0.6096,0.6096
119,119.01,53.45,54.25,2400,48.4,0.06,admission,1.8563,0.6188,0.6188,0.6188
120,120.01,54.00,54.25,2400,49.1,0.05,admission,1.8563,0.6188,0.6188,0.6188
121,121.01,53.45,54.38,2400,49.3,0.12,admission,1.8838,0.6279,0.6279,0.6279
122,122.01,54.55,54.25,2400,49.8,0.05,admission,1.8563,0.6188,0.6188,0.6188
