step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,0.0,1436.38,convex,1.8013,0.6004,0.6004,0.6004
1,1.44,52.35,54.38,2400,72.1,26.17,convex,1.8838,0.6279,0.6279,0.6279
2,2.44,54.00,54.38,2400,50.0,44.68,convex,1.8838,0.6279,0.6279,0.6279
3,3.44,52.90,54.63,2400,49.3,27.73,convex,1.9388,0.6463,0.6463,0.6463
4,4.44,52.90,54.88,2400,48.1,31.68,convex,1.9938,0.6646,0.6646,0.6646
5,5.44,52.90,55.13,2400,50.4,35.18,convex,2.0488,0.6829,0.6829,0.6829
6,6.44,52.90,55.39,2400,50.9,42.76,convex,2.1038,0.7012,0.7013,0.7012
7,7.44,52.90,55.64,2400,51.2,49.50,convex,2.1588,0.7196,0.7196,0.7196
8,8.44,52.90,55.89,2400,57.5,48.00,convex,2.2138,0.7379,0.7379,0.7380
9,9.44,52.90,56.14,2400,57.5,22.08,convex,2.2688,0.7563,0.7563,0.7563
10,10.44,53.45,56.27,2400,57.8,52.61,convex,2.2963,0.7655,0.7654,0.7654
11,11.44,53.45,56.39,2400,59.2,141.84,convex,2.3238,0.7746,0.7746,0.7746
12,12.44,54.00,56.39,2400,64.1,54.00,convex,2.3238,0.7746,0.7746,0.7746
13,13.44,52.90,56.64,2400,61.9,49.51,convex,2.3788,0.7929,0.7929,0.7929
14,14.44,54.00,56.64,2400,62.0,53.90,convex,2.3788,0.7929,0.7929,0.7929
15,15.44,54.55,56.52,2400,59.7,55.41,convex,2.3513,0.7838,0.7838,0.7838
16,16.44,54.00,56.52,2400,62.5,54.08,convex,2.3513,0.7838,0.7838,0.7838
17,17.44,54.00,56.52,2400,62.6,50.77,convex,2.3513,0.7838,0.7838,0.7838
18,18.44,54.55,56.39,2400,61.5,49.31,convex,2.3238,0.7746,0.7746,0.7746
19,19.44,53.45,56.52,2400,57.0,44.67,convex,2.3513,0.7838,0.7838,0.7838
20,20.44,53.45,56.64,2400,53.5,43.42,convex,2.3788,0.7929,0.7929,0.7929
21,21.44,53.45,56.77,2400,50.1,34.14,convex,2.4063,0.8021,0.8021,0.8021
22,22.44,54.00,56.77,2400,56.7,52.09,convex,2.4063,0.8021,0.8021,0.8021
23,23.44,54.00,56.77,2400,62.7,58.67,convex,2.4063,0.8021,0.8021,0.8021
24,24.44,53.45,56.90,2400,60.9,56.37,convex,2.4338,0.8113,0.8113,0.8113
25,25.44,54.55,56.77,2400,63.7,19.29,convex,2.4063,0.8021,0.8021,0.8021
26,26.44,54.00,56.77,2400,55.4,38.87,convex,2.4063,0.8021,0.8021,0.8021
27,27.44,54.00,56.77,2400,62.0,31.69,convex,2.4063,0.8021,0.8021,0.8021
28,28.44,54.55,56.64,2400,53.6,51.81,convex,2.3788,0.7929,0.7929,0.7929
29,29.44,53.45,56.77,2400,52.0,50.31,convex,2.4063,0.8021,0.8021,0.8021
30,30.44,54.00,56.77,2400,62.3,51.44,convex,2.4063,0.8021,0.8021,0.8021
31,31.44,53.45,56.90,2400,63.7,53.58,convex,2.4338,0.8113,0.8113,0.8113
32,32.44,54.55,56.77,2400,58.0,28.89,convex,2.4063,0.8021,0.8021,0.8021
33,33.44,54.00,56.77,2400,52.0,51.41,convex,2.4063,0.8021,0.8021,0.8021
34,34.44,52.90,57.02,2400,53.0,48.22,convex,2.4613,0.8204,0.8205,0.8204
35,35.44,53.45,57.15,2400,55.1,49.12,convex,2.4888,0.8296,0.8296,0.8296
36,36.44,54.55,57.02,2400,55.0,51.03,convex,2.4613,0.8204,0.8205,0.8204
37,37.44,53.45,57.15,2400,54.3,21.74,convex,2.4888,0.8296,0.8296,0.8296
38,38.44,52.90,57.40,2400,50.2,36.49,convex,2.5438,0.8479,0.8479,0.8479
39,39.44,54.55,57.27,2400,62.9,31.63,convex,2.5163,0.8388,0.8388,0.8388
40,40.44,53.45,57.40,2400,56.1,38.41,convex,2.5438,0.8479,0.8479,0.8479
41,41.44,54.00,57.40,2400,48.5,20.45,convex,2.5438,0.8479,0.8479,0.8479
42,42.44,53.45,57.53,2400,41.0,36.68,convex,2.5713,0.8571,0.8571,0.8571
43,43.44,54.00,57.53,2400,53.3,17.84,convex,2.5713,0.8571,0.8571,0.8571
44,44.44,52.90,57.78,2400,33.1,64.66,convex,2.6263,0.8754,0.8755,0.8755
45,45.44,54.55,57.65,2400,56.8,55.14,convex,2.5988,0.8662,0.8663,0.8663
46,46.44,54.55,57.53,2400,67.5,55.92,convex,2.5713,0.8571,0.8571,0.8571
47,47.44,54.55,57.40,2400,67.7,53.46,convex,2.5438,0.8479,0.8479,0.8479
48,48.44,54.55,57.27,2400,66.9,51.91,convex,2.5163,0.8388,0.8388,0.8388
49,49.44,54.00,57.27,2400,63.6,24.37,convex,2.5163,0.8388,0.8388,0.8388
50,50.44,54.00,57.27,2400,61.5,24.68,convex,2.5163,0.8388,0.8388,0.8388
51,51.44,54.55,57.15,2400,55.1,58.45,convex,2.4888,0.8296,0.8296,0.8296
52,52.44,52.90,57.40,2400,51.5,17.37,convex,2.5438,0.8479,0.8479,0.8479
53,53.44,52.90,57.65,2400,44.9,26.24,convex,2.5988,0.8662,0.8663,0.8663
54,54.44,54.00,57.65,2400,45.5,30.00,convex,2.5988,0.8662,0.8663,0.8663
55,55.44,52.90,57.90,2400,48.9,20.28,convex,2.6538,0.8846,0.8846,0.8846
56,56.44,52.90,58.16,2400,51.5,23.24,convex,2.7088,0.9029,0.9029,0.9030
57,57.44,53.45,58.28,2400,58.3,56.33,convex,2.7363,0.9121,0.9121,0.9121
58,58.44,53.45,58.41,2400,54.1,44.60,convex,2.7638,0.9213,0.9213,0.9213
59,59.44,52.90,58.66,2400,40.0,64.69,convex,2.8188,0.9396,0.9396,0.9396
60,60.44,54.00,58.66,2400,64.9,15.89,convex,2.8188,0.9396,0.9396,0.9396
61,61.44,54.00,58.66,2400,51.2,29.86,convex,2.8188,0.9396,0.9396,0.9396
62,62.44,54.55,58.53,2400,66.8,64.23,convex,2.7913,0.9304,0.9304,0.9304
63,63.44,54.55,58.41,2400,68.9,62.92,convex,2.7638,0.9213,0.9213,0.9213
64,64.45,54.55,58.28,2400,61.5,57.57,convex,2.7363,0.9121,0.9121,0.9121
65,65.45,53.45,58.41,2400,50.1,19.20,convex,2.7638,0.9213,0.9213,0.9213
66,66.45,53.45,58.53,2400,47.6,32.84,convex,2.7913,0.9304,0.9304,0.9304
67,67.45,52.90,58.79,2400,54.9,61.28,convex,2.8463,0.9488,0.9488,0.9487
68,68.45,54.00,58.79,2400,57.0,81.07,convex,2.8463,0.9488,0.9488,0.9487
69,69.45,52.90,59.04,2400,40.1,24.62,convex,2.9013,0.9671,0.9671,0.9671
70,70.45,54.00,59.04,2400,53.2,61.61,convex,2.9013,0.9671,0.9671,0.9671
71,71.45,53.45,59.16,2400,52.7,28.82,convex,2.9288,0.9763,0.9763,0.9763
72,72.45,55.10,58.91,2400,64.8,30.91,convex,2.8738,0.9580,0.9579,0.9579
73,73.45,53.45,59.04,2400,48.9,17.59,convex,2.9013,0.9671,0.9671,0.9671
74,74.45,53.45,59.16,2400,52.2,16.52,convex,2.9288,0.9763,0.9763,0.9763
75,75.45,54.00,59.16,2400,49.7,38.81,convex,2.9288,0.9763,0.9763,0.9763
76,76.45,54.55,59.04,2400,61.5,66.94,convex,2.9013,0.9671,0.9671,0.9671
77,77.45,53.45,59.16,2400,49.1,33.88,convex,2.9288,0.9763,0.9763,0.9763
78,78.45,52.90,59.42,2400,39.5,50.11,convex,2.9838,0.9945,0.9946,0.9947
79,79.45,52.90,59.49,2400,47.5,63.21,convex,3.0000,1.0000,1.0000,1.0000
80,80.45,52.90,59.49,2400,48.2,28.39,convex,3.0000,1.0000,1.0000,1.0000
81,81.45,54.00,59.49,2400,41.0,15.40,convex,3.0000,1.0000,1.0000,1.0000
82,82.45,53.45,59.49,2400,49.6,17.97,convex,3.0000,1.0000,1.0000,1.0000
83,83.45,54.55,59.36,2400,50.9,27.26,convex,2.9725,0.9908,0.9909,0.9908
84,84.45,54.55,59.24,2400,57.7,65.79,convex,2.9450,0.9816,0.9817,0.9817
85,85.45,52.90,59.49,2400,51.9,15.98,convex,3.0000,1.0000,1.0000,1.0000
86,86.45,53.45,59.49,2400,44.5,19.59,convex,3.0000,1.0000,1.0000,1.0000
87,87.45,52.90,59.49,2400,31.0,31.44,convex,3.0000,1.0000,1.0000,1.0000
88,88.45,52.90,59.49,2400,55.5,14.99,convex,3.0000,1.0000,1.0000,1.0000
89,89.45,52.35,59.49,2400,31.5,44.53,convex,3.0000,1.0000,1.0000,1.0000
90,90.45,52.90,59.49,2400,55.4,16.76,convex,3.0000,1.0000,1.0000,1.0000
91,91.45,54.00,59.49,2400,49.1,30.87,convex,3.0000,1.0000,1.0000,1.0000
92,92.45,51.80,59.49,2400,39.9,18.33,convex,3.0000,1.0000,1.0000,1.0000
93,93.45,52.35,59.49,2400,44.4,56.19,convex,3.0000,1.0000,1.0000,1.0000
94,94.45,55.65,59.11,2400,65.2,65.29,convex,2.9175,0.9726,0.9724,0.9725
95,95.45,53.45,59.24,2400,58.5,16.60,convex,2.9450,0.9815,0.9816,0.9819
96,96.45,52.90,59.49,2400,35.7,17.50,convex,3.0000,1.0000,1.0000,1.0000
97,97.45,54.55,59.36,2400,68.2,66.37,convex,2.9725,0.9908,0.9909,0.9908
98,98.45,54.00,59.36,2400,67.0,49.76,convex,2.9725,0.9908,0.9909,0.9908
99,99.45,54.00,59.36,2400,56.3,18.09,convex,2.9725,0.9908,0.9909,0.9908
100,100.45,54.00,59.36,2400,39.5,69.45,convex,2.9725,0.9908,0.9909,0.9908
101,101.45,54.55,59.24,2400,64.9,62.65,convex,2.9450,0.9816,0.9817,0.9817
102,102.45,52.90,59.49,2400,50.9,16.57,convex,3.0000,1.0000,1.0000,1.0000
103,103.45,52.90,59.49,2400,35.9,23.80,convex,3.0000,1.0000,1.0000,1.0000
104,104.45,54.00,59.49,2400,50.8,32.34,convex,3.0000,1.0000,1.0000,1.0000
105,105.45,52.35,59.49,2400,39.7,19.64,convex,3.0000,1.0000,1.0000,1.0000
106,106.45,52.35,59.49,2400,26.9,19.40,convex,3.0000,1.0000,1.0000,1.0000
107,107.45,52.35,59.49,2400,47.4,15.02,convex,3.0000,1.0000,1.0000,1.0000
108,108.45,54.00,59.49,2400,54.6,64.09,convex,3.0000,1.0000,1.0000,1.0000
109,109.45,54.00,59.49,2400,63.5,29.48,convex,3.0000,1.0000,1.0000,1.0000
110,110.45,54.55,59.36,2400,71.2,67.98,convex,2.9725,0.9908,0.9909,0.9908
111,111.45,55.10,59.11,2400,74.3,35.52,convex,2.9175,0.9726,0.9724,0.9725
112,112.45,52.35,59.49,2400,48.6,35.09,convex,3.0000,1.0000,1.0000,1.0000
113,113.45,52.90,59.49,2400,47.5,33.86,convex,3.0000,1.0000,1.0000,1.0000
114,114.45,54.00,59.49,2400,49.3,25.31,convex,3.0000,1.0000,1.0000,1.0000
115,115.45,53.45,59.49,2400,45.4,33.13,convex,3.0000,1.0000,1.0000,1.0000
116,116.45,52.90,59.49,2400,45.6,30.18,convex,3.0000,1.0000,1.0000,1.0000
117,117.45,52.35,59.49,2400,51.1,17.69,convex,3.0000,1.0000,1.0000,1.0000
118,118.45,53.45,59.49,2400,48.1,38.65,convex,3.0000,1.0000,1.0000,1.0000
119,119.45,54.55,59.36,2400,72.1,43.12,convex,2.9725,0.9908,0.9909,0.9908
120,120.45,53.45,59.49,2400,65.2,30.93,convex,3.0000,1.0000,1.0000,1.0000
121,121.45,53.45,59.49,2400,40.6,29.12,convex,3.0000,1.0000,1.0000,1.0000
122,122.45,52.90,59.49,2400,46.9,39.37,convex,3.0000,1.0000,1.0000,1.0000
123,123.45,55.10,59.24,2400,66.2,72.12,convex,2.9450,0.9815,0.9816,0.9819
124,124.45,54.55,59.11,2400,71.9,66.74,convex,2.9175,0.9726,0.9724,0.9725
125,125.45,54.00,59.11,2400,59.4,15.05,convex,2.9175,0.9726,0.9724,0.9725
126,126.45,54.00,59.11,2400,50.7,37.00,convex,2.9175,0.9726,0.9724,0.9725
127,127.45,54.00,59.11,2400,59.0,62.80,convex,2.9175,0.9726,0.9724,0.9725
128,128.45,52.90,59.36,2400,52.4,28.43,convex,2.9725,0.9908,0.9909,0.9908
129,129.45,54.00,59.36,2400,57.6,32.43,convex,2.9725,0.9908,0.9909,0.9908
130,130.45,54.55,59.24,2400,70.9,66.25,convex,2.9450,0.9816,0.9817,0.9817
131,131.45,53.45,59.36,2400,51.9,19.96,convex,2.9725,0.9908,0.9909,0.9908
132,132.45,55.10,59.11,2400,58.5,63.40,convex,2.9175,0.9726,0.9724,0.9725
133,133.45,54.55,58.99,2400,74.7,57.21,convex,2.8900,0.9633,0.9634,0.9633
134,134.45,54.55,58.86,2400,73.2,71.40,convex,2.8625,0.9542,0.9541,0.9542
135,135.45,55.10,58.61,2400,66.9,51.73,convex,2.8075,0.9358,0.9359,0.9358
