step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.05,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,50.15,59.49,2400,57.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,50.70,59.49,2400,48.5,0.02,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,50.70,59.49,2400,54.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,49.60,59.49,2400,40.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,50.15,59.49,2400,38.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,49.60,59.49,2400,41.2,0.02,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,50.15,59.49,2400,50.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,50.70,59.49,2400,52.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,50.70,59.49,2400,52.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,51.25,59.49,2400,57.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,51.80,59.49,2400,66.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,49.60,59.49,2400,37.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,50.70,59.49,2400,58.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,50.15,59.49,2400,33.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,51.25,59.49,2400,59.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,48.50,59.49,2400,37.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,50.70,59.49,2400,51.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
18,18.00,51.80,59.49,2400,68.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.00,51.80,59.49,2400,63.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.00,52.35,59.49,2400,68.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
21,21.00,51.80,59.49,2400,44.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
22,22.00,50.70,59.49,2400,47.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
23,23.00,51.80,59.49,2400,51.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
24,24.00,50.70,59.49,2400,61.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
25,25.00,52.90,59.49,2400,50.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
26,26.01,51.25,59.49,2400,69.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
27,27.01,52.35,59.49,2400,55.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.01,51.80,59.49,2400,55.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
29,29.01,51.25,59.49,2400,43.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
30,30.01,50.70,59.49,2400,39.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.01,50.15,59.49,2400,37.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.01,51.80,59.49,2400,56.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.01,50.70,59.49,2400,55.6,0.02,equal,3.0000,1.0000,1.0000,1.0000
34,34.01,51.25,59.49,2400,47.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.01,51.80,59.49,2400,64.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
36,36.01,51.80,59.49,2400,62.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
37,37.01,51.25,59.49,2400,54.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
38,38.01,51.80,59.49,2400,55.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
39,39.01,50.70,59.49,2400,35.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
40,40.01,50.70,59.49,2400,38.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
41,41.01,51.80,59.49,2400,63.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
42,42.01,51.25,59.49,2400,51.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
43,43.01,50.70,59.49,2400,45.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
44,44.01,50.70,59.49,2400,36.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
45,45.01,50.70,59.49,2400,51.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
46,46.01,50.70,59.49,2400,47.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
47,47.01,50.15,59.49,2400,47.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
48,48.01,50.70,59.49,2400,35.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
49,49.01,50.15,59.49,2400,40.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
50,50.01,51.80,59.49,2400,71.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.01,50.15,59.49,2400,53.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
52,52.01,50.70,59.49,2400,44.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
53,53.01,51.25,59.49,2400,42.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
54,54.01,50.70,59.49,2400,43.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
55,55.01,51.25,59.49,2400,58.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
56,56.01,50.15,59.49,2400,48.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
57,57.01,51.25,59.49,2400,65.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
58,58.01,50.70,59.49,2400,50.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
59,59.02,51.25,59.49,2400,51.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
60,60.02,51.80,59.49,2400,50.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
61,61.02,51.25,59.49,2400,55.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
62,62.02,51.80,59.49,2400,66.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
63,63.02,52.35,59.49,2400,69.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
64,64.02,52.35,59.49,2400,67.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
65,65.02,52.35,59.49,2400,61.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
66,66.02,51.80,59.49,2400,46.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
67,67.02,51.25,59.49,2400,38.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
68,68.02,51.25,59.49,2400,47.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
