step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,3019.61,convex,1.8013,0.6004,0.6004,0.6004
1,3.02,55.10,53.75,2400,100.0,62.97,convex,1.7463,0.5821,0.5821,0.5821
2,4.02,54.00,53.75,2400,49.9,37.63,convex,1.7463,0.5821,0.5821,0.5821
3,5.02,54.55,53.62,2400,47.8,37.00,convex,1.7188,0.5729,0.5729,0.5729
4,6.02,53.45,53.75,2400,47.5,30.76,convex,1.7463,0.5821,0.5821,0.5821
5,7.02,54.00,53.75,2400,48.0,36.40,convex,1.7463,0.5821,0.5821,0.5821
6,8.02,53.45,53.87,2400,48.0,28.52,convex,1.7738,0.5913,0.5913,0.5912
7,9.02,53.45,54.00,2400,48.5,31.92,convex,1.8013,0.6004,0.6004,0.6005
8,10.02,52.35,54.38,2400,49.0,36.84,convex,1.8838,0.6279,0.6280,0.6279
9,11.02,53.45,54.50,2400,51.1,30.90,convex,1.9113,0.6371,0.6371,0.6371
10,12.02,53.45,54.63,2400,51.9,37.76,convex,1.9388,0.6462,0.6463,0.6462
11,13.02,54.00,54.63,2400,52.5,114.47,convex,1.9388,0.6462,0.6463,0.6462
12,14.02,54.00,54.63,2400,54.4,39.22,convex,1.9388,0.6462,0.6463,0.6462
13,15.02,54.00,54.63,2400,52.7,36.21,convex,1.9388,0.6462,0.6463,0.6462
14,16.02,54.55,54.50,2400,52.6,37.10,convex,1.9113,0.6371,0.6371,0.6371
15,17.02,54.00,54.50,2400,52.1,32.93,convex,1.9113,0.6371,0.6371,0.6371
16,18.02,54.55,54.38,2400,52.0,36.07,convex,1.8838,0.6279,0.6280,0.6279
17,19.02,54.00,54.38,2400,51.4,36.15,convex,1.8838,0.6279,0.6280,0.6279
18,20.02,54.55,54.25,2400,51.1,35.39,convex,1.8563,0.6188,0.6188,0.6188
19,21.03,54.55,54.13,2400,50.5,32.71,convex,1.8288,0.6096,0.6096,0.6096
20,22.03,53.45,54.25,2400,49.9,33.90,convex,1.8563,0.6188,0.6188,0.6188
21,23.03,54.00,54.25,2400,50.5,27.12,convex,1.8563,0.6188,0.6188,0.6188
22,24.03,54.55,54.13,2400,50.5,30.96,convex,1.8288,0.6096,0.6096,0.6096
23,25.03,54.00,54.13,2400,50.0,26.68,convex,1.8288,0.6096,0.6096,0.6096
24,26.03,54.55,54.00,2400,49.5,33.98,convex,1.8013,0.6004,0.6004,0.6004
25,27.03,54.00,54.00,2400,49.0,31.21,convex,1.8013,0.6004,0.6004,0.6004
26,28.03,54.55,53.87,2400,49.3,35.14,convex,1.7738,0.5913,0.5913,0.5913
27,29.03,53.45,54.00,2400,48.6,37.05,convex,1.8013,0.6004,0.6004,0.6004
28,30.03,54.55,53.87,2400,49.3,27.27,convex,1.7738,0.5913,0.5913,0.5913
29,31.03,54.00,53.87,2400,48.4,28.21,convex,1.7738,0.5913,0.5913,0.5913
30,32.03,54.00,53.87,2400,48.5,33.05,convex,1.7738,0.5913,0.5913,0.5913
31,33.03,54.00,53.87,2400,48.5,34.45,convex,1.7738,0.5913,0.5913,0.5913
32,34.03,54.00,53.87,2400,48.5,28.45,convex,1.7738,0.5913,0.5913,0.5913
33,35.03,54.55,53.75,2400,48.4,28.98,convex,1.7463,0.5821,0.5821,0.5821
34,36.03,54.00,53.75,2400,48.0,34.25,convex,1.7463,0.5821,0.5821,0.5821
35,37.03,54.55,53.62,2400,48.0,30.66,convex,1.7188,0.5730,0.5729,0.5729
36,38.03,54.00,53.62,2400,47.4,30.40,convex,1.7188,0.5730,0.5729,0.5729
37,39.03,54.55,53.50,2400,47.2,30.60,convex,1.6913,0.5638,0.5638,0.5637
38,40.03,54.55,53.37,2400,46.6,26.94,convex,1.6638,0.5546,0.5546,0.5546
39,41.03,54.00,53.37,2400,46.1,28.69,convex,1.6638,0.5546,0.5546,0.5546
40,42.03,53.45,53.50,2400,45.8,28.88,convex,1.6913,0.5638,0.5638,0.5637
41,43.03,52.90,53.75,2400,46.6,30.83,convex,1.7463,0.5821,0.5821,0.5821
42,44.03,54.00,53.75,2400,47.9,30.86,convex,1.7463,0.5821,0.5821,0.5821
43,45.03,54.55,53.62,2400,48.2,29.46,convex,1.7188,0.5730,0.5729,0.5729
44,46.03,54.00,53.62,2400,47.4,29.45,convex,1.7188,0.5730,0.5729,0.5729
45,47.03,53.45,53.75,2400,47.0,25.52,convex,1.7463,0.5821,0.5821,0.5821
46,48.03,54.00,53.75,2400,47.8,33.06,convex,1.7463,0.5821,0.5821,0.5821
47,49.03,54.55,53.62,2400,47.9,30.62,convex,1.7188,0.5730,0.5729,0.5729
48,50.03,54.55,53.50,2400,47.4,34.50,convex,1.6913,0.5637,0.5638,0.5638
49,51.03,54.55,53.37,2400,46.3,30.75,convex,1.6638,0.5546,0.5546,0.5546
50,52.03,54.00,53.37,2400,46.1,27.01,convex,1.6638,0.5546,0.5546,0.5546
