step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.60,54.00,2400,100.0,0.15,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,49.60,54.76,2400,44.8,0.23,matched,1.9663,0.6554,0.6554,0.6554
2,2.00,49.05,55.64,2400,39.1,0.08,matched,2.1588,0.7196,0.7196,0.7196
3,3.00,49.60,56.90,2400,37.1,0.08,matched,2.4338,0.8113,0.8113,0.8113
4,4.00,49.60,58.03,2400,31.7,0.17,matched,2.6813,0.8938,0.8938,0.8938
5,5.00,48.50,58.91,2400,21.3,0.05,matched,2.8738,0.9579,0.9579,0.9579
6,6.00,50.15,59.49,2400,39.4,0.06,matched,3.0000,1.0000,1.0000,1.0000
7,7.00,50.70,59.49,2400,40.5,0.15,matched,3.0000,1.0000,1.0000,1.0000
8,8.00,49.05,59.49,2400,60.9,0.08,matched,3.0000,1.0000,1.0000,1.0000
9,9.00,47.95,59.49,2400,14.7,0.06,matched,3.0000,1.0000,1.0000,1.0000
10,10.00,47.95,59.49,2400,2.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
11,11.00,47.95,59.49,2400,0.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
12,12.00,46.85,59.49,2400,0.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
13,13.00,46.85,59.49,2400,0.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
14,14.00,47.40,59.49,2400,21.3,0.11,matched,3.0000,1.0000,1.0000,1.0000
15,15.00,49.05,59.49,2400,34.2,0.12,matched,3.0000,1.0000,1.0000,1.0000
16,16.00,49.60,59.49,2400,57.8,0.08,matched,3.0000,1.0000,1.0000,1.0000
17,17.00,49.60,59.49,2400,36.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
18,18.01,50.15,59.49,2400,42.6,0.07,matched,3.0000,1.0000,1.0000,1.0000
19,19.01,50.70,59.49,2400,48.0,0.09,matched,3.0000,1.0000,1.0000,1.0000
20,20.01,51.80,59.49,2400,57.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
21,21.01,51.25,59.49,2400,43.6,0.09,matched,3.0000,1.0000,1.0000,1.0000
22,22.01,51.80,59.49,2400,55.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
23,23.01,51.25,59.49,2400,59.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
24,24.01,48.50,59.49,2400,17.7,0.04,matched,3.0000,1.0000,1.0000,1.0000
25,25.01,47.95,59.49,2400,3.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
26,26.01,47.95,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
27,27.01,47.40,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
28,28.01,47.40,59.49,2400,0.0,0.03,matched,3.0000,1.0000,1.0000,1.0000
29,29.01,47.95,59.49,2400,18.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
30,30.01,49.05,59.49,2400,48.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
31,31.01,49.60,59.49,2400,24.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
32,32.01,50.70,59.49,2400,46.5,0.07,matched,3.0000,1.0000,1.0000,1.0000
33,33.01,49.60,59.49,2400,32.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
34,34.01,50.15,59.49,2400,56.9,0.09,matched,3.0000,1.0000,1.0000,1.0000
35,35.01,50.70,59.49,2400,48.1,0.19,matched,3.0000,1.0000,1.0000,1.0000
36,36.02,50.70,59.49,2400,39.7,0.08,matched,3.0000,1.0000,1.0000,1.0000
37,37.02,50.70,59.49,2400,41.1,0.06,matched,3.0000,1.0000,1.0000,1.0000
38,38.02,50.70,59.49,2400,46.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
39,39.02,49.60,59.49,2400,23.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
40,40.02,48.50,59.49,2400,13.8,0.04,matched,3.0000,1.0000,1.0000,1.0000
41,41.02,47.40,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
42,42.02,47.40,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
43,43.02,46.85,59.49,2400,0.3,0.04,matched,3.0000,1.0000,1.0000,1.0000
44,44.02,47.95,59.49,2400,12.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
45,45.02,49.05,59.49,2400,30.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
46,46.02,50.15,59.49,2400,40.5,0.09,matched,3.0000,1.0000,1.0000,1.0000
47,47.02,50.15,59.49,2400,45.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
48,48.02,49.60,59.49,2400,27.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
49,49.02,50.70,59.49,2400,42.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
50,50.02,51.25,59.49,2400,70.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
51,51.02,50.70,59.49,2400,51.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
52,52.02,49.60,59.49,2400,20.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
53,53.02,51.25,59.49,2400,61.2,0.08,matched,3.0000,1.0000,1.0000,1.0000
54,54.02,49.60,59.49,2400,24.1,0.04,matched,3.0000,1.0000,1.0000,1.0000
55,55.02,48.50,59.49,2400,12.2,0.06,matched,3.0000,1.0000,1.0000,1.0000
56,56.02,48.50,59.49,2400,0.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
57,57.02,47.40,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
58,58.02,46.85,59.49,2400,0.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
59,59.02,47.95,59.49,2400,11.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
60,60.02,49.05,59.49,2400,22.8,0.06,matched,3.0000,1.0000,1.0000,1.0000
61,61.02,50.70,59.49,2400,43.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
62,62.02,51.25,59.49,2400,57.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
63,63.02,49.60,59.49,2400,30.7,0.05,matched,3.0000,1.0000,1.0000,1.0000
64,64.02,51.25,59.49,2400,39.4,0.08,matched,3.0000,1.0000,1.0000,1.0000
65,65.02,51.25,59.49,2400,38.5,0.08,matched,3.0000,1.0000,1.0000,1.0000
66,66.02,50.15,59.49,2400,43.9,0.05,matched,3.0000,1.0000,1.0000,1.0000
67,67.03,50.15,59.49,2400,30.0,0.09,matched,3.0000,1.0000,1.0000,1.0000
68,68.03,50.15,59.49,2400,49.4,0.05,matched,3.0000,1.0000,1.0000,1.0000
