step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,54.13,2400,47.5,0.17,admission,1.8288,0.6096,0.6096,0.6096
2,2.00,54.00,54.13,2400,48.2,0.07,admission,1.8288,0.6096,0.6096,0.6096
3,3.00,54.00,54.13,2400,48.2,0.08,admission,1.8288,0.6096,0.6096,0.6096
4,4.00,54.00,54.13,2400,48.4,0.15,admission,1.8288,0.6096,0.6096,0.6096
5,5.00,53.45,54.25,2400,48.0,0.08,admission,1.8563,0.6188,0.6188,0.6188
6,6.00,54.00,54.25,2400,49.0,0.16,admission,1.8563,0.6188,0.6188,0.6188
7,7.00,54.00,54.25,2400,48.8,0.09,admission,1.8563,0.6188,0.6188,0.6188
8,8.00,54.55,54.13,2400,48.8,0.08,admission,1.8288,0.6096,0.6096,0.6096
9,9.00,54.55,54.00,2400,48.0,0.07,admission,1.8013,0.6004,0.6004,0.6004
10,10.00,54.00,54.00,2400,47.4,0.08,admission,1.8013,0.6004,0.6004,0.6004
11,11.00,54.00,54.00,2400,47.3,0.09,admission,1.8013,0.6004,0.6004,0.6004
12,12.00,54.00,54.00,2400,47.5,0.11,admission,1.8013,0.6004,0.6004,0.6004
13,13.00,54.00,54.00,2400,47.2,0.08,admission,1.8013,0.6004,0.6004,0.6004
14,14.00,54.55,53.87,2400,47.4,0.13,admission,1.7738,0.5913,0.5913,0.5913
15,15.00,55.10,53.62,2400,46.8,0.16,admission,1.7188,0.5729,0.5729,0.5729
16,16.00,53.45,53.75,2400,45.4,0.06,admission,1.7463,0.5821,0.5821,0.5821
17,17.00,53.45,53.87,2400,46.2,0.14,admission,1.7738,0.5913,0.5913,0.5913
18,18.00,54.55,53.75,2400,46.7,0.06,admission,1.7463,0.5821,0.5821,0.5821
19,19.00,54.00,53.75,2400,46.2,0.08,admission,1.7463,0.5821,0.5821,0.5821
20,20.00,54.00,53.75,2400,46.2,0.07,admission,1.7463,0.5821,0.5821,0.5821
21,21.00,54.00,53.75,2400,46.2,0.07,admission,1.7463,0.5821,0.5821,0.5821
22,22.00,54.55,53.62,2400,46.0,0.06,admission,1.7188,0.5729,0.5729,0.5729
23,23.00,53.45,53.75,2400,45.6,0.07,admission,1.7463,0.5821,0.5821,0.5821
24,24.00,54.55,53.62,2400,46.2,0.09,admission,1.7188,0.5729,0.5729,0.5729
25,25.00,54.55,53.50,2400,45.4,0.06,admission,1.6913,0.5638,0.5638,0.5638
26,26.00,54.00,53.50,2400,44.7,0.13,admission,1.6913,0.5638,0.5638,0.5638
27,27.00,52.90,53.75,2400,44.8,0.10,admission,1.7463,0.5821,0.5821,0.5821
28,28.00,54.00,53.75,2400,46.2,0.08,admission,1.7463,0.5821,0.5821,0.5821
29,29.00,54.00,53.75,2400,46.3,0.10,admission,1.7463,0.5821,0.5821,0.5821
30,30.00,54.55,53.62,2400,46.1,0.10,admission,1.7188,0.5729,0.5729,0.5729
31,31.00,54.00,53.62,2400,45.6,0.27,admission,1.7188,0.5729,0.5729,0.5729
32,32.00,54.00,53.62,2400,45.7,0.23,admission,1.7188,0.5729,0.5729,0.5729
33,33.00,54.55,53.50,2400,45.6,0.18,admission,1.6913,0.5638,0.5638,0.5638
34,34.00,54.00,53.50,2400,45.1,0.17,admission,1.6913,0.5638,0.5638,0.5638
35,35.00,54.00,53.50,2400,45.1,0.14,admission,1.6913,0.5638,0.5638,0.5638
36,36.00,54.55,53.37,2400,45.1,0.21,admission,1.6638,0.5546,0.5546,0.5546
37,37.00,54.00,53.37,2400,44.3,0.17,admission,1.6638,0.5546,0.5546,0.5546
38,38.00,54.55,53.24,2400,44.5,0.11,admission,1.6363,0.5454,0.5454,0.5454
39,39.00,54.55,53.12,2400,43.7,0.08,admission,1.6088,0.5363,0.5363,0.5363
40,40.00,54.00,53.12,2400,43.1,0.22,admission,1.6088,0.5363,0.5363,0.5363
41,41.00,54.00,53.12,2400,43.1,0.22,admission,1.6088,0.5363,0.5363,0.5363
42,42.00,54.00,53.12,2400,43.1,0.11,admission,1.6088,0.5363,0.5363,0.5363
43,43.01,52.90,53.37,2400,43.1,0.09,admission,1.6638,0.5546,0.5546,0.5546
44,44.01,55.65,52.99,2400,44.6,0.11,admission,1.5813,0.5271,0.5271,0.5271
45,45.01,54.55,52.87,2400,42.2,0.10,admission,1.5538,0.5179,0.5179,0.5179
46,46.01,54.00,52.87,2400,41.8,0.11,admission,1.5538,0.5179,0.5179,0.5179
47,47.01,54.55,52.74,2400,41.5,0.21,admission,1.5263,0.5088,0.5088,0.5088
48,48.01,53.45,52.87,2400,40.9,0.11,admission,1.5538,0.5179,0.5179,0.5179
49,49.01,54.55,52.74,2400,41.6,0.11,admission,1.5263,0.5088,0.5088,0.5088
50,50.01,54.00,52.74,2400,40.7,0.12,admission,1.5263,0.5088,0.5088,0.5088
51,51.01,54.00,52.74,2400,40.9,0.08,admission,1.5263,0.5088,0.5088,0.5088
52,52.01,53.45,52.87,2400,40.9,0.13,admission,1.5538,0.5179,0.5179,0.5179
53,53.01,54.00,52.87,2400,41.5,0.08,admission,1.5538,0.5179,0.5179,0.5179
54,54.01,53.45,52.99,2400,41.8,0.19,admission,1.5813,0.5271,0.5271,0.5271
55,55.01,54.55,52.87,2400,42.4,0.12,admission,1.5538,0.5179,0.5179,0.5179
56,56.01,53.45,52.99,2400,41.5,0.22,admission,1.5813,0.5271,0.5271,0.5271
57,57.01,53.45,53.12,2400,42.4,0.27,admission,1.6088,0.5363,0.5363,0.5363
58,58.01,53.45,53.24,2400,43.1,0.11,admission,1.6363,0.5454,0.5454,0.5454
59,59.01,54.00,53.24,2400,43.6,0.09,admission,1.6363,0.5454,0.5454,0.5454
60,60.01,54.00,53.24,2400,43.7,0.15,admission,1.6363,0.5454,0.5454,0.5454
61,61.01,54.55,53.12,2400,43.6,0.08,admission,1.6088,0.5363,0.5363,0.5363
62,62.01,54.55,52.99,2400,43.1,0.08,admission,1.5813,0.5271,0.5271,0.5271
63,63.01,54.55,52.87,2400,42.4,0.11,admission,1.5538,0.5179,0.5179,0.5179
64,64.01,53.45,52.99,2400,41.4,0.30,admission,1.5813,0.5271,0.5271,0.5271
65,65.01,54.55,52.87,2400,42.6,0.11,admission,1.5538,0.5179,0.5179,0.5179
66,66.01,55.10,52.61,2400,42.4,0.10,admission,1.4988,0.4996,0.4996,0.4996
67,67.01,53.45,52.74,2400,40.6,0.17,admission,1.5263,0.5088,0.5088,0.5088
68,68.01,54.55,52.61,2400,40.8,0.10,admission,1.4988,0.4996,0.4996,0.4996
69,69.01,52.90,52.87,2400,40.8,0.09,admission,1.5538,0.5179,0.5179,0.5179
70,70.01,54.55,52.74,2400,41.7,0.15,admission,1.5263,0.5088,0.5088,0.5088
71,71.01,54.55,52.61,2400,41.1,0.16,admission,1.4988,0.4996,0.4996,0.4996
72,72.01,54.00,52.61,2400,40.6,0.08,admission,1.4988,0.4996,0.4996,0.4996
73,73.01,54.00,52.61,2400,40.6,0.12,admission,1.4988,0.4996,0.4996,0.4996
74,74.01,54.00,52.61,2400,40.4,0.07,admission,1.4988,0.4996,0.4996,0.4996
75,75.01,54.55,52.49,2400,40.5,0.07,admission,1.4713,0.4904,0.4904,0.4904
76,76.01,54.00,52.49,2400,40.0,0.08,admission,1.4713,0.4904,0.4904,0.4904
77,77.01,54.55,52.36,2400,39.9,0.06,admission,1.4438,0.4813,0.4813,0.4813
78,78.01,54.00,52.36,2400,39.2,0.06,admission,1.4438,0.4813,0.4813,0.4813
79,79.01,54.55,52.24,2400,38.9,0.09,admission,1.4163,0.4721,0.4721,0.4721
80,80.01,55.65,51.86,2400,38.5,0.07,admission,1.3338,0.4446,0.4446,0.4446
81,81.01,53.45,51.98,2400,36.5,0.08,admission,1.3613,0.4538,0.4538,0.4538
82,82.01,53.45,52.11,2400,36.9,0.06,admission,1.3888,0.4629,0.4629,0.4629
83,83.01,53.45,52.24,2400,37.8,0.10,admission,1.4163,0.4721,0.4721,0.4721
84,84.01,54.00,52.24,2400,38.4,0.06,admission,1.4163,0.4721,0.4721,0.4721
85,85.01,54.00,52.24,2400,38.4,0.10,admission,1.4163,0.4721,0.4721,0.4721
86,86.01,52.90,52.49,2400,38.4,0.07,admission,1.4713,0.4904,0.4904,0.4904
87,87.01,53.45,52.61,2400,40.0,0.06,admission,1.4988,0.4996,0.4996,0.4996
88,88.01,54.55,52.49,2400,40.4,0.12,admission,1.4713,0.4904,0.4904,0.4904
89,89.01,54.00,52.49,2400,40.0,0.06,admission,1.4713,0.4904,0.4904,0.4904
90,90.01,53.45,52.61,2400,39.8,0.08,admission,1.4988,0.4996,0.4996,0.4996
91,91.01,54.55,52.49,2400,40.4,0.05,admission,1.4713,0.4904,0.4904,0.4904
92,92.01,54.00,52.49,2400,40.3,0.05,admission,1.4713,0.4904,0.4904,0.4904
93,93.01,54.00,52.49,2400,40.1,0.05,admission,1.4713,0.4904,0.4904,0.4904
94,94.01,55.10,52.24,2400,40.1,0.05,admission,1.4163,0.4721,0.4721,0.4721
95,95.01,54.55,52.11,2400,38.7,0.06,admission,1.3888,0.4629,0.4629,0.4629
96,96.01,54.55,51.98,2400,37.9,0.12,admission,1.3613,0.4538,0.4538,0.4538
97,97.01,54.00,51.98,2400,37.2,0.21,admission,1.3613,0.4538,0.4538,0.4538
