step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,2531.28,convex,1.8013,0.5974,0.6028,0.6012
1,2.53,55.65,53.62,2400,100.0,57.57,convex,1.7188,0.5699,0.5752,0.5737
2,3.53,54.55,53.50,2400,49.3,24.17,convex,1.6913,0.5607,0.5660,0.5645
3,4.53,54.55,53.37,2400,45.5,20.96,convex,1.6638,0.5515,0.5569,0.5554
4,5.53,54.55,53.24,2400,44.8,19.00,convex,1.6363,0.5424,0.5477,0.5462
5,6.53,54.00,53.24,2400,44.2,20.95,convex,1.6363,0.5424,0.5477,0.5462
6,7.53,54.55,53.12,2400,44.2,19.17,convex,1.6088,0.5332,0.5386,0.5370
7,8.53,54.00,53.12,2400,43.2,17.46,convex,1.6088,0.5332,0.5386,0.5370
8,9.53,54.00,53.12,2400,43.2,16.14,convex,1.6088,0.5332,0.5386,0.5370
9,10.53,54.00,53.12,2400,43.7,16.69,convex,1.6088,0.5332,0.5386,0.5370
10,11.53,54.00,53.12,2400,43.3,17.83,convex,1.6088,0.5332,0.5386,0.5370
11,12.53,54.55,52.99,2400,43.7,77.81,convex,1.5813,0.5240,0.5294,0.5279
12,13.53,54.55,52.87,2400,44.8,17.40,convex,1.5538,0.5149,0.5202,0.5187
13,14.53,54.00,52.87,2400,42.5,17.39,convex,1.5538,0.5149,0.5202,0.5187
14,15.53,54.55,52.74,2400,42.1,16.02,convex,1.5263,0.5057,0.5111,0.5095
15,16.53,54.00,52.74,2400,41.4,18.70,convex,1.5263,0.5057,0.5111,0.5095
16,17.53,54.00,52.74,2400,41.6,17.62,convex,1.5263,0.5057,0.5111,0.5095
17,18.53,53.45,52.87,2400,41.2,16.66,convex,1.5538,0.5149,0.5202,0.5187
18,19.53,53.45,52.99,2400,42.3,16.59,convex,1.5813,0.5240,0.5294,0.5279
19,20.53,54.55,52.87,2400,42.8,19.76,convex,1.5538,0.5149,0.5202,0.5187
20,21.53,54.00,52.87,2400,42.5,17.23,convex,1.5538,0.5149,0.5202,0.5187
21,22.53,54.55,52.74,2400,42.3,17.91,convex,1.5263,0.5057,0.5111,0.5095
