step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,100.0,0.19,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,53.62,2400,48.2,0.30,matched,1.7188,0.5729,0.5729,0.5729
2,2.00,54.00,53.50,2400,46.2,0.11,matched,1.6913,0.5638,0.5638,0.5638
3,3.00,53.45,53.37,2400,45.5,0.14,matched,1.6638,0.5546,0.5546,0.5546
4,4.00,53.45,53.50,2400,44.7,0.15,matched,1.6913,0.5638,0.5638,0.5638
5,5.00,53.45,53.37,2400,45.6,0.08,matched,1.6638,0.5546,0.5546,0.5546
6,6.00,54.00,53.37,2400,44.8,0.21,matched,1.6638,0.5546,0.5546,0.5546
7,7.00,54.00,53.37,2400,44.9,0.09,matched,1.6638,0.5546,0.5546,0.5546
8,8.00,52.90,53.24,2400,44.7,0.07,matched,1.6363,0.5454,0.5454,0.5454
9,9.00,54.55,53.12,2400,44.2,0.09,matched,1.6088,0.5363,0.5363,0.5363
10,10.00,53.45,53.12,2400,43.5,0.20,matched,1.6088,0.5363,0.5363,0.5363
11,11.00,54.00,52.99,2400,43.2,0.14,matched,1.5813,0.5271,0.5271,0.5271
12,12.00,54.00,52.99,2400,42.9,0.07,matched,1.5813,0.5271,0.5271,0.5271
13,13.00,54.00,52.87,2400,42.7,0.08,matched,1.5538,0.5179,0.5179,0.5179
14,14.00,53.45,52.74,2400,42.3,0.09,matched,1.5263,0.5088,0.5088,0.5088
15,15.00,52.90,52.36,2400,41.5,0.16,matched,1.4438,0.4813,0.4813,0.4813
16,16.00,53.45,52.36,2400,39.4,0.07,matched,1.4438,0.4813,0.4813,0.4813
17,17.00,54.00,52.36,2400,39.3,0.06,matched,1.4438,0.4813,0.4813,0.4813
18,18.00,52.90,52.24,2400,39.4,0.07,matched,1.4163,0.4721,0.4721,0.4721
19,19.00,53.45,52.24,2400,38.7,0.14,matched,1.4163,0.4721,0.4721,0.4721
20,20.00,53.45,52.11,2400,38.7,0.08,matched,1.3888,0.4629,0.4629,0.4629
21,21.00,54.00,52.24,2400,37.9,0.06,matched,1.4163,0.4721,0.4721,0.4721
22,22.00,53.45,52.24,2400,38.8,0.09,matched,1.4163,0.4721,0.4721,0.4721
23,23.00,53.45,52.36,2400,38.5,0.09,matched,1.4438,0.4813,0.4813,0.4813
24,24.00,53.45,52.49,2400,39.3,0.07,matched,1.4713,0.4904,0.4904,0.4904
25,25.00,54.55,52.24,2400,40.0,0.07,matched,1.4163,0.4721,0.4721,0.4721
26,26.00,53.45,52.24,2400,38.7,0.06,matched,1.4163,0.4721,0.4721,0.4721
27,27.00,53.45,52.11,2400,38.7,0.09,matched,1.3888,0.4629,0.4629,0.4629
28,28.00,52.35,52.11,2400,38.4,0.05,matched,1.3888,0.4629,0.4629,0.4629
29,29.00,54.00,52.24,2400,38.2,0.06,matched,1.4163,0.4721,0.4721,0.4721
30,30.00,52.90,52.24,2400,38.8,0.06,matched,1.4163,0.4721,0.4721,0.4721
31,31.00,54.00,52.24,2400,38.7,0.06,matched,1.4163,0.4721,0.4721,0.4721
32,32.00,53.45,52.24,2400,38.8,0.08,matched,1.4163,0.4721,0.4721,0.4721
33,33.00,53.45,52.11,2400,38.7,0.08,matched,1.3888,0.4629,0.4629,0.4629
34,34.00,54.00,52.24,2400,37.9,0.08,matched,1.4163,0.4721,0.4721,0.4721
35,35.00,52.90,52.49,2400,38.7,0.07,matched,1.4713,0.4904,0.4904,0.4904
36,36.01,52.90,52.49,2400,40.0,0.06,matched,1.4713,0.4904,0.4904,0.4904
37,37.01,54.00,52.49,2400,40.4,0.10,matched,1.4713,0.4904,0.4904,0.4904
38,38.01,54.00,52.49,2400,40.1,0.06,matched,1.4713,0.4904,0.4904,0.4904
