step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,54.13,2400,47.4,0.10,admission,1.8288,0.6096,0.6096,0.6096
2,2.00,54.00,54.13,2400,48.0,0.05,admission,1.8288,0.6096,0.6096,0.6096
3,3.00,53.45,54.25,2400,48.0,0.06,admission,1.8563,0.6188,0.6188,0.6188
4,4.00,54.00,54.25,2400,48.6,0.06,admission,1.8563,0.6188,0.6188,0.6188
5,5.00,53.45,54.38,2400,48.6,0.07,admission,1.8838,0.6279,0.6279,0.6279
6,6.00,54.00,54.38,2400,49.1,0.05,admission,1.8838,0.6279,0.6279,0.6279
7,7.00,54.00,54.38,2400,49.1,0.07,admission,1.8838,0.6279,0.6279,0.6279
8,8.00,54.55,54.25,2400,49.4,0.07,admission,1.8563,0.6188,0.6188,0.6188
9,9.00,54.00,54.25,2400,48.6,0.05,admission,1.8563,0.6188,0.6188,0.6188
10,10.00,52.90,54.50,2400,48.6,0.06,admission,1.9113,0.6371,0.6371,0.6371
11,11.00,54.00,54.50,2400,50.2,0.05,admission,1.9113,0.6371,0.6371,0.6371
12,12.00,54.55,54.38,2400,50.0,0.06,admission,1.8838,0.6279,0.6279,0.6279
13,13.00,54.00,54.38,2400,49.3,0.05,admission,1.8838,0.6279,0.6279,0.6279
14,14.00,53.45,54.50,2400,49.1,0.05,admission,1.9113,0.6371,0.6371,0.6371
15,15.00,54.00,54.50,2400,50.2,0.08,admission,1.9113,0.6371,0.6371,0.6371
16,16.00,53.45,54.63,2400,49.9,0.06,admission,1.9388,0.6463,0.6463,0.6463
17,17.00,54.00,54.63,2400,50.6,0.06,admission,1.9388,0.6463,0.6463,0.6463
18,18.00,54.00,54.63,2400,50.6,0.05,admission,1.9388,0.6463,0.6463,0.6463
19,19.00,54.55,54.50,2400,50.7,0.07,admission,1.9113,0.6371,0.6371,0.6371
20,20.00,54.00,54.50,2400,50.0,0.05,admission,1.9113,0.6371,0.6371,0.6371
21,21.00,54.00,54.50,2400,50.1,0.05,admission,1.9113,0.6371,0.6371,0.6371
22,22.00,54.00,54.50,2400,49.9,0.06,admission,1.9113,0.6371,0.6371,0.6371
23,23.00,54.00,54.50,2400,50.4,0.07,admission,1.9113,0.6371,0.6371,0.6371
24,24.00,54.00,54.50,2400,50.1,0.06,admission,1.9113,0.6371,0.6371,0.6371
25,25.00,54.00,54.50,2400,50.2,0.05,admission,1.9113,0.6371,0.6371,0.6371
26,26.00,54.00,54.50,2400,50.2,0.06,admission,1.9113,0.6371,0.6371,0.6371
27,27.00,54.00,54.50,2400,50.4,0.06,admission,1.9113,0.6371,0.6371,0.6371
28,28.00,54.00,54.50,2400,50.2,0.06,admission,1.9113,0.6371,0.6371,0.6371
29,29.00,54.55,54.38,2400,49.9,0.06,admission,1.8838,0.6279,0.6279,0.6279
30,30.00,54.00,54.38,2400,49.4,0.06,admission,1.8838,0.6279,0.6279,0.6279
31,31.00,54.00,54.38,2400,49.4,0.05,admission,1.8838,0.6279,0.6279,0.6279
32,32.00,54.00,54.38,2400,49.4,0.07,admission,1.8838,0.6279,0.6279,0.6279
33,33.00,54.00,54.38,2400,49.5,0.05,admission,1.8838,0.6279,0.6279,0.6279
34,34.00,54.00,54.38,2400,49.3,0.06,admission,1.8838,0.6279,0.6279,0.6279
35,35.00,54.00,54.38,2400,49.5,0.05,admission,1.8838,0.6279,0.6279,0.6279
36,36.00,54.00,54.38,2400,49.5,0.13,admission,1.8838,0.6279,0.6279,0.6279
37,37.00,54.55,54.25,2400,49.5,0.06,admission,1.8563,0.6188,0.6188,0.6188
38,38.00,53.45,54.38,2400,48.8,0.05,admission,1.8838,0.6279,0.6279,0.6279
39,39.00,54.00,54.38,2400,49.3,0.05,admission,1.8838,0.6279,0.6279,0.6279
40,40.00,54.00,54.38,2400,49.8,0.05,admission,1.8838,0.6279,0.6279,0.6279
41,41.00,53.45,54.50,2400,49.3,0.07,admission,1.9113,0.6371,0.6371,0.6371
42,42.00,54.55,54.38,2400,50.2,0.10,admission,1.8838,0.6279,0.6279,0.6279
43,43.00,54.55,54.25,2400,49.3,0.06,admission,1.8563,0.6188,0.6188,0.6188
44,44.00,54.55,54.13,2400,48.8,0.05,admission,1.8288,0.6096,0.6096,0.6096
45,45.00,54.00,54.13,2400,48.3,0.12,admission,1.8288,0.6096,0.6096,0.6096
46,46.00,54.55,54.00,2400,48.0,0.06,admission,1.8013,0.6004,0.6004,0.6004
47,47.00,54.00,54.00,2400,47.4,0.06,admission,1.8013,0.6004,0.6004,0.6004
48,48.00,53.45,54.13,2400,47.4,0.05,admission,1.8288,0.6096,0.6096,0.6096
49,49.00,54.00,54.13,2400,48.0,0.06,admission,1.8288,0.6096,0.6096,0.6096
50,50.00,54.00,54.13,2400,48.3,0.06,admission,1.8288,0.6096,0.6096,0.6096
51,51.00,54.55,54.00,2400,48.2,0.06,admission,1.8013,0.6004,0.6004,0.6004
52,52.00,54.55,53.87,2400,47.3,0.06,admission,1.7738,0.5913,0.5913,0.5913
53,53.01,54.55,53.75,2400,46.7,0.07,admission,1.7463,0.5821,0.5821,0.5821
54,54.01,52.90,54.00,2400,46.2,0.11,admission,1.8013,0.6004,0.6004,0.6004
55,55.01,54.00,54.00,2400,47.3,0.09,admission,1.8013,0.6004,0.6004,0.6004
56,56.01,54.00,54.00,2400,47.2,0.05,admission,1.8013,0.6004,0.6004,0.6004
57,57.01,54.00,54.00,2400,47.4,0.07,admission,1.8013,0.6004,0.6004,0.6004
58,58.01,54.55,53.87,2400,47.7,0.06,admission,1.7738,0.5913,0.5913,0.5913
59,59.01,54.00,53.87,2400,46.7,0.07,admission,1.7738,0.5913,0.5913,0.5913
60,60.01,54.00,53.87,2400,46.6,0.07,admission,1.7738,0.5913,0.5913,0.5913
61,61.01,54.00,53.87,2400,46.7,0.06,admission,1.7738,0.5913,0.5913,0.5913
62,62.01,54.00,53.87,2400,46.8,0.10,admission,1.7738,0.5913,0.5913,0.5913
63,63.01,53.45,54.00,2400,46.6,0.07,admission,1.8013,0.6004,0.6004,0.6004
64,64.01,54.00,54.00,2400,47.4,0.05,admission,1.8013,0.6004,0.6004,0.6004
65,65.01,54.00,54.00,2400,47.3,0.06,admission,1.8013,0.6004,0.6004,0.6004
66,66.01,54.00,54.00,2400,47.2,0.07,admission,1.8013,0.6004,0.6004,0.6004
67,67.01,54.00,54.00,2400,47.4,0.06,admission,1.8013,0.6004,0.6004,0.6004
68,68.01,54.00,54.00,2400,47.3,0.08,admission,1.8013,0.6004,0.6004,0.6004
69,69.01,53.45,54.13,2400,47.2,0.07,admission,1.8288,0.6096,0.6096,0.6096
70,70.01,54.55,54.00,2400,47.9,0.06,admission,1.8013,0.6004,0.6004,0.6004
71,71.01,55.10,53.75,2400,47.2,0.06,admission,1.7463,0.5821,0.5821,0.5821
72,72.01,54.55,53.62,2400,45.8,0.06,admission,1.7188,0.5729,0.5729,0.5729
73,73.01,54.00,53.62,2400,45.1,0.06,admission,1.7188,0.5729,0.5729,0.5729
74,74.01,54.00,53.62,2400,45.1,0.05,admission,1.7188,0.5729,0.5729,0.5729
75,75.01,53.45,53.75,2400,44.9,0.06,admission,1.7463,0.5821,0.5821,0.5821
76,76.01,54.00,53.75,2400,45.8,0.06,admission,1.7463,0.5821,0.5821,0.5821
77,77.01,54.00,53.75,2400,45.8,0.06,admission,1.7463,0.5821,0.5821,0.5821
78,78.01,54.00,53.75,2400,45.8,0.07,admission,1.7463,0.5821,0.5821,0.5821
79,79.01,54.55,53.62,2400,45.8,0.06,admission,1.7188,0.5729,0.5729,0.5729
80,80.01,54.00,53.62,2400,45.2,0.05,admission,1.7188,0.5729,0.5729,0.5729
81,81.01,54.55,53.50,2400,44.9,0.06,admission,1.6913,0.5638,0.5638,0.5638
82,82.01,54.00,53.50,2400,44.2,0.06,admission,1.6913,0.5638,0.5638,0.5638
83,83.01,54.00,53.50,2400,44.4,0.05,admission,1.6913,0.5638,0.5638,0.5638
84,84.01,54.00,53.50,2400,44.3,0.05,admission,1.6913,0.5638,0.5638,0.5638
85,85.01,54.55,53.37,2400,44.5,0.05,admission,1.6638,0.5546,0.5546,0.5546
86,86.01,54.00,53.37,2400,43.7,0.06,admission,1.6638,0.5546,0.5546,0.5546
87,87.01,53.45,53.50,2400,43.7,0.06,admission,1.6913,0.5638,0.5638,0.5638
88,88.01,54.00,53.50,2400,44.5,0.05,admission,1.6913,0.5638,0.5638,0.5638
89,89.01,54.00,53.50,2400,44.2,0.08,admission,1.6913,0.5638,0.5638,0.5638
90,90.01,54.55,53.37,2400,44.2,0.13,admission,1.6638,0.5546,0.5546,0.5546
91,91.01,53.45,53.50,2400,44.0,0.07,admission,1.6913,0.5638,0.5638,0.5638
92,92.01,54.55,53.37,2400,44.2,0.07,admission,1.6638,0.5546,0.5546,0.5546
93,93.01,54.00,53.37,2400,44.0,0.11,admission,1.6638,0.5546,0.5546,0.5546
94,94.01,54.00,53.37,2400,43.6,0.15,admission,1.6638,0.5546,0.5546,0.5546
95,95.01,54.00,53.37,2400,43.7,0.07,admission,1.6638,0.5546,0.5546,0.5546
96,96.01,54.55,53.24,2400,43.7,0.06,admission,1.6363,0.5454,0.5454,0.5454
97,97.01,54.00,53.24,2400,43.1,0.08,admission,1.6363,0.5454,0.5454,0.5454
98,98.01,54.55,53.12,2400,43.1,0.11,admission,1.6088,0.5363,0.5363,0.5363
99,99.01,53.45,53.24,2400,42.1,0.16,admission,1.6363,0.5454,0.5454,0.5454
100,100.01,53.45,53.37,2400,43.2,0.06,admission,1.6638,0.5546,0.5546,0.5546
101,101.01,52.90,53.62,2400,43.7,0.09,admission,1.7188,0.5729,0.5729,0.5729
102,102.01,54.00,53.62,2400,44.9,0.07,admission,1.7188,0.5729,0.5729,0.5729
103,103.01,54.00,53.62,2400,44.9,0.06,admission,1.7188,0.5729,0.5729,0.5729
104,104.01,55.10,53.37,2400,45.1,0.07,admission,1.6638,0.5546,0.5546,0.5546
105,105.01,53.45,53.50,2400,43.8,0.09,admission,1.6913,0.5638,0.5638,0.5638
106,106.01,54.00,53.50,2400,44.2,0.07,admission,1.6913,0.5638,0.5638,0.5638
107,107.01,54.55,53.37,2400,44.3,0.07,admission,1.6638,0.5546,0.5546,0.5546
108,108.01,54.55,53.24,2400,43.7,0.19,admission,1.6363,0.5454,0.5454,0.5454
109,109.01,54.55,53.12,2400,43.3,0.07,admission,1.6088,0.5363,0.5363,0.5363
110,110.01,53.45,53.24,2400,42.5,0.06,admission,1.6363,0.5454,0.5454,0.5454
111,111.01,54.00,53.24,2400,43.2,0.07,admission,1.6363,0.5454,0.5454,0.5454
112,112.01,55.10,52.99,2400,43.3,4.11,admission,1.5813,0.5271,0.5271,0.5271
113,113.01,54.55,52.87,2400,41.9,0.10,admission,1.5538,0.5179,0.5179,0.5179
114,114.01,54.55,52.74,2400,41.0,0.05,admission,1.5263,0.5088,0.5088,0.5088
115,115.01,54.55,52.61,2400,40.7,0.06,admission,1.4988,0.4996,0.4996,0.4996
116,116.01,54.55,52.49,2400,39.8,0.06,admission,1.4713,0.4904,0.4904,0.4904
117,117.01,54.55,52.36,2400,39.0,0.06,admission,1.4438,0.4813,0.4813,0.4813
118,118.01,54.00,52.36,2400,38.6,0.05,admission,1.4438,0.4813,0.4813,0.4813
119,119.01,54.55,52.24,2400,38.4,0.06,admission,1.4163,0.4721,0.4721,0.4721
120,120.01,53.45,52.36,2400,37.9,0.06,admission,1.4438,0.4813,0.4813,0.4813
121,121.01,54.00,52.36,2400,38.6,0.05,admission,1.4438,0.4813,0.4813,0.4813
122,122.01,54.00,52.36,2400,38.4,0.06,admission,1.4438,0.4813,0.4813,0.4813
123,123.01,53.45,52.49,2400,38.5,0.05,admission,1.4713,0.4904,0.4904,0.4904
124,124.01,54.00,52.49,2400,39.2,0.06,admission,1.4713,0.4904,0.4904,0.4904
125,125.01,55.10,52.24,2400,39.3,0.05,admission,1.4163,0.4721,0.4721,0.4721
126,126.01,54.00,52.24,2400,37.7,0.06,admission,1.4163,0.4721,0.4721,0.4721
127,127.01,54.55,52.11,2400,37.8,0.05,admission,1.3888,0.4629,0.4629,0.4629
