step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,2416.92,convex,1.8013,0.5974,0.6028,0.6012
1,2.42,55.10,53.75,2400,97.4,30.72,convex,1.7463,0.5790,0.5844,0.5828
2,3.42,54.00,53.75,2400,36.7,19.38,convex,1.7463,0.5790,0.5844,0.5828
3,4.42,54.00,53.75,2400,45.4,19.08,convex,1.7463,0.5790,0.5844,0.5828
4,5.42,54.55,53.62,2400,46.9,18.92,convex,1.7188,0.5699,0.5752,0.5737
5,6.42,54.00,53.62,2400,46.3,19.92,convex,1.7188,0.5699,0.5752,0.5737
6,7.42,54.55,53.50,2400,46.2,18.86,convex,1.6913,0.5607,0.5660,0.5645
7,8.42,52.90,53.75,2400,45.6,17.73,convex,1.7463,0.5790,0.5844,0.5828
8,9.42,53.45,53.87,2400,46.9,20.97,convex,1.7738,0.5882,0.5936,0.5920
9,10.42,54.55,53.75,2400,47.4,19.86,convex,1.7463,0.5790,0.5844,0.5828
10,11.42,54.55,53.62,2400,46.8,17.13,convex,1.7188,0.5699,0.5752,0.5737
11,12.42,54.55,53.50,2400,46.4,83.13,convex,1.6913,0.5607,0.5660,0.5645
12,13.42,55.10,53.24,2400,47.7,16.40,convex,1.6363,0.5424,0.5477,0.5462
13,14.42,55.10,52.99,2400,44.5,17.12,convex,1.5813,0.5240,0.5294,0.5279
14,15.42,54.55,52.87,2400,43.1,16.39,convex,1.5538,0.5149,0.5203,0.5187
15,16.42,54.55,52.74,2400,42.4,18.46,convex,1.5263,0.5057,0.5111,0.5095
16,17.42,54.55,52.61,2400,41.6,17.69,convex,1.4988,0.4988,0.5008,0.4992
17,18.42,54.55,52.49,2400,40.6,17.07,convex,1.4713,0.4896,0.4916,0.4901
18,19.42,54.00,52.49,2400,40.3,17.24,convex,1.4713,0.4896,0.4916,0.4901
19,20.42,54.55,52.36,2400,40.0,17.46,convex,1.4438,0.4805,0.4825,0.4809
20,21.42,54.00,52.36,2400,39.4,18.25,convex,1.4438,0.4805,0.4825,0.4809
21,22.42,54.00,52.36,2400,39.4,16.76,convex,1.4438,0.4805,0.4825,0.4809
22,23.42,54.00,52.36,2400,39.7,15.75,convex,1.4438,0.4805,0.4825,0.4809
23,24.42,54.55,52.24,2400,39.8,15.95,convex,1.4163,0.4713,0.4733,0.4717
24,25.42,54.00,52.24,2400,39.1,16.71,convex,1.4163,0.4713,0.4733,0.4717
25,26.42,52.90,52.49,2400,39.1,16.04,convex,1.4713,0.4896,0.4916,0.4901
26,27.42,54.00,52.49,2400,40.0,18.00,convex,1.4713,0.4896,0.4916,0.4901
27,28.42,54.00,52.49,2400,40.3,16.65,convex,1.4713,0.4896,0.4916,0.4901
28,29.42,54.00,52.49,2400,40.3,16.62,convex,1.4713,0.4896,0.4916,0.4901
29,30.42,53.45,52.61,2400,40.4,16.26,convex,1.4988,0.4988,0.5008,0.4993
30,31.42,54.00,52.61,2400,40.8,17.66,convex,1.4988,0.4988,0.5008,0.4993
31,32.42,54.00,52.61,2400,40.6,18.31,convex,1.4988,0.4988,0.5008,0.4993
32,33.42,53.45,52.74,2400,40.5,18.15,convex,1.5263,0.5057,0.5111,0.5095
33,34.42,54.55,52.61,2400,41.5,17.90,convex,1.4988,0.4988,0.5008,0.4993
34,35.42,54.55,52.49,2400,40.8,17.32,convex,1.4713,0.4896,0.4916,0.4901
35,36.42,54.55,52.36,2400,40.3,17.57,convex,1.4438,0.4805,0.4825,0.4809
36,37.42,54.55,52.24,2400,39.2,18.11,convex,1.4163,0.4713,0.4733,0.4717
37,38.42,54.55,52.11,2400,38.8,15.77,convex,1.3888,0.4621,0.4641,0.4626
38,39.42,54.00,52.11,2400,38.0,15.55,convex,1.3888,0.4621,0.4641,0.4626
39,40.42,54.00,52.11,2400,38.1,16.05,convex,1.3888,0.4621,0.4641,0.4626
40,41.42,54.00,52.11,2400,38.0,15.47,convex,1.3888,0.4621,0.4641,0.4626
41,42.42,53.45,52.24,2400,37.9,16.42,convex,1.4163,0.4713,0.4733,0.4717
42,43.42,54.00,52.24,2400,38.5,16.10,convex,1.4163,0.4713,0.4733,0.4717
43,44.42,52.90,52.49,2400,38.7,15.85,convex,1.4713,0.4897,0.4916,0.4900
44,45.42,54.55,52.36,2400,39.8,16.02,convex,1.4438,0.4805,0.4825,0.4809
45,46.42,54.55,52.24,2400,39.4,16.29,convex,1.4163,0.4713,0.4732,0.4717
46,47.42,54.55,52.11,2400,38.8,17.09,convex,1.3888,0.4621,0.4641,0.4626
47,48.42,54.55,51.98,2400,38.0,16.40,convex,1.3613,0.4530,0.4550,0.4534
48,49.42,54.55,51.86,2400,37.3,16.72,convex,1.3338,0.4438,0.4458,0.4442
49,50.42,54.55,51.73,2400,36.5,15.68,convex,1.3063,0.4347,0.4366,0.4350
50,51.42,55.10,51.48,2400,36.0,16.33,convex,1.2513,0.4163,0.4183,0.4167
51,52.42,53.45,51.61,2400,34.7,15.80,convex,1.2788,0.4255,0.4274,0.4259
52,53.42,54.00,51.61,2400,35.2,15.40,convex,1.2788,0.4255,0.4274,0.4259
53,54.42,53.45,51.73,2400,35.2,16.42,convex,1.3063,0.4347,0.4366,0.4350
54,55.42,54.00,51.73,2400,36.0,16.17,convex,1.3063,0.4347,0.4366,0.4350
55,56.42,53.45,51.86,2400,35.7,16.05,convex,1.3338,0.4438,0.4458,0.4442
56,57.42,54.00,51.86,2400,36.5,16.29,convex,1.3338,0.4438,0.4458,0.4442
57,58.42,54.00,51.86,2400,36.6,15.86,convex,1.3338,0.4438,0.4458,0.4442
58,59.42,54.00,51.86,2400,36.5,16.05,convex,1.3338,0.4438,0.4458,0.4442
59,60.42,54.00,51.86,2400,36.5,16.07,convex,1.3338,0.4438,0.4458,0.4442
60,61.42,54.00,51.86,2400,36.6,15.80,convex,1.3338,0.4438,0.4458,0.4442
61,62.42,53.45,51.98,2400,36.5,15.89,convex,1.3613,0.4530,0.4550,0.4534
62,63.42,54.55,51.86,2400,37.2,17.30,convex,1.3338,0.4438,0.4458,0.4442
63,64.42,54.00,51.86,2400,36.9,16.75,convex,1.3338,0.4438,0.4458,0.4442
64,65.42,54.00,51.86,2400,36.9,16.68,convex,1.3338,0.4438,0.4458,0.4442
65,66.42,54.55,51.73,2400,36.6,15.73,convex,1.3063,0.4347,0.4366,0.4350
66,67.42,54.55,51.61,2400,36.0,15.53,convex,1.2788,0.4255,0.4274,0.4259
67,68.42,54.00,51.61,2400,35.2,16.54,convex,1.2788,0.4255,0.4274,0.4259
