step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,53.99,2400,0.0,0.00,quota,1.8000,0.6000,0.6000,0.6000
1,1.00,53.45,53.99,2400,47.0,0.01,quota,1.8000,0.6000,0.6000,0.6000
2,2.00,54.00,53.99,2400,47.0,0.00,quota,1.8000,0.6000,0.6000,0.6000
3,3.00,54.00,53.99,2400,41.9,0.01,quota,1.8000,0.6000,0.6000,0.6000
4,4.00,54.00,53.99,2400,39.8,0.00,quota,1.8000,0.6000,0.6000,0.6000
5,5.00,54.55,53.99,2400,47.0,0.00,quota,1.8000,0.6000,0.6000,0.6000
6,6.00,54.55,53.99,2400,46.9,0.00,quota,1.8000,0.6000,0.6000,0.6000
7,7.00,53.45,53.99,2400,47.0,0.00,quota,1.8000,0.6000,0.6000,0.6000
8,8.00,54.55,53.99,2400,47.2,0.00,quota,1.8000,0.6000,0.6000,0.6000
9,9.00,55.10,53.99,2400,47.3,0.01,quota,1.8000,0.6000,0.6000,0.6000
10,10.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
11,11.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
12,12.00,54.55,53.99,2400,47.3,0.01,quota,1.8000,0.6000,0.6000,0.6000
13,13.00,54.55,53.99,2400,47.2,0.00,quota,1.8000,0.6000,0.6000,0.6000
14,14.00,54.55,53.99,2400,47.3,0.01,quota,1.8000,0.6000,0.6000,0.6000
15,15.00,54.00,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
16,16.00,54.55,53.99,2400,47.6,0.00,quota,1.8000,0.6000,0.6000,0.6000
17,17.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
18,18.00,54.55,53.99,2400,47.2,0.00,quota,1.8000,0.6000,0.6000,0.6000
19,19.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
20,20.00,55.65,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
21,21.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
22,22.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
23,23.00,55.10,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
24,24.00,53.45,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
25,25.00,54.55,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
26,26.00,55.10,53.99,2400,47.0,0.01,quota,1.8000,0.6000,0.6000,0.6000
27,27.00,54.55,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
28,28.00,55.10,53.99,2400,47.2,0.00,quota,1.8000,0.6000,0.6000,0.6000
29,29.00,55.10,53.99,2400,47.4,0.01,quota,1.8000,0.6000,0.6000,0.6000
30,30.00,54.55,53.99,2400,47.2,0.01,quota,1.8000,0.6000,0.6000,0.6000
31,31.00,55.10,53.99,2400,47.4,0.01,quota,1.8000,0.6000,0.6000,0.6000
32,32.00,54.55,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
33,33.00,53.45,53.99,2400,47.2,0.02,quota,1.8000,0.6000,0.6000,0.6000
34,34.00,54.55,53.99,2400,47.3,0.00,quota,1.8000,0.6000,0.6000,0.6000
35,35.00,54.55,53.99,2400,47.0,0.01,quota,1.8000,0.6000,0.6000,0.6000
