step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,51.80,54.00,2400,0.0,1023.58,convex,1.8013,0.5974,0.6028,0.6012
1,1.02,51.80,54.50,2400,55.1,14.95,convex,1.9113,0.6340,0.6395,0.6378
2,2.02,51.80,55.01,2400,28.5,45.35,convex,2.0213,0.6707,0.6762,0.6744
3,3.02,51.25,55.64,2400,22.8,27.08,convex,2.1588,0.7164,0.7219,0.7204
4,4.02,50.70,56.39,2400,23.5,22.77,convex,2.3238,0.7768,0.7744,0.7727
5,5.02,51.80,56.90,2400,18.5,16.57,convex,2.4338,0.8134,0.8110,0.8094
6,6.02,51.25,57.53,2400,27.3,16.66,convex,2.5713,0.8593,0.8569,0.8552
7,7.02,50.70,58.28,2400,13.8,15.15,convex,2.7363,0.9062,0.9159,0.9142
8,8.02,52.35,58.66,2400,16.0,14.91,convex,2.8188,0.9336,0.9434,0.9418
9,9.02,50.70,59.42,2400,10.5,14.94,convex,2.9838,0.9886,0.9984,0.9968
10,10.02,50.70,59.49,2400,15.2,19.05,convex,3.0000,1.0000,1.0000,1.0000
11,11.03,51.80,59.49,2400,30.2,61.45,convex,3.0000,1.0000,1.0000,1.0000
12,12.03,50.15,59.49,2400,19.5,17.47,convex,3.0000,1.0000,1.0000,1.0000
13,13.03,51.25,59.49,2400,26.3,20.03,convex,3.0000,1.0000,1.0000,1.0000
14,14.03,51.80,59.49,2400,33.8,17.97,convex,3.0000,1.0000,1.0000,1.0000
15,15.03,51.80,59.49,2400,13.3,45.69,convex,3.0000,1.0000,1.0000,1.0000
16,16.03,51.80,59.49,2400,31.9,14.93,convex,3.0000,1.0000,1.0000,1.0000
17,17.03,50.70,59.49,2400,17.0,15.96,convex,3.0000,1.0000,1.0000,1.0000
18,18.03,51.80,59.49,2400,30.0,19.96,convex,3.0000,1.0000,1.0000,1.0000
19,19.03,50.70,59.49,2400,29.9,15.02,convex,3.0000,1.0000,1.0000,1.0000
20,20.03,50.70,59.49,2400,20.1,19.90,convex,3.0000,1.0000,1.0000,1.0000
21,21.03,50.70,59.49,2400,19.3,16.56,convex,3.0000,1.0000,1.0000,1.0000
22,22.03,51.80,59.49,2400,25.3,16.46,convex,3.0000,1.0000,1.0000,1.0000
23,23.03,52.35,59.49,2400,36.5,19.60,convex,3.0000,1.0000,1.0000,1.0000
24,24.03,52.35,59.49,2400,22.6,27.46,convex,3.0000,1.0000,1.0000,1.0000
25,25.03,51.80,59.49,2400,20.6,23.90,convex,3.0000,1.0000,1.0000,1.0000
26,26.03,50.70,59.49,2400,28.2,17.38,convex,3.0000,1.0000,1.0000,1.0000
27,27.03,51.80,59.49,2400,24.6,17.59,convex,3.0000,1.0000,1.0000,1.0000
28,28.03,51.80,59.49,2400,27.6,18.05,convex,3.0000,1.0000,1.0000,1.0000
29,29.03,50.70,59.49,2400,25.7,28.22,convex,3.0000,1.0000,1.0000,1.0000
30,30.03,51.25,59.49,2400,39.9,15.02,convex,3.0000,1.0000,1.0000,1.0000
31,31.03,50.70,59.49,2400,18.8,15.02,convex,3.0000,1.0000,1.0000,1.0000
32,32.03,51.25,59.49,2400,31.3,16.51,convex,3.0000,1.0000,1.0000,1.0000
33,33.03,52.90,59.49,2400,24.1,26.80,convex,3.0000,1.0000,1.0000,1.0000
34,34.03,51.25,59.49,2400,28.1,16.82,convex,3.0000,1.0000,1.0000,1.0000
35,35.03,50.70,59.49,2400,12.0,15.05,convex,3.0000,1.0000,1.0000,1.0000
36,36.03,52.35,59.49,2400,24.0,14.94,convex,3.0000,1.0000,1.0000,1.0000
37,37.03,50.70,59.49,2400,26.6,14.90,convex,3.0000,1.0000,1.0000,1.0000
38,38.03,50.70,59.49,2400,16.3,19.87,convex,3.0000,1.0000,1.0000,1.0000
39,39.03,50.70,59.49,2400,17.8,14.99,convex,3.0000,1.0000,1.0000,1.0000
40,40.03,52.35,59.49,2400,30.3,36.45,convex,3.0000,1.0000,1.0000,1.0000
41,41.03,52.35,59.49,2400,34.9,16.90,convex,3.0000,1.0000,1.0000,1.0000
42,42.03,51.25,59.49,2400,24.2,25.59,convex,3.0000,1.0000,1.0000,1.0000
43,43.03,51.80,59.49,2400,24.3,17.65,convex,3.0000,1.0000,1.0000,1.0000
44,44.03,52.35,59.49,2400,23.5,16.04,convex,3.0000,1.0000,1.0000,1.0000
45,45.03,50.15,59.49,2400,17.3,16.71,convex,3.0000,1.0000,1.0000,1.0000
46,46.03,51.80,59.49,2400,29.2,14.98,convex,3.0000,1.0000,1.0000,1.0000
47,47.03,50.70,59.49,2400,26.8,19.41,convex,3.0000,1.0000,1.0000,1.0000
48,48.03,50.70,59.49,2400,19.7,14.96,convex,3.0000,1.0000,1.0000,1.0000
49,49.03,51.25,59.49,2400,26.8,15.89,convex,3.0000,1.0000,1.0000,1.0000
50,50.03,51.25,59.49,2400,28.1,16.21,convex,3.0000,1.0000,1.0000,1.0000
51,51.03,51.80,59.49,2400,30.1,16.16,convex,3.0000,1.0000,1.0000,1.0000
52,52.03,51.25,59.49,2400,16.5,48.66,convex,3.0000,1.0000,1.0000,1.0000
53,53.03,50.15,59.49,2400,27.9,19.47,convex,3.0000,1.0000,1.0000,1.0000
54,54.03,50.70,59.49,2400,27.2,15.00,convex,3.0000,1.0000,1.0000,1.0000
55,55.03,50.15,59.49,2400,19.3,15.84,convex,3.0000,1.0000,1.0000,1.0000
56,56.03,50.15,59.49,2400,13.2,18.16,convex,3.0000,1.0000,1.0000,1.0000
57,57.03,51.80,59.49,2400,28.4,19.41,convex,3.0000,1.0000,1.0000,1.0000
58,58.03,51.25,59.49,2400,28.3,26.95,convex,3.0000,1.0000,1.0000,1.0000
59,59.03,51.25,59.49,2400,35.6,24.30,convex,3.0000,1.0000,1.0000,1.0000
60,60.03,51.25,59.49,2400,33.4,17.05,convex,3.0000,1.0000,1.0000,1.0000
61,61.03,51.25,59.49,2400,21.5,16.18,convex,3.0000,1.0000,1.0000,1.0000
62,62.03,50.70,59.49,2400,11.3,16.43,convex,3.0000,1.0000,1.0000,1.0000
63,63.03,50.70,59.49,2400,20.1,25.17,convex,3.0000,1.0000,1.0000,1.0000
64,64.03,51.25,59.49,2400,30.3,15.68,convex,3.0000,1.0000,1.0000,1.0000
65,65.03,51.25,59.49,2400,27.6,26.13,convex,3.0000,1.0000,1.0000,1.0000
66,66.03,50.70,59.49,2400,19.5,15.13,convex,3.0000,1.0000,1.0000,1.0000
67,67.03,49.60,59.49,2400,19.0,16.16,convex,3.0000,1.0000,1.0000,1.0000
68,68.03,50.15,59.49,2400,23.5,15.00,convex,3.0000,1.0000,1.0000,1.0000
69,69.03,51.25,59.49,2400,28.1,24.28,convex,3.0000,1.0000,1.0000,1.0000
70,70.03,51.80,59.49,2400,24.2,24.21,convex,3.0000,1.0000,1.0000,1.0000
71,71.03,51.25,59.49,2400,34.1,26.41,convex,3.0000,1.0000,1.0000,1.0000
72,72.03,50.15,59.49,2400,18.3,15.03,convex,3.0000,1.0000,1.0000,1.0000
73,73.03,50.70,59.49,2400,24.6,18.94,convex,3.0000,1.0000,1.0000,1.0000
74,74.03,50.70,59.49,2400,17.5,15.03,convex,3.0000,1.0000,1.0000,1.0000
75,75.03,49.60,59.49,2400,18.0,19.41,convex,3.0000,1.0000,1.0000,1.0000
76,76.03,50.70,59.49,2400,30.7,16.72,convex,3.0000,1.0000,1.0000,1.0000
77,77.03,49.60,59.49,2400,18.8,15.37,convex,3.0000,1.0000,1.0000,1.0000
78,78.03,50.70,59.49,2400,24.5,15.04,convex,3.0000,1.0000,1.0000,1.0000
79,79.03,50.15,59.49,2400,15.2,26.83,convex,3.0000,1.0000,1.0000,1.0000
80,80.03,51.80,59.49,2400,38.6,26.38,convex,3.0000,1.0000,1.0000,1.0000
81,81.03,51.80,59.49,2400,14.6,17.54,convex,3.0000,1.0000,1.0000,1.0000
82,82.03,50.15,59.49,2400,20.5,27.73,convex,3.0000,1.0000,1.0000,1.0000
83,83.03,50.70,59.49,2400,27.8,22.87,convex,3.0000,1.0000,1.0000,1.0000
84,84.03,49.60,59.49,2400,18.8,19.93,convex,3.0000,1.0000,1.0000,1.0000
85,85.03,51.80,59.49,2400,39.8,28.86,convex,3.0000,1.0000,1.0000,1.0000
86,86.03,50.70,59.49,2400,24.4,17.15,convex,3.0000,1.0000,1.0000,1.0000
87,87.03,51.25,59.49,2400,29.1,17.15,convex,3.0000,1.0000,1.0000,1.0000
88,88.03,50.15,59.49,2400,19.1,15.01,convex,3.0000,1.0000,1.0000,1.0000
89,89.03,50.15,59.49,2400,20.4,15.00,convex,3.0000,1.0000,1.0000,1.0000
90,90.04,50.70,59.49,2400,27.6,15.67,convex,3.0000,1.0000,1.0000,1.0000
91,91.04,50.70,59.49,2400,23.4,15.85,convex,3.0000,1.0000,1.0000,1.0000
92,92.04,50.15,59.49,2400,17.0,16.29,convex,3.0000,1.0000,1.0000,1.0000
93,93.04,49.60,59.49,2400,24.6,15.07,convex,3.0000,1.0000,1.0000,1.0000
94,94.04,50.70,59.49,2400,23.4,16.34,convex,3.0000,1.0000,1.0000,1.0000
95,95.04,50.15,59.49,2400,27.8,56.39,convex,3.0000,1.0000,1.0000,1.0000
96,96.04,50.15,59.49,2400,27.4,15.11,convex,3.0000,1.0000,1.0000,1.0000
97,97.04,49.60,59.49,2400,19.0,15.05,convex,3.0000,1.0000,1.0000,1.0000
98,98.04,50.15,59.49,2400,25.3,15.17,convex,3.0000,1.0000,1.0000,1.0000
99,99.04,49.05,59.49,2400,17.8,15.22,convex,3.0000,1.0000,1.0000,1.0000
100,100.04,50.15,59.49,2400,19.8,26.40,convex,3.0000,1.0000,1.0000,1.0000
101,101.04,50.15,59.49,2400,29.5,16.27,convex,3.0000,1.0000,1.0000,1.0000
102,102.04,50.70,59.49,2400,26.0,19.89,convex,3.0000,1.0000,1.0000,1.0000
103,103.04,49.60,59.49,2400,32.8,19.86,convex,3.0000,1.0000,1.0000,1.0000
104,104.04,50.70,59.49,2400,38.4,15.76,convex,3.0000,1.0000,1.0000,1.0000
105,105.04,51.25,59.49,2400,33.1,16.28,convex,3.0000,1.0000,1.0000,1.0000
106,106.04,50.70,59.49,2400,26.5,15.08,convex,3.0000,1.0000,1.0000,1.0000
107,107.04,49.60,59.49,2400,16.5,15.79,convex,3.0000,1.0000,1.0000,1.0000
108,108.04,50.15,59.49,2400,16.0,16.58,convex,3.0000,1.0000,1.0000,1.0000
109,109.04,49.05,59.49,2400,12.8,17.40,convex,3.0000,1.0000,1.0000,1.0000
110,110.04,48.50,59.49,2400,22.6,16.43,convex,3.0000,1.0000,1.0000,1.0000
111,111.04,50.70,59.49,2400,42.6,28.20,convex,3.0000,1.0000,1.0000,1.0000
112,112.04,50.70,59.49,2400,33.2,15.07,convex,3.0000,1.0000,1.0000,1.0000
113,113.04,50.15,59.49,2400,21.1,15.66,convex,3.0000,1.0000,1.0000,1.0000
114,114.04,50.15,59.49,2400,18.4,25.60,convex,3.0000,1.0000,1.0000,1.0000
115,115.04,48.50,59.49,2400,16.5,18.80,convex,3.0000,1.0000,1.0000,1.0000
116,116.04,49.60,59.49,2400,35.5,16.95,convex,3.0000,1.0000,1.0000,1.0000
117,117.04,50.15,59.49,2400,24.1,19.36,convex,3.0000,1.0000,1.0000,1.0000
118,118.04,49.05,59.49,2400,19.8,18.20,convex,3.0000,1.0000,1.0000,1.0000
119,119.04,52.90,59.49,2400,45.5,50.73,convex,3.0000,1.0000,1.0000,1.0000
120,120.04,49.60,59.49,2400,33.6,17.94,convex,3.0000,1.0000,1.0000,1.0000
121,121.04,50.15,59.49,2400,26.6,16.91,convex,3.0000,1.0000,1.0000,1.0000
122,122.04,49.60,59.49,2400,20.6,15.13,convex,3.0000,1.0000,1.0000,1.0000
123,123.04,49.60,59.49,2400,20.4,19.76,convex,3.0000,1.0000,1.0000,1.0000
124,124.04,49.05,59.49,2400,24.2,15.06,convex,3.0000,1.0000,1.0000,1.0000
125,125.04,49.60,59.49,2400,20.2,26.83,convex,3.0000,1.0000,1.0000,1.0000
126,126.04,49.05,59.49,2400,26.6,25.60,convex,3.0000,1.0000,1.0000,1.0000
127,127.04,50.15,59.49,2400,36.3,25.55,convex,3.0000,1.0000,1.0000,1.0000
128,128.04,49.60,59.49,2400,23.6,16.39,convex,3.0000,1.0000,1.0000,1.0000
129,129.04,50.15,59.49,2400,21.1,18.67,convex,3.0000,1.0000,1.0000,1.0000
130,130.04,49.60,59.49,2400,13.2,16.62,convex,3.0000,1.0000,1.0000,1.0000
131,131.04,50.15,59.49,2400,30.4,26.19,convex,3.0000,1.0000,1.0000,1.0000
132,132.04,50.15,59.49,2400,31.5,16.21,convex,3.0000,1.0000,1.0000,1.0000
133,133.04,49.60,59.49,2400,26.5,17.20,convex,3.0000,1.0000,1.0000,1.0000
134,134.04,49.05,59.49,2400,23.4,15.03,convex,3.0000,1.0000,1.0000,1.0000
135,135.04,49.05,59.49,2400,19.3,16.58,convex,3.0000,1.0000,1.0000,1.0000
136,136.04,49.05,59.49,2400,24.0,47.20,convex,3.0000,1.0000,1.0000,1.0000
137,137.04,49.60,59.49,2400,24.5,16.95,convex,3.0000,1.0000,1.0000,1.0000
138,138.04,49.05,59.49,2400,24.8,27.68,convex,3.0000,1.0000,1.0000,1.0000
139,139.04,51.80,59.49,2400,59.1,16.50,convex,3.0000,1.0000,1.0000,1.0000
140,140.04,50.15,59.49,2400,19.8,17.09,convex,3.0000,1.0000,1.0000,1.0000
141,141.04,49.60,59.49,2400,26.0,27.43,convex,3.0000,1.0000,1.0000,1.0000
142,142.04,49.05,59.49,2400,27.8,17.26,convex,3.0000,1.0000,1.0000,1.0000
143,143.04,49.60,59.49,2400,26.8,15.97,convex,3.0000,1.0000,1.0000,1.0000
144,144.04,48.50,59.49,2400,19.5,16.64,convex,3.0000,1.0000,1.0000,1.0000
145,145.04,50.70,59.49,2400,26.0,45.92,convex,3.0000,1.0000,1.0000,1.0000
146,146.04,47.95,59.49,2400,26.1,18.78,convex,3.0000,1.0000,1.0000,1.0000
147,147.04,50.70,59.49,2400,34.8,38.32,convex,3.0000,1.0000,1.0000,1.0000
148,148.04,50.15,59.49,2400,35.8,21.65,convex,3.0000,1.0000,1.0000,1.0000
149,149.04,49.05,59.49,2400,24.3,14.97,convex,3.0000,1.0000,1.0000,1.0000
150,150.04,49.60,59.49,2400,20.1,28.27,convex,3.0000,1.0000,1.0000,1.0000
151,151.04,49.60,59.49,2400,24.0,17.48,convex,3.0000,1.0000,1.0000,1.0000
152,152.04,49.60,59.49,2400,25.4,80.55,convex,3.0000,1.0000,1.0000,1.0000
153,153.04,49.05,59.49,2400,30.5,14.97,convex,3.0000,1.0000,1.0000,1.0000
154,154.04,49.05,59.49,2400,21.0,19.25,convex,3.0000,1.0000,1.0000,1.0000
155,155.04,49.60,59.49,2400,25.1,16.10,convex,3.0000,1.0000,1.0000,1.0000
156,156.04,49.05,59.49,2400,21.3,15.36,convex,3.0000,1.0000,1.0000,1.0000
157,157.04,49.05,59.49,2400,26.3,19.39,convex,3.0000,1.0000,1.0000,1.0000
158,158.04,49.05,59.49,2400,27.8,23.60,convex,3.0000,1.0000,1.0000,1.0000
159,159.04,49.60,59.49,2400,29.1,17.28,convex,3.0000,1.0000,1.0000,1.0000
160,160.04,48.50,59.49,2400,15.8,15.07,convex,3.0000,1.0000,1.0000,1.0000
161,161.04,50.15,59.49,2400,29.3,15.06,convex,3.0000,1.0000,1.0000,1.0000
162,162.04,49.60,59.49,2400,21.7,22.61,convex,3.0000,1.0000,1.0000,1.0000
163,163.04,49.05,59.49,2400,26.1,16.35,convex,3.0000,1.0000,1.0000,1.0000
164,164.04,49.05,59.49,2400,17.8,17.65,convex,3.0000,1.0000,1.0000,1.0000
165,165.04,49.05,59.49,2400,18.2,17.14,convex,3.0000,1.0000,1.0000,1.0000
166,166.04,49.60,59.49,2400,44.5,25.32,convex,3.0000,1.0000,1.0000,1.0000
167,167.04,48.50,59.49,2400,29.3,32.14,convex,3.0000,1.0000,1.0000,1.0000
168,168.04,49.60,59.49,2400,28.1,16.50,convex,3.0000,1.0000,1.0000,1.0000
169,169.04,48.50,59.49,2400,22.9,24.17,convex,3.0000,1.0000,1.0000,1.0000
170,170.04,48.50,59.49,2400,32.3,17.94,convex,3.0000,1.0000,1.0000,1.0000
171,171.04,47.95,59.49,2400,31.8,16.84,convex,3.0000,1.0000,1.0000,1.0000
172,172.04,48.50,59.49,2400,18.5,15.02,convex,3.0000,1.0000,1.0000,1.0000
173,173.04,47.95,59.49,2400,14.7,17.41,convex,3.0000,1.0000,1.0000,1.0000
174,174.04,47.95,59.49,2400,26.2,19.43,convex,3.0000,1.0000,1.0000,1.0000
175,175.04,49.05,59.49,2400,26.8,23.79,convex,3.0000,1.0000,1.0000,1.0000
176,176.04,49.60,59.49,2400,35.9,16.41,convex,3.0000,1.0000,1.0000,1.0000
177,177.04,47.95,59.49,2400,15.5,15.04,convex,3.0000,1.0000,1.0000,1.0000
178,178.04,47.95,59.49,2400,17.5,30.66,convex,3.0000,1.0000,1.0000,1.0000
179,179.05,49.60,59.49,2400,36.8,53.99,convex,3.0000,1.0000,1.0000,1.0000
