step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,47.95,59.49,2400,0.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,47.40,59.49,2400,26.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,47.95,59.49,2400,11.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,48.50,59.49,2400,28.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,49.05,59.49,2400,24.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,46.85,59.49,2400,26.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,49.05,59.49,2400,32.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,49.05,59.49,2400,32.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,49.05,59.49,2400,27.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,49.05,59.49,2400,17.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,49.60,59.49,2400,31.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,49.60,59.49,2400,25.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,48.50,59.49,2400,19.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,48.50,59.49,2400,29.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,48.50,59.49,2400,22.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
15,15.01,48.50,59.49,2400,15.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
16,16.01,49.60,59.49,2400,40.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
17,17.01,47.95,59.49,2400,17.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.01,47.95,59.49,2400,18.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.01,49.05,59.49,2400,33.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
20,20.01,49.05,59.49,2400,39.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.01,50.15,59.49,2400,36.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
22,22.01,50.15,59.49,2400,25.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
23,23.01,47.95,59.49,2400,20.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
24,24.01,47.95,59.49,2400,17.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
25,25.01,49.60,59.49,2400,22.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
26,26.01,47.95,59.49,2400,14.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
27,27.01,48.50,59.49,2400,30.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.01,48.50,59.49,2400,23.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
29,29.01,47.95,59.49,2400,22.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
30,30.01,47.95,59.49,2400,24.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.01,47.95,59.49,2400,27.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.01,49.05,59.49,2400,22.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.01,49.05,59.49,2400,28.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
34,34.01,47.95,59.49,2400,16.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.01,47.95,59.49,2400,25.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
36,36.01,49.60,59.49,2400,32.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
37,37.01,49.60,59.49,2400,22.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
38,38.01,48.50,59.49,2400,19.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
39,39.01,48.50,59.49,2400,27.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
40,40.01,49.05,59.49,2400,36.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
41,41.01,50.70,59.49,2400,32.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
42,42.01,49.05,59.49,2400,37.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
43,43.01,47.95,59.49,2400,11.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
44,44.01,48.50,59.49,2400,17.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
45,45.01,49.05,59.49,2400,27.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
46,46.01,49.05,59.49,2400,31.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
47,47.01,48.50,59.49,2400,22.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
48,48.01,48.50,59.49,2400,15.2,0.02,equal,3.0000,1.0000,1.0000,1.0000
49,49.01,48.50,59.49,2400,29.8,0.00,equal,3.0000,1.0000,1.0000,1.0000
50,50.01,48.50,59.49,2400,20.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.01,48.50,59.49,2400,22.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
52,52.01,49.05,59.49,2400,23.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
