step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,51.80,57.40,2400,0.0,0.11,admission,2.5437,0.8479,0.8479,0.8479
1,1.00,52.35,58.56,2400,49.2,0.15,admission,2.7962,0.9321,0.9321,0.9321
2,2.00,52.35,59.49,2400,63.3,0.11,admission,3.0000,1.0000,1.0000,1.0000
3,3.00,52.35,59.49,2400,58.2,0.14,admission,3.0000,1.0000,1.0000,1.0000
4,4.00,51.25,59.49,2400,55.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
5,5.00,51.80,59.49,2400,40.2,0.08,admission,3.0000,1.0000,1.0000,1.0000
6,6.00,51.80,59.49,2400,55.2,0.20,admission,3.0000,1.0000,1.0000,1.0000
7,7.00,52.35,59.49,2400,38.8,0.10,admission,3.0000,1.0000,1.0000,1.0000
8,8.00,52.35,59.49,2400,49.4,0.10,admission,3.0000,1.0000,1.0000,1.0000
9,9.00,52.35,59.49,2400,45.6,0.11,admission,3.0000,1.0000,1.0000,1.0000
10,10.00,52.35,59.49,2400,57.0,0.08,admission,3.0000,1.0000,1.0000,1.0000
11,11.00,51.80,59.49,2400,35.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
12,12.00,54.00,59.49,2400,59.2,0.26,admission,3.0000,1.0000,1.0000,1.0000
13,13.00,52.90,59.49,2400,59.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
14,14.00,52.35,59.49,2400,48.5,0.09,admission,3.0000,1.0000,1.0000,1.0000
15,15.00,51.80,59.49,2400,46.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
16,16.00,51.80,59.49,2400,34.1,0.08,admission,3.0000,1.0000,1.0000,1.0000
17,17.00,51.25,59.49,2400,40.4,0.08,admission,3.0000,1.0000,1.0000,1.0000
18,18.00,51.80,59.49,2400,32.5,0.13,admission,3.0000,1.0000,1.0000,1.0000
19,19.00,51.25,59.49,2400,35.8,0.20,admission,3.0000,1.0000,1.0000,1.0000
20,20.00,52.35,59.49,2400,55.7,0.06,admission,3.0000,1.0000,1.0000,1.0000
21,21.00,52.35,59.49,2400,64.7,0.05,admission,3.0000,1.0000,1.0000,1.0000
22,22.00,53.45,59.49,2400,57.4,0.09,admission,3.0000,1.0000,1.0000,1.0000
23,23.00,52.35,59.49,2400,54.0,0.04,admission,3.0000,1.0000,1.0000,1.0000
24,24.00,52.90,59.49,2400,45.0,0.05,admission,3.0000,1.0000,1.0000,1.0000
25,25.00,51.80,59.49,2400,49.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
26,26.00,52.90,59.49,2400,44.3,0.07,admission,3.0000,1.0000,1.0000,1.0000
27,27.00,52.90,59.49,2400,51.1,0.07,admission,3.0000,1.0000,1.0000,1.0000
