step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,0.0,0.00,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,51.80,54.50,2400,40.9,0.10,admission,1.9113,0.6371,0.6371,0.6371
2,2.00,52.35,54.88,2400,46.7,0.07,admission,1.9938,0.6646,0.6646,0.6646
3,3.00,52.35,55.26,2400,51.4,0.08,admission,2.0763,0.6921,0.6921,0.6921
4,4.00,53.45,55.39,2400,50.4,0.25,admission,2.1038,0.7013,0.7013,0.7013
5,5.00,52.35,55.76,2400,39.3,0.06,admission,2.1863,0.7288,0.7288,0.7288
6,6.00,52.90,56.02,2400,51.1,0.09,admission,2.2413,0.7471,0.7471,0.7471
7,7.00,53.45,56.14,2400,53.1,0.08,admission,2.2688,0.7563,0.7563,0.7563
8,8.00,53.45,56.27,2400,51.5,0.09,admission,2.2963,0.7654,0.7654,0.7654
9,9.00,53.45,56.39,2400,48.5,0.06,admission,2.3238,0.7746,0.7746,0.7746
10,10.00,52.90,56.64,2400,54.0,0.10,admission,2.3788,0.7929,0.7929,0.7929
11,11.00,52.35,57.02,2400,43.4,0.06,admission,2.4613,0.8204,0.8204,0.8204
12,12.00,52.90,57.27,2400,54.8,0.15,admission,2.5163,0.8388,0.8388,0.8388
13,13.00,54.00,57.27,2400,56.4,0.16,admission,2.5163,0.8388,0.8388,0.8388
14,14.00,53.45,57.40,2400,53.5,0.13,admission,2.5438,0.8479,0.8479,0.8479
15,15.00,52.35,57.78,2400,44.8,0.06,admission,2.6263,0.8754,0.8754,0.8754
16,16.00,53.45,57.90,2400,35.7,0.06,admission,2.6538,0.8846,0.8846,0.8846
17,17.00,52.90,58.16,2400,40.3,0.05,admission,2.7088,0.9029,0.9029,0.9029
18,18.00,52.35,58.53,2400,33.7,0.09,admission,2.7913,0.9304,0.9304,0.9304
19,19.00,51.80,59.04,2400,35.2,0.07,admission,2.9013,0.9671,0.9671,0.9671
20,20.00,54.00,59.04,2400,55.6,0.06,admission,2.9013,0.9671,0.9671,0.9671
21,21.00,52.90,59.29,2400,63.5,0.07,admission,2.9563,0.9854,0.9854,0.9854
22,22.00,54.00,59.29,2400,58.1,0.07,admission,2.9563,0.9854,0.9854,0.9854
23,23.00,52.90,59.49,2400,51.7,0.20,admission,3.0000,1.0000,1.0000,1.0000
24,24.00,52.90,59.49,2400,46.4,0.20,admission,3.0000,1.0000,1.0000,1.0000
25,25.00,52.90,59.49,2400,48.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
26,26.00,54.00,59.49,2400,46.3,0.10,admission,3.0000,1.0000,1.0000,1.0000
27,27.00,54.00,59.49,2400,50.3,0.07,admission,3.0000,1.0000,1.0000,1.0000
28,28.00,54.55,59.36,2400,64.7,0.07,admission,2.9725,0.9908,0.9908,0.9908
29,29.00,53.45,59.49,2400,42.9,0.11,admission,3.0000,1.0000,1.0000,1.0000
30,30.00,51.80,59.49,2400,37.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
31,31.00,52.90,59.49,2400,29.1,0.07,admission,3.0000,1.0000,1.0000,1.0000
32,32.00,55.10,59.24,2400,48.1,0.08,admission,2.9450,0.9817,0.9817,0.9817
33,33.00,54.00,59.24,2400,64.8,0.18,admission,2.9450,0.9817,0.9817,0.9817
34,34.00,53.45,59.36,2400,53.6,0.07,admission,2.9725,0.9908,0.9908,0.9908
35,35.00,54.00,59.36,2400,39.7,0.05,admission,2.9725,0.9908,0.9908,0.9908
36,36.00,54.00,59.36,2400,60.5,0.06,admission,2.9725,0.9908,0.9908,0.9908
37,37.00,54.00,59.36,2400,46.7,0.09,admission,2.9725,0.9908,0.9908,0.9908
38,38.00,52.90,59.49,2400,42.6,0.10,admission,3.0000,1.0000,1.0000,1.0000
39,39.00,52.35,59.49,2400,37.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
40,40.00,53.45,59.49,2400,32.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
41,41.00,51.25,59.49,2400,36.3,0.08,admission,3.0000,1.0000,1.0000,1.0000
42,42.00,54.00,59.49,2400,50.0,0.13,admission,3.0000,1.0000,1.0000,1.0000
43,43.00,52.90,59.49,2400,50.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
44,44.00,54.00,59.49,2400,58.2,0.30,admission,3.0000,1.0000,1.0000,1.0000
45,45.00,52.35,59.49,2400,40.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
46,46.00,53.45,59.49,2400,49.5,0.12,admission,3.0000,1.0000,1.0000,1.0000
47,47.00,54.00,59.49,2400,60.4,0.22,admission,3.0000,1.0000,1.0000,1.0000
48,48.01,54.55,59.36,2400,54.0,0.15,admission,2.9725,0.9908,0.9908,0.9908
49,49.01,54.55,59.24,2400,72.4,0.06,admission,2.9450,0.9817,0.9817,0.9817
50,50.01,54.00,59.24,2400,43.6,0.07,admission,2.9450,0.9817,0.9817,0.9817
51,51.01,54.55,59.11,2400,58.4,0.06,admission,2.9175,0.9725,0.9725,0.9725
52,52.01,54.55,58.99,2400,56.5,0.06,admission,2.8900,0.9633,0.9633,0.9633
53,53.01,54.55,58.86,2400,54.2,0.10,admission,2.8625,0.9542,0.9542,0.9542
54,54.01,55.10,58.61,2400,57.3,0.06,admission,2.8075,0.9358,0.9358,0.9358
55,55.01,54.00,58.61,2400,49.5,0.05,admission,2.8075,0.9358,0.9358,0.9358
56,56.01,52.35,58.99,2400,41.9,0.28,admission,2.8900,0.9633,0.9633,0.9633
57,57.01,52.35,59.36,2400,34.0,0.04,admission,2.9725,0.9908,0.9908,0.9908
58,58.01,52.90,59.49,2400,46.4,0.20,admission,3.0000,1.0000,1.0000,1.0000
59,59.01,51.80,59.49,2400,37.4,0.08,admission,3.0000,1.0000,1.0000,1.0000
60,60.01,54.55,59.36,2400,46.3,0.15,admission,2.9725,0.9908,0.9908,0.9908
61,61.01,51.80,59.49,2400,30.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
62,62.01,52.35,59.49,2400,40.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
63,63.01,54.00,59.49,2400,55.1,0.20,admission,3.0000,1.0000,1.0000,1.0000
64,64.01,53.45,59.49,2400,61.6,0.11,admission,3.0000,1.0000,1.0000,1.0000
65,65.01,54.55,59.36,2400,56.1,0.06,admission,2.9725,0.9908,0.9908,0.9908
66,66.01,52.35,59.49,2400,38.4,0.18,admission,3.0000,1.0000,1.0000,1.0000
67,67.01,52.90,59.49,2400,39.6,0.08,admission,3.0000,1.0000,1.0000,1.0000
68,68.01,54.00,59.49,2400,48.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
69,69.01,52.35,59.49,2400,48.2,0.06,admission,3.0000,1.0000,1.0000,1.0000
70,70.01,53.45,59.49,2400,55.0,0.15,admission,3.0000,1.0000,1.0000,1.0000
71,71.01,52.90,59.49,2400,61.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
72,72.01,51.80,59.49,2400,32.3,0.06,admission,3.0000,1.0000,1.0000,1.0000
73,73.01,52.90,59.49,2400,40.1,0.09,admission,3.0000,1.0000,1.0000,1.0000
74,74.01,52.35,59.49,2400,43.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
75,75.01,52.35,59.49,2400,49.4,0.04,admission,3.0000,1.0000,1.0000,1.0000
76,76.01,53.45,59.49,2400,46.9,0.19,admission,3.0000,1.0000,1.0000,1.0000
77,77.01,54.55,59.36,2400,62.6,0.08,admission,2.9725,0.9908,0.9908,0.9908
78,78.01,54.55,59.24,2400,57.5,0.06,admission,2.9450,0.9817,0.9817,0.9817
79,79.01,54.55,59.11,2400,63.5,0.12,admission,2.9175,0.9725,0.9725,0.9725
80,80.01,55.10,58.86,2400,68.3,0.17,admission,2.8625,0.9542,0.9542,0.9542
81,81.01,55.10,58.61,2400,63.1,0.21,admission,2.8075,0.9358,0.9358,0.9358
82,82.01,55.10,58.36,2400,65.5,0.08,admission,2.7525,0.9175,0.9175,0.9175
83,83.01,54.55,58.23,2400,61.1,0.11,admission,2.7250,0.9083,0.9083,0.9083
84,84.01,54.55,58.10,2400,57.2,0.11,admission,2.6975,0.8992,0.8992,0.8992
85,85.01,55.10,57.85,2400,53.7,0.10,admission,2.6425,0.8808,0.8808,0.8808
86,86.01,52.90,58.10,2400,42.6,0.05,admission,2.6975,0.8992,0.8992,0.8992
87,87.01,54.55,57.98,2400,47.3,0.13,admission,2.6700,0.8900,0.8900,0.8900
88,88.01,52.35,58.36,2400,34.3,0.06,admission,2.7525,0.9175,0.9175,0.9175
89,89.01,53.45,58.48,2400,43.1,0.06,admission,2.7800,0.9267,0.9267,0.9267
90,90.01,52.90,58.73,2400,46.5,0.05,admission,2.8350,0.9450,0.9450,0.9450
91,91.01,53.45,58.86,2400,42.3,0.24,admission,2.8625,0.9542,0.9542,0.9542
92,92.01,54.00,58.86,2400,56.5,0.08,admission,2.8625,0.9542,0.9542,0.9542
93,93.01,52.35,59.24,2400,37.5,0.06,admission,2.9450,0.9817,0.9817,0.9817
94,94.01,52.35,59.49,2400,33.3,0.04,admission,3.0000,1.0000,1.0000,1.0000
95,95.01,54.00,59.49,2400,42.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
96,96.01,53.45,59.49,2400,33.2,0.07,admission,3.0000,1.0000,1.0000,1.0000
97,97.01,52.90,59.49,2400,36.6,0.08,admission,3.0000,1.0000,1.0000,1.0000
98,98.01,54.00,59.49,2400,43.8,0.09,admission,3.0000,1.0000,1.0000,1.0000
99,99.01,52.90,59.49,2400,44.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
100,100.01,53.45,59.49,2400,40.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
101,101.01,54.00,59.49,2400,45.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
102,102.01,51.80,59.49,2400,30.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
103,103.01,54.00,59.49,2400,44.1,0.06,admission,3.0000,1.0000,1.0000,1.0000
104,104.01,54.00,59.49,2400,44.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
105,105.01,54.00,59.49,2400,38.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
106,106.01,52.35,59.49,2400,37.0,0.06,admission,3.0000,1.0000,1.0000,1.0000
107,107.01,54.00,59.49,2400,42.2,0.11,admission,3.0000,1.0000,1.0000,1.0000
108,108.01,51.80,59.49,2400,39.3,0.04,admission,3.0000,1.0000,1.0000,1.0000
109,109.01,52.90,59.49,2400,39.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
110,110.01,51.80,59.49,2400,25.3,0.05,admission,3.0000,1.0000,1.0000,1.0000
111,111.01,52.35,59.49,2400,36.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
112,112.01,54.00,59.49,2400,35.7,0.10,admission,3.0000,1.0000,1.0000,1.0000
113,113.01,51.80,59.49,2400,35.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
114,114.01,52.90,59.49,2400,39.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
115,115.01,53.45,59.49,2400,49.6,0.06,admission,3.0000,1.0000,1.0000,1.0000
116,116.01,55.10,59.24,2400,56.0,0.11,admission,2.9450,0.9817,0.9817,0.9817
117,117.01,54.55,59.11,2400,73.4,0.16,admission,2.9175,0.9725,0.9725,0.9725
118,118.01,55.65,58.73,2400,68.9,0.09,admission,2.8350,0.9450,0.9450,0.9450
119,119.01,53.45,58.86,2400,52.2,0.05,admission,2.8625,0.9542,0.9542,0.9542
120,120.01,54.55,58.73,2400,50.1,0.06,admission,2.8350,0.9450,0.9450,0.9450
121,121.01,53.45,58.86,2400,37.8,0.05,admission,2.8625,0.9542,0.9542,0.9542
122,122.01,53.45,58.99,2400,37.5,0.17,admission,2.8900,0.9633,0.9633,0.9633
123,123.01,52.90,59.24,2400,43.0,0.06,admission,2.9450,0.9817,0.9817,0.9817
124,124.01,53.45,59.36,2400,40.9,0.05,admission,2.9725,0.9908,0.9908,0.9908
125,125.01,51.80,59.49,2400,27.7,0.07,admission,3.0000,1.0000,1.0000,1.0000
126,126.01,53.45,59.49,2400,44.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
127,127.01,52.35,59.49,2400,31.8,0.05,admission,3.0000,1.0000,1.0000,1.0000
128,128.01,53.45,59.49,2400,42.6,0.05,admission,3.0000,1.0000,1.0000,1.0000
129,129.01,53.45,59.49,2400,44.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
130,130.01,54.55,59.36,2400,53.1,0.08,admission,2.9725,0.9908,0.9908,0.9908
131,131.01,55.10,59.11,2400,59.0,0.08,admission,2.9175,0.9725,0.9725,0.9725
132,132.01,56.20,58.61,2400,60.4,0.11,admission,2.8075,0.9358,0.9358,0.9358
133,133.01,54.55,58.48,2400,61.2,0.08,admission,2.7800,0.9267,0.9267,0.9267
134,134.01,54.55,58.36,2400,49.0,0.08,admission,2.7525,0.9175,0.9175,0.9175
135,135.01,54.00,58.36,2400,53.9,0.07,admission,2.7525,0.9175,0.9175,0.9175
136,136.01,54.55,58.23,2400,50.1,0.10,admission,2.7250,0.9083,0.9083,0.9083
137,137.01,53.45,58.36,2400,41.4,0.05,admission,2.7525,0.9175,0.9175,0.9175
138,138.01,52.90,58.61,2400,45.0,0.04,admission,2.8075,0.9358,0.9358,0.9358
139,139.01,55.10,58.36,2400,54.8,0.08,admission,2.7525,0.9175,0.9175,0.9175
140,140.01,52.90,58.61,2400,49.2,0.08,admission,2.8075,0.9358,0.9358,0.9358
141,141.01,52.90,58.86,2400,28.3,0.21,admission,2.8625,0.9542,0.9542,0.9542
142,142.01,54.55,58.73,2400,44.6,0.22,admission,2.8350,0.9450,0.9450,0.9450
143,143.01,54.55,58.61,2400,48.9,0.13,admission,2.8075,0.9358,0.9358,0.9358
144,144.01,54.00,58.61,2400,51.9,0.12,admission,2.8075,0.9358,0.9358,0.9358
145,145.02,54.00,58.61,2400,47.5,0.05,admission,2.8075,0.9358,0.9358,0.9358
146,146.02,54.55,58.48,2400,58.8,0.05,admission,2.7800,0.9267,0.9267,0.9267
147,147.02,54.00,58.48,2400,59.1,0.09,admission,2.7800,0.9267,0.9267,0.9267
148,148.02,52.90,58.73,2400,37.7,0.06,admission,2.8350,0.9450,0.9450,0.9450
149,149.02,54.00,58.73,2400,45.8,0.08,admission,2.8350,0.9450,0.9450,0.9450
150,150.02,55.10,58.48,2400,53.0,0.12,admission,2.7800,0.9267,0.9267,0.9267
151,151.02,52.35,58.86,2400,48.6,0.05,admission,2.8625,0.9542,0.9542,0.9542
152,152.02,52.35,59.24,2400,37.7,0.05,admission,2.9450,0.9817,0.9817,0.9817
153,153.02,54.00,59.24,2400,35.9,0.06,admission,2.9450,0.9817,0.9817,0.9817
154,154.02,54.00,59.24,2400,40.0,0.12,admission,2.9450,0.9817,0.9817,0.9817
155,155.02,54.00,59.24,2400,38.9,0.09,admission,2.9450,0.9817,0.9817,0.9817
156,156.02,52.90,59.49,2400,33.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
157,157.02,51.80,59.49,2400,28.5,0.07,admission,3.0000,1.0000,1.0000,1.0000
158,158.02,52.35,59.49,2400,34.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
159,159.02,51.25,59.49,2400,41.4,0.11,admission,3.0000,1.0000,1.0000,1.0000
160,160.02,53.45,59.49,2400,38.2,0.09,admission,3.0000,1.0000,1.0000,1.0000
161,161.02,54.55,59.36,2400,56.5,0.24,admission,2.9725,0.9908,0.9908,0.9908
162,162.02,53.45,59.49,2400,50.6,0.12,admission,3.0000,1.0000,1.0000,1.0000
163,163.02,55.10,59.24,2400,58.4,0.23,admission,2.9450,0.9817,0.9817,0.9817
164,164.02,54.00,59.24,2400,57.7,0.06,admission,2.9450,0.9817,0.9817,0.9817
165,165.02,52.35,59.49,2400,26.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
166,166.02,53.45,59.49,2400,40.4,0.12,admission,3.0000,1.0000,1.0000,1.0000
167,167.02,54.00,59.49,2400,36.5,0.06,admission,3.0000,1.0000,1.0000,1.0000
168,168.02,52.90,59.49,2400,25.6,0.07,admission,3.0000,1.0000,1.0000,1.0000
169,169.02,54.00,59.49,2400,47.1,0.16,admission,3.0000,1.0000,1.0000,1.0000
170,170.02,52.90,59.49,2400,30.8,0.10,admission,3.0000,1.0000,1.0000,1.0000
171,171.02,54.55,59.36,2400,46.2,0.05,admission,2.9725,0.9908,0.9908,0.9908
172,172.02,53.45,59.49,2400,44.9,0.09,admission,3.0000,1.0000,1.0000,1.0000
173,173.02,54.55,59.36,2400,54.6,0.07,admission,2.9725,0.9908,0.9908,0.9908
174,174.02,52.90,59.49,2400,39.8,0.06,admission,3.0000,1.0000,1.0000,1.0000
175,175.02,53.45,59.49,2400,48.4,0.05,admission,3.0000,1.0000,1.0000,1.0000
176,176.02,54.00,59.49,2400,30.4,0.22,admission,3.0000,1.0000,1.0000,1.0000
177,177.02,55.10,59.24,2400,48.6,0.22,admission,2.9450,0.9817,0.9817,0.9817
178,178.02,52.90,59.49,2400,46.1,0.05,admission,3.0000,1.0000,1.0000,1.0000
179,179.02,53.45,59.49,2400,36.2,0.05,admission,3.0000,1.0000,1.0000,1.0000
