step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,50.70,57.40,2400,0.0,1763.16,convex,2.5437,0.8500,0.8477,0.8460
1,1.76,51.80,58.68,2400,88.7,54.54,convex,2.8237,0.9353,0.9450,0.9434
2,2.76,51.80,59.49,2400,67.8,20.65,convex,3.0000,1.0000,1.0000,1.0000
3,3.76,51.80,59.49,2400,59.5,40.41,convex,3.0000,1.0000,1.0000,1.0000
4,4.76,51.25,59.49,2400,41.0,40.85,convex,3.0000,1.0000,1.0000,1.0000
5,5.76,52.35,59.49,2400,62.3,42.42,convex,3.0000,1.0000,1.0000,1.0000
6,6.76,50.70,59.49,2400,38.2,18.37,convex,3.0000,1.0000,1.0000,1.0000
7,7.76,50.70,59.49,2400,52.1,24.72,convex,3.0000,1.0000,1.0000,1.0000
8,8.76,50.70,59.49,2400,42.7,48.23,convex,3.0000,1.0000,1.0000,1.0000
9,9.77,51.80,59.49,2400,67.9,21.32,convex,3.0000,1.0000,1.0000,1.0000
10,10.77,50.15,59.49,2400,34.1,17.12,convex,3.0000,1.0000,1.0000,1.0000
11,11.77,52.35,59.49,2400,51.5,146.61,convex,3.0000,1.0000,1.0000,1.0000
12,12.77,51.80,59.49,2400,68.1,44.52,convex,3.0000,1.0000,1.0000,1.0000
13,13.77,51.25,59.49,2400,55.4,26.38,convex,3.0000,1.0000,1.0000,1.0000
14,14.77,50.70,59.49,2400,42.9,17.19,convex,3.0000,1.0000,1.0000,1.0000
15,15.77,50.70,59.49,2400,38.1,16.82,convex,3.0000,1.0000,1.0000,1.0000
16,16.77,50.70,59.49,2400,39.0,25.41,convex,3.0000,1.0000,1.0000,1.0000
17,17.77,50.15,59.49,2400,30.7,16.49,convex,3.0000,1.0000,1.0000,1.0000
18,18.77,49.60,59.49,2400,43.7,16.59,convex,3.0000,1.0000,1.0000,1.0000
19,19.77,51.25,59.49,2400,43.5,55.80,convex,3.0000,1.0000,1.0000,1.0000
20,20.77,52.90,59.49,2400,73.5,60.58,convex,3.0000,1.0000,1.0000,1.0000
21,21.77,52.35,59.49,2400,54.8,56.56,convex,3.0000,1.0000,1.0000,1.0000
22,22.77,51.80,59.49,2400,62.8,16.77,convex,3.0000,1.0000,1.0000,1.0000
23,23.77,51.80,59.49,2400,46.4,60.20,convex,3.0000,1.0000,1.0000,1.0000
24,24.77,51.80,59.49,2400,49.6,46.58,convex,3.0000,1.0000,1.0000,1.0000
25,25.77,51.25,59.49,2400,44.1,37.88,convex,3.0000,1.0000,1.0000,1.0000
26,26.77,52.35,59.49,2400,60.0,22.50,convex,3.0000,1.0000,1.0000,1.0000
27,27.77,52.35,59.49,2400,60.8,26.99,convex,3.0000,1.0000,1.0000,1.0000
28,28.77,51.80,59.49,2400,48.9,18.54,convex,3.0000,1.0000,1.0000,1.0000
29,29.77,51.25,59.49,2400,40.0,16.86,convex,3.0000,1.0000,1.0000,1.0000
30,30.77,51.25,59.49,2400,28.6,17.58,convex,3.0000,1.0000,1.0000,1.0000
31,31.77,51.25,59.49,2400,43.4,51.09,convex,3.0000,1.0000,1.0000,1.0000
32,32.77,52.35,59.49,2400,62.1,15.98,convex,3.0000,1.0000,1.0000,1.0000
33,33.77,52.90,59.49,2400,65.9,26.65,convex,3.0000,1.0000,1.0000,1.0000
34,34.77,51.25,59.49,2400,40.1,53.91,convex,3.0000,1.0000,1.0000,1.0000
35,35.77,52.35,59.49,2400,62.8,44.13,convex,3.0000,1.0000,1.0000,1.0000
36,36.77,52.35,59.49,2400,46.7,57.54,convex,3.0000,1.0000,1.0000,1.0000
37,37.77,51.80,59.49,2400,52.9,18.70,convex,3.0000,1.0000,1.0000,1.0000
38,38.77,51.80,59.49,2400,42.4,27.47,convex,3.0000,1.0000,1.0000,1.0000
39,39.77,50.70,59.49,2400,27.1,31.28,convex,3.0000,1.0000,1.0000,1.0000
40,40.77,51.80,59.49,2400,42.9,27.23,convex,3.0000,1.0000,1.0000,1.0000
41,41.77,54.00,59.49,2400,40.4,59.27,convex,3.0000,1.0000,1.0000,1.0000
42,42.77,52.35,59.49,2400,60.3,54.43,convex,3.0000,1.0000,1.0000,1.0000
43,43.77,51.80,59.49,2400,58.4,20.04,convex,3.0000,1.0000,1.0000,1.0000
44,44.77,51.25,59.49,2400,47.4,15.06,convex,3.0000,1.0000,1.0000,1.0000
45,45.77,52.35,59.49,2400,51.3,28.56,convex,3.0000,1.0000,1.0000,1.0000
46,46.77,52.90,59.49,2400,57.7,25.65,convex,3.0000,1.0000,1.0000,1.0000
47,47.77,52.90,59.49,2400,53.8,41.80,convex,3.0000,1.0000,1.0000,1.0000
48,48.77,52.35,59.49,2400,68.5,53.73,convex,3.0000,1.0000,1.0000,1.0000
49,49.77,52.35,59.49,2400,48.7,27.45,convex,3.0000,1.0000,1.0000,1.0000
50,50.77,52.90,59.49,2400,60.8,23.42,convex,3.0000,1.0000,1.0000,1.0000
51,51.77,53.45,59.49,2400,61.3,34.94,convex,3.0000,1.0000,1.0000,1.0000
52,52.77,53.45,59.49,2400,47.2,16.07,convex,3.0000,1.0000,1.0000,1.0000
53,53.77,54.00,59.49,2400,60.3,55.60,convex,3.0000,1.0000,1.0000,1.0000
54,54.77,52.90,59.49,2400,61.3,21.88,convex,3.0000,1.0000,1.0000,1.0000
55,55.77,52.35,59.49,2400,40.4,19.51,convex,3.0000,1.0000,1.0000,1.0000
56,56.77,51.80,59.49,2400,36.5,15.09,convex,3.0000,1.0000,1.0000,1.0000
57,57.77,54.00,59.49,2400,39.3,24.11,convex,3.0000,1.0000,1.0000,1.0000
58,58.77,50.70,59.49,2400,40.5,17.32,convex,3.0000,1.0000,1.0000,1.0000
