step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.90,54.00,2400,100.0,1860.53,convex,1.8013,0.5974,0.6028,0.6012
1,1.86,54.00,54.00,2400,90.3,57.64,convex,1.8013,0.5974,0.6028,0.6012
2,2.86,51.80,54.50,2400,49.5,33.28,convex,1.9113,0.6340,0.6395,0.6378
3,3.86,52.35,54.88,2400,51.7,28.73,convex,1.9938,0.6615,0.6670,0.6653
4,4.86,52.35,55.26,2400,38.3,26.89,convex,2.0763,0.6891,0.6944,0.6929
5,5.86,52.35,55.64,2400,51.6,20.65,convex,2.1588,0.7165,0.7219,0.7204
6,6.86,53.45,55.76,2400,51.5,30.94,convex,2.1863,0.7257,0.7311,0.7295
7,7.86,53.45,55.89,2400,52.5,23.01,convex,2.2138,0.7349,0.7402,0.7387
8,8.86,52.90,56.14,2400,48.1,34.62,convex,2.2688,0.7583,0.7561,0.7544
9,9.86,53.45,56.27,2400,57.1,22.24,convex,2.2963,0.7676,0.7651,0.7636
10,10.86,52.35,56.64,2400,40.9,23.06,convex,2.3788,0.7950,0.7927,0.7910
11,11.86,52.35,57.02,2400,52.6,125.74,convex,2.4613,0.8225,0.8203,0.8185
12,12.86,54.00,57.02,2400,59.5,40.19,convex,2.4613,0.8225,0.8203,0.8185
13,13.86,53.45,57.15,2400,57.6,57.37,convex,2.4888,0.8317,0.8294,0.8277
14,14.86,53.45,57.27,2400,47.9,33.97,convex,2.5163,0.8409,0.8386,0.8369
15,15.86,51.25,57.90,2400,36.6,17.01,convex,2.6538,0.8787,0.8884,0.8867
16,16.86,52.90,58.16,2400,45.8,20.97,convex,2.7088,0.8969,0.9068,0.9051
17,17.86,52.90,58.41,2400,29.9,20.31,convex,2.7638,0.9153,0.9251,0.9234
18,18.86,51.25,59.04,2400,38.9,15.67,convex,2.9013,0.9611,0.9709,0.9693
19,19.86,52.90,59.29,2400,53.3,34.91,convex,2.9563,0.9795,0.9892,0.9876
20,20.86,54.00,59.29,2400,69.7,16.93,convex,2.9563,0.9795,0.9892,0.9876
21,21.86,52.90,59.49,2400,52.3,54.95,convex,3.0000,1.0000,1.0000,1.0000
22,22.86,52.90,59.49,2400,58.7,32.17,convex,3.0000,1.0000,1.0000,1.0000
23,23.86,54.00,59.49,2400,48.4,22.84,convex,3.0000,1.0000,1.0000,1.0000
24,24.87,53.45,59.49,2400,48.9,54.75,convex,3.0000,1.0000,1.0000,1.0000
25,25.87,53.45,59.49,2400,40.5,61.22,convex,3.0000,1.0000,1.0000,1.0000
26,26.87,52.90,59.49,2400,59.0,15.60,convex,3.0000,1.0000,1.0000,1.0000
27,27.87,54.00,59.49,2400,62.5,24.96,convex,3.0000,1.0000,1.0000,1.0000
28,28.87,52.35,59.49,2400,43.6,16.43,convex,3.0000,1.0000,1.0000,1.0000
29,29.87,52.35,59.49,2400,42.3,17.78,convex,3.0000,1.0000,1.0000,1.0000
30,30.87,51.25,59.49,2400,26.2,16.37,convex,3.0000,1.0000,1.0000,1.0000
31,31.87,52.90,59.49,2400,48.5,29.65,convex,3.0000,1.0000,1.0000,1.0000
32,32.87,54.00,59.49,2400,59.9,54.72,convex,3.0000,1.0000,1.0000,1.0000
33,33.87,54.55,59.36,2400,62.0,15.73,convex,2.9725,0.9848,0.9947,0.9930
34,34.87,52.90,59.49,2400,42.6,52.01,convex,3.0000,1.0000,1.0000,1.0000
35,35.87,54.00,59.49,2400,61.7,23.46,convex,3.0000,1.0000,1.0000,1.0000
36,36.87,55.65,59.11,2400,46.0,52.20,convex,2.9175,0.9665,0.9763,0.9747
37,37.87,51.80,59.49,2400,46.7,31.65,convex,3.0000,1.0000,1.0000,1.0000
38,38.87,51.80,59.49,2400,41.6,16.14,convex,3.0000,1.0000,1.0000,1.0000
39,39.87,54.00,59.49,2400,28.3,22.42,convex,3.0000,1.0000,1.0000,1.0000
40,40.87,52.35,59.49,2400,42.1,16.50,convex,3.0000,1.0000,1.0000,1.0000
41,41.87,53.45,59.49,2400,44.5,53.15,convex,3.0000,1.0000,1.0000,1.0000
42,42.87,53.45,59.49,2400,60.3,27.59,convex,3.0000,1.0000,1.0000,1.0000
43,43.87,52.90,59.49,2400,56.2,25.71,convex,3.0000,1.0000,1.0000,1.0000
44,44.87,52.90,59.49,2400,45.6,31.07,convex,3.0000,1.0000,1.0000,1.0000
45,45.87,53.45,59.49,2400,52.5,28.08,convex,3.0000,1.0000,1.0000,1.0000
46,46.87,53.45,59.49,2400,56.0,16.92,convex,3.0000,1.0000,1.0000,1.0000
47,47.87,52.90,59.49,2400,53.1,51.07,convex,3.0000,1.0000,1.0000,1.0000
48,48.87,54.00,59.49,2400,71.9,30.96,convex,3.0000,1.0000,1.0000,1.0000
49,49.87,54.00,59.49,2400,45.0,24.92,convex,3.0000,1.0000,1.0000,1.0000
50,50.87,54.00,59.49,2400,60.0,41.76,convex,3.0000,1.0000,1.0000,1.0000
51,51.87,54.00,59.49,2400,59.4,15.72,convex,3.0000,1.0000,1.0000,1.0000
52,52.87,54.00,59.49,2400,47.6,50.26,convex,3.0000,1.0000,1.0000,1.0000
53,53.87,54.55,59.36,2400,64.7,61.19,convex,2.9725,0.9848,0.9947,0.9930
54,54.87,54.00,59.36,2400,56.1,15.64,convex,2.9725,0.9848,0.9947,0.9930
55,55.87,52.90,59.49,2400,39.5,16.71,convex,3.0000,1.0000,1.0000,1.0000
56,56.87,52.35,59.49,2400,35.0,27.72,convex,3.0000,1.0000,1.0000,1.0000
57,57.87,54.00,59.49,2400,47.6,42.23,convex,3.0000,1.0000,1.0000,1.0000
