step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,55.10,59.49,2400,0.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,54.55,59.49,2400,52.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,55.65,59.49,2400,63.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,56.20,59.49,2400,58.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,54.00,59.49,2400,46.4,0.02,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,55.65,59.49,2400,39.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,54.00,59.49,2400,54.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,55.65,59.49,2400,41.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,55.65,59.49,2400,50.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,55.10,59.49,2400,46.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,55.65,59.49,2400,56.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,54.55,59.49,2400,34.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,56.20,59.49,2400,60.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,56.20,59.49,2400,59.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,56.20,59.49,2400,46.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,54.55,59.49,2400,43.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,55.10,59.49,2400,33.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,53.45,59.49,2400,37.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.00,55.65,59.49,2400,36.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
19,19.00,54.00,59.49,2400,37.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
20,20.00,56.20,59.49,2400,55.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
21,21.00,56.20,59.49,2400,65.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
22,22.00,55.65,59.49,2400,57.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
23,23.00,54.55,59.49,2400,51.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
24,24.00,56.20,59.49,2400,48.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
25,25.00,55.10,59.49,2400,49.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
26,26.00,55.65,59.49,2400,44.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
27,27.00,56.20,59.49,2400,51.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
28,28.00,56.75,59.49,2400,65.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
29,29.00,55.10,59.49,2400,38.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
30,30.00,54.00,59.49,2400,37.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.00,54.00,59.49,2400,31.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.00,55.65,59.49,2400,47.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
33,33.00,56.75,59.49,2400,65.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
34,34.00,55.65,59.49,2400,55.5,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.00,55.65,59.49,2400,43.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
