step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.35,54.00,2400,0.0,0.16,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,54.76,2400,43.7,0.07,matched,1.9663,0.6554,0.6554,0.6554
2,2.00,52.35,56.14,2400,38.3,0.07,matched,2.2688,0.7563,0.7563,0.7563
3,3.00,52.90,57.40,2400,40.0,0.07,matched,2.5438,0.8479,0.8479,0.8479
4,4.00,51.80,58.53,2400,27.9,0.11,matched,2.7913,0.9304,0.9304,0.9304
5,5.00,50.70,59.49,2400,19.0,0.13,matched,3.0000,1.0000,1.0000,1.0000
6,6.00,51.25,59.49,2400,44.0,0.08,matched,3.0000,1.0000,1.0000,1.0000
7,7.00,52.90,59.49,2400,37.5,0.13,matched,3.0000,1.0000,1.0000,1.0000
8,8.00,51.80,59.49,2400,52.0,0.06,matched,3.0000,1.0000,1.0000,1.0000
9,9.00,53.45,59.49,2400,44.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
10,10.00,52.90,59.49,2400,37.2,0.16,matched,3.0000,1.0000,1.0000,1.0000
11,11.00,52.90,59.49,2400,51.9,0.06,matched,3.0000,1.0000,1.0000,1.0000
12,12.00,51.25,59.49,2400,33.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
13,13.00,52.90,59.49,2400,47.7,0.12,matched,3.0000,1.0000,1.0000,1.0000
14,14.00,54.55,59.49,2400,52.8,0.07,matched,3.0000,1.0000,1.0000,1.0000
15,15.00,53.45,59.49,2400,49.9,0.10,matched,3.0000,1.0000,1.0000,1.0000
16,16.00,54.55,59.49,2400,50.6,0.11,matched,3.0000,1.0000,1.0000,1.0000
17,17.00,54.00,59.49,2400,54.5,0.09,matched,3.0000,1.0000,1.0000,1.0000
18,18.00,54.55,59.49,2400,57.5,0.08,matched,3.0000,1.0000,1.0000,1.0000
19,19.00,54.00,59.49,2400,39.7,0.19,matched,3.0000,1.0000,1.0000,1.0000
20,20.00,52.35,59.49,2400,44.3,0.06,matched,3.0000,1.0000,1.0000,1.0000
21,21.00,52.90,59.49,2400,32.2,0.09,matched,3.0000,1.0000,1.0000,1.0000
22,22.00,52.90,59.49,2400,45.8,0.05,matched,3.0000,1.0000,1.0000,1.0000
23,23.00,53.45,59.49,2400,35.2,0.19,matched,3.0000,1.0000,1.0000,1.0000
24,24.00,54.00,59.49,2400,58.1,0.25,matched,3.0000,1.0000,1.0000,1.0000
25,25.00,52.90,59.49,2400,49.7,0.06,matched,3.0000,1.0000,1.0000,1.0000
26,26.00,54.55,59.49,2400,42.6,0.05,matched,3.0000,1.0000,1.0000,1.0000
27,27.00,54.00,59.49,2400,43.2,0.22,matched,3.0000,1.0000,1.0000,1.0000
28,28.00,52.35,59.49,2400,38.3,0.05,matched,3.0000,1.0000,1.0000,1.0000
29,29.00,54.00,59.49,2400,48.9,0.24,matched,3.0000,1.0000,1.0000,1.0000
