step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,2474.69,convex,1.8013,0.5974,0.6028,0.6012
1,2.48,55.10,53.75,2400,100.0,53.48,convex,1.7463,0.5790,0.5844,0.5828
2,3.48,54.55,53.62,2400,49.8,18.82,convex,1.7188,0.5699,0.5752,0.5737
3,4.48,54.00,53.62,2400,46.3,18.36,convex,1.7188,0.5699,0.5752,0.5737
4,5.48,54.00,53.62,2400,46.2,20.61,convex,1.7188,0.5699,0.5752,0.5737
5,6.48,54.00,53.62,2400,46.3,17.42,convex,1.7188,0.5699,0.5752,0.5737
6,7.48,54.00,53.62,2400,45.9,19.56,convex,1.7188,0.5699,0.5752,0.5737
7,8.48,54.55,53.50,2400,46.2,18.43,convex,1.6913,0.5607,0.5660,0.5645
8,9.48,54.00,53.50,2400,45.3,17.13,convex,1.6913,0.5607,0.5660,0.5645
9,10.48,54.55,53.37,2400,45.3,19.29,convex,1.6638,0.5515,0.5569,0.5554
10,11.48,54.00,53.37,2400,44.9,19.13,convex,1.6638,0.5515,0.5569,0.5554
11,12.48,54.00,53.37,2400,45.0,81.00,convex,1.6638,0.5515,0.5569,0.5554
12,13.48,54.00,53.37,2400,47.0,17.35,convex,1.6638,0.5515,0.5569,0.5554
13,14.48,54.00,53.37,2400,44.7,19.43,convex,1.6638,0.5515,0.5569,0.5554
14,15.48,54.00,53.37,2400,44.9,19.18,convex,1.6638,0.5515,0.5569,0.5554
15,16.48,54.55,53.24,2400,45.1,19.19,convex,1.6363,0.5424,0.5477,0.5462
16,17.48,53.45,53.37,2400,44.3,17.77,convex,1.6638,0.5515,0.5569,0.5554
17,18.48,54.00,53.37,2400,44.7,18.68,convex,1.6638,0.5515,0.5569,0.5554
18,19.48,53.45,53.50,2400,45.1,18.81,convex,1.6913,0.5607,0.5660,0.5645
19,20.48,54.55,53.37,2400,45.7,17.24,convex,1.6638,0.5515,0.5569,0.5554
20,21.48,54.00,53.37,2400,44.9,17.78,convex,1.6638,0.5515,0.5569,0.5554
21,22.48,54.00,53.37,2400,45.0,18.20,convex,1.6638,0.5515,0.5569,0.5554
22,23.48,54.00,53.37,2400,44.8,18.89,convex,1.6638,0.5515,0.5569,0.5554
23,24.48,54.00,53.37,2400,45.1,19.82,convex,1.6638,0.5515,0.5569,0.5554
24,25.48,54.55,53.24,2400,45.0,19.74,convex,1.6363,0.5424,0.5477,0.5462
25,26.48,54.00,53.24,2400,44.3,19.18,convex,1.6363,0.5424,0.5477,0.5462
26,27.48,54.55,53.12,2400,44.0,19.13,convex,1.6088,0.5332,0.5386,0.5370
27,28.48,54.00,53.12,2400,43.6,16.37,convex,1.6088,0.5332,0.5386,0.5370
28,29.48,55.10,52.87,2400,43.2,16.26,convex,1.5538,0.5149,0.5203,0.5187
29,30.48,55.65,52.49,2400,42.0,15.91,convex,1.4713,0.4896,0.4916,0.4901
30,31.48,54.55,52.36,2400,39.8,15.78,convex,1.4438,0.4805,0.4825,0.4809
