step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,56.20,54.00,2400,0.0,0.02,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,55.10,53.75,2400,47.5,0.32,admission,1.7463,0.5821,0.5821,0.5821
2,2.00,54.55,53.62,2400,46.1,0.07,admission,1.7188,0.5729,0.5729,0.5729
3,3.00,55.10,53.37,2400,45.3,0.08,admission,1.6638,0.5546,0.5546,0.5546
4,4.00,55.65,52.99,2400,44.1,0.17,admission,1.5813,0.5271,0.5271,0.5271
5,5.00,55.10,52.74,2400,42.3,0.17,admission,1.5263,0.5088,0.5088,0.5088
6,6.00,55.10,52.49,2400,40.3,0.07,admission,1.4713,0.4904,0.4904,0.4904
7,7.00,54.55,52.36,2400,39.2,0.16,admission,1.4438,0.4813,0.4813,0.4813
8,8.00,54.55,52.24,2400,38.5,0.11,admission,1.4163,0.4721,0.4721,0.4721
9,9.00,55.10,51.98,2400,38.0,0.08,admission,1.3613,0.4538,0.4538,0.4538
10,10.00,54.55,51.86,2400,36.7,0.25,admission,1.3338,0.4446,0.4446,0.4446
11,11.00,54.55,51.73,2400,35.7,0.16,admission,1.3063,0.4354,0.4354,0.4354
12,12.00,54.00,51.73,2400,35.5,0.06,admission,1.3063,0.4354,0.4354,0.4354
13,13.00,54.55,51.61,2400,35.0,0.11,admission,1.2788,0.4263,0.4263,0.4263
14,14.00,54.00,51.61,2400,34.3,0.22,admission,1.2788,0.4263,0.4263,0.4263
15,15.00,54.00,51.61,2400,34.6,0.18,admission,1.2788,0.4263,0.4263,0.4263
16,16.00,54.00,51.61,2400,34.6,0.07,admission,1.2788,0.4263,0.4263,0.4263
17,17.00,54.00,51.61,2400,34.4,0.07,admission,1.2788,0.4263,0.4263,0.4263
18,18.00,54.00,51.61,2400,34.7,0.08,admission,1.2788,0.4263,0.4263,0.4263
19,19.00,54.00,51.61,2400,34.4,0.06,admission,1.2788,0.4263,0.4263,0.4263
20,20.00,54.00,51.61,2400,34.5,0.13,admission,1.2788,0.4263,0.4263,0.4263
21,21.00,54.00,51.61,2400,34.5,0.07,admission,1.2788,0.4263,0.4263,0.4263
22,22.00,53.45,51.73,2400,34.4,0.22,admission,1.3063,0.4354,0.4354,0.4354
23,23.00,54.00,51.73,2400,35.2,0.08,admission,1.3063,0.4354,0.4354,0.4354
24,24.00,54.00,51.73,2400,35.2,0.07,admission,1.3063,0.4354,0.4354,0.4354
25,25.00,54.00,51.73,2400,35.3,0.09,admission,1.3063,0.4354,0.4354,0.4354
26,26.00,54.55,51.61,2400,35.2,0.09,admission,1.2788,0.4263,0.4263,0.4263
27,27.00,54.55,51.48,2400,34.4,0.06,admission,1.2513,0.4171,0.4171,0.4171
28,28.00,54.00,51.48,2400,36.5,0.12,admission,1.2513,0.4171,0.4171,0.4171
29,29.00,54.00,51.48,2400,34.0,0.17,admission,1.2513,0.4171,0.4171,0.4171
30,30.00,54.00,51.48,2400,33.6,0.07,admission,1.2513,0.4171,0.4171,0.4171
31,31.01,54.55,51.36,2400,33.8,0.07,admission,1.2238,0.4079,0.4079,0.4079
32,32.01,53.45,51.48,2400,33.4,0.05,admission,1.2513,0.4171,0.4171,0.4171
33,33.01,53.45,51.61,2400,34.2,0.06,admission,1.2788,0.4263,0.4263,0.4263
34,34.01,52.90,51.86,2400,34.8,0.07,admission,1.3338,0.4446,0.4446,0.4446
35,35.01,54.00,51.86,2400,36.0,0.07,admission,1.3338,0.4446,0.4446,0.4446
36,36.01,54.00,51.86,2400,36.0,0.06,admission,1.3338,0.4446,0.4446,0.4446
