step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,100.0,3167.14,convex,1.8013,0.6004,0.6004,0.6004
1,3.17,54.55,53.87,2400,100.0,62.41,convex,1.7738,0.5913,0.5913,0.5913
2,4.17,52.90,54.13,2400,50.7,19.80,convex,1.8288,0.6096,0.6096,0.6096
3,5.17,53.45,54.25,2400,49.0,22.67,convex,1.8563,0.6188,0.6188,0.6188
4,6.17,53.45,54.38,2400,49.6,24.01,convex,1.8838,0.6279,0.6279,0.6279
5,7.17,52.90,54.63,2400,50.2,21.87,convex,1.9388,0.6463,0.6463,0.6463
6,8.17,52.90,54.88,2400,51.5,25.55,convex,1.9938,0.6646,0.6646,0.6646
7,9.17,54.55,54.76,2400,53.1,29.62,convex,1.9663,0.6554,0.6554,0.6554
8,10.17,54.00,54.76,2400,52.3,21.35,convex,1.9663,0.6554,0.6554,0.6554
9,11.17,54.00,54.76,2400,52.2,26.76,convex,1.9663,0.6554,0.6554,0.6554
10,12.17,52.35,55.13,2400,52.5,26.05,convex,2.0488,0.6829,0.6829,0.6829
11,13.17,53.45,55.26,2400,54.5,106.51,convex,2.0763,0.6921,0.6921,0.6921
12,14.17,53.45,55.39,2400,57.4,26.59,convex,2.1038,0.7012,0.7013,0.7012
13,15.17,54.55,55.26,2400,55.7,33.30,convex,2.0763,0.6921,0.6921,0.6921
14,16.17,53.45,55.39,2400,55.5,29.67,convex,2.1038,0.7012,0.7013,0.7012
15,17.17,54.00,55.39,2400,55.6,30.40,convex,2.1038,0.7012,0.7013,0.7012
16,18.17,54.55,55.26,2400,55.9,27.36,convex,2.0763,0.6921,0.6921,0.6921
17,19.17,54.00,55.26,2400,55.3,21.53,convex,2.0763,0.6921,0.6921,0.6921
18,20.17,53.45,55.39,2400,55.2,27.50,convex,2.1038,0.7012,0.7013,0.7012
19,21.17,54.00,55.39,2400,55.7,31.60,convex,2.1038,0.7012,0.7013,0.7012
20,22.17,54.55,55.26,2400,55.9,32.82,convex,2.0763,0.6921,0.6921,0.6921
21,23.17,54.55,55.13,2400,55.2,31.32,convex,2.0488,0.6829,0.6829,0.6829
22,24.17,54.00,55.13,2400,54.6,21.72,convex,2.0488,0.6829,0.6829,0.6829
23,25.17,54.55,55.01,2400,53.9,30.83,convex,2.0213,0.6738,0.6738,0.6738
24,26.17,54.00,55.01,2400,54.2,19.94,convex,2.0213,0.6738,0.6738,0.6738
25,27.17,54.00,55.01,2400,53.2,27.45,convex,2.0213,0.6738,0.6738,0.6738
26,28.17,54.55,54.88,2400,54.1,27.30,convex,1.9938,0.6646,0.6646,0.6646
27,29.17,54.00,54.88,2400,52.8,27.85,convex,1.9938,0.6646,0.6646,0.6646
28,30.17,55.10,54.63,2400,53.1,19.69,convex,1.9388,0.6463,0.6463,0.6463
29,31.17,52.35,55.01,2400,51.4,22.89,convex,2.0213,0.6738,0.6738,0.6738
30,32.18,54.55,54.88,2400,53.7,30.25,convex,1.9938,0.6646,0.6646,0.6646
31,33.18,54.55,54.76,2400,53.2,24.09,convex,1.9663,0.6554,0.6554,0.6554
32,34.18,54.55,54.63,2400,52.5,30.75,convex,1.9388,0.6463,0.6463,0.6463
33,35.18,53.45,54.76,2400,52.0,31.58,convex,1.9663,0.6554,0.6554,0.6554
34,36.18,54.55,54.63,2400,52.5,28.24,convex,1.9388,0.6463,0.6463,0.6463
35,37.18,54.00,54.63,2400,51.9,21.11,convex,1.9388,0.6463,0.6463,0.6463
36,38.18,54.00,54.63,2400,51.6,24.53,convex,1.9388,0.6463,0.6463,0.6463
37,39.18,53.45,54.76,2400,51.8,25.43,convex,1.9663,0.6554,0.6554,0.6554
38,40.18,53.45,54.88,2400,52.3,26.04,convex,1.9938,0.6646,0.6646,0.6646
39,41.18,53.45,55.01,2400,53.1,21.06,convex,2.0213,0.6738,0.6738,0.6738
40,42.18,54.00,55.01,2400,53.7,25.62,convex,2.0213,0.6738,0.6738,0.6738
41,43.18,54.00,55.01,2400,53.4,25.21,convex,2.0213,0.6738,0.6738,0.6738
42,44.18,55.10,54.76,2400,53.6,28.63,convex,1.9663,0.6554,0.6554,0.6554
43,45.18,54.00,54.76,2400,52.6,23.32,convex,1.9663,0.6554,0.6554,0.6554
44,46.18,54.55,54.63,2400,52.5,20.31,convex,1.9388,0.6463,0.6463,0.6463
45,47.18,54.55,54.50,2400,51.9,22.80,convex,1.9113,0.6371,0.6371,0.6371
46,48.18,54.00,54.50,2400,50.9,25.18,convex,1.9113,0.6371,0.6371,0.6371
47,49.18,54.55,54.38,2400,51.1,18.75,convex,1.8838,0.6279,0.6279,0.6279
48,50.18,54.55,54.25,2400,50.1,23.27,convex,1.8563,0.6188,0.6188,0.6188
49,51.18,54.55,54.13,2400,49.8,23.33,convex,1.8288,0.6096,0.6096,0.6096
50,52.18,54.00,54.13,2400,49.3,21.03,convex,1.8288,0.6096,0.6096,0.6096
51,53.18,54.55,54.00,2400,49.3,17.93,convex,1.8013,0.6004,0.6004,0.6004
52,54.18,54.55,53.87,2400,48.0,21.19,convex,1.7738,0.5913,0.5913,0.5913
53,55.18,54.00,53.87,2400,47.9,20.66,convex,1.7738,0.5913,0.5913,0.5913
54,56.18,54.00,53.87,2400,47.7,20.18,convex,1.7738,0.5913,0.5913,0.5913
55,57.18,54.00,53.87,2400,47.8,19.59,convex,1.7738,0.5913,0.5913,0.5913
56,58.18,54.00,53.87,2400,47.7,20.36,convex,1.7738,0.5913,0.5913,0.5913
57,59.18,54.55,53.75,2400,47.5,24.17,convex,1.7463,0.5821,0.5821,0.5821
58,60.18,54.00,53.75,2400,46.9,21.17,convex,1.7463,0.5821,0.5821,0.5821
59,61.18,54.55,53.62,2400,47.0,18.41,convex,1.7188,0.5729,0.5729,0.5729
60,62.18,54.00,53.62,2400,46.2,21.98,convex,1.7188,0.5729,0.5729,0.5729
61,63.18,54.55,53.50,2400,46.3,19.28,convex,1.6913,0.5638,0.5637,0.5638
62,64.18,53.45,53.62,2400,45.6,18.74,convex,1.7188,0.5729,0.5729,0.5729
63,65.18,54.00,53.62,2400,46.6,18.71,convex,1.7188,0.5729,0.5729,0.5729
64,66.18,54.55,53.50,2400,46.2,21.18,convex,1.6913,0.5638,0.5637,0.5638
65,67.18,54.00,53.50,2400,45.7,18.08,convex,1.6913,0.5638,0.5637,0.5638
66,68.18,54.00,53.50,2400,45.8,16.87,convex,1.6913,0.5638,0.5637,0.5638
67,69.18,54.00,53.50,2400,45.3,19.43,convex,1.6913,0.5638,0.5637,0.5638
68,70.18,54.55,53.37,2400,45.6,18.18,convex,1.6638,0.5546,0.5546,0.5546
69,71.18,54.00,53.37,2400,44.8,22.89,convex,1.6638,0.5546,0.5546,0.5546
70,72.18,53.45,53.50,2400,44.9,16.36,convex,1.6913,0.5638,0.5637,0.5638
71,73.18,53.45,53.62,2400,45.4,17.13,convex,1.7188,0.5729,0.5729,0.5729
72,74.18,55.65,53.24,2400,45.8,17.48,convex,1.6363,0.5455,0.5454,0.5454
73,75.18,54.00,53.24,2400,44.2,19.66,convex,1.6363,0.5455,0.5454,0.5454
74,76.18,54.00,53.24,2400,44.3,18.76,convex,1.6363,0.5455,0.5454,0.5454
75,77.18,54.00,53.24,2400,44.3,18.29,convex,1.6363,0.5455,0.5454,0.5454
76,78.18,54.00,53.24,2400,44.3,17.45,convex,1.6363,0.5455,0.5454,0.5454
77,79.18,54.00,53.24,2400,44.1,19.84,convex,1.6363,0.5455,0.5454,0.5454
78,80.18,54.55,53.12,2400,44.3,17.58,convex,1.6088,0.5363,0.5362,0.5363
79,81.18,54.55,52.99,2400,43.9,18.41,convex,1.5813,0.5271,0.5271,0.5271
80,82.18,54.00,52.99,2400,43.0,17.80,convex,1.5813,0.5271,0.5271,0.5271
81,83.18,54.00,52.99,2400,42.9,16.38,convex,1.5813,0.5271,0.5271,0.5271
82,84.18,53.45,53.12,2400,42.6,17.43,convex,1.6088,0.5363,0.5362,0.5363
83,85.18,54.55,52.99,2400,43.5,17.97,convex,1.5813,0.5271,0.5271,0.5271
84,86.18,54.00,52.99,2400,42.9,16.23,convex,1.5813,0.5271,0.5271,0.5271
85,87.18,53.45,53.12,2400,42.5,18.25,convex,1.6088,0.5363,0.5362,0.5363
86,88.18,54.00,53.12,2400,43.6,17.66,convex,1.6088,0.5363,0.5362,0.5363
87,89.18,54.00,53.12,2400,43.6,20.50,convex,1.6088,0.5363,0.5362,0.5363
88,90.18,53.45,53.24,2400,43.2,17.95,convex,1.6363,0.5455,0.5454,0.5454
89,91.18,54.55,53.12,2400,44.1,20.45,convex,1.6088,0.5363,0.5362,0.5363
90,92.18,53.45,53.24,2400,43.5,18.74,convex,1.6363,0.5455,0.5454,0.5454
91,93.18,54.00,53.24,2400,44.3,16.36,convex,1.6363,0.5455,0.5454,0.5454
92,94.18,54.00,53.24,2400,44.0,20.83,convex,1.6363,0.5455,0.5454,0.5454
93,95.18,54.55,53.12,2400,44.2,17.83,convex,1.6088,0.5363,0.5362,0.5363
94,96.18,54.00,53.12,2400,43.6,15.87,convex,1.6088,0.5363,0.5362,0.5363
95,97.18,53.45,53.24,2400,43.3,95.60,convex,1.6363,0.5455,0.5454,0.5454
96,98.18,54.00,53.24,2400,46.5,19.10,convex,1.6363,0.5455,0.5454,0.5454
97,99.18,54.00,53.24,2400,44.1,19.45,convex,1.6363,0.5455,0.5454,0.5454
98,100.18,54.00,53.24,2400,44.1,17.14,convex,1.6363,0.5455,0.5454,0.5454
99,101.18,52.90,53.50,2400,44.1,19.90,convex,1.6913,0.5638,0.5637,0.5638
100,102.18,54.00,53.50,2400,45.3,20.82,convex,1.6913,0.5638,0.5637,0.5638
101,103.18,54.00,53.50,2400,45.5,17.48,convex,1.6913,0.5638,0.5637,0.5638
102,104.18,54.00,53.50,2400,45.7,18.93,convex,1.6913,0.5638,0.5637,0.5638
103,105.18,53.45,53.62,2400,45.3,21.50,convex,1.7188,0.5729,0.5729,0.5729
104,106.18,54.00,53.62,2400,45.9,17.92,convex,1.7188,0.5729,0.5729,0.5729
105,107.18,54.55,53.50,2400,46.1,16.48,convex,1.6913,0.5638,0.5637,0.5638
106,108.18,54.00,53.50,2400,45.6,17.39,convex,1.6913,0.5638,0.5637,0.5638
107,109.18,53.45,53.62,2400,46.8,21.04,convex,1.7188,0.5729,0.5729,0.5729
108,110.18,54.55,53.50,2400,48.5,18.48,convex,1.6913,0.5638,0.5637,0.5638
109,111.18,54.00,53.50,2400,45.7,19.13,convex,1.6913,0.5638,0.5637,0.5638
110,112.18,54.00,53.50,2400,45.4,19.52,convex,1.6913,0.5638,0.5637,0.5638
111,113.18,54.00,53.50,2400,45.3,19.88,convex,1.6913,0.5638,0.5637,0.5638
112,114.18,54.55,53.37,2400,45.4,16.59,convex,1.6638,0.5546,0.5546,0.5546
113,115.18,52.90,53.62,2400,44.8,20.06,convex,1.7188,0.5729,0.5729,0.5729
114,116.18,54.00,53.62,2400,46.2,19.08,convex,1.7188,0.5729,0.5729,0.5729
115,117.18,54.00,53.62,2400,46.1,19.60,convex,1.7188,0.5729,0.5729,0.5729
116,118.18,54.00,53.62,2400,46.1,17.62,convex,1.7188,0.5729,0.5729,0.5729
117,119.18,54.00,53.62,2400,46.1,16.48,convex,1.7188,0.5729,0.5729,0.5729
118,120.18,54.00,53.62,2400,46.3,17.60,convex,1.7188,0.5729,0.5729,0.5729
119,121.18,54.00,53.62,2400,45.9,17.95,convex,1.7188,0.5729,0.5729,0.5729
120,122.18,54.00,53.62,2400,45.9,18.70,convex,1.7188,0.5729,0.5729,0.5729
121,123.18,54.55,53.50,2400,45.8,19.72,convex,1.6913,0.5637,0.5638,0.5638
122,124.18,54.00,53.50,2400,45.3,20.31,convex,1.6913,0.5637,0.5638,0.5638
123,125.18,54.00,53.50,2400,45.2,21.77,convex,1.6913,0.5637,0.5638,0.5638
124,126.18,53.45,53.62,2400,45.8,17.26,convex,1.7188,0.5729,0.5729,0.5729
125,127.18,54.55,53.50,2400,45.8,16.87,convex,1.6913,0.5637,0.5638,0.5638
126,128.18,54.00,53.50,2400,45.6,17.58,convex,1.6913,0.5637,0.5638,0.5638
127,129.18,54.55,53.37,2400,45.5,19.84,convex,1.6638,0.5546,0.5546,0.5546
128,130.18,54.00,53.37,2400,44.6,17.67,convex,1.6638,0.5546,0.5546,0.5546
129,131.18,54.55,53.24,2400,44.8,17.75,convex,1.6363,0.5454,0.5454,0.5455
130,132.18,54.55,53.12,2400,44.0,18.18,convex,1.6088,0.5363,0.5363,0.5363
131,133.18,54.00,53.12,2400,43.3,20.71,convex,1.6088,0.5363,0.5363,0.5363
132,134.19,54.00,53.12,2400,43.3,17.70,convex,1.6088,0.5363,0.5363,0.5363
133,135.19,54.00,53.12,2400,43.5,17.79,convex,1.6088,0.5363,0.5363,0.5363
134,136.19,54.00,53.12,2400,44.1,19.29,convex,1.6088,0.5363,0.5363,0.5363
135,137.19,54.55,52.99,2400,50.9,28.03,convex,1.5813,0.5271,0.5271,0.5271
136,138.19,55.65,52.61,2400,66.8,32.18,convex,1.4988,0.4996,0.4996,0.4996
137,139.19,54.55,52.49,2400,57.5,19.22,convex,1.4713,0.4904,0.4904,0.4904
138,140.19,54.55,52.36,2400,40.0,16.11,convex,1.4438,0.4813,0.4813,0.4813
139,141.19,54.55,52.24,2400,39.1,19.66,convex,1.4163,0.4721,0.4721,0.4721
