step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,0.0,0.16,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.90,53.75,2400,48.1,0.06,matched,1.7463,0.5821,0.5821,0.5821
2,2.00,53.45,53.87,2400,46.9,0.07,matched,1.7738,0.5913,0.5913,0.5913
3,3.00,53.45,54.00,2400,47.4,0.06,matched,1.8013,0.6004,0.6004,0.6004
4,4.00,55.10,54.13,2400,48.1,0.05,matched,1.8288,0.6096,0.6096,0.6096
5,5.00,54.00,54.38,2400,48.8,0.09,matched,1.8838,0.6279,0.6279,0.6279
6,6.00,53.45,54.63,2400,50.0,0.09,matched,1.9388,0.6463,0.6463,0.6463
7,7.00,54.00,54.76,2400,51.4,0.06,matched,1.9663,0.6554,0.6554,0.6554
8,8.00,54.00,54.88,2400,52.0,0.06,matched,1.9938,0.6646,0.6646,0.6646
9,9.00,54.00,55.13,2400,52.6,0.22,matched,2.0488,0.6829,0.6829,0.6829
10,10.00,54.00,55.13,2400,54.2,0.07,matched,2.0488,0.6829,0.6829,0.6829
11,11.00,54.55,55.13,2400,53.8,0.06,matched,2.0488,0.6829,0.6829,0.6829
12,12.00,54.00,55.26,2400,54.1,0.10,matched,2.0763,0.6921,0.6921,0.6921
13,13.00,54.55,55.39,2400,54.6,0.06,matched,2.1038,0.7013,0.7013,0.7013
14,14.00,54.00,55.64,2400,55.1,0.09,matched,2.1588,0.7196,0.7196,0.7196
15,15.00,54.55,55.76,2400,56.4,0.07,matched,2.1863,0.7288,0.7288,0.7288
16,16.00,54.55,55.64,2400,57.3,0.12,matched,2.1588,0.7196,0.7196,0.7196
17,17.00,54.55,55.89,2400,56.7,0.08,matched,2.2138,0.7379,0.7379,0.7379
18,18.00,54.55,56.39,2400,57.8,0.07,matched,2.3238,0.7746,0.7746,0.7746
19,19.00,54.55,56.27,2400,60.3,0.24,matched,2.2963,0.7654,0.7654,0.7654
20,20.00,54.55,56.27,2400,59.6,0.07,matched,2.2963,0.7654,0.7654,0.7654
21,21.00,54.55,56.39,2400,59.8,0.06,matched,2.3238,0.7746,0.7746,0.7746
22,22.00,55.65,56.39,2400,60.2,0.13,matched,2.3238,0.7746,0.7746,0.7746
23,23.00,55.10,56.27,2400,60.5,0.08,matched,2.2963,0.7654,0.7654,0.7654
24,24.00,55.65,56.27,2400,59.7,0.17,matched,2.2963,0.7654,0.7654,0.7654
25,25.00,55.10,56.52,2400,59.7,0.06,matched,2.3513,0.7838,0.7838,0.7838
26,26.00,55.10,56.52,2400,61.1,0.07,matched,2.3513,0.7838,0.7838,0.7838
27,27.00,55.65,56.64,2400,61.1,0.12,matched,2.3788,0.7929,0.7929,0.7929
28,28.00,54.00,56.52,2400,61.7,0.06,matched,2.3513,0.7838,0.7838,0.7838
29,29.00,55.10,56.52,2400,61.0,0.07,matched,2.3513,0.7838,0.7838,0.7838
30,30.00,55.10,56.52,2400,61.1,0.07,matched,2.3513,0.7838,0.7838,0.7838
31,31.00,56.20,56.39,2400,60.9,0.07,matched,2.3238,0.7746,0.7746,0.7746
32,32.00,55.65,56.27,2400,60.5,0.33,matched,2.2963,0.7654,0.7654,0.7654
33,33.00,55.10,56.14,2400,59.7,0.23,matched,2.2688,0.7563,0.7563,0.7563
34,34.00,54.55,56.02,2400,59.1,0.15,matched,2.2413,0.7471,0.7471,0.7471
35,35.00,55.10,56.02,2400,58.5,0.10,matched,2.2413,0.7471,0.7471,0.7471
36,36.00,54.55,56.02,2400,58.6,0.12,matched,2.2413,0.7471,0.7471,0.7471
37,37.00,54.55,55.89,2400,58.5,0.19,matched,2.2138,0.7379,0.7379,0.7379
38,38.01,54.55,55.89,2400,57.7,0.08,matched,2.2138,0.7379,0.7379,0.7379
39,39.01,55.65,55.76,2400,57.7,0.08,matched,2.1863,0.7288,0.7288,0.7288
40,40.01,55.65,55.64,2400,57.2,0.23,matched,2.1588,0.7196,0.7196,0.7196
41,41.01,55.65,55.51,2400,56.5,0.12,matched,2.1313,0.7104,0.7104,0.7104
42,42.01,55.65,55.39,2400,55.6,0.06,matched,2.1038,0.7013,0.7013,0.7013
43,43.01,55.10,55.51,2400,55.0,0.06,matched,2.1313,0.7104,0.7104,0.7104
44,44.01,55.65,55.26,2400,55.6,0.14,matched,2.0763,0.6921,0.6921,0.6921
45,45.01,55.65,55.26,2400,54.4,0.06,matched,2.0763,0.6921,0.6921,0.6921
46,46.01,55.10,55.39,2400,54.2,0.12,matched,2.1038,0.7013,0.7013,0.7013
47,47.01,55.10,55.39,2400,54.9,0.20,matched,2.1038,0.7013,0.7013,0.7013
48,48.01,55.10,55.39,2400,55.2,0.07,matched,2.1038,0.7013,0.7013,0.7013
49,49.01,55.10,55.51,2400,55.1,0.05,matched,2.1313,0.7104,0.7104,0.7104
50,50.01,56.75,55.64,2400,55.3,0.18,matched,2.1588,0.7196,0.7196,0.7196
51,51.01,55.65,55.64,2400,56.2,0.17,matched,2.1588,0.7196,0.7196,0.7196
52,52.01,55.65,55.64,2400,56.5,0.06,matched,2.1588,0.7196,0.7196,0.7196
53,53.01,55.10,55.51,2400,56.2,0.06,matched,2.1313,0.7104,0.7104,0.7104
54,54.01,55.10,55.51,2400,55.8,0.08,matched,2.1313,0.7104,0.7104,0.7104
55,55.01,55.10,55.64,2400,55.7,0.13,matched,2.1588,0.7196,0.7196,0.7196
56,56.01,55.65,55.51,2400,56.3,0.07,matched,2.1313,0.7104,0.7104,0.7104
57,57.01,55.65,55.39,2400,55.7,0.07,matched,2.1038,0.7013,0.7013,0.7013
58,58.01,55.10,55.51,2400,54.9,0.13,matched,2.1313,0.7104,0.7104,0.7104
59,59.01,55.10,55.51,2400,55.6,0.07,matched,2.1313,0.7104,0.7104,0.7104
60,60.01,54.55,55.64,2400,55.7,0.21,matched,2.1588,0.7196,0.7196,0.7196
61,61.01,55.65,55.76,2400,56.3,0.12,matched,2.1863,0.7288,0.7288,0.7288
62,62.01,55.10,55.76,2400,57.1,0.08,matched,2.1863,0.7288,0.7288,0.7288
63,63.01,55.10,55.76,2400,56.9,0.10,matched,2.1863,0.7288,0.7288,0.7288
64,64.01,55.10,55.64,2400,56.9,0.08,matched,2.1588,0.7196,0.7196,0.7196
65,65.01,55.10,55.26,2400,56.3,0.07,matched,2.0763,0.6921,0.6921,0.6921
66,66.01,56.20,55.26,2400,54.3,0.06,matched,2.0763,0.6921,0.6921,0.6921
67,67.01,55.65,55.26,2400,54.3,0.06,matched,2.0763,0.6921,0.6921,0.6921
68,68.01,55.65,55.26,2400,54.4,0.07,matched,2.0763,0.6921,0.6921,0.6921
69,69.01,55.10,55.51,2400,54.2,0.23,matched,2.1313,0.7104,0.7104,0.7104
70,70.01,55.10,55.39,2400,55.9,0.05,matched,2.1038,0.7013,0.7013,0.7013
71,71.01,55.65,55.26,2400,55.1,0.06,matched,2.0763,0.6921,0.6921,0.6921
72,72.01,55.10,55.26,2400,54.4,0.05,matched,2.0763,0.6921,0.6921,0.6921
73,73.01,55.10,55.39,2400,54.3,0.06,matched,2.1038,0.7013,0.7013,0.7013
74,74.01,55.65,55.26,2400,55.2,0.05,matched,2.0763,0.6921,0.6921,0.6921
75,75.01,55.65,55.13,2400,56.2,0.09,matched,2.0488,0.6829,0.6829,0.6829
76,76.01,55.65,55.13,2400,57.2,0.05,matched,2.0488,0.6829,0.6829,0.6829
77,77.01,55.65,55.26,2400,53.7,0.06,matched,2.0763,0.6921,0.6921,0.6921
78,78.01,55.10,55.26,2400,54.6,0.07,matched,2.0763,0.6921,0.6921,0.6921
79,79.01,55.65,54.88,2400,54.6,0.06,matched,1.9938,0.6646,0.6646,0.6646
80,80.01,55.10,54.88,2400,52.5,0.17,matched,1.9938,0.6646,0.6646,0.6646
81,81.01,55.65,54.88,2400,52.7,0.06,matched,1.9938,0.6646,0.6646,0.6646
82,82.01,55.10,54.88,2400,52.6,0.06,matched,1.9938,0.6646,0.6646,0.6646
83,83.01,55.65,54.88,2400,52.5,0.08,matched,1.9938,0.6646,0.6646,0.6646
84,84.01,55.65,54.76,2400,52.5,0.06,matched,1.9663,0.6554,0.6554,0.6554
85,85.01,55.65,54.76,2400,51.9,0.06,matched,1.9663,0.6554,0.6554,0.6554
86,86.01,55.65,54.63,2400,52.0,0.05,matched,1.9388,0.6463,0.6463,0.6463
87,87.01,55.10,54.63,2400,51.5,0.08,matched,1.9388,0.6463,0.6463,0.6463
88,88.01,55.10,54.76,2400,51.4,0.06,matched,1.9663,0.6554,0.6554,0.6554
89,89.01,55.65,54.76,2400,51.9,0.18,matched,1.9663,0.6554,0.6554,0.6554
90,90.01,55.10,54.63,2400,51.6,0.09,matched,1.9388,0.6463,0.6463,0.6463
91,91.01,55.10,54.50,2400,51.0,0.06,matched,1.9113,0.6371,0.6371,0.6371
92,92.01,55.65,54.50,2400,50.5,0.07,matched,1.9113,0.6371,0.6371,0.6371
93,93.01,55.65,54.38,2400,50.9,0.06,matched,1.8838,0.6279,0.6279,0.6279
94,94.01,55.10,54.38,2400,49.8,0.08,matched,1.8838,0.6279,0.6279,0.6279
95,95.01,55.10,54.50,2400,49.8,0.05,matched,1.9113,0.6371,0.6371,0.6371
96,96.01,55.65,54.50,2400,50.5,0.08,matched,1.9113,0.6371,0.6371,0.6371
97,97.01,55.10,54.50,2400,50.9,0.06,matched,1.9113,0.6371,0.6371,0.6371
98,98.01,55.10,54.63,2400,50.5,0.06,matched,1.9388,0.6463,0.6463,0.6463
99,99.01,55.10,54.50,2400,51.2,0.21,matched,1.9113,0.6371,0.6371,0.6371
100,100.01,55.10,54.50,2400,50.5,0.06,matched,1.9113,0.6371,0.6371,0.6371
101,101.01,55.65,54.50,2400,50.7,0.06,matched,1.9113,0.6371,0.6371,0.6371
102,102.01,54.55,54.50,2400,50.5,0.06,matched,1.9113,0.6371,0.6371,0.6371
103,103.01,55.10,54.50,2400,50.2,0.06,matched,1.9113,0.6371,0.6371,0.6371
104,104.01,54.55,54.63,2400,50.4,0.07,matched,1.9388,0.6463,0.6463,0.6463
105,105.01,55.65,54.50,2400,51.0,0.05,matched,1.9113,0.6371,0.6371,0.6371
106,106.01,55.65,54.63,2400,50.5,0.05,matched,1.9388,0.6463,0.6463,0.6463
107,107.01,55.10,54.63,2400,51.0,0.07,matched,1.9388,0.6463,0.6463,0.6463
108,108.01,55.65,54.63,2400,51.1,0.08,matched,1.9388,0.6463,0.6463,0.6463
109,109.01,55.10,54.63,2400,51.0,0.09,matched,1.9388,0.6463,0.6463,0.6463
110,110.01,55.10,54.63,2400,51.0,0.10,matched,1.9388,0.6463,0.6463,0.6463
111,111.01,55.65,54.50,2400,51.0,0.06,matched,1.9113,0.6371,0.6371,0.6371
