step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,55.65,54.00,2400,100.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,54.55,53.87,2400,47.8,0.08,admission,1.7738,0.5913,0.5913,0.5913
2,2.00,54.55,53.75,2400,46.8,0.06,admission,1.7463,0.5821,0.5821,0.5821
3,3.00,55.10,53.50,2400,45.9,0.05,admission,1.6913,0.5638,0.5638,0.5638
4,4.00,54.00,53.50,2400,44.7,0.06,admission,1.6913,0.5638,0.5638,0.5638
5,5.00,54.55,53.37,2400,44.4,0.06,admission,1.6638,0.5546,0.5546,0.5546
6,6.00,55.10,53.12,2400,43.7,0.06,admission,1.6088,0.5363,0.5363,0.5363
7,7.01,55.10,52.87,2400,42.4,0.05,admission,1.5538,0.5179,0.5179,0.5179
8,8.01,55.10,52.61,2400,41.0,0.06,admission,1.4988,0.4996,0.4996,0.4996
9,9.01,54.00,52.61,2400,39.9,0.05,admission,1.4988,0.4996,0.4996,0.4996
10,10.01,55.10,52.36,2400,39.5,0.05,admission,1.4438,0.4813,0.4813,0.4813
11,11.01,53.45,52.49,2400,38.4,0.05,admission,1.4713,0.4904,0.4904,0.4904
12,12.01,54.55,52.36,2400,38.9,0.05,admission,1.4438,0.4813,0.4813,0.4813
13,13.01,55.10,52.11,2400,38.3,0.05,admission,1.3888,0.4629,0.4629,0.4629
14,14.01,54.55,51.98,2400,36.9,0.05,admission,1.3613,0.4538,0.4538,0.4538
15,15.01,53.45,52.11,2400,36.2,0.05,admission,1.3888,0.4629,0.4629,0.4629
16,16.01,54.00,52.11,2400,36.9,0.05,admission,1.3888,0.4629,0.4629,0.4629
17,17.01,53.45,52.24,2400,36.9,0.11,admission,1.4163,0.4721,0.4721,0.4721
18,18.01,54.00,52.24,2400,37.9,0.08,admission,1.4163,0.4721,0.4721,0.4721
19,19.01,54.00,52.24,2400,37.8,0.07,admission,1.4163,0.4721,0.4721,0.4721
20,20.01,54.00,52.24,2400,37.9,0.07,admission,1.4163,0.4721,0.4721,0.4721
21,21.01,54.00,52.24,2400,37.8,0.05,admission,1.4163,0.4721,0.4721,0.4721
22,22.01,54.00,52.24,2400,37.8,0.06,admission,1.4163,0.4721,0.4721,0.4721
23,23.01,54.00,52.24,2400,37.9,0.05,admission,1.4163,0.4721,0.4721,0.4721
24,24.01,54.00,52.24,2400,38.0,0.06,admission,1.4163,0.4721,0.4721,0.4721
25,25.01,52.90,52.49,2400,37.7,0.07,admission,1.4713,0.4904,0.4904,0.4904
26,26.01,53.45,52.61,2400,39.2,0.05,admission,1.4988,0.4996,0.4996,0.4996
27,27.01,53.45,52.74,2400,39.8,0.07,admission,1.5263,0.5088,0.5088,0.5088
28,28.01,53.45,52.87,2400,40.5,0.06,admission,1.5538,0.5179,0.5179,0.5179
29,29.01,53.45,52.99,2400,41.4,0.07,admission,1.5813,0.5271,0.5271,0.5271
30,30.01,54.55,52.87,2400,41.6,0.05,admission,1.5538,0.5179,0.5179,0.5179
31,31.01,54.55,52.74,2400,41.2,0.06,admission,1.5263,0.5088,0.5088,0.5088
32,32.01,54.55,52.61,2400,40.4,0.08,admission,1.4988,0.4996,0.4996,0.4996
