step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,53.45,54.00,2400,0.0,3059.32,convex,1.8013,0.6004,0.6004,0.6004
1,3.06,54.55,53.87,2400,100.0,69.15,convex,1.7738,0.5913,0.5913,0.5913
2,4.06,53.45,54.00,2400,51.4,20.61,convex,1.8013,0.6004,0.6004,0.6004
3,5.06,53.45,54.13,2400,48.2,21.05,convex,1.8288,0.6096,0.6096,0.6096
4,6.06,54.00,54.13,2400,48.9,20.99,convex,1.8288,0.6096,0.6096,0.6096
5,7.06,53.45,54.25,2400,49.0,19.86,convex,1.8563,0.6188,0.6188,0.6188
6,8.06,53.45,54.38,2400,49.3,17.83,convex,1.8838,0.6279,0.6280,0.6279
7,9.06,54.00,54.38,2400,49.9,21.60,convex,1.8838,0.6279,0.6280,0.6279
8,10.06,54.55,54.25,2400,50.5,21.20,convex,1.8563,0.6188,0.6188,0.6188
9,11.06,53.45,54.38,2400,49.4,19.06,convex,1.8838,0.6279,0.6280,0.6279
10,12.06,53.45,54.50,2400,50.0,25.88,convex,1.9113,0.6371,0.6371,0.6371
11,13.06,54.55,54.38,2400,50.7,100.23,convex,1.8838,0.6279,0.6280,0.6279
12,14.06,54.00,54.38,2400,52.6,23.43,convex,1.8838,0.6279,0.6280,0.6279
13,15.06,53.45,54.50,2400,49.9,19.14,convex,1.9113,0.6371,0.6371,0.6371
14,16.06,52.90,54.76,2400,51.0,18.22,convex,1.9663,0.6554,0.6554,0.6554
15,17.06,54.00,54.76,2400,51.8,18.84,convex,1.9663,0.6554,0.6554,0.6554
16,18.06,53.45,54.88,2400,51.9,19.74,convex,1.9938,0.6646,0.6646,0.6646
17,19.06,53.45,55.01,2400,53.0,21.46,convex,2.0213,0.6737,0.6738,0.6738
18,20.07,53.45,55.13,2400,53.3,18.99,convex,2.0488,0.6829,0.6830,0.6829
19,21.07,53.45,55.26,2400,54.1,25.01,convex,2.0763,0.6921,0.6921,0.6921
20,22.07,54.00,55.26,2400,54.7,21.21,convex,2.0763,0.6921,0.6921,0.6921
21,23.07,54.55,55.13,2400,54.8,21.12,convex,2.0488,0.6829,0.6830,0.6829
22,24.07,54.55,55.01,2400,53.7,22.50,convex,2.0213,0.6737,0.6738,0.6738
23,25.07,54.55,54.88,2400,53.3,20.85,convex,1.9938,0.6646,0.6646,0.6646
24,26.07,53.45,55.01,2400,52.6,18.58,convex,2.0213,0.6737,0.6738,0.6738
25,27.07,54.55,54.88,2400,53.2,24.02,convex,1.9938,0.6646,0.6646,0.6646
26,28.07,54.55,54.76,2400,52.8,22.21,convex,1.9663,0.6554,0.6554,0.6554
27,29.07,54.00,54.76,2400,52.0,21.56,convex,1.9663,0.6554,0.6554,0.6554
28,30.07,53.45,54.88,2400,52.2,20.82,convex,1.9938,0.6646,0.6646,0.6646
29,31.07,54.00,54.88,2400,52.6,23.01,convex,1.9938,0.6646,0.6646,0.6646
30,32.07,53.45,55.01,2400,52.6,21.21,convex,2.0213,0.6737,0.6738,0.6738
31,33.07,54.00,55.01,2400,53.4,23.50,convex,2.0213,0.6737,0.6738,0.6738
