step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.00,54.00,2400,100.0,0.33,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,53.87,2400,48.4,0.07,matched,1.7738,0.5913,0.5913,0.5913
2,2.00,52.35,54.00,2400,47.9,0.06,matched,1.8013,0.6004,0.6004,0.6004
3,3.00,54.00,54.13,2400,48.6,0.07,matched,1.8288,0.6096,0.6096,0.6096
4,4.00,53.45,54.13,2400,48.9,0.09,matched,1.8288,0.6096,0.6096,0.6096
5,5.00,53.45,54.25,2400,49.1,0.07,matched,1.8563,0.6188,0.6188,0.6188
6,6.00,54.00,54.38,2400,49.6,0.07,matched,1.8838,0.6279,0.6279,0.6279
7,7.00,54.00,54.38,2400,50.4,0.08,matched,1.8838,0.6279,0.6279,0.6279
8,8.00,54.00,54.25,2400,50.5,0.08,matched,1.8563,0.6188,0.6188,0.6188
9,9.00,53.45,54.38,2400,49.6,0.13,matched,1.8838,0.6279,0.6279,0.6279
10,10.00,54.55,54.50,2400,50.4,0.10,matched,1.9113,0.6371,0.6371,0.6371
11,11.00,53.45,54.38,2400,51.0,0.06,matched,1.8838,0.6279,0.6279,0.6279
12,12.00,52.90,54.38,2400,50.2,0.17,matched,1.8838,0.6279,0.6279,0.6279
13,13.00,54.55,54.50,2400,50.5,0.21,matched,1.9113,0.6371,0.6371,0.6371
14,14.00,54.55,54.76,2400,51.0,0.10,matched,1.9663,0.6554,0.6554,0.6554
15,15.00,55.10,54.76,2400,52.5,0.25,matched,1.9663,0.6554,0.6554,0.6554
16,16.00,54.55,54.88,2400,52.3,0.06,matched,1.9938,0.6646,0.6646,0.6646
17,17.00,54.55,55.01,2400,52.8,0.06,matched,2.0213,0.6738,0.6738,0.6738
18,18.00,54.55,55.13,2400,53.7,0.06,matched,2.0488,0.6829,0.6829,0.6829
19,19.00,53.45,55.26,2400,54.1,0.08,matched,2.0763,0.6921,0.6921,0.6921
20,20.00,54.55,55.26,2400,54.5,0.11,matched,2.0763,0.6921,0.6921,0.6921
21,21.00,55.10,55.13,2400,54.8,0.07,matched,2.0488,0.6829,0.6829,0.6829
22,22.00,54.55,55.01,2400,54.3,0.07,matched,2.0213,0.6738,0.6738,0.6738
23,23.00,54.55,54.88,2400,53.4,0.10,matched,1.9938,0.6646,0.6646,0.6646
24,24.00,54.55,55.01,2400,53.1,0.09,matched,2.0213,0.6738,0.6738,0.6738
25,25.00,55.10,54.88,2400,53.3,0.10,matched,1.9938,0.6646,0.6646,0.6646
26,26.00,54.55,54.76,2400,53.0,0.10,matched,1.9663,0.6554,0.6554,0.6554
27,27.00,54.55,54.76,2400,52.3,0.07,matched,1.9663,0.6554,0.6554,0.6554
28,28.00,54.55,54.88,2400,52.1,0.06,matched,1.9938,0.6646,0.6646,0.6646
29,29.00,54.55,54.88,2400,52.7,0.10,matched,1.9938,0.6646,0.6646,0.6646
30,30.00,53.45,55.01,2400,52.6,0.11,matched,2.0213,0.6738,0.6738,0.6738
31,31.00,54.00,55.01,2400,53.6,0.13,matched,2.0213,0.6738,0.6738,0.6738
32,32.00,52.90,55.01,2400,53.6,0.22,matched,2.0213,0.6738,0.6738,0.6738
33,33.00,54.55,55.13,2400,53.7,0.08,matched,2.0488,0.6829,0.6829,0.6829
34,34.00,54.55,55.01,2400,54.3,0.07,matched,2.0213,0.6738,0.6738,0.6738
35,35.00,54.55,54.88,2400,53.4,0.07,matched,1.9938,0.6646,0.6646,0.6646
36,36.00,55.65,55.13,2400,53.0,0.06,matched,2.0488,0.6829,0.6829,0.6829
37,37.01,55.10,55.13,2400,54.4,0.12,matched,2.0488,0.6829,0.6829,0.6829
38,38.01,54.55,55.13,2400,54.1,0.12,matched,2.0488,0.6829,0.6829,0.6829
39,39.01,54.55,55.01,2400,54.1,0.07,matched,2.0213,0.6738,0.6738,0.6738
40,40.01,55.10,54.88,2400,53.4,0.06,matched,1.9938,0.6646,0.6646,0.6646
41,41.01,54.55,54.76,2400,53.1,0.06,matched,1.9663,0.6554,0.6554,0.6554
42,42.01,55.10,54.88,2400,52.1,0.12,matched,1.9938,0.6646,0.6646,0.6646
43,43.01,54.55,54.76,2400,52.8,0.18,matched,1.9663,0.6554,0.6554,0.6554
44,44.01,54.55,54.63,2400,52.2,0.06,matched,1.9388,0.6463,0.6463,0.6463
45,45.01,54.55,54.63,2400,51.6,0.13,matched,1.9388,0.6463,0.6463,0.6463
46,46.01,54.55,54.63,2400,51.7,0.10,matched,1.9388,0.6463,0.6463,0.6463
47,47.01,55.10,54.63,2400,51.6,0.09,matched,1.9388,0.6463,0.6463,0.6463
48,48.01,54.55,54.63,2400,51.6,0.06,matched,1.9388,0.6463,0.6463,0.6463
49,49.01,55.10,54.76,2400,51.8,0.15,matched,1.9663,0.6554,0.6554,0.6554
50,50.01,55.10,54.63,2400,52.1,0.06,matched,1.9388,0.6463,0.6463,0.6463
51,51.01,54.55,54.63,2400,51.6,0.09,matched,1.9388,0.6463,0.6463,0.6463
52,52.01,55.10,54.63,2400,51.4,0.09,matched,1.9388,0.6463,0.6463,0.6463
53,53.01,55.10,54.63,2400,51.6,0.05,matched,1.9388,0.6463,0.6463,0.6463
54,54.01,55.10,54.63,2400,51.7,0.13,matched,1.9388,0.6463,0.6463,0.6463
55,55.01,55.10,54.76,2400,51.5,0.05,matched,1.9663,0.6554,0.6554,0.6554
56,56.01,54.55,55.01,2400,52.5,0.06,matched,2.0213,0.6738,0.6738,0.6738
57,57.01,55.65,55.01,2400,53.5,0.06,matched,2.0213,0.6738,0.6738,0.6738
58,58.01,55.10,55.01,2400,53.4,0.06,matched,2.0213,0.6738,0.6738,0.6738
59,59.01,54.55,54.88,2400,53.6,0.06,matched,1.9938,0.6646,0.6646,0.6646
60,60.01,54.55,54.76,2400,52.8,0.08,matched,1.9663,0.6554,0.6554,0.6554
61,61.01,55.10,54.76,2400,52.2,0.08,matched,1.9663,0.6554,0.6554,0.6554
62,62.01,55.10,54.88,2400,52.2,0.10,matched,1.9938,0.6646,0.6646,0.6646
63,63.01,55.10,54.76,2400,52.7,0.10,matched,1.9663,0.6554,0.6554,0.6554
64,64.01,55.65,54.88,2400,52.1,0.07,matched,1.9938,0.6646,0.6646,0.6646
65,65.01,55.10,55.01,2400,53.1,0.06,matched,2.0213,0.6738,0.6738,0.6738
66,66.01,55.10,54.88,2400,53.3,0.06,matched,1.9938,0.6646,0.6646,0.6646
67,67.01,55.65,54.88,2400,52.8,0.07,matched,1.9938,0.6646,0.6646,0.6646
68,68.01,54.55,54.88,2400,52.8,0.07,matched,1.9938,0.6646,0.6646,0.6646
69,69.01,54.55,54.76,2400,52.6,0.11,matched,1.9663,0.6554,0.6554,0.6554
70,70.01,55.65,54.76,2400,52.1,0.06,matched,1.9663,0.6554,0.6554,0.6554
71,71.01,55.10,54.63,2400,52.1,0.07,matched,1.9388,0.6463,0.6463,0.6463
72,72.01,54.55,54.50,2400,51.2,0.06,matched,1.9113,0.6371,0.6371,0.6371
73,73.01,54.55,54.50,2400,50.7,0.06,matched,1.9113,0.6371,0.6371,0.6371
74,74.01,54.55,54.38,2400,50.6,0.06,matched,1.8838,0.6279,0.6279,0.6279
75,75.01,54.55,54.38,2400,50.0,0.06,matched,1.8838,0.6279,0.6279,0.6279
76,76.01,54.55,54.38,2400,50.2,0.07,matched,1.8838,0.6279,0.6279,0.6279
77,77.01,54.55,54.76,2400,49.9,0.05,matched,1.9663,0.6554,0.6554,0.6554
78,78.01,55.10,54.63,2400,51.9,0.06,matched,1.9388,0.6463,0.6463,0.6463
79,79.01,55.10,54.76,2400,51.2,0.07,matched,1.9663,0.6554,0.6554,0.6554
80,80.01,55.65,54.63,2400,52.1,0.05,matched,1.9388,0.6463,0.6463,0.6463
81,81.01,55.10,54.50,2400,51.4,0.07,matched,1.9113,0.6371,0.6371,0.6371
82,82.01,54.55,54.50,2400,50.7,0.07,matched,1.9113,0.6371,0.6371,0.6371
83,83.01,55.10,54.63,2400,50.7,0.06,matched,1.9388,0.6463,0.6463,0.6463
84,84.01,54.00,54.63,2400,51.4,0.21,matched,1.9388,0.6463,0.6463,0.6463
85,85.01,55.10,54.63,2400,51.2,0.07,matched,1.9388,0.6463,0.6463,0.6463
86,86.01,55.10,54.63,2400,51.1,0.22,matched,1.9388,0.6463,0.6463,0.6463
87,87.01,55.10,54.38,2400,51.2,0.09,matched,1.8838,0.6279,0.6279,0.6279
88,88.01,55.10,54.25,2400,50.0,0.05,matched,1.8563,0.6188,0.6188,0.6188
89,89.01,55.10,54.00,2400,49.4,0.06,matched,1.8013,0.6004,0.6004,0.6004
90,90.01,54.55,54.00,2400,48.1,0.05,matched,1.8013,0.6004,0.6004,0.6004
91,91.01,55.10,54.00,2400,48.0,0.06,matched,1.8013,0.6004,0.6004,0.6004
92,92.01,55.10,54.13,2400,48.0,0.05,matched,1.8288,0.6096,0.6096,0.6096
93,93.01,54.55,54.13,2400,48.5,0.06,matched,1.8288,0.6096,0.6096,0.6096
94,94.01,55.10,54.13,2400,48.6,0.09,matched,1.8288,0.6096,0.6096,0.6096
95,95.01,55.65,54.13,2400,48.8,0.06,matched,1.8288,0.6096,0.6096,0.6096
96,96.01,55.10,54.13,2400,48.5,0.08,matched,1.8288,0.6096,0.6096,0.6096
97,97.01,55.10,54.13,2400,48.8,0.05,matched,1.8288,0.6096,0.6096,0.6096
98,98.01,55.10,54.13,2400,48.8,0.18,matched,1.8288,0.6096,0.6096,0.6096
99,99.01,55.10,54.25,2400,48.5,0.05,matched,1.8563,0.6188,0.6188,0.6188
100,100.01,55.10,54.25,2400,49.1,0.06,matched,1.8563,0.6188,0.6188,0.6188
101,101.01,55.10,54.25,2400,49.3,0.06,matched,1.8563,0.6188,0.6188,0.6188
102,102.01,55.65,54.25,2400,49.4,0.08,matched,1.8563,0.6188,0.6188,0.6188
103,103.01,54.55,54.25,2400,49.4,0.06,matched,1.8563,0.6188,0.6188,0.6188
104,104.01,55.65,54.38,2400,49.3,0.06,matched,1.8838,0.6279,0.6279,0.6279
105,105.01,55.10,54.38,2400,49.9,0.11,matched,1.8838,0.6279,0.6279,0.6279
106,106.01,55.10,54.38,2400,50.1,0.05,matched,1.8838,0.6279,0.6279,0.6279
107,107.01,55.10,54.38,2400,49.8,0.05,matched,1.8838,0.6279,0.6279,0.6279
108,108.01,54.55,54.25,2400,49.9,0.06,matched,1.8563,0.6188,0.6188,0.6188
109,109.01,54.55,54.13,2400,49.3,0.06,matched,1.8288,0.6096,0.6096,0.6096
110,110.01,55.10,54.00,2400,48.9,0.07,matched,1.8013,0.6004,0.6004,0.6004
111,111.01,55.10,53.75,2400,48.0,0.05,matched,1.7463,0.5821,0.5821,0.5821
112,112.01,55.10,53.87,2400,46.7,0.05,matched,1.7738,0.5913,0.5913,0.5913
113,113.01,55.10,54.00,2400,47.4,0.05,matched,1.8013,0.6004,0.6004,0.6004
114,114.01,55.65,54.13,2400,47.9,0.06,matched,1.8288,0.6096,0.6096,0.6096
115,115.01,55.10,54.13,2400,48.6,0.10,matched,1.8288,0.6096,0.6096,0.6096
116,116.01,54.55,54.13,2400,48.6,0.06,matched,1.8288,0.6096,0.6096,0.6096
117,117.01,55.10,54.13,2400,48.5,0.19,matched,1.8288,0.6096,0.6096,0.6096
118,118.01,55.65,54.13,2400,48.6,0.06,matched,1.8288,0.6096,0.6096,0.6096
119,119.01,55.65,54.13,2400,48.5,0.05,matched,1.8288,0.6096,0.6096,0.6096
120,120.01,55.65,54.00,2400,48.8,0.05,matched,1.8013,0.6004,0.6004,0.6004
121,121.01,55.10,54.00,2400,47.8,0.06,matched,1.8013,0.6004,0.6004,0.6004
122,122.01,55.10,53.87,2400,47.9,0.06,matched,1.7738,0.5913,0.5913,0.5913
123,123.01,55.10,53.75,2400,47.2,0.07,matched,1.7463,0.5821,0.5821,0.5821
124,124.01,54.55,53.75,2400,46.8,0.07,matched,1.7463,0.5821,0.5821,0.5821
125,125.01,55.65,53.87,2400,46.5,0.07,matched,1.7738,0.5913,0.5913,0.5913
126,126.01,54.55,54.00,2400,47.5,0.06,matched,1.8013,0.6004,0.6004,0.6004
127,127.01,55.10,53.87,2400,47.9,0.11,matched,1.7738,0.5913,0.5913,0.5913
