step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,50.70,54.00,2400,0.0,1017.47,convex,1.8013,0.6004,0.6004,0.6004
1,1.02,50.15,54.88,2400,48.5,14.93,convex,1.9938,0.6646,0.6646,0.6646
2,2.02,51.25,55.51,2400,32.8,17.20,convex,2.1313,0.7104,0.7104,0.7104
3,3.02,50.70,56.27,2400,22.5,16.40,convex,2.2963,0.7654,0.7654,0.7654
4,4.02,52.90,56.52,2400,28.8,15.00,convex,2.3513,0.7838,0.7838,0.7838
5,5.02,51.25,57.15,2400,31.8,15.40,convex,2.4888,0.8296,0.8296,0.8296
6,6.02,51.80,57.65,2400,18.3,18.00,convex,2.5988,0.8662,0.8663,0.8663
7,7.02,50.15,58.53,2400,28.0,23.18,convex,2.7913,0.9304,0.9305,0.9304
8,8.02,50.15,59.42,2400,14.3,16.37,convex,2.9838,0.9946,0.9946,0.9946
9,9.02,50.15,59.49,2400,19.8,16.47,convex,3.0000,1.0000,1.0000,1.0000
10,10.02,50.70,59.49,2400,28.7,16.19,convex,3.0000,1.0000,1.0000,1.0000
11,11.02,50.70,59.49,2400,19.3,70.53,convex,3.0000,1.0000,1.0000,1.0000
12,12.02,51.25,59.49,2400,31.2,27.98,convex,3.0000,1.0000,1.0000,1.0000
13,13.02,49.60,59.49,2400,22.4,18.00,convex,3.0000,1.0000,1.0000,1.0000
14,14.02,51.25,59.49,2400,31.8,16.54,convex,3.0000,1.0000,1.0000,1.0000
15,15.02,50.70,59.49,2400,20.4,19.45,convex,3.0000,1.0000,1.0000,1.0000
16,16.02,50.70,59.49,2400,30.4,20.95,convex,3.0000,1.0000,1.0000,1.0000
17,17.02,51.25,59.49,2400,33.3,31.72,convex,3.0000,1.0000,1.0000,1.0000
18,18.02,51.80,59.49,2400,30.2,24.80,convex,3.0000,1.0000,1.0000,1.0000
19,19.02,50.70,59.49,2400,33.2,20.60,convex,3.0000,1.0000,1.0000,1.0000
20,20.02,50.70,59.49,2400,24.9,15.00,convex,3.0000,1.0000,1.0000,1.0000
21,21.02,49.60,59.49,2400,13.6,18.14,convex,3.0000,1.0000,1.0000,1.0000
22,22.02,50.70,59.49,2400,32.0,14.98,convex,3.0000,1.0000,1.0000,1.0000
23,23.02,49.60,59.49,2400,22.0,15.01,convex,3.0000,1.0000,1.0000,1.0000
24,24.02,49.60,59.49,2400,21.1,19.81,convex,3.0000,1.0000,1.0000,1.0000
25,25.02,50.70,59.49,2400,23.5,17.26,convex,3.0000,1.0000,1.0000,1.0000
26,26.02,50.15,59.49,2400,29.5,33.94,convex,3.0000,1.0000,1.0000,1.0000
27,27.02,49.60,59.49,2400,26.6,17.62,convex,3.0000,1.0000,1.0000,1.0000
28,28.02,50.15,59.49,2400,21.8,15.01,convex,3.0000,1.0000,1.0000,1.0000
29,29.02,50.15,59.49,2400,21.4,15.12,convex,3.0000,1.0000,1.0000,1.0000
30,30.02,50.70,59.49,2400,30.9,51.05,convex,3.0000,1.0000,1.0000,1.0000
31,31.02,50.70,59.49,2400,39.6,29.18,convex,3.0000,1.0000,1.0000,1.0000
32,32.02,50.70,59.49,2400,34.6,22.58,convex,3.0000,1.0000,1.0000,1.0000
33,33.02,50.70,59.49,2400,29.5,19.85,convex,3.0000,1.0000,1.0000,1.0000
34,34.02,50.70,59.49,2400,26.4,20.63,convex,3.0000,1.0000,1.0000,1.0000
35,35.02,50.15,59.49,2400,23.3,19.28,convex,3.0000,1.0000,1.0000,1.0000
36,36.02,50.15,59.49,2400,25.7,16.57,convex,3.0000,1.0000,1.0000,1.0000
37,37.02,50.15,59.49,2400,23.1,19.83,convex,3.0000,1.0000,1.0000,1.0000
38,38.02,50.15,59.49,2400,32.5,16.35,convex,3.0000,1.0000,1.0000,1.0000
39,39.02,50.70,59.49,2400,23.6,17.77,convex,3.0000,1.0000,1.0000,1.0000
40,40.02,50.70,59.49,2400,35.6,19.73,convex,3.0000,1.0000,1.0000,1.0000
41,41.02,50.15,59.49,2400,29.3,14.96,convex,3.0000,1.0000,1.0000,1.0000
42,42.02,49.60,59.49,2400,24.3,17.30,convex,3.0000,1.0000,1.0000,1.0000
43,43.02,50.70,59.49,2400,39.8,16.54,convex,3.0000,1.0000,1.0000,1.0000
44,44.02,50.70,59.49,2400,34.2,16.65,convex,3.0000,1.0000,1.0000,1.0000
45,45.02,50.15,59.49,2400,21.1,14.92,convex,3.0000,1.0000,1.0000,1.0000
46,46.02,50.70,59.49,2400,26.9,14.94,convex,3.0000,1.0000,1.0000,1.0000
47,47.02,50.70,59.49,2400,23.8,14.99,convex,3.0000,1.0000,1.0000,1.0000
48,48.02,50.15,59.49,2400,34.7,14.93,convex,3.0000,1.0000,1.0000,1.0000
49,49.02,49.60,59.49,2400,18.0,26.41,convex,3.0000,1.0000,1.0000,1.0000
50,50.02,49.60,59.49,2400,25.9,17.53,convex,3.0000,1.0000,1.0000,1.0000
51,51.02,49.05,59.49,2400,21.6,15.01,convex,3.0000,1.0000,1.0000,1.0000
52,52.02,49.05,59.49,2400,20.6,29.84,convex,3.0000,1.0000,1.0000,1.0000
53,53.02,50.70,59.49,2400,21.6,15.89,convex,3.0000,1.0000,1.0000,1.0000
54,54.02,50.70,59.49,2400,30.2,30.78,convex,3.0000,1.0000,1.0000,1.0000
55,55.02,50.70,59.49,2400,33.0,51.59,convex,3.0000,1.0000,1.0000,1.0000
56,56.02,49.60,59.49,2400,25.1,16.27,convex,3.0000,1.0000,1.0000,1.0000
57,57.03,49.60,59.49,2400,22.9,15.52,convex,3.0000,1.0000,1.0000,1.0000
58,58.03,50.15,59.49,2400,41.4,24.29,convex,3.0000,1.0000,1.0000,1.0000
59,59.03,49.60,59.49,2400,27.6,16.74,convex,3.0000,1.0000,1.0000,1.0000
60,60.03,49.60,59.49,2400,31.9,16.54,convex,3.0000,1.0000,1.0000,1.0000
61,61.03,49.05,59.49,2400,24.3,14.99,convex,3.0000,1.0000,1.0000,1.0000
62,62.03,50.15,59.49,2400,29.4,16.51,convex,3.0000,1.0000,1.0000,1.0000
63,63.03,49.05,59.49,2400,27.7,16.67,convex,3.0000,1.0000,1.0000,1.0000
64,64.03,50.15,59.49,2400,28.7,16.35,convex,3.0000,1.0000,1.0000,1.0000
65,65.03,50.15,59.49,2400,28.6,15.13,convex,3.0000,1.0000,1.0000,1.0000
66,66.03,49.05,59.49,2400,13.1,14.97,convex,3.0000,1.0000,1.0000,1.0000
67,67.03,49.05,59.49,2400,21.1,16.36,convex,3.0000,1.0000,1.0000,1.0000
68,68.03,49.60,59.49,2400,27.6,28.05,convex,3.0000,1.0000,1.0000,1.0000
69,69.03,49.60,59.49,2400,29.8,21.98,convex,3.0000,1.0000,1.0000,1.0000
70,70.03,50.15,59.49,2400,27.3,18.14,convex,3.0000,1.0000,1.0000,1.0000
