step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,48.50,54.00,2400,0.0,0.13,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,46.30,54.88,2400,15.0,0.05,matched,1.9938,0.6646,0.6646,0.6646
2,2.00,47.95,55.51,2400,31.0,0.05,matched,2.1313,0.7104,0.7104,0.7104
3,3.00,48.50,56.27,2400,22.4,0.05,matched,2.2963,0.7654,0.7654,0.7654
4,4.00,49.60,56.52,2400,29.4,0.06,matched,2.3513,0.7838,0.7838,0.7838
5,5.00,48.50,57.15,2400,32.5,0.09,matched,2.4888,0.8296,0.8296,0.8296
6,6.00,48.50,57.65,2400,18.0,0.05,matched,2.5988,0.8663,0.8663,0.8663
7,7.00,48.50,58.53,2400,27.8,0.08,matched,2.7913,0.9304,0.9304,0.9304
8,8.00,47.40,59.42,2400,14.5,0.06,matched,2.9838,0.9946,0.9946,0.9946
9,9.00,47.95,59.49,2400,19.5,0.05,matched,3.0000,1.0000,1.0000,1.0000
10,10.00,48.50,59.49,2400,28.1,0.05,matched,3.0000,1.0000,1.0000,1.0000
11,11.00,47.95,59.49,2400,18.8,0.08,matched,3.0000,1.0000,1.0000,1.0000
12,12.00,49.05,59.49,2400,28.3,0.09,matched,3.0000,1.0000,1.0000,1.0000
13,13.00,47.95,59.49,2400,23.0,0.04,matched,3.0000,1.0000,1.0000,1.0000
14,14.00,47.95,59.49,2400,31.5,0.10,matched,3.0000,1.0000,1.0000,1.0000
15,15.00,47.95,59.49,2400,20.4,0.04,matched,3.0000,1.0000,1.0000,1.0000
16,16.00,48.50,59.49,2400,30.0,0.09,matched,3.0000,1.0000,1.0000,1.0000
17,17.00,49.05,59.49,2400,32.6,0.08,matched,3.0000,1.0000,1.0000,1.0000
18,18.00,49.05,59.49,2400,29.0,0.08,matched,3.0000,1.0000,1.0000,1.0000
19,19.00,49.05,59.49,2400,31.0,0.05,matched,3.0000,1.0000,1.0000,1.0000
20,20.00,48.50,59.49,2400,23.6,0.06,matched,3.0000,1.0000,1.0000,1.0000
21,21.00,47.40,59.49,2400,13.5,0.06,matched,3.0000,1.0000,1.0000,1.0000
22,22.00,47.95,59.49,2400,30.6,0.04,matched,3.0000,1.0000,1.0000,1.0000
23,23.00,47.95,59.49,2400,19.8,0.07,matched,3.0000,1.0000,1.0000,1.0000
24,24.00,49.05,59.49,2400,21.5,0.08,matched,3.0000,1.0000,1.0000,1.0000
