step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,55.10,54.00,2400,100.0,0.01,admission,1.8013,0.6004,0.6004,0.6004
1,1.00,53.45,54.13,2400,36.5,0.09,admission,1.8288,0.6096,0.6096,0.6096
2,2.00,54.00,54.13,2400,40.6,0.07,admission,1.8288,0.6096,0.6096,0.6096
3,3.00,54.00,54.13,2400,48.3,0.07,admission,1.8288,0.6096,0.6096,0.6096
4,4.00,54.55,54.00,2400,46.6,0.06,admission,1.8013,0.6004,0.6004,0.6004
5,5.00,54.55,53.87,2400,44.9,0.06,admission,1.7738,0.5913,0.5913,0.5913
6,6.00,54.55,53.75,2400,45.0,0.09,admission,1.7463,0.5821,0.5821,0.5821
7,7.00,55.10,53.50,2400,44.8,0.07,admission,1.6913,0.5638,0.5638,0.5638
8,8.00,54.55,53.37,2400,41.9,0.07,admission,1.6638,0.5546,0.5546,0.5546
9,9.00,54.00,53.37,2400,44.0,0.07,admission,1.6638,0.5546,0.5546,0.5546
10,10.00,54.55,53.24,2400,44.2,0.12,admission,1.6363,0.5454,0.5454,0.5454
11,11.00,54.55,53.12,2400,43.6,0.05,admission,1.6088,0.5363,0.5363,0.5363
12,12.00,54.00,53.12,2400,42.8,0.07,admission,1.6088,0.5363,0.5363,0.5363
13,13.00,54.55,52.99,2400,42.6,0.06,admission,1.5813,0.5271,0.5271,0.5271
14,14.00,54.00,52.99,2400,42.1,0.06,admission,1.5813,0.5271,0.5271,0.5271
15,15.00,54.00,52.99,2400,42.0,0.06,admission,1.5813,0.5271,0.5271,0.5271
16,16.00,54.00,52.99,2400,42.0,0.05,admission,1.5813,0.5271,0.5271,0.5271
17,17.00,54.00,52.99,2400,42.3,0.06,admission,1.5813,0.5271,0.5271,0.5271
18,18.00,52.90,53.24,2400,42.2,0.13,admission,1.6363,0.5454,0.5454,0.5454
19,19.00,54.00,53.24,2400,43.6,0.05,admission,1.6363,0.5454,0.5454,0.5454
20,20.00,54.00,53.24,2400,43.5,0.06,admission,1.6363,0.5454,0.5454,0.5454
21,21.00,54.55,53.12,2400,43.5,0.06,admission,1.6088,0.5363,0.5363,0.5363
22,22.00,54.00,53.12,2400,43.1,0.08,admission,1.6088,0.5363,0.5363,0.5363
23,23.00,54.55,52.99,2400,42.9,0.08,admission,1.5813,0.5271,0.5271,0.5271
24,24.00,54.00,52.99,2400,42.2,0.06,admission,1.5813,0.5271,0.5271,0.5271
25,25.00,52.90,53.24,2400,42.3,0.06,admission,1.6363,0.5454,0.5454,0.5454
26,26.00,54.55,53.12,2400,43.8,0.05,admission,1.6088,0.5363,0.5363,0.5363
27,27.00,54.55,52.99,2400,42.9,0.05,admission,1.5813,0.5271,0.5271,0.5271
28,28.00,54.55,52.87,2400,42.2,0.09,admission,1.5538,0.5179,0.5179,0.5179
29,29.00,54.00,52.87,2400,41.5,0.13,admission,1.5538,0.5179,0.5179,0.5179
30,30.00,54.00,52.87,2400,41.5,0.08,admission,1.5538,0.5179,0.5179,0.5179
31,31.00,54.00,52.87,2400,41.4,0.05,admission,1.5538,0.5179,0.5179,0.5179
32,32.00,54.55,52.74,2400,41.6,0.06,admission,1.5263,0.5088,0.5088,0.5088
33,33.00,53.45,52.87,2400,40.9,0.05,admission,1.5538,0.5179,0.5179,0.5179
34,34.00,54.00,52.87,2400,41.5,0.05,admission,1.5538,0.5179,0.5179,0.5179
35,35.00,53.45,52.99,2400,41.5,0.05,admission,1.5813,0.5271,0.5271,0.5271
36,36.00,54.55,52.87,2400,42.2,0.13,admission,1.5538,0.5179,0.5179,0.5179
37,37.00,54.00,52.87,2400,41.5,0.07,admission,1.5538,0.5179,0.5179,0.5179
38,38.00,54.00,52.87,2400,41.5,0.05,admission,1.5538,0.5179,0.5179,0.5179
39,39.00,54.00,52.87,2400,41.6,0.06,admission,1.5538,0.5179,0.5179,0.5179
40,40.00,54.55,52.74,2400,41.4,0.06,admission,1.5263,0.5088,0.5088,0.5088
41,41.00,55.10,52.49,2400,40.9,0.06,admission,1.4713,0.4904,0.4904,0.4904
42,42.00,53.45,52.61,2400,39.4,0.06,admission,1.4988,0.4996,0.4996,0.4996
43,43.00,54.00,52.61,2400,40.1,0.06,admission,1.4988,0.4996,0.4996,0.4996
44,44.00,54.00,52.61,2400,39.9,0.06,admission,1.4988,0.4996,0.4996,0.4996
45,45.01,54.00,52.61,2400,40.3,0.05,admission,1.4988,0.4996,0.4996,0.4996
