step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,51.80,54.00,2400,100.0,2760.05,convex,1.8013,0.6004,0.6004,0.6004
1,2.76,51.80,54.50,2400,96.0,68.02,convex,1.9113,0.6371,0.6371,0.6371
2,3.76,51.25,55.13,2400,50.6,20.69,convex,2.0488,0.6829,0.6829,0.6829
3,4.76,50.70,55.89,2400,51.5,22.24,convex,2.2138,0.7379,0.7379,0.7379
4,5.76,50.15,56.77,2400,50.6,35.48,convex,2.4063,0.8021,0.8021,0.8021
5,6.76,51.25,57.40,2400,52.5,28.92,convex,2.5438,0.8479,0.8479,0.8479
6,7.76,51.25,58.03,2400,60.5,45.58,convex,2.6813,0.8938,0.8938,0.8938
7,8.76,51.80,58.53,2400,60.9,21.72,convex,2.7913,0.9304,0.9305,0.9304
8,9.76,51.25,59.16,2400,54.4,16.99,convex,2.9288,0.9763,0.9763,0.9763
9,10.76,50.15,59.49,2400,53.2,33.68,convex,3.0000,1.0000,1.0000,1.0000
10,11.76,51.80,59.49,2400,65.0,33.81,convex,3.0000,1.0000,1.0000,1.0000
11,12.76,50.70,59.49,2400,57.1,124.90,convex,3.0000,1.0000,1.0000,1.0000
12,13.76,51.80,59.49,2400,70.9,29.86,convex,3.0000,1.0000,1.0000,1.0000
13,14.77,51.80,59.49,2400,53.8,24.40,convex,3.0000,1.0000,1.0000,1.0000
14,15.77,51.80,59.49,2400,47.2,55.11,convex,3.0000,1.0000,1.0000,1.0000
15,16.77,51.80,59.49,2400,64.0,16.63,convex,3.0000,1.0000,1.0000,1.0000
16,17.77,51.80,59.49,2400,51.7,71.83,convex,3.0000,1.0000,1.0000,1.0000
17,18.77,51.25,59.49,2400,52.1,30.53,convex,3.0000,1.0000,1.0000,1.0000
18,19.77,51.80,59.49,2400,63.5,32.34,convex,3.0000,1.0000,1.0000,1.0000
19,20.77,52.35,59.49,2400,75.4,71.03,convex,3.0000,1.0000,1.0000,1.0000
20,21.77,52.35,59.49,2400,76.8,37.13,convex,3.0000,1.0000,1.0000,1.0000
21,22.77,51.25,59.49,2400,56.0,39.10,convex,3.0000,1.0000,1.0000,1.0000
22,23.77,51.25,59.49,2400,51.8,19.11,convex,3.0000,1.0000,1.0000,1.0000
23,24.77,51.25,59.49,2400,55.9,73.42,convex,3.0000,1.0000,1.0000,1.0000
24,25.77,52.35,59.49,2400,56.6,37.20,convex,3.0000,1.0000,1.0000,1.0000
25,26.77,50.70,59.49,2400,52.6,25.35,convex,3.0000,1.0000,1.0000,1.0000
26,27.77,50.70,59.49,2400,39.3,25.76,convex,3.0000,1.0000,1.0000,1.0000
27,28.77,50.70,59.49,2400,37.5,16.23,convex,3.0000,1.0000,1.0000,1.0000
28,29.77,51.80,59.49,2400,57.1,64.02,convex,3.0000,1.0000,1.0000,1.0000
29,30.77,50.15,59.49,2400,39.1,28.36,convex,3.0000,1.0000,1.0000,1.0000
30,31.77,50.70,59.49,2400,34.2,36.11,convex,3.0000,1.0000,1.0000,1.0000
31,32.77,51.80,59.49,2400,53.9,72.09,convex,3.0000,1.0000,1.0000,1.0000
32,33.77,51.80,59.49,2400,76.2,39.56,convex,3.0000,1.0000,1.0000,1.0000
33,34.77,51.80,59.49,2400,67.5,34.84,convex,3.0000,1.0000,1.0000,1.0000
34,35.77,52.35,59.49,2400,67.7,36.40,convex,3.0000,1.0000,1.0000,1.0000
35,36.77,52.90,59.49,2400,71.6,33.57,convex,3.0000,1.0000,1.0000,1.0000
36,37.77,51.80,59.49,2400,72.7,45.77,convex,3.0000,1.0000,1.0000,1.0000
37,38.77,51.80,59.49,2400,57.6,19.19,convex,3.0000,1.0000,1.0000,1.0000
38,39.77,51.80,59.49,2400,41.1,30.72,convex,3.0000,1.0000,1.0000,1.0000
