step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,52.35,54.00,2400,100.0,0.25,matched,1.8013,0.6004,0.6004,0.6004
1,1.00,52.35,54.38,2400,35.0,0.09,matched,1.8838,0.6279,0.6279,0.6279
2,2.00,51.80,54.38,2400,40.7,0.06,matched,1.8838,0.6279,0.6279,0.6279
3,3.00,52.90,54.63,2400,49.4,0.20,matched,1.9388,0.6463,0.6463,0.6463
4,4.00,52.90,54.88,2400,49.4,0.06,matched,1.9938,0.6646,0.6646,0.6646
5,5.00,52.90,55.13,2400,50.7,0.27,matched,2.0488,0.6829,0.6829,0.6829
6,6.00,52.90,55.39,2400,48.0,0.09,matched,2.1038,0.7013,0.7013,0.7013
7,7.00,52.35,55.64,2400,51.2,0.15,matched,2.1588,0.7196,0.7196,0.7196
8,8.00,54.00,55.89,2400,54.4,0.19,matched,2.2138,0.7379,0.7379,0.7379
9,9.00,53.45,56.14,2400,58.0,0.08,matched,2.2688,0.7563,0.7563,0.7563
10,10.00,53.45,56.27,2400,55.4,0.27,matched,2.2963,0.7654,0.7654,0.7654
11,11.00,52.90,56.39,2400,56.3,0.13,matched,2.3238,0.7746,0.7746,0.7746
12,12.00,54.00,56.39,2400,60.4,0.35,matched,2.3238,0.7746,0.7746,0.7746
13,13.00,54.00,56.64,2400,60.6,0.07,matched,2.3788,0.7929,0.7929,0.7929
14,14.00,53.45,56.64,2400,55.3,0.25,matched,2.3788,0.7929,0.7929,0.7929
15,15.00,54.00,56.52,2400,58.6,0.06,matched,2.3513,0.7838,0.7838,0.7838
16,16.00,54.00,56.52,2400,60.6,0.11,matched,2.3513,0.7838,0.7838,0.7838
17,17.00,53.45,56.52,2400,58.4,0.08,matched,2.3513,0.7838,0.7838,0.7838
18,18.00,54.55,56.39,2400,59.5,0.14,matched,2.3238,0.7746,0.7746,0.7746
19,19.00,54.00,56.52,2400,53.3,0.08,matched,2.3513,0.7838,0.7838,0.7838
20,20.00,53.45,56.64,2400,48.9,0.17,matched,2.3788,0.7929,0.7929,0.7929
21,21.00,53.45,56.77,2400,51.0,0.07,matched,2.4063,0.8021,0.8021,0.8021
22,22.00,52.90,56.77,2400,55.1,0.06,matched,2.4063,0.8021,0.8021,0.8021
23,23.00,54.55,56.77,2400,57.3,0.08,matched,2.4063,0.8021,0.8021,0.8021
24,24.00,54.00,56.90,2400,58.1,0.14,matched,2.4338,0.8113,0.8113,0.8113
25,25.00,53.45,56.77,2400,61.1,0.07,matched,2.4063,0.8021,0.8021,0.8021
26,26.00,54.55,56.77,2400,54.8,0.22,matched,2.4063,0.8021,0.8021,0.8021
27,27.00,54.00,56.77,2400,60.0,0.09,matched,2.4063,0.8021,0.8021,0.8021
28,28.00,54.55,56.64,2400,53.1,0.07,matched,2.3788,0.7929,0.7929,0.7929
29,29.00,54.00,56.77,2400,51.1,0.08,matched,2.4063,0.8021,0.8021,0.8021
30,30.00,54.00,56.77,2400,59.3,0.08,matched,2.4063,0.8021,0.8021,0.8021
31,31.00,54.00,56.90,2400,60.5,0.16,matched,2.4338,0.8113,0.8113,0.8113
32,32.00,55.10,56.77,2400,60.0,0.07,matched,2.4063,0.8021,0.8021,0.8021
33,33.00,51.80,56.77,2400,46.3,0.05,matched,2.4063,0.8021,0.8021,0.8021
34,34.00,52.90,57.02,2400,51.0,0.09,matched,2.4613,0.8204,0.8204,0.8204
35,35.01,54.55,57.15,2400,52.7,0.07,matched,2.4888,0.8296,0.8296,0.8296
36,36.01,54.00,57.02,2400,52.9,0.10,matched,2.4613,0.8204,0.8204,0.8204
37,37.01,53.45,57.15,2400,54.8,0.06,matched,2.4888,0.8296,0.8296,0.8296
38,38.01,54.00,57.40,2400,51.6,0.18,matched,2.5438,0.8479,0.8479,0.8479
39,39.01,54.55,57.27,2400,56.0,0.32,matched,2.5163,0.8388,0.8388,0.8388
40,40.01,53.45,57.40,2400,56.7,0.05,matched,2.5438,0.8479,0.8479,0.8479
41,41.01,53.45,57.40,2400,44.6,0.09,matched,2.5438,0.8479,0.8479,0.8479
42,42.01,54.00,57.53,2400,47.6,0.13,matched,2.5713,0.8571,0.8571,0.8571
43,43.01,53.45,57.53,2400,48.9,0.05,matched,2.5713,0.8571,0.8571,0.8571
