step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,54.00,2400,100.0,3084.62,convex,1.8013,0.6004,0.6004,0.6004
1,3.09,55.10,53.75,2400,100.0,63.94,convex,1.7463,0.5821,0.5821,0.5821
2,4.09,54.55,53.62,2400,50.0,34.75,convex,1.7188,0.5729,0.5729,0.5729
3,5.09,55.10,53.37,2400,47.3,37.40,convex,1.6638,0.5546,0.5546,0.5546
4,6.09,54.00,53.37,2400,46.4,36.96,convex,1.6638,0.5546,0.5546,0.5546
5,7.09,54.00,53.37,2400,46.1,38.75,convex,1.6638,0.5546,0.5546,0.5546
6,8.09,54.00,53.37,2400,46.2,37.24,convex,1.6638,0.5546,0.5546,0.5546
7,9.09,54.00,53.37,2400,46.1,35.25,convex,1.6638,0.5546,0.5546,0.5546
8,10.09,54.00,53.37,2400,46.2,37.00,convex,1.6638,0.5546,0.5546,0.5546
9,11.09,54.55,53.24,2400,46.2,32.60,convex,1.6363,0.5454,0.5454,0.5454
10,12.09,54.55,53.12,2400,45.5,25.02,convex,1.6088,0.5363,0.5363,0.5363
11,13.09,52.90,53.37,2400,44.3,87.39,convex,1.6638,0.5546,0.5546,0.5546
12,14.09,54.00,53.37,2400,46.2,32.87,convex,1.6638,0.5546,0.5546,0.5546
13,15.09,53.45,53.50,2400,45.9,34.31,convex,1.6913,0.5637,0.5638,0.5638
14,16.09,54.00,53.50,2400,46.6,32.27,convex,1.6913,0.5637,0.5638,0.5638
15,17.09,54.00,53.50,2400,46.7,34.91,convex,1.6913,0.5637,0.5638,0.5638
16,18.09,54.55,53.37,2400,46.7,34.38,convex,1.6638,0.5546,0.5546,0.5546
17,19.09,54.00,53.37,2400,46.2,31.64,convex,1.6638,0.5546,0.5546,0.5546
18,20.09,54.55,53.24,2400,46.1,30.39,convex,1.6363,0.5455,0.5454,0.5454
19,21.09,54.55,53.12,2400,45.5,31.60,convex,1.6088,0.5363,0.5363,0.5363
20,22.09,54.00,53.12,2400,44.7,25.40,convex,1.6088,0.5363,0.5363,0.5363
21,23.09,54.55,52.99,2400,44.6,31.42,convex,1.5813,0.5271,0.5271,0.5271
22,24.09,55.10,52.74,2400,44.1,28.23,convex,1.5263,0.5088,0.5088,0.5088
23,25.09,54.00,52.74,2400,42.5,30.80,convex,1.5263,0.5088,0.5088,0.5088
24,26.09,53.45,52.87,2400,42.9,28.33,convex,1.5538,0.5179,0.5180,0.5179
25,27.09,54.00,52.87,2400,43.2,30.31,convex,1.5538,0.5179,0.5180,0.5179
26,28.09,54.55,52.74,2400,43.1,26.81,convex,1.5263,0.5088,0.5088,0.5088
27,29.09,54.00,52.74,2400,42.6,30.05,convex,1.5263,0.5088,0.5088,0.5088
28,30.09,54.55,52.61,2400,42.8,28.03,convex,1.4988,0.4996,0.4996,0.4996
29,31.09,52.90,52.87,2400,41.9,26.46,convex,1.5538,0.5179,0.5179,0.5179
30,32.09,54.55,52.74,2400,43.2,30.68,convex,1.5263,0.5088,0.5088,0.5088
31,33.10,54.00,52.74,2400,42.8,29.32,convex,1.5263,0.5088,0.5088,0.5088
32,34.10,54.55,52.61,2400,42.6,25.63,convex,1.4988,0.4996,0.4996,0.4996
33,35.10,54.55,52.49,2400,41.7,27.94,convex,1.4713,0.4904,0.4904,0.4904
34,36.10,54.55,52.36,2400,41.1,26.57,convex,1.4438,0.4813,0.4813,0.4813
35,37.10,55.10,52.11,2400,40.8,28.23,convex,1.3888,0.4629,0.4629,0.4629
36,38.10,54.00,52.11,2400,39.3,25.86,convex,1.3888,0.4629,0.4629,0.4629
37,39.10,54.55,51.98,2400,39.1,24.62,convex,1.3613,0.4538,0.4538,0.4538
38,40.10,53.45,52.11,2400,38.4,26.54,convex,1.3888,0.4629,0.4629,0.4629
39,41.10,54.00,52.11,2400,39.1,23.13,convex,1.3888,0.4629,0.4629,0.4629
40,42.10,54.00,52.11,2400,39.2,25.19,convex,1.3888,0.4629,0.4629,0.4629
41,43.10,53.45,52.24,2400,39.2,21.71,convex,1.4163,0.4721,0.4721,0.4721
42,44.10,54.00,52.24,2400,39.7,26.12,convex,1.4163,0.4721,0.4721,0.4721
43,45.10,53.45,52.36,2400,39.6,29.38,convex,1.4438,0.4813,0.4813,0.4813
44,46.10,53.45,52.49,2400,40.3,26.85,convex,1.4713,0.4904,0.4904,0.4905
45,47.10,54.00,52.49,2400,41.4,28.10,convex,1.4713,0.4904,0.4904,0.4905
46,48.10,54.55,52.36,2400,41.0,29.18,convex,1.4438,0.4813,0.4813,0.4813
47,49.10,54.55,52.24,2400,40.5,26.89,convex,1.4163,0.4721,0.4721,0.4721
48,50.10,54.00,52.24,2400,40.0,23.90,convex,1.4163,0.4721,0.4721,0.4721
49,51.10,54.55,52.11,2400,39.8,26.88,convex,1.3888,0.4629,0.4629,0.4629
50,52.10,53.45,52.24,2400,39.3,25.62,convex,1.4163,0.4721,0.4721,0.4721
51,53.10,54.00,52.24,2400,39.7,26.20,convex,1.4163,0.4721,0.4721,0.4721
52,54.10,54.00,52.24,2400,39.9,24.51,convex,1.4163,0.4721,0.4721,0.4721
53,55.10,54.00,52.24,2400,39.8,26.12,convex,1.4163,0.4721,0.4721,0.4721
54,56.10,54.00,52.24,2400,39.8,28.20,convex,1.4163,0.4721,0.4721,0.4721
55,57.10,54.55,52.11,2400,40.0,26.83,convex,1.3888,0.4629,0.4629,0.4629
56,58.10,54.00,52.11,2400,39.2,22.87,convex,1.3888,0.4629,0.4629,0.4629
57,59.10,53.45,52.24,2400,39.1,25.48,convex,1.4163,0.4721,0.4721,0.4721
58,60.10,52.90,52.49,2400,39.8,26.25,convex,1.4713,0.4904,0.4904,0.4904
59,61.10,52.90,52.74,2400,41.0,28.26,convex,1.5263,0.5088,0.5088,0.5088
60,62.10,54.00,52.74,2400,42.5,28.41,convex,1.5263,0.5088,0.5088,0.5088
61,63.10,55.10,52.49,2400,42.4,26.98,convex,1.4713,0.4904,0.4904,0.4904
62,64.10,53.45,52.61,2400,41.4,26.26,convex,1.4988,0.4996,0.4996,0.4996
63,65.10,54.00,52.61,2400,41.5,24.64,convex,1.4988,0.4996,0.4996,0.4996
64,66.10,54.00,52.61,2400,42.3,26.34,convex,1.4988,0.4996,0.4996,0.4996
65,67.10,54.00,52.61,2400,41.8,24.10,convex,1.4988,0.4996,0.4996,0.4996
66,68.10,53.45,52.74,2400,41.7,25.21,convex,1.5263,0.5088,0.5088,0.5088
67,69.10,54.00,52.74,2400,42.6,27.02,convex,1.5263,0.5088,0.5088,0.5088
68,70.10,55.10,52.49,2400,42.6,28.97,convex,1.4713,0.4904,0.4904,0.4905
69,71.10,54.55,52.36,2400,41.1,28.46,convex,1.4438,0.4813,0.4813,0.4813
70,72.10,54.55,52.24,2400,40.5,21.88,convex,1.4163,0.4721,0.4721,0.4721
71,73.10,54.00,52.24,2400,39.9,26.10,convex,1.4163,0.4721,0.4721,0.4721
72,74.10,54.00,52.24,2400,39.7,26.32,convex,1.4163,0.4721,0.4721,0.4721
73,75.10,53.45,52.36,2400,39.8,25.93,convex,1.4438,0.4813,0.4813,0.4813
74,76.10,54.55,52.24,2400,40.4,25.95,convex,1.4163,0.4721,0.4721,0.4721
75,77.10,54.00,52.24,2400,39.7,24.51,convex,1.4163,0.4721,0.4721,0.4721
76,78.10,54.55,52.11,2400,39.9,23.50,convex,1.3888,0.4629,0.4629,0.4629
77,79.10,54.55,51.98,2400,38.9,24.18,convex,1.3613,0.4538,0.4538,0.4538
78,80.10,54.00,51.98,2400,38.3,21.92,convex,1.3613,0.4538,0.4538,0.4538
79,81.10,54.55,51.86,2400,38.2,24.55,convex,1.3338,0.4446,0.4446,0.4446
80,82.10,54.00,51.86,2400,37.7,23.18,convex,1.3338,0.4446,0.4446,0.4446
81,83.10,53.45,51.98,2400,37.7,22.41,convex,1.3613,0.4538,0.4538,0.4538
82,84.10,54.00,51.98,2400,38.3,20.63,convex,1.3613,0.4538,0.4538,0.4538
83,85.10,53.45,52.11,2400,38.4,22.60,convex,1.3888,0.4629,0.4629,0.4629
84,86.10,54.00,52.11,2400,38.9,23.46,convex,1.3888,0.4629,0.4629,0.4629
85,87.10,53.45,52.24,2400,39.1,22.91,convex,1.4163,0.4721,0.4721,0.4721
86,88.10,52.90,52.49,2400,39.7,22.24,convex,1.4713,0.4904,0.4904,0.4904
87,89.10,54.55,52.36,2400,40.9,21.17,convex,1.4438,0.4813,0.4813,0.4813
88,90.10,55.10,52.11,2400,40.4,25.24,convex,1.3888,0.4629,0.4629,0.4629
89,91.10,54.00,52.11,2400,39.0,23.42,convex,1.3888,0.4629,0.4629,0.4629
90,92.10,54.00,52.11,2400,39.1,19.98,convex,1.3888,0.4629,0.4629,0.4629
91,93.10,52.90,52.36,2400,39.1,25.27,convex,1.4438,0.4813,0.4813,0.4813
92,94.10,54.55,52.24,2400,40.3,23.25,convex,1.4163,0.4721,0.4721,0.4721
93,95.10,53.45,52.36,2400,39.7,26.11,convex,1.4438,0.4813,0.4813,0.4813
94,96.10,54.00,52.36,2400,40.5,21.63,convex,1.4438,0.4813,0.4813,0.4813
95,97.10,54.00,52.36,2400,40.3,78.11,convex,1.4438,0.4813,0.4813,0.4813
96,98.10,54.00,52.36,2400,40.8,24.07,convex,1.4438,0.4813,0.4813,0.4813
97,99.10,54.55,52.24,2400,40.3,22.84,convex,1.4163,0.4721,0.4721,0.4721
98,100.10,54.00,52.24,2400,43.1,22.07,convex,1.4163,0.4721,0.4721,0.4721
