step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,49.05,54.00,2400,0.0,4452.38,convex,1.8013,0.5974,0.6028,0.6012
1,4.46,51.25,54.63,2400,91.5,59.31,convex,1.9388,0.6432,0.6486,0.6470
2,5.46,50.70,55.39,2400,56.4,15.57,convex,2.1038,0.6982,0.7037,0.7020
3,6.46,50.70,56.14,2400,55.8,15.45,convex,2.2688,0.7583,0.7561,0.7544
4,7.46,51.25,56.77,2400,60.0,15.45,convex,2.4063,0.8042,0.8019,0.8002
5,8.46,51.25,57.40,2400,63.2,17.13,convex,2.5438,0.8501,0.8477,0.8460
6,9.46,51.25,58.03,2400,66.6,19.85,convex,2.6813,0.8877,0.8976,0.8959
7,10.46,51.80,58.53,2400,70.2,23.15,convex,2.7913,0.9246,0.9343,0.9325
8,11.46,52.35,58.91,2400,72.9,32.61,convex,2.8738,0.9520,0.9617,0.9601
9,12.46,52.35,59.29,2400,75.5,39.94,convex,2.9563,0.9795,0.9892,0.9875
10,13.46,52.90,59.49,2400,77.4,52.85,convex,3.0000,1.0000,1.0000,1.0000
11,14.46,53.45,59.49,2400,78.3,179.79,convex,3.0000,1.0000,1.0000,1.0000
12,15.46,52.90,59.49,2400,81.2,64.27,convex,3.0000,1.0000,1.0000,1.0000
13,16.46,52.90,59.49,2400,78.9,64.06,convex,3.0000,1.0000,1.0000,1.0000
14,17.46,53.45,59.49,2400,78.7,70.44,convex,3.0000,1.0000,1.0000,1.0000
15,18.46,52.35,59.49,2400,78.7,63.59,convex,3.0000,1.0000,1.0000,1.0000
16,19.46,53.45,59.49,2400,79.2,67.75,convex,3.0000,1.0000,1.0000,1.0000
17,20.46,53.45,59.49,2400,78.6,64.92,convex,3.0000,1.0000,1.0000,1.0000
18,21.46,53.45,59.49,2400,78.9,59.85,convex,3.0000,1.0000,1.0000,1.0000
19,22.46,53.45,59.49,2400,78.7,71.13,convex,3.0000,1.0000,1.0000,1.0000
20,23.46,53.45,59.49,2400,78.7,62.98,convex,3.0000,1.0000,1.0000,1.0000
21,24.46,52.90,59.49,2400,78.9,64.28,convex,3.0000,1.0000,1.0000,1.0000
