t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.101,t0_mnv2,56.995,54.491,3,1
0.147,t0_mnv2,69.341,46.546,5,1
0.198,t0_mnv2,99.449,50.551,4,1
0.248,t0_mnv2,148.746,50.038,4,1
0.300,t0_mnv2,176.848,51.908,5,1
0.348,t0_mnv2,217.825,48.067,5,1
0.408,t0_mnv2,264.187,60.236,6,1
0.468,t0_mnv2,259.498,59.300,6,1
0.516,t0_mnv2,263.883,48.179,6,1
0.569,t0_mnv2,295.155,53.182,6,1
0.618,t0_mnv2,274.449,48.758,5,1
0.665,t0_mnv2,306.165,47.589,6,1
0.713,t0_mnv2,327.074,47.094,8,1
0.758,t0_mnv2,300.767,45.677,7,1
0.805,t0_mnv2,297.992,46.915,6,1
0.854,t0_mnv2,314.267,49.176,6,1
0.903,t0_mnv2,269.419,48.464,7,1
0.949,t0_mnv2,287.875,46.470,8,1
0.997,t0_mnv2,315.556,47.680,9,1
1.041,t0_mnv2,351.928,44.263,9,1
1.089,t0_mnv2,386.994,47.461,13,1
1.147,t0_mnv2,324.585,58.172,14,1
1.206,t0_mnv2,333.353,58.546,15,1
1.271,t0_mnv2,387.239,64.776,14,1
1.334,t0_mnv2,405.289,63.706,14,1
1.392,t0_mnv2,461.946,57.351,14,1
1.441,t0_mnv2,467.119,49.774,16,1
1.490,t0_mnv2,511.277,48.560,15,1
1.551,t0_mnv2,542.361,60.946,16,1
1.609,t0_mnv2,557.935,57.884,18,1
1.667,t0_mnv2,614.442,57.599,18,1
1.727,t0_mnv2,669.462,60.579,21,1
1.790,t0_mnv2,728.897,63.142,23,1
1.848,t0_mnv2,772.096,57.808,22,1
1.908,t0_mnv2,782.447,59.625,22,1
1.966,t0_mnv2,820.952,58.316,24,1
2.027,t0_mnv2,849.645,60.296,27,1
2.085,t0_mnv2,892.504,58.642,27,1
2.145,t0_mnv2,860.343,59.768,29,1
2.205,t0_mnv2,817.579,59.901,28,1
2.270,t0_mnv2,859.782,64.973,28,1
2.333,t0_mnv2,908.563,63.272,27,1
2.390,t0_mnv2,959.044,56.734,29,1
2.449,t0_mnv2,953.820,59.160,28,1
2.512,t0_mnv2,990.468,62.243,30,1
2.569,t0_mnv2,1004.504,57.236,30,1
2.627,t0_mnv2,1050.024,58.461,29,1
2.689,t0_mnv2,1092.651,61.532,28,1
2.752,t0_mnv2,1105.246,62.583,29,1
2.807,t0_mnv2,1113.082,55.489,29,1
2.867,t0_mnv2,1163.815,59.388,28,1
2.927,t0_mnv2,1211.899,60.200,29,1
2.987,t0_mnv2,1260.891,60.570,30,1
3.036,t0_mnv2,1305.482,48.386,30,1
3.088,t0_mnv2,1330.977,52.459,30,1
3.152,t0_mnv2,1378.895,63.673,29,1
3.211,t0_mnv2,1304.890,58.672,29,1
3.268,t0_mnv2,1349.091,57.383,28,1
3.326,t0_mnv2,1387.236,57.821,30,1
3.388,t0_mnv2,1446.187,62.103,30,1
3.450,t0_mnv2,1472.558,61.984,29,1
3.508,t0_mnv2,1515.356,57.277,30,1
3.567,t0_mnv2,1567.330,59.761,30,1
3.628,t0_mnv2,1618.627,60.585,31,1
3.690,t0_mnv2,1609.712,62.363,34,1
3.746,t0_mnv2,1644.578,54.998,34,1
3.803,t0_mnv2,1685.037,57.336,36,1
3.863,t0_mnv2,1718.319,60.136,36,1
3.924,t0_mnv2,1683.784,61.311,36,1
3.981,t0_mnv2,1639.162,56.648,36,1
4.039,t0_mnv2,1694.241,57.770,37,1
4.100,t0_mnv2,1712.320,60.878,37,1
4.162,t0_mnv2,1705.007,62.622,38,1
4.220,t0_mnv2,1757.172,57.736,37,1
4.278,t0_mnv2,1793.861,57.441,37,1
4.334,t0_mnv2,1781.831,56.490,37,1
4.394,t0_mnv2,1695.416,59.975,37,1
4.454,t0_mnv2,1718.054,60.072,37,1
4.515,t0_mnv2,1733.853,61.007,39,1
4.578,t0_mnv2,1686.751,62.207,41,1
4.643,t0_mnv2,1725.198,65.748,42,1
4.702,t0_mnv2,1729.522,58.329,44,1
4.763,t0_mnv2,1779.093,60.760,45,1
4.820,t0_mnv2,1802.805,57.604,45,1
4.877,t0_mnv2,1808.791,56.816,44,1
4.933,t0_mnv2,1736.329,55.480,43,1
4.994,t0_mnv2,1721.825,61.552,44,1
5.060,t0_mnv2,1775.409,65.424,46,1
5.120,t0_mnv2,1809.764,59.974,47,1
5.176,t0_mnv2,1811.523,56.113,48,1
5.233,t0_mnv2,1747.870,56.713,48,1
5.284,t0_mnv2,1780.899,51.735,49,1
5.338,t0_mnv2,1804.097,53.061,49,1
5.418,t0_mnv2,1820.066,80.668,49,1
5.500,t0_mnv2,1885.339,81.760,50,1
5.592,t0_mnv2,1952.058,91.565,51,1
5.640,t0_mnv2,1999.381,48.067,51,1
5.719,t0_mnv2,2078.269,79.093,52,1
5.805,t0_mnv2,2159.674,85.713,55,1
5.889,t0_mnv2,2172.606,84.443,56,1
5.940,t0_mnv2,2175.689,50.651,59,1
6.024,t0_mnv2,2259.604,84.574,63,1
6.108,t0_mnv2,2307.295,83.713,65,1
6.189,t0_mnv2,2333.194,80.909,67,1
6.239,t0_mnv2,2334.771,49.871,66,1
6.319,t0_mnv2,2344.911,80.286,69,1
6.400,t0_mnv2,2398.020,80.173,71,1
6.452,t0_mnv2,2434.172,52.785,72,1
6.528,t0_mnv2,2455.248,75.403,73,1
6.605,t0_mnv2,2467.874,77.474,73,1
6.655,t0_mnv2,2503.629,50.043,74,1
6.736,t0_mnv2,2485.967,80.092,75,1
6.810,t0_mnv2,2494.387,74.257,75,1
6.892,t0_mnv2,2540.660,82.205,75,1
6.942,t0_mnv2,2509.650,50.178,74,1
7.023,t0_mnv2,2560.301,80.928,74,1
7.099,t0_mnv2,2611.039,76.074,74,1
7.150,t0_mnv2,2642.306,50.107,75,1
7.223,t0_mnv2,2698.974,73.273,76,1
7.300,t0_mnv2,2750.377,76.911,78,1
7.348,t0_mnv2,2794.379,48.293,78,1
7.418,t0_mnv2,2824.655,70.025,78,1
7.490,t0_mnv2,2876.815,71.615,80,1
7.539,t0_mnv2,2886.418,49.478,79,1
7.612,t0_mnv2,2926.880,72.675,81,1
7.661,t0_mnv2,2973.770,49.201,80,1
7.735,t0_mnv2,3026.007,73.748,82,1
7.809,t0_mnv2,3094.996,74.328,81,1
7.858,t0_mnv2,3049.992,48.458,81,1
7.929,t0_mnv2,2988.710,70.676,82,1
8.008,t0_mnv2,3025.067,78.939,84,1
8.055,t0_mnv2,3035.147,47.419,85,1
8.124,t0_mnv2,3078.089,68.423,87,1
