t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.776,t1_resnet18,246.972,242.741,2,1
0.985,t1_resnet18,381.237,208.895,3,1
1.218,t1_resnet18,491.523,233.711,3,1
1.453,t1_resnet18,592.839,234.595,4,1
1.694,t1_resnet18,749.796,240.490,3,1
1.941,t1_resnet18,947.967,247.405,2,1
2.171,t1_resnet18,826.189,229.543,5,1
2.407,t1_resnet18,982.046,236.341,4,1
2.626,t1_resnet18,675.128,218.929,3,1
2.869,t1_resnet18,810.830,242.747,2,1
3.111,t1_resnet18,1000.156,242.582,2,1
3.349,t1_resnet18,1231.791,237.493,1,1
3.589,t1_resnet18,667.764,240.325,2,1
3.823,t1_resnet18,388.124,233.686,3,1
4.061,t1_resnet18,592.666,237.609,3,1
4.294,t1_resnet18,675.167,232.866,5,1
4.532,t1_resnet18,713.704,238.310,5,1
4.754,t1_resnet18,735.626,222.394,4,1
5.049,t1_resnet18,875.948,294.762,5,1
5.340,t1_resnet18,1083.878,290.311,6,1
5.622,t1_resnet18,1359.279,282.232,6,1
5.878,t1_resnet18,1572.623,256.343,7,1
6.152,t1_resnet18,1298.281,273.524,8,1
6.437,t1_resnet18,1477.751,285.406,10,1
6.675,t1_resnet18,1555.955,237.581,10,1
6.942,t1_resnet18,1631.198,267.093,12,1
7.179,t1_resnet18,1617.475,236.818,15,1
7.443,t1_resnet18,1773.166,264.434,19,1
7.674,t1_resnet18,1977.894,230.443,19,1
7.903,t1_resnet18,2013.764,229.307,19,1
8.162,t1_resnet18,2173.468,258.268,20,1
8.393,t1_resnet18,2116.675,231.565,20,1
8.638,t1_resnet18,2331.097,245.079,21,1
8.852,t1_resnet18,2428.593,213.904,22,1
9.078,t1_resnet18,2524.288,225.475,23,1
9.301,t1_resnet18,2525.193,222.723,27,1
9.513,t1_resnet18,2643.435,212.672,26,1
9.744,t1_resnet18,2814.101,231.045,26,1
9.960,t1_resnet18,2977.495,215.157,26,1
10.173,t1_resnet18,3148.198,213.248,25,1
10.381,t1_resnet18,3327.863,208.489,26,1
10.593,t1_resnet18,3444.445,211.826,27,1
10.802,t1_resnet18,3606.525,208.770,26,1
11.005,t1_resnet18,3790.276,203.081,26,1
11.208,t1_resnet18,3946.611,202.853,27,1
11.412,t1_resnet18,4076.462,203.948,28,1
11.619,t1_resnet18,4271.478,206.677,28,1
11.823,t1_resnet18,4245.667,203.934,27,1
12.022,t1_resnet18,4188.234,198.885,26,1
12.219,t1_resnet18,4313.721,196.705,27,1
12.421,t1_resnet18,4352.852,202.008,28,1
12.624,t1_resnet18,4236.995,203.139,29,1
12.832,t1_resnet18,4434.321,207.816,30,1
13.030,t1_resnet18,4559.734,198.208,31,1
13.228,t1_resnet18,4574.433,197.707,31,1
13.422,t1_resnet18,4750.058,194.016,31,1
13.623,t1_resnet18,4740.438,201.006,32,1
13.829,t1_resnet18,4930.646,206.402,31,1
14.027,t1_resnet18,4910.207,197.743,31,1
14.223,t1_resnet18,5095.079,195.973,31,1
14.420,t1_resnet18,5287.469,196.920,33,1
14.618,t1_resnet18,5467.777,198.256,33,1
14.854,t1_resnet18,5577.682,235.361,34,1
15.054,t1_resnet18,5522.661,199.897,36,1
15.250,t1_resnet18,5396.183,196.074,39,1
15.449,t1_resnet18,5213.362,198.974,38,1
15.653,t1_resnet18,5367.228,204.322,39,1
15.854,t1_resnet18,5456.760,200.850,40,1
16.049,t1_resnet18,5592.329,194.699,42,1
16.249,t1_resnet18,5381.715,200.369,41,1
16.446,t1_resnet18,5320.861,197.117,40,1
16.655,t1_resnet18,5494.681,208.317,42,1
16.856,t1_resnet18,5529.196,201.423,41,1
17.055,t1_resnet18,5650.104,198.916,40,1
17.251,t1_resnet18,5666.491,195.916,39,1
17.449,t1_resnet18,5418.185,197.622,40,1
17.653,t1_resnet18,5448.663,204.231,42,1
17.854,t1_resnet18,5538.244,201.042,43,1
18.053,t1_resnet18,5668.150,198.591,44,1
18.250,t1_resnet18,5827.119,196.874,44,1
18.448,t1_resnet18,5858.826,198.233,45,1
18.653,t1_resnet18,6017.462,205.119,45,1
18.854,t1_resnet18,6205.870,201.141,44,1
19.051,t1_resnet18,6130.916,196.437,44,1
19.251,t1_resnet18,6323.783,200.556,45,1
19.448,t1_resnet18,6398.307,196.795,45,1
19.656,t1_resnet18,6389.542,207.573,46,1
19.855,t1_resnet18,6285.026,198.779,47,1
20.052,t1_resnet18,6473.644,197.353,47,0
20.248,t1_resnet18,6273.188,195.749,48,0
20.447,t1_resnet18,6273.126,198.797,49,0
20.650,t1_resnet18,6303.689,203.665,49,0
20.854,t1_resnet18,6472.101,203.631,49,0
21.053,t1_resnet18,6639.442,198.461,50,0
21.252,t1_resnet18,6654.324,199.035,51,0
21.451,t1_resnet18,6701.474,199.291,51,0
21.655,t1_resnet18,6819.821,204.205,53,0
21.855,t1_resnet18,6972.147,199.284,52,0
22.052,t1_resnet18,7127.547,197.324,52,0
22.249,t1_resnet18,7238.428,196.660,54,0
22.445,t1_resnet18,7325.837,195.851,54,0
22.652,t1_resnet18,7517.556,207.116,54,0
22.851,t1_resnet18,7662.388,198.846,54,0
23.047,t1_resnet18,7832.590,196.665,54,0
23.243,t1_resnet18,7741.363,195.803,56,0
23.441,t1_resnet18,7908.779,198.003,55,0
23.644,t1_resnet18,7965.146,202.620,55,0
23.848,t1_resnet18,8074.371,203.562,55,0
24.044,t1_resnet18,8061.077,196.238,54,0
24.243,t1_resnet18,8236.509,199.449,57,0
24.441,t1_resnet18,8423.103,197.638,57,0
24.646,t1_resnet18,8190.905,204.991,56,0
24.846,t1_resnet18,8367.090,199.979,55,0
25.046,t1_resnet18,8538.990,200.211,56,0
25.240,t1_resnet18,7973.552,193.909,55,0
25.437,t1_resnet18,8043.787,197.095,57,0
25.640,t1_resnet18,8154.380,202.873,56,0
25.840,t1_resnet18,8299.194,199.576,60,0
26.034,t1_resnet18,8380.814,193.751,60,0
26.230,t1_resnet18,8530.934,196.414,61,0
26.426,t1_resnet18,8573.897,196.171,62,0
26.629,t1_resnet18,8751.568,202.383,62,0
26.832,t1_resnet18,8896.728,203.002,62,0
27.032,t1_resnet18,8826.998,200.191,62,0
