t_s,tenant,latency_ms,service_ms,qdepth,warmup
0.046,t2_squeezenet,36.581,35.720,0,1
0.122,t2_squeezenet,51.175,49.499,2,1
0.166,t2_squeezenet,68.105,44.059,3,1
0.211,t2_squeezenet,98.982,45.189,4,1
0.257,t2_squeezenet,117.138,46.304,3,1
0.305,t2_squeezenet,150.358,47.598,2,1
0.351,t2_squeezenet,163.168,46.393,1,1
0.399,t2_squeezenet,189.769,47.029,3,1
0.456,t2_squeezenet,93.927,57.667,3,1
0.530,t2_squeezenet,166.254,73.984,5,1
0.593,t2_squeezenet,220.019,62.276,5,1
0.637,t2_squeezenet,212.137,44.007,5,1
0.680,t2_squeezenet,215.844,42.940,4,1
0.722,t2_squeezenet,199.146,42.290,5,1
0.763,t2_squeezenet,235.253,40.663,7,1
0.802,t2_squeezenet,270.554,39.447,9,1
0.843,t2_squeezenet,244.175,40.436,8,1
0.884,t2_squeezenet,178.956,40.871,8,1
0.924,t2_squeezenet,211.065,40.709,9,1
0.965,t2_squeezenet,237.502,40.386,9,1
1.007,t2_squeezenet,277.916,42.481,9,1
1.049,t2_squeezenet,306.623,41.282,10,1
1.089,t2_squeezenet,316.826,40.293,10,1
1.134,t2_squeezenet,354.623,44.645,10,1
1.187,t2_squeezenet,404.844,53.276,11,1
1.237,t2_squeezenet,393.053,50.453,10,1
1.291,t2_squeezenet,407.372,53.833,9,1
1.349,t2_squeezenet,432.088,57.314,12,1
1.403,t2_squeezenet,451.292,54.551,14,1
1.449,t2_squeezenet,462.927,45.583,14,1
1.529,t2_squeezenet,517.757,80.428,13,1
1.582,t2_squeezenet,567.897,52.399,14,1
1.632,t2_squeezenet,575.572,50.147,14,1
1.685,t2_squeezenet,561.071,52.958,15,1
1.738,t2_squeezenet,587.092,53.247,16,1
1.794,t2_squeezenet,631.116,55.266,15,1
1.848,t2_squeezenet,549.208,53.898,14,1
1.899,t2_squeezenet,565.377,51.332,14,1
1.950,t2_squeezenet,610.772,51.022,15,1
2.001,t2_squeezenet,654.377,51.307,17,1
2.058,t2_squeezenet,703.942,56.270,18,1
2.108,t2_squeezenet,734.209,49.820,20,1
2.161,t2_squeezenet,769.950,52.958,21,1
2.215,t2_squeezenet,792.475,54.661,23,1
2.271,t2_squeezenet,724.582,55.372,23,1
2.335,t2_squeezenet,763.562,64.637,22,1
2.388,t2_squeezenet,780.393,52.548,21,1
2.440,t2_squeezenet,800.009,51.908,21,1
2.495,t2_squeezenet,841.512,54.636,22,1
2.547,t2_squeezenet,850.806,52.059,21,1
2.597,t2_squeezenet,862.179,50.061,22,1
2.647,t2_squeezenet,787.831,49.721,24,1
2.700,t2_squeezenet,786.572,52.822,24,1
2.758,t2_squeezenet,815.628,58.350,26,1
2.809,t2_squeezenet,824.825,51.275,27,1
2.859,t2_squeezenet,865.038,50.154,28,1
2.913,t2_squeezenet,912.796,53.245,30,1
2.968,t2_squeezenet,965.778,54.702,32,1
3.019,t2_squeezenet,975.382,51.775,32,1
3.063,t2_squeezenet,1004.052,43.869,31,1
3.109,t2_squeezenet,1039.442,46.024,30,1
3.168,t2_squeezenet,1062.370,58.439,29,1
3.223,t2_squeezenet,1111.970,54.614,29,1
3.275,t2_squeezenet,1150.839,52.186,29,1
3.328,t2_squeezenet,1151.862,52.807,30,1
3.379,t2_squeezenet,1199.347,51.077,30,1
3.440,t2_squeezenet,1260.262,61.592,31,1
3.494,t2_squeezenet,1250.228,53.991,31,1
3.549,t2_squeezenet,1134.713,54.142,33,1
3.601,t2_squeezenet,1151.785,52.081,36,1
3.656,t2_squeezenet,1184.417,55.645,36,1
3.714,t2_squeezenet,1138.233,58.047,36,1
3.765,t2_squeezenet,1171.345,50.876,36,1
3.820,t2_squeezenet,1222.921,54.641,36,1
3.876,t2_squeezenet,1267.812,55.951,39,1
3.934,t2_squeezenet,1309.316,57.559,40,1
3.990,t2_squeezenet,1291.663,56.613,41,1
4.041,t2_squeezenet,1326.241,50.662,43,1
