step,t_s,T_c,T_pred_c,freq_mhz,util_pct,solver_ms,mode,agg_duty,duty0,duty1,duty2
0,0.00,54.55,59.49,2400,0.0,0.01,equal,3.0000,1.0000,1.0000,1.0000
1,1.00,55.65,59.49,2400,76.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
2,2.00,55.65,59.49,2400,73.7,0.01,equal,3.0000,1.0000,1.0000,1.0000
3,3.00,56.20,59.49,2400,72.6,0.02,equal,3.0000,1.0000,1.0000,1.0000
4,4.00,56.20,59.49,2400,77.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
5,5.00,56.20,59.49,2400,77.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
6,6.00,56.20,59.49,2400,76.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
7,7.00,56.20,59.49,2400,77.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
8,8.00,56.75,59.49,2400,77.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
9,9.00,56.75,59.49,2400,76.8,0.01,equal,3.0000,1.0000,1.0000,1.0000
10,10.00,56.75,59.49,2400,76.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
11,11.00,56.20,59.49,2400,77.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
12,12.00,57.30,59.49,2400,76.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
13,13.00,57.30,59.49,2400,76.9,0.00,equal,3.0000,1.0000,1.0000,1.0000
14,14.00,57.30,59.49,2400,76.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
15,15.00,56.75,59.49,2400,77.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
16,16.00,56.75,59.49,2400,77.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
17,17.00,57.30,59.49,2400,77.2,0.00,equal,3.0000,1.0000,1.0000,1.0000
18,18.01,57.85,59.49,2400,77.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
19,19.01,56.75,59.49,2400,77.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
20,20.01,56.75,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
21,21.01,57.30,59.49,2400,76.9,0.01,equal,3.0000,1.0000,1.0000,1.0000
22,22.01,57.30,59.49,2400,77.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
23,23.01,58.40,59.49,2400,77.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
24,24.01,57.30,59.49,2400,77.1,0.00,equal,3.0000,1.0000,1.0000,1.0000
25,25.01,58.40,59.49,2400,77.5,0.01,equal,3.0000,1.0000,1.0000,1.0000
26,26.01,57.85,59.49,2400,77.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
27,27.01,58.40,59.49,2400,77.0,0.00,equal,3.0000,1.0000,1.0000,1.0000
28,28.01,57.85,59.49,2400,77.7,0.00,equal,3.0000,1.0000,1.0000,1.0000
29,29.01,57.30,59.49,2400,77.6,0.01,equal,3.0000,1.0000,1.0000,1.0000
30,30.01,57.85,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
31,31.01,57.85,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
32,32.01,58.40,59.49,2400,77.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
33,33.01,58.40,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
34,34.01,58.95,59.49,2400,77.6,0.00,equal,3.0000,1.0000,1.0000,1.0000
35,35.02,58.40,59.49,2400,77.2,0.02,equal,3.0000,1.0000,1.0000,1.0000
36,36.02,58.40,59.49,2400,77.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
37,37.02,58.40,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
38,38.02,58.40,59.49,2400,77.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
39,39.02,58.40,59.49,2400,77.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
40,40.02,58.95,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
41,41.02,58.40,59.49,2400,77.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
42,42.02,58.95,59.49,2400,77.6,0.02,equal,3.0000,1.0000,1.0000,1.0000
43,43.03,58.95,59.49,2400,77.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
44,44.03,59.50,59.49,2400,77.4,0.01,equal,3.0000,1.0000,1.0000,1.0000
45,45.03,58.95,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
46,46.03,58.95,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
47,47.03,58.95,59.49,2400,77.1,0.01,equal,3.0000,1.0000,1.0000,1.0000
48,48.03,59.50,59.49,2400,77.4,0.00,equal,3.0000,1.0000,1.0000,1.0000
49,49.03,58.95,59.49,2400,77.3,0.01,equal,3.0000,1.0000,1.0000,1.0000
50,50.03,58.95,59.49,2400,77.3,0.00,equal,3.0000,1.0000,1.0000,1.0000
51,51.03,58.95,59.49,2400,77.2,0.01,equal,3.0000,1.0000,1.0000,1.0000
